,TF,Target,Label
0,0,177,1
1,0,1444,1
2,0,259,1
3,0,1348,1
4,0,431,1
5,0,204,1
6,0,1011,1
7,0,952,1
8,0,888,1
9,0,1181,1
10,0,1319,1
11,0,568,1
12,0,1312,1
13,0,219,1
14,0,249,1
15,0,615,1
16,1,306,1
17,1,69,1
18,1,203,1
19,1,1044,1
20,1,1365,1
21,1,352,1
22,1,109,1
23,1,751,1
24,2,398,1
25,2,148,1
26,2,92,1
27,2,728,1
28,3,1251,1
29,3,620,1
30,3,1155,1
31,3,136,1
32,3,169,1
33,3,837,1
34,3,194,1
35,3,657,1
36,3,687,1
37,3,768,1
38,3,125,1
39,3,656,1
40,3,170,1
41,3,421,1
42,3,963,1
43,3,718,1
44,3,198,1
45,3,375,1
46,3,318,1
47,3,296,1
48,3,390,1
49,3,267,1
50,3,154,1
51,3,287,1
52,3,293,1
53,3,188,1
54,3,1359,1
55,3,152,1
56,3,78,1
57,3,1222,1
58,3,1090,1
59,3,377,1
60,4,352,1
61,4,276,1
62,4,109,1
63,4,69,1
64,4,117,1
65,4,412,1
66,4,377,1
67,4,133,1
68,4,343,1
69,4,82,1
70,4,174,1
71,4,169,1
72,6,1246,1
73,6,307,1
74,6,252,1
75,7,703,1
76,7,1420,1
77,7,216,1
78,7,910,1
79,7,1038,1
80,7,26,1
81,7,1229,1
82,7,1196,1
83,7,1206,1
84,7,888,1
85,7,658,1
86,7,50,1
87,7,366,1
88,7,948,1
89,7,1018,1
90,7,970,1
91,8,273,1
92,9,1394,1
93,9,273,1
94,9,80,1
95,9,387,1
96,9,1430,1
97,10,402,1
98,10,177,1
99,11,356,1
100,11,687,1
101,11,768,1
102,11,317,1
103,11,851,1
104,11,656,1
105,11,550,1
106,11,88,1
107,11,963,1
108,13,704,1
109,13,11,1
110,13,1278,1
111,13,589,1
112,13,835,1
113,13,319,1
114,13,406,1
115,13,591,1
116,13,1317,1
117,14,307,1
118,14,366,1
119,14,69,1
120,14,1380,1
121,14,204,1
122,14,570,1
123,14,219,1
124,14,1178,1
125,14,217,1
126,14,402,1
127,14,1302,1
128,14,1011,1
129,14,203,1
130,14,996,1
131,14,249,1
132,14,491,1
133,14,225,1
134,14,589,1
135,14,1206,1
136,14,751,1
137,15,342,1
138,16,270,1
139,17,134,1
140,17,700,1
141,17,1191,1
142,17,1135,1
143,17,485,1
144,17,1347,1
145,17,403,1
146,17,612,1
147,17,900,1
148,17,162,1
149,17,729,1
150,17,1034,1
151,17,1382,1
152,17,331,1
153,17,562,1
154,17,266,1
155,17,688,1
156,17,291,1
157,17,598,1
158,17,586,1
159,17,1186,1
160,17,304,1
161,18,1227,1
162,18,245,1
163,18,313,1
164,18,169,1
165,18,105,1
166,18,201,1
167,18,752,1
168,18,136,1
169,18,1039,1
170,18,116,1
171,18,125,1
172,18,288,1
173,18,241,1
174,18,234,1
175,19,1380,1
176,19,179,1
177,19,73,1
178,19,340,1
179,19,758,1
180,19,308,1
181,19,290,1
182,19,243,1
183,19,433,1
184,19,94,1
185,19,1178,1
186,19,267,1
187,19,1358,1
188,19,273,1
189,19,1317,1
190,19,1300,1
191,19,306,1
192,19,89,1
193,19,80,1
194,19,42,1
195,19,358,1
196,19,307,1
197,19,9,1
198,19,140,1
199,21,1344,1
200,21,44,1
201,21,1431,1
202,21,922,1
203,21,1401,1
204,21,524,1
205,21,216,1
206,21,705,1
207,22,653,1
208,22,333,1
209,22,1022,1
210,23,136,1
211,23,109,1
212,23,124,1
213,23,358,1
214,23,1328,1
215,23,508,1
216,23,377,1
217,23,117,1
218,23,290,1
219,23,133,1
220,23,40,1
221,23,683,1
222,23,215,1
223,23,620,1
224,23,960,1
225,23,26,1
226,23,211,1
227,23,1313,1
228,23,208,1
229,23,577,1
230,23,251,1
231,23,758,1
232,23,748,1
233,24,357,1
234,24,426,1
235,24,89,1
236,24,179,1
237,24,361,1
