G0	ZNF589
G1	MIS18BP1
G2	PITX1
G3	HNRNPD
G4	ETV4
G5	TBL1X
G6	NRIP1
G7	ID2
G8	SMARCE1
G9	RBMX
G10	FOXO1
G11	GATA6
G12	SSBP3
G13	GLI2
G14	TCEB2
G15	SIRT1
G16	SUPT16H
G17	POLR2K
G18	MCM6
G19	SERTAD3
G20	ABT1
G21	PEG3
G22	GTF2E1
G23	TAF11
G24	SP4
G25	POLR2D
G26	HMGN2
G27	POLR1B
G28	NAA15
G29	AES
G30	ESPL1
G31	NFKBIZ
G32	NFYB
G33	RFX5
G34	GLIS3
G35	EZH2
G36	PPARA
G37	CREB1
G38	TRIM22
G39	CSRP2
G40	POLR2I
G41	ID3
G42	CREB3L2
G43	ASXL1
G44	GABPB1
G45	TARBP2
G46	POLR1C
G47	ZFHX3
G48	SSBP2
G49	MED14
G50	EEF1A1
G51	JAZF1
G52	GMEB1
G53	MYBBP1A
G54	BCOR
G55	DNMT3B
G56	HMGA2
G57	SSB
G58	ELAVL2
G59	E2F5
G60	HMGXB4
G61	PDGFA
G62	ING3
G63	YBX1
G64	FOXA2
G65	TFDP1
G66	ZNF143
G67	MMS19
G68	KLF6
G69	CREG1
G70	XRCC6
G71	ZNF644
G72	NR1H3
G73	ZNF227
G74	KLF3
G75	ZNF300
G76	ZNF74
G77	MYBL2
G78	DRAP1
G79	AEBP2
G80	MCM3
G81	ZNHIT3
G82	SNRPB
G83	NFATC2
G84	COPS5
G85	NCOA6
G86	STAT2
G87	ARID3B
G88	EHMT2
G89	E2F7
G90	PTMA
G91	MXD1
G92	SNAPC1
G93	RNF4
G94	SALL4
G95	FOXP1
G96	PLAGL2
G97	HNRNPR
G98	TCEB1
G99	AEBP1
G100	BTG2
G101	TCEB3
G102	TFDP2
G103	ARID2
G104	ZNF581
G105	ATF3
G106	TCEA1
G107	TOPORS
G108	PCGF6
G109	MEIS3
G110	PTTG1
G111	HDAC1
G112	GTF2H2
G113	CREB3L3
G114	JARID2
G115	TBX3
G116	ZNF567
G117	HIF3A
G118	THAP1
G119	LDB2
G120	NSD1
G121	TCF7L1
G122	FOSL1
G123	TBPL1
G124	GLI1
G125	GTF3C2
G126	ZNF217
G127	IRF9
G128	OTX2
G129	HIF1AN
G130	TFAP2C
G131	SOX4
G132	LHX1
G133	TNFAIP3
G134	WBP11
G135	CEBPZ
G136	PRDM1
G137	PLRG1
G138	PAWR
G139	HESX1
G140	JAG1
G141	TRIM28
G142	MYCBP
G143	CTDSPL
G144	IRF3
G145	POLR2G
G146	EGR1
G147	KAT7
G148	E2F8
G149	EPAS1
G150	ETS1
G151	MCM2
G152	BIN1
G153	HINFP
G154	SKIL
G155	FOSL2
G156	PTRF
G157	THAP11
G158	MCM7
G159	SMARCC1
G160	ERCC8
G161	NOTCH3
G162	RUNX1T1
G163	TCF19
G164	TCFL5
G165	TGIF2
G166	DR1
G167	TRIM27
G168	NONO
G169	PSIP1
G170	TFE3
G171	SMARCA4
G172	SRRM1
G173	F2
G174	TP53
G175	RNF19A
G176	CDKN1A
G177	HNRNPUL1
G178	BDP1
G179	PWP1
G180	MCM4
G181	E2F4
G182	MATR3
G183	SSRP1
G184	SNRPD1
G185	DDIT3
G186	IRF1
G187	HTATSF1
G188	ZNF287
G189	SP100
G190	MCM8
G191	VEZF1
G192	RBBP7
G193	ETV1
G194	SALL2
G195	NFIB
G196	BCL11B
G197	CTBP1
G198	TGIF1
G199	HMGB2
G200	GRHL1
G201	RREB1
G202	GATA4
G203	CNOT7
G204	YAF2
G205	CRABP2
G206	POLR2F
G207	ZBTB3
G208	POLR1D
G209	HNRNPAB
G210	TCOF1
G211	DEDD
G212	SUV39H2
G213	SOX2
G214	CNTRL
G215	HDGF
G216	YEATS4
G217	RFC1
G218	HNF1B
G219	TAF9B
G220	HIST1H1B
G221	JUN
G222	CDX2
G223	ING5
G224	PHB2
G225	ELL2
G226	POLR3D
G227	ZBTB24
G228	DDX5
G229	RBBP4
G230	E2F3
G231	HMGN1
