#ID,TF,index
0,10,35
1,35,10
2,10,283
3,283,10
4,10,146
5,146,10
6,91,1179
7,5,1179
8,132,1179
9,292,1179
10,179,1179
11,137,342
12,137,281
13,281,137
14,137,683
15,137,171
16,171,137
17,137,321
18,137,761
19,137,214
20,214,137
21,137,1312
22,137,112
23,112,137
24,137,92
25,92,137
26,137,1292
27,137,6
28,6,137
29,137,198
30,198,137
31,137,124
32,124,137
33,91,1196
34,179,1196
35,129,833
36,183,833
37,91,881
38,133,881
39,5,881
40,145,881
41,228,148
42,148,228
43,228,5
44,5,228
45,228,326
46,228,77
47,77,228
48,228,190
49,190,228
50,228,184
51,184,228
52,228,255
53,255,228
54,228,691
55,228,156
56,156,228
57,228,164
58,164,228
59,228,183
60,183,228
61,228,70
62,70,228
63,228,1238
64,228,314
65,314,228
66,228,250
67,250,228
68,228,173
69,173,228
70,186,960
71,160,960
72,3,412
73,264,412
74,217,128
75,128,217
76,217,161
77,161,217
78,217,180
79,180,217
80,217,187
81,187,217
82,217,26
83,26,217
84,217,207
85,207,217
86,217,139
87,139,217
88,217,196
89,196,217
90,217,87
91,87,217
92,217,183
93,183,217
94,217,285
95,285,217
96,217,100
97,100,217
98,217,21
99,21,217
100,217,213
101,213,217
102,217,35
103,35,217
104,217,312
105,312,217
106,217,203
107,203,217
108,217,576
109,217,157
110,157,217
111,217,265
112,265,217
113,217,171
114,171,217
115,217,165
116,165,217
117,217,152
118,152,217
119,217,223
120,223,217
121,217,241
122,241,217
123,217,41
124,41,217
125,217,68
126,68,217
127,217,243
128,243,217
129,217,38
130,38,217
131,217,99
132,99,217
133,217,150
134,150,217
135,217,40
136,40,217
137,217,11
138,11,217
139,91,1108
140,5,1108
141,95,1180
142,95,21
143,21,95
144,95,859
145,233,1010
146,91,368
147,5,368
148,233,368
149,179,368
150,285,128
151,128,285
152,285,180
153,180,285
154,285,171
155,171,285
156,285,207
157,207,285
158,285,139
159,139,285
160,285,152
161,152,285
162,285,223
163,223,285
164,285,196
165,196,285
166,285,41
167,41,285
168,285,243
169,243,285
170,285,38
171,38,285
172,285,100
173,100,285
174,285,21
175,21,285
176,285,99
177,99,285
178,285,213
179,213,285
180,285,150
181,150,285
182,285,312
183,312,285
184,285,9
185,9,285
186,285,40
187,40,285
188,285,11
189,11,285
190,285,576
191,264,569
192,264,413
193,264,374
194,264,688
195,264,3
196,3,264
197,264,1140
198,264,1015
199,264,943
200,264,73
201,73,264
202,264,1198
203,264,1048
204,264,864
205,264,74
206,74,264
207,264,462
208,264,1135
209,29,1115
210,29,566
211,129,6
212,6,129
213,129,349
214,129,395
215,129,161
216,161,129
217,129,187
218,187,129
219,129,1153
220,129,26
221,26,129
222,129,116
223,116,129
224,129,1252
225,129,158
226,158,129
227,129,779
228,129,111
229,111,129
230,129,840
231,129,48
232,48,129
233,129,186
234,186,129
235,129,1253
236,129,535
237,129,1280
238,129,1034
239,129,544
240,129,183
241,183,129
242,129,1102
243,129,974
244,129,286
245,286,129
246,129,246
247,246,129
248,129,232
249,232,129
250,129,678
251,129,1205
252,129,638
253,129,884
254,129,153
255,153,129
256,129,73
257,73,129
258,129,35
259,35,129
260,129,868
261,129,45
262,45,129
263,129,203
264,203,129
265,129,33
266,33,129
267,129,747
268,129,271
269,271,129
270,129,595
271,129,938
272,129,1048
273,129,586
274,129,718
275,129,63
276,63,129
277,129,666
278,129,1164
279,129,155
280,155,129
281,129,230
282,230,129
283,129,691
284,129,241
285,241,129
286,129,584
287,129,179
288,179,129
289,129,1012
290,129,160
291,160,129
292,129,68
293,68,129
294,129,577
295,129,701
296,129,106
297,106,129
298,129,815
299,129,136
300,136,129
301,129,313
302,313,129
303,129,1013
304,129,210
305,210,129
306,129,560
307,129,275
308,275,129
309,63,566
310,145,566
311,210,1001
312,200,238
313,238,200
314,200,888
315,200,825
316,200,110
317,110,200
318,200,133
319,133,200
320,200,25
321,25,200
322,200,128
323,128,200
324,200,154
325,154,200
326,200,280
327,280,200
328,200,5
329,5,200
330,200,171
331,171,200
332,200,1143
333,200,463
334,200,1214
335,200,849
336,200,310
337,310,200
338,200,1167
339,200,1029
340,200,284
341,284,200
342,200,207
343,207,200
344,200,139
345,139,200
346,200,211
347,211,200
348,200,47
349,47,200
350,200,1037
351,200,798
352,200,63
353,63,200
354,200,466
355,200,223
356,223,200
357,200,79
358,79,200
359,200,66
360,66,200
361,200,772
362,200,303
363,303,200
364,200,1182
365,200,1121
366,200,1094
367,200,474
368,200,243
369,243,200
370,200,109
371,109,200
372,200,38
373,38,200
374,200,100
375,100,200
376,200,99
377,99,200
378,200,213
379,213,200
380,200,150
381,150,200
382,200,199
383,199,200
384,200,1244
385,200,1173
386,200,11
387,11,200
388,200,1305
389,223,238
390,238,223
391,223,825
392,223,191
393,191,223
394,223,110
395,110,223
396,223,133
397,133,223
398,223,25
399,25,223
400,223,128
401,128,223
402,223,154
403,154,223
404,223,180
405,180,223
406,223,5
407,5,223
408,223,171
409,171,223
410,223,1143
411,223,849
412,223,310
413,310,223
414,223,1167
415,223,1029
416,223,284
417,284,223
418,223,207
419,207,223
420,223,139
421,139,223
422,223,211
423,211,223
424,223,47
425,47,223
426,223,61
427,61,223
428,223,176
429,176,223
430,223,152
431,152,223
432,223,1037
433,223,798
434,223,7
435,7,223
436,223,208
437,208,223
438,223,63
439,63,223
440,223,88
441,88,223
442,223,466
443,223,79
444,79,223
445,223,196
446,196,223
447,223,66
448,66,223
449,223,2
450,2,223
451,223,303
452,303,223
453,223,1182
454,223,46
455,46,223
456,223,41
457,41,223
458,223,147
459,147,223
460,223,269
461,269,223
462,223,112
463,112,223
464,223,1121
465,223,1094
466,223,474
467,223,243
468,243,223
469,223,109
470,109,223
471,223,38
472,38,223
473,223,100
474,100,223
475,223,21
476,21,223
477,223,99
478,99,223
479,223,213
480,213,223
481,223,150
482,150,223
483,223,312
484,312,223
485,223,199
486,199,223
487,223,9
488,9,223
489,223,40
490,40,223
491,223,1173
492,223,11
493,11,223
494,223,1305
495,223,70
496,70,223
497,223,576
498,76,791
499,133,791
500,128,791
501,171,791
502,139,791
503,88,791
504,145,791
505,256,791
506,186,1155
507,179,1155
508,210,1155
509,279,187
510,187,279
511,279,309
512,309,279
513,279,35
514,35,279
515,279,203
516,203,279
517,279,271
518,271,279
519,279,14
520,14,279
521,279,165
522,165,279
523,279,142
524,142,279
525,279,230
526,230,279
527,279,1091
528,36,856
529,17,856
530,132,998
531,292,998
532,153,998
533,91,459
534,128,459
535,44,459
536,76,459
537,133,459
538,171,459
539,145,459
540,256,459
541,238,825
542,110,825
543,133,825
544,25,825
545,128,825
546,154,825
547,280,825
548,5,825
549,171,825
550,310,825
551,284,825
552,207,825
553,139,825
554,211,825
555,47,825
556,63,825
557,79,825
558,66,825
559,303,825
560,243,825
561,109,825
562,38,825
563,100,825
564,99,825
565,213,825
566,150,825
567,199,825
568,11,825
569,6,218
570,218,6
571,6,1292
572,6,158
573,158,6
574,6,183
575,183,6
576,6,49
577,49,6
578,6,192
579,192,6
580,6,1312
581,6,153
582,153,6
583,6,761
584,6,24
585,24,6
586,6,165
587,165,6
588,6,414
589,6,281
590,281,6
591,6,1111
592,6,501
593,6,65
594,65,6
595,6,304
596,304,6
597,6,302
598,302,6
599,6,290
600,290,6
601,6,106
602,106,6
603,6,250
604,250,6
605,6,318
606,318,6
607,6,1315
608,6,754
609,236,1284
610,236,451
611,236,505
612,236,1115
613,236,165
614,165,236
615,117,1021
616,117,107
617,107,117
618,117,643
619,206,218
620,218,206
621,206,161
622,161,206
623,206,81
624,81,206
625,206,184
626,184,206
627,206,156
628,156,206
629,206,245
630,245,206
631,206,286
632,286,206
633,206,157
634,157,206
635,206,24
636,24,206
637,206,165
638,165,206
639,206,414
640,206,1129
641,206,272
642,272,206
643,206,1315
644,206,754
645,206,15
646,15,206
647,206,275
648,275,206
649,76,714
650,133,714
651,128,714
652,171,714
653,139,714
654,145,714
655,3,1135
656,100,238
657,238,100
658,100,888
659,100,191
660,191,100
661,100,248
662,248,100
663,100,157
664,157,100
665,100,110
666,110,100
667,100,133
668,133,100
669,100,25
670,25,100
671,100,128
672,128,100
673,100,154
674,154,100
675,100,218
676,218,100
677,100,161
678,161,100
679,100,180
680,180,100
681,100,24
682,24,100
683,100,5
684,5,100
685,100,171
686,171,100
687,100,1143
688,100,463
689,100,44
690,44,100
691,100,849
692,100,105
693,105,100
694,100,114
695,114,100
696,100,310
697,310,100
698,100,1292
699,100,1167
700,100,414
701,100,202
702,202,100
703,100,1029
704,100,687
705,100,252
706,252,100
707,100,193
708,193,100
709,100,284
710,284,100
711,100,207
712,207,100
713,100,139
714,139,100
715,100,158
716,158,100
717,100,211
718,211,100
719,100,47
720,47,100
721,100,61
722,61,100
723,100,215
724,215,100
725,100,176
726,176,100
727,100,152
728,152,100
729,100,1037
730,100,309
731,309,100
732,100,798
733,100,7
734,7,100
735,100,806
736,100,208
737,208,100
738,100,63
739,63,100
740,100,88
741,88,100
742,100,296
743,296,100
744,100,466
745,100,79
746,79,100
747,100,196
748,196,100
749,100,240
750,240,100
751,100,691
752,100,65
753,65,100
754,100,66
755,66,100
756,100,2
757,2,100
758,100,87
759,87,100
760,100,303
761,303,100
762,100,304
763,304,100
764,100,547
765,100,1182
766,100,46
767,46,100
768,100,41
769,41,100
770,100,147
771,147,100
772,100,269
773,269,100
774,100,112
775,112,100
776,100,1121
777,100,1312
778,100,1094
779,100,474
780,100,243
781,243,100
782,100,109
783,109,100
784,100,38
785,38,100
786,100,93
787,93,100
788,100,21
789,21,100
790,100,99
791,99,100
792,100,213
793,213,100
794,100,35
795,35,100
796,100,150
797,150,100
798,100,312
799,312,100
800,100,1315
801,100,754
802,100,199
803,199,100
804,100,9
805,9,100
806,100,40
807,40,100
808,100,1173
809,100,11
810,11,100
811,100,761
812,100,1305
813,100,576
814,100,275
815,275,100
816,203,5
817,5,203
818,203,187
819,187,203
820,203,26
821,26,203
822,203,186
823,186,203
824,203,1253
825,203,366
826,203,235
827,235,203
828,203,87
829,87,203
830,203,183
831,183,203
832,203,358
833,203,287
834,287,203
835,203,678
836,203,209
837,209,203
838,203,1205
839,203,153
840,153,203
841,203,73
842,73,203
843,203,35
844,35,203
845,203,868
846,203,589
847,203,33
848,33,203
849,203,14
850,14,203
851,203,414
852,203,1048
853,203,142
854,142,203
855,203,666
856,203,521
857,203,179
858,179,203
859,203,1012
860,203,902
861,203,864
862,203,160
863,160,203
864,203,68
865,68,203
866,203,107
867,107,203
868,203,313
869,313,203
870,203,1013
871,203,1315
872,203,754
873,203,210
874,210,203
875,203,560
876,203,1091
877,186,577
878,183,577
879,246,577
880,153,577
881,35,577
882,160,577
883,212,767
884,43,363
885,268,5
886,5,268
887,268,314
888,314,268
889,268,1103
890,268,1123
891,268,1176
892,268,614
893,268,298
894,298,268
895,197,698
896,49,139
897,139,49
898,49,215
899,215,49
900,49,304
901,304,49
902,260,865
903,193,865
904,211,865
905,3,865
906,186,865
907,52,865
908,155,865
909,2,865
910,183,865
911,46,865
912,166,865
913,75,865
914,73,865
915,45,865
916,292,348
917,132,348
918,91,913
919,76,913
920,133,913
921,128,913
922,171,913
923,139,913
924,145,913
925,256,913
926,184,973
927,196,1132
928,116,1253
929,186,1253
930,183,1253
931,153,1253
932,35,1253
933,73,1276
934,73,756
935,73,802
936,73,788
937,73,161
938,161,73
939,73,379
940,73,1292
941,73,26
942,26,73
943,73,890
944,73,724
945,73,1034
946,73,693
947,73,957
948,73,1053
949,73,183
950,183,73
951,73,492
952,73,469
953,73,246
954,246,73
955,73,270
956,270,73
957,73,314
958,314,73
959,73,209
960,209,73
961,73,1232
962,73,153
963,153,73
964,73,565
965,73,35
966,35,73
967,73,364
968,73,761
969,73,573
970,73,165
971,165,73
972,73,414
973,73,1048
974,73,1313
975,73,586
976,73,55
977,55,73
978,73,1043
979,73,1156
980,73,997
981,73,403
982,73,864
983,73,558
984,73,768
985,73,74
986,74,73
987,73,1204
988,73,995
989,73,1036
990,73,1315
991,73,754
992,73,386
993,73,489
994,132,1245
995,292,1245
996,179,1245
997,132,423
998,292,423
999,35,666
1000,179,666
1001,22,666
1002,210,666
1003,133,355
1004,145,355
1005,76,1035
1006,133,1035
1007,128,1035
1008,139,1035
1009,145,1035
1010,91,739
1011,76,739
1012,110,1161
1013,133,1161
1014,310,1161
1015,47,1161
1016,79,1161
1017,66,1161
1018,145,1161
1019,109,1161
1020,248,562
1021,2,562
1022,24,562
1023,105,562
1024,59,562
1025,193,562
1026,152,562
1027,155,562
1028,46,562
1029,243,562
1030,54,157
1031,157,54
1032,54,247
1033,247,54
1034,54,161
1035,161,54
1036,54,226
1037,226,54
1038,54,955
1039,54,806
1040,54,87
1041,87,54
1042,54,286
1043,286,54
1044,54,147
1045,147,54
1046,54,170
1047,170,54
1048,54,275
1049,275,54
1050,290,218
1051,218,290
1052,290,8
1053,8,290
1054,290,1292
1055,290,81
1056,81,290
1057,290,183
1058,183,290
1059,290,119
1060,119,290
1061,290,761
1062,290,24
1063,24,290
1064,290,165
1065,165,290
1066,290,414
1067,290,127
1068,127,290
1069,290,244
1070,244,290
1071,290,215
1072,215,290
1073,290,131
1074,131,290
1075,290,304
1076,304,290
1077,290,250
1078,250,290
1079,290,298
1080,298,290
1081,290,1315
1082,290,754
1083,2,1127
1084,197,5
1085,5,197
1086,197,442
1087,197,1292
1088,197,1076
1089,197,501
1090,197,651
1091,197,399
1092,197,592
1093,197,752
1094,197,908
1095,197,821
1096,197,761
1097,197,1158
1098,260,1204
1099,211,1204
1100,3,1204
1101,186,1204
1102,2,1204
1103,183,1204
1104,166,1204
1105,75,1204
1106,45,1204
1107,52,1204
1108,155,1204
1109,46,1204
1110,276,938
1111,276,704
1112,276,2
1113,2,276
1114,276,638
1115,183,679
1116,160,589
1117,186,1209
1118,186,354
1119,238,1182
1120,110,1182
1121,25,1182
1122,128,1182
1123,161,1182
1124,5,1182
1125,310,1182
1126,207,1182
1127,139,1182
1128,211,1182
1129,56,1182
1130,66,1182
1131,303,1182
1132,132,1182
1133,213,1182
1134,80,1182
1135,133,1182
1136,154,1182
1137,171,1182
1138,292,1182
1139,284,1182
1140,47,1182
1141,63,1182
1142,79,1182
1143,243,1182
1144,109,1182
1145,38,1182
1146,99,1182
1147,150,1182
1148,199,1182
1149,11,1182
1150,56,959
1151,103,618
1152,141,156
1153,156,141
1154,23,462
1155,3,462
1156,186,1280
1157,183,1280
1158,160,1280
1159,13,1280
1160,153,1280
1161,313,1280
1162,186,826
1163,91,1147
1164,76,1147
1165,133,1147
1166,145,1147
1167,256,1147
1168,144,198
1169,198,144
1170,144,92
1171,92,144
1172,144,77
1173,77,144
1174,144,164
1175,164,144
1176,144,314
1177,314,144
1178,144,1111
1179,304,128
1180,128,304
1181,304,218
1182,218,304
1183,304,161
1184,161,304
1185,304,24
1186,24,304
1187,304,171
1188,171,304
1189,304,165
1190,165,304
1191,304,414
1192,304,127
