,TF,Target,Label
0,0,1287,1
1,0,1173,1
2,0,167,1
3,0,47,1
4,0,113,1
5,0,1244,1
6,0,4,1
7,0,1121,1
8,2,207,1
9,2,1204,1
10,2,9,1
11,2,1036,1
12,2,171,1
13,2,155,1
14,2,223,1
15,2,762,1
16,2,565,1
17,2,558,1
18,2,1116,1
19,2,105,1
20,2,100,1
21,2,1097,1
22,2,427,1
23,2,1043,1
24,2,492,1
25,2,128,1
26,2,746,1
27,2,379,1
28,2,1292,1
29,2,1053,1
30,2,971,1
31,2,184,1
32,2,995,1
33,2,139,1
34,2,1276,1
35,2,681,1
36,2,489,1
37,2,1127,1
38,2,38,1
39,2,1313,1
40,2,573,1
41,2,122,1
42,2,276,1
43,2,99,1
44,3,957,1
45,3,943,1
46,3,1102,1
47,3,1276,1
48,3,186,1
49,3,768,1
50,3,364,1
51,3,995,1
52,3,802,1
53,3,817,1
54,3,492,1
55,3,693,1
56,3,1053,1
57,3,558,1
58,3,45,1
59,3,553,1
60,3,865,1
61,3,1000,1
62,3,469,1
63,3,462,1
64,3,1140,1
65,3,496,1
66,3,379,1
67,3,166,1
68,3,1232,1
69,3,1036,1
70,3,1313,1
71,3,413,1
72,3,724,1
73,3,1043,1
74,3,573,1
75,3,761,1
76,3,521,1
77,3,75,1
78,3,35,1
79,4,1121,1
80,4,614,1
81,4,772,1
82,4,1123,1
83,4,47,1
84,4,80,1
85,4,1214,1
86,4,888,1
87,5,11,1
88,5,691,1
89,5,1072,1
90,5,1121,1
91,5,1029,1
92,5,110,1
93,5,1129,1
94,5,1093,1
95,5,228,1
96,5,238,1
97,5,1182,1
98,5,798,1
99,5,644,1
100,5,1108,1
101,5,888,1
102,5,1123,1
103,5,935,1
104,5,768,1
105,5,1167,1
106,5,38,1
107,5,699,1
108,5,1034,1
109,5,1056,1
110,5,379,1
111,5,479,1
112,5,1023,1
113,5,247,1
114,5,24,1
115,5,489,1
116,5,284,1
117,5,862,1
118,5,867,1
119,5,205,1
120,5,722,1
121,5,1208,1
122,5,148,1
123,5,16,1
124,5,99,1
125,5,281,1
126,5,368,1
127,5,1313,1
128,5,1274,1
129,5,77,1
130,5,164,1
131,5,221,1
132,5,199,1
133,5,297,1
134,5,303,1
135,5,884,1
136,5,200,1
137,5,1103,1
138,5,113,1
139,5,65,1
140,5,1179,1
141,5,165,1
142,5,47,1
143,5,119,1
144,5,25,1
145,5,310,1
146,5,63,1
147,5,218,1
148,5,849,1
149,5,480,1
150,5,1214,1
151,5,268,1
152,5,743,1
153,5,223,1
154,5,100,1
155,6,183,1
156,6,501,1
157,6,65,1
158,6,218,1
159,6,129,1
160,6,153,1
161,6,281,1
162,6,1111,1
163,6,49,1
164,6,1312,1
165,6,1292,1
166,6,1315,1
167,6,165,1
168,6,137,1
169,7,139,1
170,7,99,1
171,7,223,1
172,7,2,1
173,7,100,1
174,7,9,1
175,7,176,1
176,7,243,1
177,7,112,1
178,8,183,1
179,8,165,1
180,8,19,1
181,8,286,1
182,8,24,1
183,8,1129,1
184,8,65,1
185,8,218,1
186,9,213,1
187,9,139,1
188,9,100,1
189,9,207,1
190,9,285,1
191,9,38,1
192,9,46,1
193,9,2,1
194,9,243,1
195,10,146,1
196,10,283,1
197,11,87,1
198,11,63,1
199,11,1315,1
200,11,193,1
201,11,191,1
202,11,207,1
203,11,44,1
204,11,21,1
205,11,213,1
206,11,161,1
207,11,798,1
208,11,825,1
209,11,40,1
210,11,110,1
211,11,687,1
212,11,275,1
213,11,217,1
214,11,1312,1
215,11,150,1
216,11,99,1
217,11,208,1
218,11,1121,1
219,11,284,1
220,11,223,1
221,11,61,1
222,11,9,1
223,11,24,1
224,11,196,1
225,11,100,1
226,11,466,1
227,11,414,1
228,11,211,1
229,11,243,1
230,11,176,1
231,11,2,1
232,11,112,1
233,11,240,1
234,11,114,1
235,11,849,1
236,11,147,1
237,11,109,1
238,11,576,1
239,11,46,1
240,11,269,1
241,11,1173,1
242,11,312,1
243,11,238,1
244,12,218,1
245,12,65,1
246,13,165,1
247,13,160,1
248,13,693,1
249,13,183,1
250,13,107,1
251,13,153,1
252,13,45,1
253,14,230,1
254,14,35,1
255,14,267,1
256,14,279,1
257,14,299,1
258,14,203,1
259,16,238,1
260,16,47,1
261,16,1143,1
262,16,154,1
263,16,1173,1
264,17,1154,1
265,17,884,1
266,17,392,1
267,17,856,1
268,17,779,1
269,19,65,1
270,19,165,1
271,19,24,1
272,19,8,1
273,20,130,1
274,20,162,1
275,20,300,1
276,21,191,1
277,21,88,1
278,21,207,1
279,21,213,1
280,21,171,1
281,21,223,1
282,21,150,1
283,21,95,1
284,21,40,1
285,21,196,1
286,21,128,1
287,21,497,1
288,21,312,1
289,21,61,1
290,21,139,1
291,21,152,1
292,23,1093,1
293,23,711,1
294,23,635,1
295,24,5,1
296,24,87,1
297,24,38,1
298,24,786,1
299,24,1315,1
300,24,924,1
301,24,206,1
302,24,218,1
303,24,99,1
304,24,318,1
305,24,414,1
306,24,139,1
307,24,8,1
308,24,193,1
309,24,562,1
310,24,275,1
311,24,192,1
312,24,248,1
313,24,119,1
314,24,65,1
315,24,19,1
316,24,161,1
317,24,81,1
318,24,250,1
319,24,83,1
320,24,483,1
321,24,681,1
322,24,213,1
323,24,215,1
324,25,79,1
325,25,238,1
326,25,223,1
327,25,1173,1
328,25,1167,1
329,25,1182,1
330,25,63,1
331,25,303,1
332,25,1131,1
333,25,11,1
334,25,47,1
335,25,139,1
336,25,1037,1
337,25,798,1
338,25,133,1
339,25,154,1
340,25,656,1
341,25,825,1
342,25,5,1
343,25,310,1
344,25,211,1
345,25,171,1
346,25,849,1
347,26,165,1
348,26,203,1
349,26,761,1
350,26,74,1
351,26,217,1
352,26,275,1
353,26,210,1
354,26,102,1
355,26,104,1
356,26,1292,1
357,26,68,1
358,26,322,1
359,28,232,1
360,28,121,1
361,28,267,1
362,29,1115,1
363,30,301,1
364,30,60,1
365,30,183,1
366,33,179,1
367,33,1315,1
368,33,187,1
369,33,210,1
370,33,151,1
371,33,129,1
372,33,203,1
373,33,165,1
374,33,14,1
375,35,222,1
376,35,10,1
377,35,186,1
378,35,761,1
379,35,45,1
380,35,73,1
381,35,3,1
382,35,38,1
383,35,283,1
384,35,313,1
385,35,754,1
386,35,230,1
387,35,217,1
388,35,69,1
389,35,1140,1
390,35,207,1
391,35,171,1
392,35,183,1
393,35,1253,1
394,35,210,1
395,35,88,1
396,35,146,1
397,35,128,1
398,35,142,1
399,35,414,1
400,35,275,1
401,35,14,1
402,35,237,1
403,35,179,1
404,35,105,1
405,35,87,1
406,36,912,1
407,36,392,1
408,36,111,1
409,36,151,1
410,36,33,1
411,36,856,1
412,38,193,1
413,38,110,1
414,38,798,1
415,38,304,1
416,38,21,1
417,38,63,1
418,38,687,1
419,38,284,1
420,38,806,1
421,38,147,1
422,38,576,1
423,38,191,1
424,38,105,1
425,38,211,1
426,38,61,1
427,38,466,1
428,38,133,1
429,38,154,1
430,38,9,1
431,38,309,1
432,38,825,1
433,38,114,1
434,38,196,1
435,38,88,1
436,38,35,1
437,38,100,1
438,38,1301,1
439,38,2,1
440,38,223,1
441,38,1312,1
442,38,213,1
443,38,248,1
444,38,1121,1
445,38,24,1
446,38,1173,1
447,38,474,1
448,38,1305,1
449,38,99,1
450,38,217,1
451,38,303,1
452,38,66,1
453,38,1037,1
454,38,152,1
455,38,158,1
456,38,41,1
457,38,1292,1
458,38,79,1
459,38,171,1
460,39,165,1
461,39,161,1
462,39,97,1
463,39,286,1
464,40,152,1
465,40,207,1
466,40,243,1
467,40,150,1
468,40,223,1
469,40,312,1
470,40,217,1
