#ID	Name
G0	TARDBP
G1	LASS5
G2	TCEB2
G3	NFKB1
G4	SSB
G5	CDC5L
G6	DNMT1
G7	TCEB3
G8	GATAD2A
G9	AFF4
G10	KLF6
G11	POLR2I
G12	BAZ1A
G13	IRF1
G14	JUNB
G15	HBP1
G16	KHDRBS1
G17	ATF6
G18	SRSF1
G19	ETV3
G20	TOB1
G21	GTF2E2
G22	TAX1BP3
G23	PREB
G24	RBBP7
G25	PAPOLA
G26	SMAD4
G27	HDGF
G28	NFIL3
G29	FXR1
G30	HMGB2
G31	CIC
G32	IVNS1ABP
G33	ATF2
G34	FUBP3
G35	JUN
G36	XBP1
G37	ZMYM2
G38	POLR2G
G39	RBPJ
G40	SNAPC5
G41	GTF2A1
G42	ZFP91
G43	HTATIP2
G44	NME2
G45	RELA
G46	TCEB1
G47	SRSF3
G48	ZFP36L1
G49	CTCF
G50	FOXN2
G51	MLL2
G52	BUB3
G53	TARBP2
G54	MED15
G55	LDB1
G56	NR3C1
G57	SFPI1
G58	DENND4A
G59	HSBP1
G60	H1F0
G61	TAF12
G62	MLL3
G63	YBX1
G64	AHR
G65	SMARCA5
G66	SRSF5
G67	HMG20A
G68	SMAD2
G69	HHEX
G70	YEATS4
G71	CIITA
G72	KLF10
G73	CTNNB1
G74	TCF7L2
G75	NFKBIA
G76	EIF5B
G77	SMARCE1
G78	JMJD1C
G79	SRRM1
G80	DNAJC2
G81	CHD4
G82	TRERF1
G83	KDM6B
G84	NFKBIZ
G85	NCOA4
G86	CHD7
G87	NCOA3
G88	POLR2A
G89	TGIF1
G90	KLF13
G91	PA2G4
G92	MCM4
G93	ZNRD1
G94	HMGA1
G95	SND1
G96	SUPT4H1
G97	NOTCH2
G98	HAX1
G99	POLR2H
G100	POLR2E
G101	SIRT2
G102	SKI
G103	PCBD2
G104	SKIL
G105	COPS5
G106	PARP1
G107	MYD88
G108	MAFF
G109	SRSF9
G110	SRSF6
G111	ATF4
G112	SSRP1
G113	MATR3
G114	POLR1D
G115	HOPX
G116	NFE2L2
G117	IRF5
G118	SFPQ
G119	MTA2
G120	HMG20B
G121	PER1
G122	RNF4
G123	ID3
G124	MCM6
G125	ARL6IP5
G126	APEX1
G127	TFDP1
G128	POLR2C
G129	AKT1
G130	CNOT8
G131	EHMT1
G132	DAB2
G133	RNPS1
G134	ZFP410
G135	ELF2
G136	ILK
G137	MCM7
G138	NONO
G139	POLR2F
G140	BTG1
G141	FLI1
G142	FOSL2
G143	KDM5C
G144	TOP2B
G145	UPF1
G146	BTG2
G147	MED21
G148	ARID1B
G149	CBFA2T3
G150	SRRT
G151	CREM
G152	GTF2A2
G153	STAT3
G154	DDX5
G155	HIF1A
G156	RUNX1
G157	MED1
G158	EZH2
G159	WHSC1L1
G160	TLR4
G161	CREBBP
G162	CNOT2
G163	ELF1
G164	SMARCC2
G165	HDAC1
G166	NFKBIB
G167	EWSR1
G168	UBP1
G169	BCLAF1
G170	MED27
G171	POLR2B
G172	CSDA
G173	ARID1A
G174	ZEB2
G175	TCOF1
G176	TCEA1
G177	DAZAP2
G178	SUPT16H
G179	MAPK1
G180	TAF6
G181	CCRN4L
G182	ZMYND11
G183	TRP53
G184	CBFB
G185	CTCFL
G186	TNF
G187	FOS
G188	NFX1
G189	IRF4
G190	DPF2
G191	TAF7
G192	AEBP2
G193	COPS2
G194	MYEF2
G195	ZFP148
G196	TAF9
G197	TSG101
G198	MCM3
G199	SF1
G200	SNRPD1
G201	CXXC1
G202	RUVBL2
G203	MAPK14
G204	MKL2
G205	PCBP2
G206	SIN3B
G207	POLR2D
G208	TBPL1
G209	MEF2A
G210	MAPK3
G211	HNRNPD
