#ID,TF,index
0,RBL2,0
1,EGR1,1
2,SERTAD2,2
3,RLIM,3
4,SP1,4
5,PA2G4,5
6,MED1,6
7,SUPT5H,7
8,ZEB2,8
9,ARID1B,9
10,SNAPC5,10
11,TIAL1,11
12,HDAC1,12
13,DNAJC2,13
14,JUP,14
15,RBBP7,15
16,CSDE1,16
17,ZMYM2,17
18,POLR2D,18
19,POLR2I,19
20,IRF5,20
21,APEX1,21
22,NCOA4,22
23,HDGF,23
24,SRSF9,24
25,SNRPD1,25
26,DNMT3A,26
27,ZFP36L1,27
28,AIP,28
29,TNFAIP3,29
30,ETS2,30
31,MYEF2,31
32,GTF2A1,32
33,PCBD2,33
34,ELF2,34
35,ID2,35
36,COPS5,36
37,SSRP1,37
38,GTF2E2,38
39,TAF6,39
40,ARL6IP5,40
41,CREBBP,41
42,NFKBIZ,42
43,HSBP1,43
44,KLF13,44
45,HAX1,45
46,HNRNPAB,46
47,MEF2A,47
48,ZFX,48
49,POLR2A,49
50,CNOT2,50
51,SRRT,51
52,FOSB,52
53,MLL3,53
54,EDF1,54
55,NFIL3,55
56,SKIL,56
57,STAT6,57
58,TUBA1A,58
59,POLR2G,59
60,SMARCB1,60
61,SIRT2,61
62,NCOR1,62
63,TRIM28,63
64,TCEB3,64
65,BIN1,65
66,RFX7,66
67,LMO4,67
68,SMAD4,68
69,BTG2,69
70,HHEX,70
71,CIC,71
72,CTCFL,72
73,ELL2,73
74,KDM6B,74
75,NFX1,75
76,MBD2,76
77,BATF3,77
78,MED8,78
79,AGAP3,79
80,ATF4,80
81,COPS2,81
82,TRERF1,82
83,BTF3,83
84,FOS,84
85,PREB,85
86,CIITA,86
87,TARDBP,87
88,SFPQ,88
89,TCERG1,89
90,RNF4,90
91,SUPT4H1,91
92,TGIF1,92
93,BUB3,93
94,HTATIP2,94
95,PCBP2,95
96,SF1,96
97,TAX1BP3,97
98,FXR1,98
99,SNRPB,99
100,ING1,100
101,JUN,101
102,NFKB1,102
103,TSC22D4,103
104,MLL2,104
105,PHB2,105
106,MAFF,106
107,SRSF6,107
108,CTCF,108
109,FOSL2,109
110,IVNS1ABP,110
111,DPF2,111
112,RUNX1,112
113,ZFHX3,113
114,HMG20B,114
115,SFPI1,115
116,POLR3K,116
117,POLR2F,117
118,FUBP3,118
119,TOP2B,119
120,MCM6,120
121,MITF,121
122,RUVBL2,122
123,HNRNPD,123
124,SUZ12,124
125,THRAP3,125
126,WHSC1L1,126
127,SKI,127
128,SMARCC2,128
129,ATF6,129
130,JUNB,130
131,NFE2L2,131
132,POLR2C,132
133,EHMT2,133
134,ID3,134
135,CNOT6L,135
136,TCEB2,136
137,SMARCA4,137
138,SUB1,138
139,CXXC1,139
140,CBFA2T3,140
141,NR3C1,141
142,AFF4,142
143,POLR2J,143
144,SND1,144
145,SMARCA5,145
146,HCFC1,146
147,ZFML,147
148,GTF2F1,148
149,BCLAF1,149
150,KLF4,150
151,MYD88,151
152,STAT1,152
153,HMGA1,153
154,HIF1A,154
155,IRF4,155
156,KDM5C,156
157,ZBTB7A,157
158,ZMYND11,158
159,GTF2B,159
160,DNMT1,160
161,KPNA2,161
162,LASS2,162
163,SMAD2,163
164,NME2,164
165,FOXJ3,165
166,RFC1,166
167,TLR4,167
168,HCLS1,168
169,TCOF1,169
170,TAF7,170
171,KLF10,171
172,TFDP1,172
173,EWSR1,173
174,ZNRD1,174
175,PBRM1,175
176,ATF2,176
177,ETV3,177
178,FOXN2,178
179,FLI1,179
180,ARID1A,180
181,NOTCH2,181
182,SRSF1,182
183,SUPT6H,183
184,TRP53,184
185,CBX3,185
186,NFKBIB,186
187,TCF7L2,187
188,RDBP,188
189,NR4A1,189
190,POLR1D,190
191,MTA2,191
192,NSD1,192
193,LDB1,193
194,MATR3,194
195,STAT3,195
196,H1F0,196
197,HNRNPK,197
198,CNOT6,198
199,PAPOLA,199
200,DDB1,200
201,MYST2,201
202,CREM,202
203,UPF1,203
204,MED21,204
205,ZFP148,205
206,ASH1L,206
207,KDM5A,207
208,MKL2,208
209,CEBPA,209
210,TAF9,210
211,RBPJ,211
212,REL,212
213,POLR2E,213
214,NONO,214
215,CSDA,215
216,HMGB2,216
217,CHD4,217
218,AES,218
219,MAPK14,219
220,VDR,220
221,BTG1,221
222,SUPT16H,222
223,MAPK1,223
224,MCM3,224
225,CCRN4L,225
226,IRF2,226
227,CDC5L,227
228,AEBP2,228
229,DOT1L,229
230,CHD7,230
231,GATAD2A,231
232,YBX1,232
233,BAZ1A,233
234,ILK,234
235,TBPL1,235
236,RBM39,236
237,JMJD1C,237
238,RBBP4,238
239,UBP1,239
240,ILF3,240
241,GTF2I,241
242,DEK,242
243,TCF12,243
244,CTNNB1,244
245,CTBP1,245
246,TAF12,246
247,CNOT8,247
248,MAPK3,248
249,PARP1,249
250,EHMT1,250
251,DAB2,251
252,POLR2K,252
253,MCM4,253
254,TOX4,254
255,ELF1,255
256,MED27,256
257,DAZAP2,257
258,ATF3,258
259,TOB1,259
260,DDX5,260
261,RAD51,261
262,ZFP36,262
263,SMARCE1,263
264,DENND4A,264
265,TRPS1,265
266,CBFB,266
267,TCEA1,267
268,SRSF2,268
269,YEATS4,269
270,NCOA3,270
271,WBP11,271
272,GTF2A2,272
273,EGR2,273
274,CENPB,274
275,USF2,275
276,NFAT5,276
277,AKT1,277
278,KHDRBS1,278
279,ZFP410,279
280,AHR,280
281,RELA,281
282,UBTF,282
283,PER1,283
284,MDM2,284
285,ZFP91,285
286,SRRM1,286
287,IRF1,287
288,CHD1,288
289,XBP1,289
290,NAP1L4,290
291,TARBP2,291
292,LASS5,292
293,TSG101,293
294,BHLHE40,294
295,SIN3B,295
296,SRSF5,296
297,HMG20A,297
298,NCOR2,298
299,POLR2B,299
300,RNPS1,300
301,HIST1H1C,301
302,KDM2B,302
303,POLR2H,303
304,SRSF3,304
305,EIF5B,305
306,EZH2,306
307,TCEB1,307
308,SIRT7,308
309,KLF6,309
310,MCM7,310
311,BACH1,311
312,MED15,312
313,UBE2K,313
314,SSB,314
315,HBP1,315
316,HOPX,316
317,TNF,317
318,NFKBIA,318
319,CREB3,319
320,MCM5,320
