,TF,Target,Label
0,0,12,1
1,0,705,1
2,0,768,1
3,0,547,1
4,1,69,1
5,1,273,1
6,1,52,1
7,1,84,1
8,1,321,1
9,1,189,1
10,1,223,1
11,1,248,1
12,3,600,1
13,3,547,1
14,3,313,1
15,3,90,1
16,4,68,1
17,4,163,1
18,4,51,1
19,4,18,1
20,4,252,1
21,4,19,1
22,4,213,1
23,4,148,1
24,4,101,1
25,4,272,1
26,4,299,1
27,4,117,1
28,4,6,1
29,4,39,1
30,4,41,1
31,4,32,1
32,4,132,1
33,5,703,1
34,5,401,1
35,5,541,1
36,5,174,1
37,5,500,1
38,5,740,1
39,5,421,1
40,5,623,1
41,5,696,1
42,5,347,1
43,5,443,1
44,5,492,1
45,5,454,1
46,5,534,1
47,5,593,1
48,5,517,1
49,5,529,1
50,5,611,1
51,5,716,1
52,5,344,1
53,5,366,1
54,5,638,1
55,5,506,1
56,5,727,1
57,5,576,1
58,5,550,1
59,5,458,1
60,5,455,1
61,6,41,1
62,6,298,1
63,6,511,1
64,6,295,1
65,6,256,1
66,6,117,1
67,6,141,1
68,6,78,1
69,6,49,1
70,6,125,1
71,6,213,1
72,6,101,1
73,8,715,1
74,8,184,1
75,9,180,1
76,9,60,1
77,9,26,1
78,9,137,1
79,9,813,1
80,9,175,1
81,9,111,1
82,9,227,1
83,10,272,1
84,10,299,1
85,10,19,1
86,10,116,1
87,10,132,1
88,10,32,1
89,10,4,1
90,10,252,1
91,10,73,1
92,10,303,1
93,10,38,1
94,10,59,1
95,11,143,1
96,11,132,1
97,11,148,1
98,11,227,1
99,11,303,1
100,11,299,1
101,11,18,1
102,12,100,1
103,12,282,1
104,12,195,1
105,12,231,1
106,12,714,1
107,12,390,1
108,12,62,1
109,12,145,1
110,12,105,1
111,12,4,1
112,12,187,1
113,12,245,1
114,12,41,1
115,12,306,1
116,12,217,1
117,12,287,1
118,12,114,1
119,12,102,1
120,12,684,1
121,12,52,1
122,12,92,1
123,12,244,1
124,12,84,1
125,12,238,1
126,12,191,1
127,12,15,1
128,12,26,1
129,12,184,1
130,13,314,1
131,13,779,1
132,14,398,1
133,14,537,1
134,14,573,1
135,14,719,1
136,14,752,1
137,14,355,1
138,15,684,1
139,15,18,1
140,15,26,1
141,15,303,1
142,15,252,1
143,15,37,1
144,15,666,1
145,15,231,1
146,15,117,1
147,15,124,1
148,15,143,1
149,15,49,1
150,15,76,1
151,15,132,1
152,15,74,1
153,15,298,1
154,15,217,1
155,15,81,1
156,15,282,1
157,15,659,1
158,15,191,1
159,15,496,1
160,15,390,1
161,15,145,1
162,15,36,1
163,16,232,1
164,18,213,1
165,18,170,1
166,18,300,1
167,18,199,1
168,18,684,1
169,18,132,1
170,18,174,1
171,18,197,1
172,18,307,1
173,18,200,1
174,18,59,1
175,18,41,1
176,18,96,1
177,18,227,1
178,18,136,1
179,18,260,1
180,18,552,1
181,18,19,1
182,18,37,1
183,18,547,1
184,18,4,1
185,18,267,1
186,18,166,1
187,18,271,1
188,18,390,1
189,18,107,1
190,18,81,1
191,18,51,1
192,18,123,1
193,18,666,1
194,18,38,1
195,18,36,1
196,18,402,1
197,18,190,1
198,18,99,1
199,18,286,1
200,18,49,1
201,18,268,1
202,18,210,1
203,19,49,1
204,19,268,1
205,19,38,1
206,19,666,1
207,19,232,1
208,19,136,1
209,19,174,1
210,19,303,1
211,19,170,1
212,19,132,1
213,19,402,1
214,19,143,1
215,19,32,1
216,19,164,1
217,19,36,1
218,19,552,1
219,19,273,1
220,19,59,1
221,19,73,1
222,19,190,1
223,19,37,1
224,19,213,1
225,19,306,1
226,19,25,1
227,19,101,1
228,19,252,1
229,19,11,1
230,19,107,1
231,19,200,1
232,19,238,1
233,19,547,1
234,19,10,1
235,19,199,1
236,19,99,1
237,19,15,1
238,19,286,1
239,19,197,1
240,19,96,1
241,19,64,1
242,20,391,1
243,21,552,1
244,21,249,1
245,21,507,1
246,22,462,1
247,24,278,1
248,24,107,1
249,24,199,1
250,24,271,1
251,24,25,1
252,24,96,1
253,24,117,1
254,24,59,1
255,24,232,1
256,24,143,1
257,24,268,1
258,24,402,1
259,24,304,1
260,24,123,1
261,24,296,1
262,24,640,1
263,24,260,1
264,24,299,1
265,25,760,1
266,25,304,1
267,25,199,1
268,25,107,1
269,25,792,1
270,25,260,1
271,25,268,1
272,25,227,1
273,25,402,1
274,25,143,1
275,25,232,1
276,25,303,1
277,25,213,1
278,25,123,1
279,25,300,1
280,25,197,1
281,25,51,1
282,25,132,1
283,26,250,1
284,26,684,1
285,26,15,1
286,26,175,1
287,26,137,1
288,26,390,1
289,26,184,1
290,26,263,1
291,26,60,1
292,26,128,1
293,26,238,1
294,26,9,1
295,27,277,1
296,29,42,1
297,29,317,1
298,29,321,1
299,29,705,1
300,29,748,1
301,30,41,1
302,30,184,1
303,30,101,1
304,30,248,1
305,32,270,1
306,32,235,1
307,32,210,1
308,32,170,1
309,32,4,1
310,32,73,1
311,32,10,1
312,32,59,1
313,32,272,1
314,32,213,1
315,32,132,1
316,32,260,1
317,32,303,1
318,32,117,1
319,32,299,1
320,34,112,1
321,35,55,1
322,35,77,1
323,36,117,1
324,36,729,1
325,36,200,1
326,36,659,1
327,36,299,1
328,36,18,1
329,36,547,1
330,36,690,1
331,36,524,1
332,36,19,1
333,36,705,1
334,36,618,1
335,36,132,1
336,36,807,1
337,36,227,1
338,37,307,1
339,37,117,1
340,37,120,1
341,37,213,1
342,37,303,1
343,37,15,1
344,37,299,1
345,37,224,1
346,37,310,1
347,37,288,1
348,37,148,1
349,37,18,1
350,37,249,1
351,37,132,1
352,37,253,1
353,37,216,1
354,38,19,1
355,38,51,1
356,38,117,1
357,38,32,1
358,38,235,1
359,38,303,1
360,38,640,1
361,38,159,1
362,38,143,1
363,38,252,1
364,38,144,1
365,38,267,1
366,38,73,1
367,38,170,1
368,38,246,1
369,39,59,1
370,39,235,1
371,39,267,1
372,39,213,1
373,39,122,1
374,39,252,1
375,39,18,1
376,39,146,1
377,39,132,1
378,39,246,1
379,39,148,1
380,39,10,1
381,39,73,1
382,39,303,1
383,39,170,1
384,41,47,1
385,41,9,1
386,41,4,1
387,41,759,1
388,41,159,1
389,41,299,1
390,41,402,1
391,41,181,1
392,41,714,1
393,41,176,1
394,41,266,1
395,41,152,1
396,41,86,1
397,41,202,1
398,41,256,1
399,41,666,1
400,41,15,1
401,41,125,1
402,41,243,1
403,41,163,1
404,41,59,1
405,41,101,1
406,41,112,1
407,41,248,1
408,41,102,1
409,41,195,1
410,41,684,1
411,41,80,1
412,41,204,1
413,41,131,1
414,41,49,1
415,41,281,1
416,41,312,1
417,41,270,1
418,41,238,1
419,41,6,1
420,42,281,1
421,42,102,1
422,42,537,1
423,45,168,1
424,46,792,1
425,46,123,1
426,47,219,1
427,47,41,1
428,49,159,1
429,49,238,1
430,49,137,1
431,49,101,1
432,49,124,1
433,49,303,1
434,49,306,1
435,49,252,1
436,49,390,1
437,49,299,1
438,49,267,1
439,49,629,1
440,49,684,1
441,49,235,1
442,49,15,1
443,49,59,1
444,49,143,1
445,49,782,1
446,49,272,1
447,50,69,1
448,50,135,1
449,50,259,1
450,51,300,1
451,51,39,1
452,51,286,1
453,51,25,1
454,51,99,1
455,51,24,1
456,51,73,1
457,51,213,1
458,51,18,1
459,51,143,1
460,51,123,1
461,51,303,1
462,51,159,1
463,51,304,1
464,51,210,1
465,51,59,1
466,51,227,1
467,51,272,1
468,51,4,1
469,51,271,1
470,51,32,1
471,52,189,1
472,52,12,1
473,52,130,1
474,52,219,1
475,52,109,1
476,54,136,1
477,54,632,1
478,55,294,1
479,55,35,1
480,56,184,1
481,56,547,1
482,56,163,1
483,56,62,1
484,57,647,1
485,57,41,1
486,57,152,1
487,57,595,1
488,58,773,1
489,58,501,1
490,58,651,1
491,59,260,1
492,59,390,1
493,59,210,1
494,59,299,1
495,59,267,1
496,59,39,1
497,59,300,1
498,59,204,1
499,59,552,1
500,59,705,1
501,59,37,1
502,59,51,1
503,59,684,1
504,59,170,1
505,59,232,1
506,59,268,1
507,59,24,1
508,59,238,1
509,59,402,1
510,59,124,1
511,59,303,1
512,59,18,1
513,59,270,1
514,59,117,1
515,59,273,1
516,59,101,1
517,59,73,1
518,59,246,1
519,59,286,1
520,59,304,1
521,59,99,1
522,59,107,1
523,59,159,1
524,59,41,1
525,59,272,1
526,59,15,1
527,59,81,1
528,59,123,1
529,59,252,1
530,60,111,1
531,60,266,1
532,60,263,1
533,60,618,1
534,60,269,1
535,60,137,1
536,60,128,1
537,60,175,1
538,62,213,1
539,62,277,1
540,62,117,1
541,62,59,1
542,62,132,1
543,62,204,1
544,62,312,1
545,62,125,1
546,62,511,1
547,62,41,1
548,62,163,1
549,62,101,1
550,62,12,1
551,62,217,1
552,62,127,1
553,62,158,1
554,62,256,1
555,62,306,1
556,62,295,1
557,62,49,1
558,62,6,1
559,62,238,1
560,62,684,1
561,63,227,1
562,63,137,1
563,64,299,1
564,64,132,1
565,64,307,1
566,64,213,1
567,64,267,1
568,64,303,1
569,64,252,1
570,64,18,1
571,64,37,1
572,65,379,1
573,65,402,1
574,65,251,1
575,65,361,1
576,65,432,1
577,67,193,1
578,68,244,1
579,68,187,1
580,68,277,1
581,68,266,1
582,68,768,1
583,68,56,1
584,68,172,1
585,68,705,1
586,68,127,1
587,68,163,1
588,68,4,1
589,68,184,1
590,69,655,1
591,69,101,1
592,69,1,1
593,69,50,1
594,69,198,1
595,69,189,1
596,69,258,1
597,73,10,1
598,73,32,1
599,73,51,1
600,73,272,1
601,73,18,1
602,73,143,1
603,73,39,1
604,73,59,1
605,73,19,1
606,73,303,1
607,73,210,1
608,73,252,1
609,74,666,1
610,74,15,1
611,74,12,1
612,74,793,1
613,74,390,1
614,74,137,1
615,74,124,1
616,74,807,1
617,76,217,1
618,76,15,1
619,76,666,1
620,76,12,1
621,76,378,1
622,76,191,1
623,76,282,1
624,77,35,1
625,77,130,1
626,78,298,1
627,78,312,1
628,78,6,1
629,78,256,1
630,78,204,1
631,80,202,1
632,80,84,1
633,80,41,1
634,80,176,1
635,80,779,1
636,80,641,1
637,80,319,1
638,81,18,1
639,81,117,1
640,81,659,1
641,81,547,1
642,81,496,1
643,81,132,1
644,81,200,1
645,81,618,1
646,81,307,1
647,81,59,1
648,81,213,1
649,81,705,1
650,81,15,1
651,83,674,1
652,83,780,1
653,83,576,1
654,83,710,1
655,83,458,1
656,83,782,1
657,83,614,1
658,83,422,1
659,83,665,1
660,83,549,1
661,83,673,1
662,83,534,1
663,83,629,1
664,84,321,1
665,84,195,1
666,84,109,1
667,84,4,1
668,84,666,1
669,84,69,1
670,84,141,1
671,84,189,1
672,84,248,1
673,84,219,1
674,84,184,1
675,84,258,1
676,84,176,1
677,84,655,1
678,84,684,1
679,84,152,1
680,85,752,1
681,86,750,1
682,86,596,1
683,86,152,1
684,87,713,1
685,87,304,1
686,87,314,1
687,87,792,1
688,87,515,1
689,87,416,1
690,88,271,1
691,88,227,1
692,88,194,1
