#ID	Name
G0	RBL2
G1	EGR1
G2	SERTAD2
G3	RLIM
G4	SP1
G5	PA2G4
G6	MED1
G7	SUPT5H
G8	ZEB2
G9	ARID1B
G10	SNAPC5
G11	TIAL1
G12	HDAC1
G13	DNAJC2
G14	JUP
G15	RBBP7
G16	CSDE1
G17	ZMYM2
G18	POLR2D
G19	POLR2I
G20	IRF5
G21	APEX1
G22	NCOA4
G23	HDGF
G24	SRSF9
G25	SNRPD1
G26	DNMT3A
G27	ZFP36L1
G28	AIP
G29	TNFAIP3
G30	ETS2
G31	MYEF2
G32	GTF2A1
G33	PCBD2
G34	ELF2
G35	ID2
G36	COPS5
G37	SSRP1
G38	GTF2E2
G39	TAF6
G40	ARL6IP5
G41	CREBBP
G42	NFKBIZ
G43	HSBP1
G44	KLF13
G45	HAX1
G46	HNRNPAB
G47	MEF2A
G48	ZFX
G49	POLR2A
G50	CNOT2
G51	SRRT
G52	FOSB
G53	MLL3
G54	EDF1
G55	NFIL3
G56	SKIL
G57	STAT6
G58	TUBA1A
G59	POLR2G
G60	SMARCB1
G61	SIRT2
G62	NCOR1
G63	TRIM28
G64	TCEB3
G65	BIN1
G66	RFX7
G67	LMO4
G68	SMAD4
G69	BTG2
G70	HHEX
G71	CIC
G72	CTCFL
G73	ELL2
G74	KDM6B
G75	NFX1
G76	MBD2
G77	BATF3
G78	MED8
G79	AGAP3
G80	ATF4
G81	COPS2
G82	TRERF1
G83	BTF3
G84	FOS
G85	PREB
G86	CIITA
G87	TARDBP
G88	SFPQ
G89	TCERG1
G90	RNF4
G91	SUPT4H1
G92	TGIF1
G93	BUB3
G94	HTATIP2
G95	PCBP2
G96	SF1
G97	TAX1BP3
G98	FXR1
G99	SNRPB
G100	ING1
G101	JUN
G102	NFKB1
G103	TSC22D4
G104	MLL2
G105	PHB2
G106	MAFF
G107	SRSF6
G108	CTCF
G109	FOSL2
G110	IVNS1ABP
G111	DPF2
G112	RUNX1
G113	ZFHX3
G114	HMG20B
G115	SFPI1
G116	POLR3K
G117	POLR2F
G118	FUBP3
G119	TOP2B
G120	MCM6
G121	MITF
G122	RUVBL2
G123	HNRNPD
G124	SUZ12
G125	THRAP3
G126	WHSC1L1
G127	SKI
G128	SMARCC2
G129	ATF6
G130	JUNB
G131	NFE2L2
G132	POLR2C
G133	EHMT2
G134	ID3
G135	CNOT6L
G136	TCEB2
G137	SMARCA4
G138	SUB1
G139	CXXC1
G140	CBFA2T3
G141	NR3C1
G142	AFF4
G143	POLR2J
G144	SND1
G145	SMARCA5
G146	HCFC1
G147	ZFML
G148	GTF2F1
G149	BCLAF1
G150	KLF4
G151	MYD88
G152	STAT1
G153	HMGA1
G154	HIF1A
G155	IRF4
G156	KDM5C
G157	ZBTB7A
G158	ZMYND11
G159	GTF2B
G160	DNMT1
G161	KPNA2
G162	LASS2
G163	SMAD2
G164	NME2
G165	FOXJ3
G166	RFC1
G167	TLR4
G168	HCLS1
G169	TCOF1
G170	TAF7
G171	KLF10
G172	TFDP1
G173	EWSR1
G174	ZNRD1
G175	PBRM1
G176	ATF2
G177	ETV3
G178	FOXN2
G179	FLI1
G180	ARID1A
G181	NOTCH2
G182	SRSF1
G183	SUPT6H
G184	TRP53
