,TF,Target,Label
0,0,1384,1
1,1,77,1
2,1,1434,1
3,1,1570,1
4,1,402,1
5,1,540,1
6,1,480,1
7,1,156,1
8,1,1406,1
9,2,425,1
10,2,220,1
11,2,413,1
12,2,164,1
13,3,15,1
14,3,564,1
15,3,252,1
16,3,362,1
17,3,84,1
18,3,425,1
19,3,500,1
20,3,423,1
21,3,78,1
22,3,513,1
23,3,101,1
24,3,401,1
25,3,439,1
26,3,151,1
27,3,498,1
28,3,683,1
29,3,484,1
30,4,688,1
31,4,321,1
32,4,307,1
33,4,46,1
34,4,1523,1
35,4,278,1
36,4,450,1
37,6,412,1
38,9,413,1
39,9,57,1
40,9,220,1
41,9,23,1
42,9,1366,1
43,9,164,1
44,9,968,1
45,9,108,1
46,9,1523,1
47,9,513,1
48,9,444,1
49,9,36,1
50,9,331,1
51,9,275,1
52,9,425,1
53,9,614,1
54,9,587,1
55,9,445,1
56,9,207,1
57,9,632,1
58,9,258,1
59,9,65,1
60,9,274,1
61,9,583,1
62,9,420,1
63,9,307,1
64,9,283,1
65,9,538,1
66,10,145,1
67,10,9,1
68,10,62,1
69,10,368,1
70,10,246,1
71,10,25,1
72,10,314,1
73,10,810,1
74,10,513,1
75,10,408,1
76,10,274,1
77,10,1106,1
78,10,109,1
79,10,242,1
80,10,175,1
81,10,632,1
82,10,60,1
83,10,251,1
84,10,238,1
85,10,159,1
86,10,188,1
87,10,260,1
88,10,312,1
89,10,192,1
90,10,480,1
91,10,413,1
92,10,436,1
93,10,115,1
94,10,131,1
95,11,349,1
96,11,810,1
97,11,294,1
98,11,711,1
99,11,583,1
100,11,343,1
101,11,147,1
102,11,288,1
103,12,523,1
104,15,1231,1
105,15,361,1
106,15,473,1
107,15,273,1
108,15,247,1
109,15,94,1
110,15,439,1
111,15,413,1
112,15,101,1
113,15,500,1
114,15,23,1
115,15,564,1
116,15,552,1
117,15,118,1
118,15,199,1
119,15,161,1
120,15,515,1
121,15,251,1
122,15,252,1
123,15,179,1
124,16,283,1
125,17,557,1
126,17,479,1
127,17,550,1
128,17,192,1
129,18,367,1
130,18,583,1
131,18,75,1
132,18,480,1
133,19,145,1
134,19,559,1
135,19,271,1
136,19,10,1
137,19,469,1
138,19,238,1
139,19,192,1
140,20,1544,1
141,21,487,1
142,21,1551,1
143,21,410,1
144,21,1271,1
145,21,69,1
146,21,1384,1
147,21,343,1
148,21,251,1
149,21,845,1
150,21,132,1
151,21,480,1
152,21,1305,1
153,21,360,1
154,22,283,1
155,23,193,1
156,23,119,1
157,23,413,1
158,23,60,1
159,23,57,1
160,23,131,1
161,23,1160,1
162,23,314,1
163,23,198,1
164,23,49,1
165,23,425,1
166,23,480,1
167,23,164,1
168,23,274,1
169,23,28,1
170,23,1123,1
171,23,200,1
172,23,416,1
173,23,283,1
174,23,103,1
175,23,315,1
176,23,192,1
177,23,145,1
178,23,9,1
179,23,1523,1
180,23,565,1
181,23,265,1
182,23,163,1
183,23,36,1
184,23,1147,1
185,23,375,1
186,23,278,1
187,23,109,1
188,23,555,1
189,23,608,1
190,23,40,1
191,23,580,1
192,23,381,1
193,23,489,1
194,23,332,1
195,23,359,1
196,23,583,1
197,23,275,1
198,23,437,1
199,23,592,1
200,24,103,1
201,24,151,1
202,24,491,1
203,24,565,1
204,24,147,1
205,24,211,1
206,24,145,1
207,24,17,1
208,25,514,1
209,25,27,1
210,25,28,1
211,25,141,1
212,25,683,1
213,25,143,1
214,25,1523,1
215,25,410,1
216,25,377,1
217,25,361,1
218,25,93,1
219,25,489,1
220,25,119,1
221,25,459,1
222,25,23,1
223,25,530,1
224,25,420,1
225,25,160,1
226,25,131,1
227,25,202,1
228,25,108,1
229,25,198,1
230,25,306,1
231,25,275,1
232,25,583,1
233,25,10,1
234,26,169,1
235,26,345,1
236,26,192,1
237,26,50,1
238,26,250,1
239,26,599,1
240,26,560,1
241,27,131,1
242,27,221,1
243,27,139,1
244,27,458,1
245,27,303,1
246,27,480,1
247,27,307,1
248,27,251,1
249,27,562,1
250,27,977,1
251,27,200,1
252,27,23,1
253,27,1124,1
254,27,288,1
255,27,592,1
256,27,1173,1
257,27,1618,1
258,27,109,1
259,28,1523,1
260,28,274,1
261,28,1352,1
262,28,601,1
263,28,415,1
264,28,327,1
265,28,539,1
266,28,109,1
267,28,306,1
268,28,585,1
269,28,108,1
270,28,23,1
271,28,307,1
272,28,267,1
273,28,275,1
274,28,313,1
275,28,36,1
276,28,173,1
277,28,212,1
278,28,88,1
279,28,905,1
280,28,1552,1
281,28,186,1
282,28,131,1
283,31,130,1
284,31,577,1
285,31,584,1
286,31,433,1
287,34,415,1
288,34,1346,1
289,34,317,1
290,34,146,1
291,35,1299,1
292,35,780,1
293,35,683,1
294,35,424,1
295,35,1172,1
296,35,251,1
297,36,221,1
298,36,65,1
299,36,583,1
300,36,307,1
301,36,425,1
302,36,608,1
303,36,173,1
304,36,288,1
305,36,351,1
306,36,696,1
307,36,222,1
308,36,241,1
309,36,601,1
310,36,513,1
311,36,502,1
312,36,278,1
313,36,198,1
314,36,69,1
315,36,109,1
316,36,380,1
317,36,164,1
318,36,103,1
319,36,569,1
320,36,23,1
321,36,384,1
322,36,359,1
323,38,683,1
324,38,244,1
325,40,192,1
326,40,532,1
327,40,413,1
328,40,23,1
329,40,499,1
330,40,164,1
331,40,213,1
332,40,480,1
333,40,1421,1
334,40,425,1
335,40,97,1
336,40,207,1
337,40,1106,1
338,40,222,1
339,40,314,1
340,40,445,1
341,41,132,1
342,41,739,1
343,41,487,1
344,41,321,1
345,41,480,1
346,43,565,1
347,44,550,1
348,45,472,1
349,45,283,1
350,46,278,1
351,46,4,1
352,46,62,1
353,46,109,1
354,46,210,1
355,46,1523,1
356,46,343,1
357,46,147,1
358,46,559,1
359,46,10,1
360,46,196,1
361,46,64,1
362,46,307,1
363,46,380,1
364,46,315,1
365,46,1398,1
366,46,232,1
367,46,546,1
368,46,192,1
369,46,603,1
370,46,11,1
371,47,603,1
372,47,1425,1
373,47,196,1
374,47,264,1
375,47,280,1
376,49,1366,1
377,49,583,1
378,49,60,1
379,49,23,1
380,49,540,1
381,49,28,1
382,49,441,1
383,49,416,1
384,49,585,1
385,49,109,1
386,49,567,1
387,49,119,1
388,49,108,1
389,49,315,1
390,49,1523,1
391,50,98,1
392,50,135,1
393,50,560,1
394,50,26,1
395,53,1508,1
396,56,325,1
397,56,430,1
398,56,353,1
399,56,106,1
400,56,494,1
401,57,1523,1
402,57,1366,1
403,57,608,1
404,57,538,1
405,57,164,1
406,57,258,1
407,57,193,1
408,57,583,1
409,57,413,1
410,57,489,1
411,57,108,1
412,57,220,1
413,57,307,1
414,57,696,1
415,57,222,1
416,57,210,1
417,58,863,1
418,58,449,1
419,58,1147,1
420,58,1106,1
421,58,1010,1
422,58,313,1
423,58,1514,1
424,58,68,1
425,58,1390,1
426,58,225,1
427,58,1457,1
428,58,1610,1
429,58,1421,1
430,58,1424,1
431,58,190,1
432,58,1382,1
433,58,1257,1
434,58,1173,1
435,60,49,1
436,60,421,1
