#ID	Name
G0	TFAP4
G1	HTT
G2	TCEA3
G3	SRRT
G4	SCMH1
G5	JMJD1C
G6	SIX5
G7	TBX18
G8	CREBZF
G9	POLR1C
G10	KAT2B
G11	SMARCD1
G12	PHF2
G13	CRAMP1L
G14	HEXIM1
G15	HNRNPK
G16	PCBP2
G17	CREB3
G18	SKIL
G19	ZFPM1
G20	PCBD1
G21	MDM2
G22	GTF2I
G23	RBBP7
G24	HCFC1
G25	SIRT1
G26	MEF2D
G27	EHMT2
G28	DNMT1
G29	KLF9
G30	ZFP592
G31	CNOT7
G32	AIP
G33	NFIA
G34	ZFP42
G35	BIN1
G36	SUZ12
G37	HDGF
G38	DNAJC2
G39	ELP2
G40	DDB1
G41	HSPB1
G42	MSC
G43	PURA
G44	ATF5
G45	NACC1
G46	RUNX1
G47	TRIM28
G48	ARL6IP5
G49	SAP30
G50	NFATC3
G51	NUPR1
G52	PEG3
G53	ANKRD6
G54	ZDHHC15
G55	ABTB1
G56	NFIL3
G57	RARA
G58	MCM4
G59	SRSF1
G60	HDAC5
G61	ZEB2
G62	RUNX3
G63	RNF6
G64	YAF2
G65	EED
G66	TCF7L2
G67	SOX17
G68	MCM2
G69	PIAS2
G70	FOSL2
G71	MXD4
G72	ZMYM2
G73	MAML1
G74	TOX4
G75	SMAD3
G76	RBFOX2
G77	TCERG1
G78	INTS12
G79	ZBTB32
G80	ZFP91
G81	SMAD4
G82	ATF2
G83	DIDO1
G84	RBMX
G85	MSX2
G86	HNRNPAB
G87	HMGA2
G88	SIN3A
G89	ZBTB20
G90	TNFAIP3
G91	IRF6
G92	AGAP3
G93	XRCC6
G94	ELAVL2
G95	TMF1
G96	TOPORS
G97	ERCC8
G98	MEF2C
G99	HSF2
G100	NFE2L2
G101	XAB2
G102	SP8
G103	ASXL1
G104	RERE
G105	RFXAP
G106	NPAS2
G107	SUB1
G108	RBBP4
G109	HDAC1
G110	EGR1
G111	ZFP36L1
G112	ELF1
G113	ANKRD49
G114	TBX3
G115	DR1
G116	IKBKB
G117	CITED2
G118	MATR3
G119	HDAC11
G120	NR5A2
G121	AES
G122	TGFB1I1
G123	KLF13
G124	DTX1
G125	HOPX
G126	CSF1
G127	HEY2
G128	SPEN
G129	TWIST1
G130	CNOT8
G131	HDAC2
G132	AKT1
G133	CNOT6
G134	PAWR
G135	SRF
G136	DCP1A
G137	TRP53BP1
G138	CEBPZ
