#ID,TF,index
0,134,183
1,183,134
2,134,298
3,298,134
4,134,140
5,140,134
6,65,562
7,562,65
8,212,787
9,212,605
10,605,212
11,212,290
12,290,212
13,212,1098
14,212,917
15,212,508
16,508,212
17,212,538
18,538,212
19,212,406
20,406,212
21,212,452
22,452,212
23,212,167
24,167,212
25,212,340
26,340,212
27,212,42
28,42,212
29,212,863
30,212,842
31,212,990
32,212,939
33,212,206
34,206,212
35,212,442
36,442,212
37,212,224
38,224,212
39,212,491
40,491,212
41,212,535
42,535,212
43,223,236
44,236,223
45,223,495
46,495,223
47,223,517
48,517,223
49,223,354
50,354,223
51,223,45
52,45,223
53,223,1052
54,223,251
55,251,223
56,223,197
57,197,223
58,223,28
59,28,223
60,223,506
61,506,223
62,223,118
63,118,223
64,223,293
65,293,223
66,223,584
67,584,223
68,223,586
69,586,223
70,223,68
71,68,223
72,223,186
73,186,223
74,223,366
75,366,223
76,223,229
77,229,223
78,223,563
79,563,223
80,223,158
81,158,223
82,223,486
83,486,223
84,223,200
85,200,223
86,223,549
87,549,223
88,223,370
89,370,223
90,223,601
91,601,223
92,223,249
93,249,223
94,223,474
95,474,223
96,223,262
97,262,223
98,223,1093
99,223,551
100,551,223
101,223,479
102,479,223
103,223,62
104,62,223
105,223,53
106,53,223
107,223,512
108,512,223
109,223,10
110,10,223
111,223,164
112,164,223
113,223,280
114,280,223
115,223,203
116,203,223
117,223,540
118,540,223
119,223,488
120,488,223
121,223,205
122,205,223
123,223,436
124,436,223
125,223,589
126,589,223
127,223,155
128,155,223
129,223,175
130,175,223
131,223,550
132,550,223
133,223,408
134,408,223
135,223,107
136,107,223
137,223,13
138,13,223
139,195,61
140,61,195
141,195,270
142,270,195
143,195,538
144,538,195
145,195,251
146,251,195
147,195,280
148,280,195
149,195,203
150,203,195
151,195,199
152,199,195
153,195,606
154,606,195
155,195,330
156,330,195
157,195,262
158,262,195
159,195,107
160,107,195
161,195,551
162,551,195
163,195,89
164,89,195
165,397,336
166,336,397
167,397,517
168,517,397
169,397,578
170,578,397
171,397,43
172,43,397
173,397,411
174,411,397
175,397,563
176,563,397
177,397,412
178,412,397
179,397,486
180,486,397
181,397,49
182,49,397
183,397,406
184,406,397
185,397,53
186,53,397
187,397,80
188,80,397
189,397,920
190,397,249
191,249,397
192,397,557
193,557,397
194,397,99
195,99,397
196,397,422
197,422,397
198,361,434
199,434,361
200,361,43
201,43,361
202,361,220
203,220,361
204,361,604
205,604,361
206,361,816
207,361,770
208,361,706
209,361,304
210,304,361
211,361,693
212,361,997
213,361,237
214,237,361
215,535,917
216,491,917
217,442,917
218,206,917
219,164,917
220,508,917
