#ID,Gene,index
0,MAPK11,0
1,NCOR1,1
2,TFEB,2
3,PAPOLA,3
4,PDCD11,4
5,TAF5,5
6,GRIN1,6
7,MSX2,7
8,HES6,8
9,NKRF,9
10,HDAC1,10
11,KLF10,11
12,RFX2,12
13,SIRT1,13
14,ZFP275,14
15,SRSF6,15
16,RBBP7,16
17,HMGXB3,17
18,RAPGEF3,18
19,CRABP2,19
20,RBFOX2,20
21,SP8,21
22,ZSCAN10,22
23,NFXL1,23
24,TLE1,24
25,ZFAND3,25
26,ZFHX3,26
27,BRPF1,27
28,RUVBL2,28
29,ZFP36L1,29
30,ZBTB32,30
31,UBP1,31
32,RNF6,32
33,NR0B1,33
34,TRPS1,34
35,NR1D2,35
36,DAZAP2,36
37,ARID5B,37
38,DDIT3,38
39,RAD54B,39
40,PBX4,40
41,CUX1,41
42,MCM4,42
43,CDC5L,43
44,SMURF1,44
45,TAF6,45
46,ZFP592,46
47,SRRT,47
48,ATF6,48
49,SMARCD1,49
50,ELP2,50
51,NFATC4,51
52,ZBTB24,52
53,YEATS4,53
54,PARP1,54
55,HTT,55
56,MAZ,56
57,TGFB1,57
58,IRF4,58
59,MED21,59
60,ING1,60
61,POLR3F,61
62,YEATS2,62
63,HOXD13,63
64,TSHZ3,64
65,LHX2,65
66,TRIM28,66
67,HEXIM1,67
68,MYBBP1A,68
69,FOXD3,69
70,SUZ12,70
71,L3MBTL2,71
72,ELF3,72
73,TEAD4,73
74,ERCC3,74
75,ZFP148,75
76,ANKRD54,76
77,ZFP236,77
78,CRY1,78
79,ANKRD6,79
80,SMARCA2,80
81,PAX1,81
82,GNRH1,82
83,ZBTB20,83
84,TULP3,84
85,EGR1,85
86,STAT5B,86
87,ZBTB7A,87
88,CELF3,88
89,POLR3B,89
90,ZSWIM4,90
91,SCMH1,91
92,HMGXB4,92
93,CBX8,93
94,RAI14,94
95,NFIL3,95
96,RARA,96
97,TBX3,97
98,FXR2,98
99,SMARCC1,99
100,ATF1,100
101,BTG1,101
102,CBX6,102
103,SIRT2,103
104,MED15,104
105,NME2,105
106,E2F4,106
107,POLR2H,107
108,ZDHHC16,108
109,HDAC7,109
110,NR1D1,110
111,SRSF1,111
112,ASH1L,112
113,SALL1,113
114,HSF2,114
115,PLAG1,115
116,MYCN,116
117,NR2F2,117
118,DEK,118
119,ID3,119
120,SOX7,120
121,RNF14,121
122,COPS2,122
123,GATA6,123
124,WBP11,124
125,ESRRB,125
126,EED,126
127,TEAD3,127
128,UBTF,128
129,BTBD11,129
130,NFATC2IP,130
131,NUPR1,131
132,PHF2,132
133,FOXP1,133
134,KLF6,134
135,PIAS2,135
136,RNF19A,136
137,CHD5,137
138,CHD4,138
139,EHMT2,139
140,BTG2,140
141,TEAD1,141
142,DTX1,142
143,RBMXL2,143
144,MED12,144
145,XRCC6,145
146,SUB1,146
147,ATF5,147
148,HMGB2,148
149,AGAP3,149
150,JDP2,150
151,SMAD3,151
152,CITED2,152
153,GBX2,153
154,NFE2L2,154
155,RBPJ,155
156,PAWR,156
157,FOXO3,157
158,NCOA3,158
159,ZFP462,159
160,NCOA6,160
161,ATM,161
162,RFX5,162
163,ERF,163
164,HIST1H2BB,164
165,TGIF1,165
166,PBXIP1,166
167,RAD51,167
168,KLF9,168
169,PRDM14,169
170,DDX58,170
171,FOXJ2,171
172,HMGA2,172
173,CNOT8,173
174,DAXX,174
175,DR1,175
176,MXD4,176
177,TCF4,177
178,ETS1,178
179,CEBPZ,179
180,CSF1,180
181,ZBTB39,181
182,CREB3L2,182
183,JUN,183
184,TCF7L2,184
185,KRBA1,185
186,TADA3,186
187,NFIA,187
188,PREB,188
189,TWIST1,189
190,NACC1,190
191,MEIS3,191
192,ELL2,192
193,SOS2,193
194,MIS18BP1,194
195,POLR3D,195
196,CALCOCO1,196
197,USF1,197
198,CNOT2,198
199,GTF3C1,199
200,NOTCH2,200
201,NDN,201
202,MDM2,202
203,POLR1B,203
204,ESRRA,204
205,ASH2L,205
206,KNTC1,206
207,TRIP6,207
208,CBX4,208
209,ZEB1,209
210,OVOL1,210
211,ZFP296,211
212,MCM7,212
213,ETV1,213
214,BRWD1,214
215,PSIP1,215
216,PCBD1,216
217,H1F0,217
218,ABT1,218
219,ZFP219,219
220,ILF3,220
221,CREBZF,221
222,TCF12,222
223,KAT2B,223
224,ORC2,224
225,SOX2,225
226,SFPQ,226
227,SMARCAD1,227
228,YBX1,228
229,HDAC5,229
230,PHC1,230
231,NR2C1,231
232,MED31,232
233,MEF2C,233
234,MAFK,234
235,BTAF1,235
236,GATA3,236
237,SRSF3,237
238,TAF1,238
239,ATF4,239
240,ZFP446,240
241,ZEB2,241
242,BCLAF1,242
243,MLXIP,243
244,RARG,244
245,NFYB,245
246,ZFP398,246
247,TFAP4,247
248,PRRX2,248
249,SMARCA4,249
250,BRCA2,250
251,POLR1A,251
252,PAX6,252
253,PELP1,253
254,GLI2,254
255,HSF2BP,255
256,NPAS2,256
257,PA2G4,257
258,YAF2,258
259,CUX2,259
260,RLIM,260
