,TF,Target,Label
0,0,43,1
1,0,486,1
2,0,468,1
3,0,208,1
4,0,576,1
5,0,446,1
6,0,177,1
7,0,360,1
8,0,18,1
9,0,93,1
10,0,437,1
11,0,500,1
12,0,102,1
13,0,864,1
14,0,230,1
15,0,322,1
16,0,735,1
17,0,91,1
18,1,204,1
19,1,107,1
20,1,531,1
21,1,517,1
22,1,552,1
23,1,341,1
24,1,330,1
25,1,551,1
26,1,473,1
27,1,364,1
28,1,486,1
29,1,411,1
30,1,92,1
31,1,256,1
32,1,588,1
33,1,164,1
34,1,43,1
35,1,421,1
36,1,10,1
37,1,13,1
38,1,284,1
39,1,1052,1
40,1,572,1
41,1,16,1
42,1,428,1
43,1,574,1
44,1,262,1
45,1,80,1
46,1,575,1
47,1,232,1
48,1,538,1
49,1,151,1
50,1,429,1
51,1,252,1
52,1,183,1
53,1,144,1
54,2,500,1
55,2,610,1
56,2,997,1
57,3,277,1
58,3,434,1
59,3,237,1
60,3,43,1
61,3,321,1
62,3,15,1
63,3,469,1
64,3,228,1
65,3,107,1
66,3,296,1
67,3,47,1
68,3,512,1
69,4,512,1
70,4,584,1
71,4,295,1
72,4,218,1
73,4,251,1
74,4,68,1
75,4,257,1
76,5,287,1
77,5,551,1
78,5,330,1
79,5,262,1
80,5,186,1
81,5,107,1
82,5,355,1
83,5,297,1
84,5,367,1
85,5,47,1
86,5,474,1
87,5,617,1
88,5,380,1
89,5,45,1
90,6,593,1
91,6,750,1
92,6,55,1
93,7,403,1
94,8,570,1
95,10,346,1
96,10,309,1
97,10,558,1
98,10,24,1
99,10,184,1
100,10,205,1
101,10,486,1
102,10,421,1
103,10,249,1
104,10,354,1
105,10,552,1
106,10,137,1
107,10,113,1
108,10,563,1
109,10,312,1
110,10,27,1
111,10,473,1
112,10,442,1
113,10,366,1
114,10,364,1
115,10,411,1
116,10,587,1
117,10,619,1
118,10,372,1
119,10,99,1
120,10,437,1
121,10,517,1
122,10,155,1
123,10,616,1
124,10,128,1
