#ID	Name
G0	MAPK11
G1	NCOR1
G2	TFEB
G3	PAPOLA
G4	PDCD11
G5	TAF5
G6	GRIN1
G7	MSX2
G8	HES6
G9	NKRF
G10	HDAC1
G11	KLF10
G12	RFX2
G13	SIRT1
G14	ZFP275
G15	SRSF6
G16	RBBP7
G17	HMGXB3
G18	RAPGEF3
G19	CRABP2
G20	RBFOX2
G21	SP8
G22	ZSCAN10
G23	NFXL1
G24	TLE1
G25	ZFAND3
G26	ZFHX3
G27	BRPF1
G28	RUVBL2
G29	ZFP36L1
G30	ZBTB32
G31	UBP1
G32	RNF6
G33	NR0B1
G34	TRPS1
G35	NR1D2
G36	DAZAP2
G37	ARID5B
G38	DDIT3
G39	RAD54B
G40	PBX4
G41	CUX1
G42	MCM4
G43	CDC5L
G44	SMURF1
G45	TAF6
G46	ZFP592
G47	SRRT
G48	ATF6
G49	SMARCD1
G50	ELP2
G51	NFATC4
G52	ZBTB24
G53	YEATS4
G54	PARP1
G55	HTT
G56	MAZ
G57	TGFB1
G58	IRF4
G59	MED21
G60	ING1
G61	POLR3F
G62	YEATS2
G63	HOXD13
G64	TSHZ3
G65	LHX2
G66	TRIM28
G67	HEXIM1
G68	MYBBP1A
G69	FOXD3
G70	SUZ12
G71	L3MBTL2
G72	ELF3
G73	TEAD4
G74	ERCC3
G75	ZFP148
G76	ANKRD54
G77	ZFP236
G78	CRY1
G79	ANKRD6
G80	SMARCA2
G81	PAX1
G82	GNRH1
G83	ZBTB20
G84	TULP3
G85	EGR1
G86	STAT5B
G87	ZBTB7A
G88	CELF3
G89	POLR3B
G90	ZSWIM4
G91	SCMH1
G92	HMGXB4
G93	CBX8
G94	RAI14
G95	NFIL3
G96	RARA
G97	TBX3
G98	FXR2
G99	SMARCC1
G100	ATF1
G101	BTG1
G102	CBX6
G103	SIRT2
G104	MED15
G105	NME2
G106	E2F4
G107	POLR2H
G108	ZDHHC16
G109	HDAC7
G110	NR1D1
G111	SRSF1
G112	ASH1L
G113	SALL1
G114	HSF2
G115	PLAG1
G116	MYCN
G117	NR2F2
G118	DEK
G119	ID3
G120	SOX7
G121	RNF14
G122	COPS2
G123	GATA6
G124	WBP11
G125	ESRRB
G126	EED
G127	TEAD3
G128	UBTF
G129	BTBD11
G130	NFATC2IP
G131	NUPR1
G132	PHF2
G133	FOXP1
G134	KLF6
G135	PIAS2
G136	RNF19A
G137	CHD5
G138	CHD4
G139	EHMT2
G140	BTG2
G141	TEAD1
G142	DTX1
G143	RBMXL2
G144	MED12
G145	XRCC6
G146	SUB1
G147	ATF5
G148	HMGB2
G149	AGAP3
G150	JDP2
G151	SMAD3
G152	CITED2
G153	GBX2
G154	NFE2L2
G155	RBPJ
