#ID,TF,index
0,1,589
1,123,496
2,95,496
3,171,496
4,19,496
5,164,496
6,148,496
7,59,496
8,18,496
9,89,62
10,62,89
11,89,141
12,141,89
13,59,584
14,59,345
15,59,359
16,59,636
17,59,979
18,59,415
19,59,687
20,59,250
21,59,241
22,59,316
23,59,1031
24,59,948
25,59,387
26,59,453
27,59,769
28,59,889
29,59,897
30,59,455
31,59,1014
32,59,253
33,59,567
34,59,392
35,59,543
36,59,19
37,19,59
38,59,714
39,59,1117
40,59,860
41,59,183
42,183,59
43,59,366
44,59,1144
45,59,423
46,59,482
47,59,594
48,59,652
49,59,1041
50,59,18
51,18,59
52,59,1149
53,59,829
54,59,814
55,59,391
56,59,1046
57,59,428
58,59,937
59,59,148
60,148,59
61,59,245
62,59,548
63,59,1030
64,59,563
65,59,1084
66,59,164
67,164,59
68,59,326
69,59,260
70,59,1027
71,59,224
72,59,912
73,59,710
74,59,936
75,59,336
76,59,992
77,59,171
78,171,59
79,59,95
80,95,59
81,59,1142
82,59,123
83,123,59
84,8,916
85,1,916
86,49,937
87,18,937
88,183,937
89,19,937
90,129,937
91,130,937
92,14,937
93,176,937
94,123,937
95,95,937
96,171,937
97,164,937
98,148,937
99,119,937
100,77,510
101,12,510
102,1,510
103,123,392
104,95,392
105,19,392
106,164,392
107,148,392
108,18,392
109,5,392
110,180,363
111,180,832
112,180,183
113,183,180
114,180,187
115,187,180
116,180,144
117,144,180
118,180,193
119,193,180
120,180,73
121,73,180
122,180,557
123,180,26
124,26,180
125,183,940
126,108,940
127,190,940
128,193,940
129,119,940
130,145,1134
131,145,8
132,8,145
133,145,1066
134,145,596
135,145,150
136,150,145
137,145,395
138,145,367
139,145,666
140,145,445
141,145,290
142,145,1072
143,145,1028
144,145,1053
145,145,477
146,145,1081
147,145,134
148,134,145
149,145,1039
150,1,981
151,8,981
152,94,55
153,55,94
154,94,305
155,94,117
156,117,94
157,94,23
158,23,94
159,94,301
160,94,4
161,4,94
162,94,127
163,127,94
164,94,99
165,99,94
166,94,339
167,94,109
168,109,94
169,94,195
170,195,94
171,94,12
172,12,94
173,94,62
174,62,94
175,94,63
176,63,94
177,94,189
178,189,94
179,94,97
180,97,94
181,94,515
182,94,61
183,61,94
184,193,363
185,193,135
186,135,193
187,193,832
188,193,183
189,183,193
190,193,187
191,187,193
192,193,114
193,114,193
194,193,972
195,193,108
196,108,193
197,193,125
198,125,193
199,193,190
200,190,193
201,193,14
202,14,193
203,193,144
204,144,193
205,193,119
206,119,193
207,193,124
208,124,193
209,193,73
210,73,193
211,193,852
212,193,557
213,193,728
214,193,26
215,26,193
216,193,384
217,193,371
218,193,546
219,12,960
220,150,414
221,27,1046
222,107,434
223,107,856
224,10,310
225,203,517
226,123,912
227,95,912
228,164,912
229,148,912
230,137,912
231,49,912
232,18,912
233,19,912
234,129,912
235,130,912
236,70,912
237,12,1186
238,123,453
239,95,453
240,164,453
241,148,453
242,124,453
243,18,453
244,19,453
245,5,453
246,114,604
247,114,26
248,26,114
249,114,183
250,183,114
251,114,14
252,14,114
253,114,520
254,77,1172
255,77,23
256,23,77
257,77,522
258,123,567
259,95,567
260,164,567
261,90,567
262,148,567
263,38,567
264,18,567
265,57,567
266,21,567
267,199,567
268,54,567
269,19,567
270,159,567
271,22,567
272,5,567
273,81,567
274,123,687
275,95,687
276,171,687
277,19,687
278,164,687
279,148,687
280,97,705
281,97,46
282,46,97
283,14,183
284,183,14
285,14,440
286,14,150
287,150,14
288,14,125
289,125,14
290,14,130
291,130,14
292,14,563
293,14,144
294,144,14
295,14,119
296,119,14
297,14,124
298,124,14
299,14,391
300,14,948
301,14,1031
302,14,143
303,143,14
304,14,316
305,14,70
306,70,14
307,14,652
308,14,627
309,14,26
310,26,14
311,123,1117
312,95,1117
313,171,1117
314,19,1117
315,164,1117
316,159,1117
317,148,1117
318,183,363
319,187,363
320,108,363
321,144,363
322,73,363
323,58,363
324,190,403
325,91,403
326,123,1027
327,95,1027
328,164,1027
329,148,1027
330,18,1027
331,19,1027
332,159,1027
333,81,1027
334,115,113
335,113,115
336,115,936
337,115,837
338,115,1030
339,115,124
340,124,115
341,115,594
342,115,769
343,115,84
344,84,115
345,55,118
346,118,55
347,55,83
348,83,55
349,55,46
350,46,55
351,55,133
352,133,55
353,55,78
354,78,55
355,69,868
356,21,868
357,199,868
358,22,868
359,130,868
360,119,972
361,183,972
362,108,972
363,190,972
364,198,394
365,16,394
366,119,627
367,183,627
368,130,627
369,70,627
370,178,865
371,10,865
372,34,16
373,16,34
374,34,31
375,31,34
376,8,585
377,1,585
378,91,1042
379,4,976
380,4,117
381,117,4
382,4,23
383,23,4
384,4,460
385,4,157
386,157,4
387,4,189
388,189,4
