G0	IRF1
G1	MAPK1
G2	SATB1
G3	HCFC1
G4	IKZF1
G5	TCF19
G6	SRSF1
G7	ELP3
G8	PA2G4
G9	PRDM5
G10	MAPK9
G11	HDAC10
G12	STAT3
G13	NFKBIA
G14	GTF2H1
G15	HNRNPAB
G16	PPARGC1A
G17	NFE2
G18	RAD51
G19	MCM5
G20	BTAF1
G21	RNF4
G22	VHL
G23	GATA1
G24	TOPORS
G25	CNOT7
G26	AFF4
G27	PLAG1
G28	SOX18
G29	IRF5
G30	PRDM4
G31	FOXO1
G32	TEAD3
G33	NFXL1
G34	HNF4A
G35	RUVBL2
G36	HIST1H1C
G37	TRPS1
G38	AHCTF1
G39	MAPK12
G40	NCOA6
G41	ELP2
G42	ZFP275
G43	GTF3C3
G44	APBB1
G45	IRF6
G46	TCF12
G47	ABTB1
G48	ZEB2
G49	XRCC3
G50	TSC22D3
G51	CREB5
G52	RARB
G53	ZSCAN21
G54	HMGB2
G55	GATA2
G56	SLA2
G57	MEF2C
G58	DDX20
G59	MCM7
G60	DCP1A
G61	PML
G62	JUN
G63	NFATC1
G64	NRF1
G65	SP4
G66	PGR
G67	HDAC9
G68	KLF3
G69	FEM1B
G70	XPC
G71	ZFP467
G72	NFIA
G73	SNAPC3
G74	ZFP30
G75	EPAS1
G76	TEAD2
G77	EPOR
G78	GFI1B
G79	SPO11
G80	EYA1
G81	MIS18BP1
G82	NR3C2
G83	CBFB
G84	SMAD2
G85	PHF10
G86	NFAT5
G87	H1F0
G88	ZFP592
G89	KLF6
G90	CENPK
G91	NOTCH1
G92	RORC
G93	HDAC2
G94	SPI1
G95	MCM3
G96	IFI204
G97	RUNX1T1
G98	NR2C1
G99	ID2
G100	EYA2
G101	REL
G102	RUNX2
G103	NFE2L2
G104	AHR
G105	TOX4
G106	TTF2
G107	PHB2
G108	SNRPB
G109	MYB
G110	HDAC7
G111	HOXA9
G112	NDN
G113	RB1
G114	CTR9
G115	E2F4
G116	CBX7
G117	EBF1
G118	MYC
G119	XAB2
G120	CITED4
G121	BMI1
G122	ZBTB20
G123	MCM6
G124	TAF1
G125	TAF12
G126	HDAC11
G127	TLR4
G128	TSHZ3
G129	XRCC6
G130	ERCC8
G131	ZZZ3
G132	LZTS1
G133	KLF1
G134	REXO4
G135	ESR1
G136	SALL2
G137	XRCC5
G138	ZBTB43
G139	ZDHHC6
G140	MEIS1
G141	BTG2
G142	SMARCA2
G143	TTF1
G144	GTF2E1
G145	PWP1
G146	ZKSCAN6
G147	PRDM16
G148	MCM2
G149	RELB
G150	POLR1B
G151	PBX1
G152	NUPR1
G153	BLZF1
G154	HCLS1
G155	TLE2
G156	ARID3B
G157	ETS1
G158	JARID2
G159	BUB3
G160	IKZF2
G161	MYNN
G162	MECOM
G163	ZFP110
G164	MCM4
G165	ZFP36
G166	SOX6
G167	E2F8
G168	CSRP3
G169	GLIS2
G170	FOS
G171	ORC2
G172	HLF
G173	NFATC2
G174	DDX58
G175	ZKSCAN17
G176	E2F6
G177	ZDHHC13
G178	ABL1
G179	VDR
G180	ELL2
G181	TRIB3
G182	LMO4
G183	POLR2B
G184	NR4A1
G185	RORA
G186	ELF4
G187	ZFP143
G188	RAI14
G189	IRF8
G190	YBX1
G191	THRB
G192	ZBTB10
G193	GTF2F1
G194	BATF2
G195	GFI1
G196	HDGF
G197	DEK
G198	MED16
G199	RNF19A
G200	MXD3
G201	POLR3F
G202	EGR1
G203	MYCN
