,TF,Target,Label
0,0,12,1
1,0,891,1
2,0,319,1
3,0,194,1
4,1,510,1
5,1,1178,1
6,1,191,1
7,1,31,1
8,1,8,1
9,1,12,1
10,1,589,1
11,1,170,1
12,1,554,1
13,1,51,1
14,1,916,1
15,1,1180,1
16,1,1096,1
17,1,753,1
18,1,153,1
19,1,981,1
20,1,906,1
21,1,62,1
22,1,1010,1
23,3,1181,1
24,3,124,1
25,3,176,1
26,4,94,1
27,4,157,1
28,4,460,1
29,4,117,1
30,5,567,1
31,5,1030,1
32,5,95,1
33,5,453,1
34,5,455,1
35,5,584,1
36,5,1014,1
37,5,1156,1
38,5,366,1
39,7,1053,1
40,7,19,1
41,7,41,1
42,7,234,1
43,8,445,1
44,8,542,1
45,8,1053,1
46,8,536,1
47,8,395,1
48,8,666,1
49,8,1134,1
50,8,134,1
51,8,1039,1
52,8,828,1
53,8,1,1
54,8,585,1
55,8,554,1
56,8,1081,1
57,8,477,1
58,8,1028,1
59,8,150,1
60,9,396,1
61,10,310,1
62,10,541,1
63,10,170,1
64,10,1010,1
65,10,135,1
66,10,66,1
67,10,62,1
68,10,162,1
69,11,93,1
70,11,39,1
71,11,126,1
72,12,753,1
73,12,84,1
74,12,1187,1
75,12,1172,1
76,12,127,1
77,12,522,1
78,12,960,1
79,12,118,1
80,12,170,1
81,12,1,1
82,12,684,1
83,12,31,1
84,12,1186,1
85,13,529,1
86,13,304,1
87,13,293,1
88,13,617,1
89,13,101,1
90,14,70,1
91,14,183,1
92,14,1031,1
93,14,316,1
94,14,193,1
95,14,124,1
96,14,937,1
97,14,440,1
98,14,26,1
99,14,130,1
100,14,143,1
101,14,652,1
102,15,655,1
103,16,103,1
104,16,31,1
105,16,394,1
106,16,198,1
107,16,34,1
108,16,185,1
109,17,23,1
110,18,1149,1
111,18,289,1
112,18,769,1
113,18,912,1
114,18,129,1
115,18,860,1
116,18,336,1
117,18,260,1
118,18,1100,1
119,18,49,1
120,18,178,1
121,18,829,1
122,18,496,1
123,18,415,1
124,18,345,1
125,18,95,1
126,18,79,1
127,18,148,1
128,18,359,1
129,18,392,1
130,18,366,1
131,18,59,1
132,18,241,1
133,18,1033,1
134,18,482,1
135,18,711,1
136,18,164,1
137,18,1035,1
138,18,453,1
139,18,253,1
140,18,137,1
141,19,567,1
142,19,18,1
143,19,392,1
144,19,1149,1
145,19,860,1
146,19,123,1
147,19,326,1
148,19,558,1
149,19,937,1
150,19,1078,1
151,19,148,1
152,19,1092,1
153,19,1142,1
154,19,563,1
155,19,594,1
156,19,979,1
157,19,95,1
158,19,453,1
159,19,391,1
160,19,253,1
161,19,636,1
162,19,428,1
163,19,245,1
164,19,232,1
165,19,482,1
166,19,837,1
167,19,548,1
168,19,423,1
169,19,292,1
170,19,543,1
171,19,496,1
172,19,889,1
173,19,359,1
174,19,1156,1
175,19,287,1
176,19,1041,1
177,19,652,1
178,19,336,1
179,19,456,1
180,19,427,1
181,19,1033,1
182,19,897,1
183,20,631,1
184,21,1049,1
185,21,331,1
186,21,663,1
187,21,1076,1
188,21,575,1
189,21,626,1
190,21,665,1
191,21,567,1
192,21,390,1
193,21,956,1
194,21,199,1
195,21,703,1
196,21,22,1
197,22,776,1
198,22,851,1
199,22,381,1
200,22,440,1
201,22,626,1
202,22,21,1
203,22,703,1
204,22,1101,1
205,22,575,1
206,22,1172,1
207,22,904,1
208,22,390,1
209,22,558,1
210,22,567,1
211,22,331,1
212,22,665,1
213,22,868,1
214,23,77,1
215,23,311,1
216,23,94,1
217,23,46,1
218,23,4,1
219,23,78,1
220,24,973,1
221,24,497,1
222,25,60,1
223,25,141,1
224,26,193,1
225,26,180,1
226,26,183,1
227,31,753,1
228,31,34,1
229,31,117,1
230,31,157,1
231,31,1,1
232,31,84,1
233,31,1030,1
234,31,102,1
235,34,16,1
236,35,316,1
237,35,1032,1
238,35,3,1
239,35,131,1
240,36,113,1
241,36,87,1
242,38,336,1
243,38,1007,1
244,38,1037,1
245,38,1005,1
246,38,1136,1
247,38,1092,1
248,38,584,1
249,38,860,1
250,38,872,1
251,38,90,1
252,38,473,1
253,38,245,1
254,38,241,1
255,38,159,1
256,38,962,1
257,38,821,1
258,38,1026,1
259,38,567,1
260,38,250,1
261,39,541,1
262,39,57,1
263,39,906,1
264,39,16,1
265,39,178,1
266,39,1184,1
267,39,529,1
268,39,11,1
269,39,135,1
270,40,1032,1
271,40,52,1
272,40,62,1
273,40,309,1
274,41,1081,1
275,41,1066,1
276,43,201,1
277,44,379,1
278,46,39,1
279,46,934,1
280,46,99,1
281,46,83,1
282,47,1120,1
283,48,357,1
284,49,289,1
285,49,316,1
286,49,652,1
287,49,912,1
288,49,18,1
289,49,948,1
290,49,137,1
291,50,906,1
292,51,1,1
293,51,62,1
294,52,40,1
295,52,1179,1
296,52,1032,1
297,54,567,1
298,54,87,1
299,54,1030,1
300,54,482,1
301,54,245,1
302,54,36,1
303,54,336,1
304,54,260,1
305,55,46,1
306,55,94,1
307,55,118,1
308,55,83,1
309,57,1184,1
310,57,178,1
311,57,63,1
312,57,567,1
313,58,93,1
314,58,363,1
315,58,108,1
316,59,387,1
317,59,253,1
318,59,171,1
319,59,391,1
320,59,897,1
321,59,769,1
322,59,453,1
323,59,652,1
324,59,1014,1
325,59,687,1
326,59,889,1
327,59,428,1
328,59,1142,1
329,59,814,1
330,59,250,1
331,59,148,1
332,59,584,1
333,59,19,1
334,59,260,1
335,59,714,1
336,59,636,1
337,59,423,1
338,59,241,1
339,59,95,1
340,59,992,1
341,59,326,1
342,59,912,1
343,59,567,1
344,59,496,1
345,59,979,1
346,59,245,1
347,59,594,1
348,59,829,1
349,59,18,1
350,59,937,1
351,60,25,1
352,60,1090,1
353,61,94,1
354,61,473,1
355,61,212,1
356,61,110,1
357,61,93,1
358,61,252,1
359,62,89,1
360,62,39,1
361,62,183,1
362,62,173,1
363,62,118,1
364,62,40,1
365,62,51,1
366,62,157,1
367,62,1032,1
368,62,170,1
369,62,141,1
370,62,12,1
371,63,173,1
372,63,57,1
373,63,10,1
374,64,103,1
375,66,39,1
376,66,10,1
377,66,1070,1
378,66,714,1
379,67,110,1
380,67,126,1
381,67,11,1
382,69,1049,1
383,69,1120,1
384,69,1172,1
385,69,331,1
386,69,851,1
387,69,868,1
388,70,912,1
389,70,627,1
390,70,14,1
391,70,948,1
392,70,129,1
393,70,137,1
394,73,363,1
395,73,201,1
396,73,832,1
397,73,187,1
398,73,180,1
399,75,22,1
400,75,1163,1
401,75,304,1
402,75,1049,1
403,77,522,1
404,77,510,1
405,77,1172,1
406,78,93,1
407,78,23,1
408,78,298,1
409,79,979,1
410,79,129,1
411,79,49,1
412,81,90,1
413,81,336,1
414,81,567,1
415,81,1007,1
416,81,710,1
417,81,1100,1
418,81,814,1
419,81,359,1
420,81,326,1
421,81,1020,1
422,81,241,1
423,81,598,1
424,81,1035,1
425,81,769,1
426,81,482,1
427,81,366,1
428,81,444,1
429,81,1030,1
430,81,848,1
431,82,66,1
432,83,178,1
433,83,1030,1
434,83,23,1
435,83,1032,1
436,83,135,1
437,83,102,1
438,84,102,1
439,84,48,1
440,84,31,1
441,85,142,1
442,87,1030,1
443,87,36,1
444,87,54,1
445,89,62,1
446,90,931,1
447,90,584,1
448,90,743,1
449,90,241,1
450,90,692,1
451,90,860,1
452,90,1030,1
453,90,212,1
454,90,754,1
455,90,326,1
456,90,1037,1
457,90,366,1
458,90,336,1
459,90,1005,1
460,90,769,1
461,90,359,1
462,90,159,1
463,90,1007,1
464,90,567,1
465,90,38,1
466,90,1092,1
467,90,863,1
468,90,455,1
469,91,403,1
470,91,1042,1
471,91,255,1
472,92,185,1
473,93,113,1
474,93,162,1
475,93,158,1
476,93,143,1
477,93,116,1
478,93,61,1
479,93,110,1
480,93,142,1
481,93,78,1
482,94,61,1
483,94,4,1
484,94,63,1
485,94,97,1
486,94,117,1
487,94,12,1
488,94,305,1
489,94,195,1
490,94,109,1
491,94,301,1
492,95,992,1
493,95,710,1
494,95,427,1
495,95,741,1
496,95,5,1
497,95,250,1
498,95,148,1
499,95,1092,1
500,95,391,1
501,95,392,1
502,95,979,1
503,95,423,1
504,95,1144,1
505,95,164,1
506,95,1033,1
507,95,860,1
508,95,241,1
509,95,1142,1
510,95,563,1
511,95,359,1
512,95,366,1
513,95,59,1
514,95,287,1
515,95,224,1
516,95,19,1
517,95,769,1
518,95,584,1
519,95,482,1
520,95,548,1
521,95,1084,1
522,95,289,1
523,95,937,1
524,95,889,1
525,95,1030,1
526,95,18,1
527,95,814,1
528,95,948,1
529,95,543,1
530,95,837,1
531,95,345,1
532,96,493,1
533,96,599,1
534,96,1009,1
535,96,102,1
536,97,46,1
537,97,94,1
538,99,46,1
539,99,195,1
540,99,94,1
541,101,13,1
542,101,149,1
543,101,1163,1
544,101,617,1
545,101,293,1
546,102,37,1
547,102,96,1
548,102,113,1
549,102,83,1
550,102,135,1
551,103,449,1
552,103,64,1
553,103,669,1
554,103,104,1
555,104,135,1
556,107,434,1
557,108,516,1
558,108,58,1
559,108,972,1
560,108,363,1
561,108,852,1
562,108,940,1
563,108,190,1
564,108,183,1
565,109,118,1
566,109,23,1
567,110,67,1
568,110,126,1
569,110,586,1
570,110,93,1
571,111,140,1
572,113,626,1
573,113,36,1
574,113,594,1
575,113,863,1
576,113,837,1
577,113,115,1
578,113,87,1
579,113,178,1
580,113,769,1
581,113,93,1
582,114,604,1
583,114,183,1
584,114,520,1
585,114,14,1
586,115,113,1
587,115,124,1
588,115,769,1
589,115,594,1
590,116,1181,1
591,116,776,1
592,116,558,1
593,116,121,1
594,117,189,1
595,117,4,1
596,117,31,1
597,118,135,1
598,118,594,1
599,118,1030,1
600,118,91,1
601,118,684,1
602,118,791,1
603,118,1,1
604,118,326,1
605,118,31,1
606,118,62,1
607,118,55,1
608,118,714,1
609,119,190,1
610,119,130,1
611,119,384,1
612,119,972,1
613,119,546,1
614,119,316,1
615,119,728,1
616,119,948,1
617,119,1031,1
618,119,563,1
619,119,371,1
620,119,193,1
621,121,93,1
622,121,288,1
623,121,118,1
624,121,162,1
625,121,541,1
626,123,563,1
627,123,814,1
628,123,710,1
629,123,1084,1
630,123,59,1
631,123,423,1
632,123,829,1
633,123,260,1
634,123,543,1
635,123,345,1
636,123,889,1
637,123,391,1
638,123,769,1
639,123,387,1
640,123,171,1
641,123,19,1
642,123,453,1
643,123,336,1
644,123,1149,1
645,123,164,1
646,123,692,1
647,123,95,1
648,123,18,1
649,123,224,1
650,123,1031,1
651,123,392,1
652,123,937,1
653,123,860,1
654,123,1142,1
655,123,1144,1
656,123,714,1
657,123,326,1
658,124,115,1
659,124,125,1
660,124,144,1
661,124,3,1
662,124,453,1
663,124,193,1
664,124,183,1
665,124,14,1
666,125,124,1
667,125,193,1
668,125,144,1
669,125,693,1
670,126,67,1
671,126,93,1
672,126,11,1
673,127,1177,1
674,127,62,1
675,127,1115,1
676,127,94,1
677,127,599,1
678,127,174,1
679,129,391,1
680,129,298,1
681,129,79,1
682,129,970,1
683,129,937,1
684,129,49,1
685,129,70,1
686,129,137,1
687,130,1032,1
688,130,1031,1
689,130,298,1
690,130,1124,1
691,130,538,1
692,130,129,1
693,130,868,1
694,130,119,1
695,130,391,1
696,130,937,1
697,130,652,1
698,130,445,1
699,130,287,1
700,131,316,1
701,131,1032,1
702,133,55,1
703,133,565,1
704,134,477,1
705,134,8,1
706,134,1053,1
707,134,145,1
708,135,170,1
709,135,118,1
710,135,83,1
711,135,102,1
712,135,193,1
713,135,183,1
714,135,104,1
715,135,631,1
716,135,62,1
717,135,714,1
718,136,105,1
719,137,130,1
720,137,970,1
721,137,391,1
722,137,18,1
723,137,49,1
724,137,70,1
725,140,111,1
726,140,183,1
727,140,1032,1
728,140,40,1
729,141,165,1
730,141,170,1
731,141,906,1
732,141,597,1
733,141,202,1
734,142,83,1
735,142,93,1
736,143,150,1
737,143,93,1
738,144,73,1
739,144,557,1
740,144,14,1
741,144,124,1
742,144,125,1
743,144,363,1
744,144,183,1
745,145,8,1
746,145,596,1
747,145,290,1
748,145,445,1
749,145,1066,1
750,145,1072,1
751,145,1134,1
752,145,1081,1
753,145,477,1
754,148,415,1
755,148,253,1
756,148,948,1
757,148,345,1
758,148,1084,1
759,148,18,1
760,148,359,1
761,148,937,1
762,148,936,1
763,148,336,1
764,148,366,1
765,148,224,1
766,148,636,1
767,148,427,1
768,148,889,1
769,148,567,1
770,148,652,1
771,148,260,1
772,148,387,1
773,148,428,1
774,148,814,1
775,148,1142,1
776,148,453,1
777,148,829,1
778,148,1117,1
779,148,912,1
780,148,59,1
781,148,584,1
782,148,245,1
783,148,326,1
784,148,482,1
785,148,164,1
786,148,1027,1
787,148,1031,1
788,149,13,1
789,149,331,1
790,149,101,1
791,149,293,1
792,149,904,1
793,150,733,1
794,150,445,1
795,150,183,1
796,150,197,1
797,150,8,1
798,150,451,1
799,150,340,1
800,150,414,1
801,150,367,1
802,150,477,1
803,150,666,1
804,150,1134,1
805,150,1028,1
806,150,1090,1
807,150,1072,1
808,150,14,1
809,150,950,1
810,151,111,1
811,151,40,1
812,151,1032,1
813,151,309,1
814,153,1,1
815,154,678,1
816,157,31,1
817,157,4,1
818,157,102,1
819,157,195,1
820,158,93,1
821,159,1142,1
822,159,617,1
823,159,1163,1
824,159,1117,1
825,159,872,1
826,159,241,1
827,159,1007,1
828,159,250,1
829,159,1136,1
830,159,563,1
831,159,38,1
832,159,326,1
833,159,444,1
834,159,663,1
835,159,293,1
836,159,366,1
837,159,359,1
838,159,336,1
839,159,90,1
840,159,754,1
841,159,1026,1
842,159,558,1
843,159,769,1
844,159,1005,1
845,159,1027,1
846,159,253,1
847,162,93,1
848,162,10,1
849,164,428,1
850,164,287,1
851,164,948,1
852,164,912,1
853,164,1149,1
854,164,1117,1
855,164,979,1
856,164,910,1
857,164,1030,1
858,164,392,1
859,164,415,1
860,164,245,1
861,164,171,1
862,164,496,1
863,164,19,1
864,164,652,1
865,164,636,1
866,164,584,1
867,164,543,1
868,164,769,1
869,164,1144,1
870,164,260,1
871,164,345,1
872,164,241,1
873,164,59,1
874,164,936,1
875,164,455,1
876,164,548,1
877,164,1084,1
878,164,563,1
879,164,937,1
880,164,992,1
881,164,814,1
882,164,148,1
883,164,687,1
884,165,141,1
885,167,769,1
886,167,176,1
887,168,487,1
888,170,1,1
889,170,62,1
890,170,39,1
891,170,118,1
892,170,184,1
893,170,12,1
894,170,51,1
895,170,141,1
896,171,1031,1
897,171,123,1
898,171,59,1
899,171,687,1
900,171,543,1
901,171,1084,1
902,171,496,1
903,171,936,1
904,171,164,1
905,171,563,1
906,171,1117,1
907,171,391,1
908,171,1144,1
909,171,1142,1
910,171,1149,1
911,171,1041,1
912,173,57,1
913,173,62,1
914,173,101,1
915,174,96,1
916,174,615,1
917,174,254,1
918,174,1013,1
919,174,1009,1
920,174,506,1
921,174,792,1
922,174,599,1
923,176,1031,1
924,176,3,1
925,176,167,1
926,176,948,1
927,176,1032,1
928,176,35,1
929,178,39,1
930,178,57,1
931,178,865,1
932,178,898,1
933,178,677,1
934,178,1184,1
935,180,363,1
936,180,557,1
937,180,193,1
938,180,144,1
939,180,183,1
940,181,419,1
941,183,972,1
942,183,596,1
943,183,130,1
944,183,546,1
945,183,363,1
946,183,140,1
947,183,440,1
948,183,557,1
949,183,150,1
950,183,371,1
951,183,852,1
952,183,478,1
953,183,563,1
954,183,124,1
955,183,940,1
956,183,652,1
957,183,119,1
958,183,125,1
959,183,684,1
960,183,948,1
961,183,62,1
962,183,604,1
963,183,384,1
964,183,40,1
965,183,114,1
966,183,73,1
967,183,14,1
968,184,170,1
969,184,906,1
970,184,202,1
971,185,820,1
972,185,92,1
973,187,183,1
974,187,73,1
975,187,193,1
976,187,557,1
977,187,201,1
978,189,117,1
979,189,4,1
980,190,119,1
981,190,852,1
982,190,384,1
983,190,183,1
984,190,108,1
985,190,972,1
986,190,728,1
987,190,371,1
988,191,1,1
989,193,832,1
990,193,363,1
991,193,119,1
992,193,728,1
993,193,972,1
994,193,852,1
995,193,546,1
996,193,124,1
997,193,114,1
998,193,26,1
999,193,125,1
1000,193,190,1
1001,193,940,1
1002,194,0,1
1003,195,99,1
1004,195,94,1
1005,198,16,1
1006,198,693,1
1007,198,561,1
1008,199,1076,1
1009,199,746,1
1010,199,904,1
1011,199,776,1
1012,199,575,1
1013,199,1120,1
1014,199,663,1
1015,199,1049,1
1016,199,567,1
1017,199,626,1
1018,199,703,1
1019,199,655,1
1020,201,1081,1
1021,201,183,1
1022,201,187,1
1023,201,73,1
1024,202,170,1
1025,202,184,1
1026,202,906,1
1027,202,12,1
1028,203,253,1
1029,203,517,1
1030,0,1140,0
1031,0,995,0
1032,0,1022,0
1033,0,561,0
1034,1,1092,0
1035,1,1005,0
1036,1,922,0
1037,1,425,0
1038,1,463,0
1039,1,868,0
1040,1,768,0
1041,1,979,0
1042,1,1170,0
1043,1,1071,0
1044,1,610,0
1045,1,206,0
1046,1,1110,0
1047,1,133,0
1048,1,1174,0
1049,1,691,0
1050,1,304,0
1051,1,532,0
1052,1,115,0
1053,3,97,0
1054,3,864,0
1055,3,349,0
1056,4,1014,0
1057,4,1013,0
1058,4,1140,0
1059,4,83,0
1060,5,801,0
1061,5,981,0
1062,5,184,0
1063,5,153,0
1064,5,1037,0
1065,5,52,0
1066,5,488,0
1067,5,1148,0
1068,5,421,0
1069,7,780,0
1070,7,563,0
1071,7,226,0
1072,7,106,0
1073,8,60,0
1074,8,849,0
1075,8,523,0
1076,8,1121,0
1077,8,850,0
1078,8,895,0
1079,8,884,0
1080,8,842,0
1081,8,32,0
1082,8,33,0
1083,8,813,0
1084,8,196,0
1085,8,1154,0
1086,8,1176,0
1087,8,418,0
1088,8,566,0
1089,8,512,0
1090,9,459,0
1091,10,147,0
1092,10,238,0
1093,10,751,0
1094,10,547,0
1095,10,48,0
1096,10,33,0
1097,10,302,0
1098,10,850,0
1099,11,6,0
1100,11,569,0
1101,11,904,0
1102,12,648,0
1103,12,106,0
1104,12,384,0
1105,12,756,0
1106,12,284,0
1107,12,425,0
1108,12,395,0
1109,12,1155,0
1110,12,686,0
1111,12,146,0
1112,12,188,0
1113,12,611,0
1114,12,132,0
1115,13,1130,0
1116,13,1094,0
1117,13,1114,0
1118,13,1180,0
1119,13,667,0
1120,14,1049,0
1121,14,184,0
1122,14,509,0
1123,14,62,0
1124,14,419,0
1125,14,412,0
1126,14,1147,0
1127,14,832,0
1128,14,582,0
1129,14,197,0
1130,14,894,0
1131,14,248,0
1132,15,1078,0
1133,16,1164,0
1134,16,1055,0
1135,16,787,0
1136,16,187,0
1137,16,686,0
1138,16,676,0
1139,17,969,0
1140,18,689,0
1141,18,978,0
1142,18,877,0
1143,18,840,0
1144,18,24,0
1145,18,371,0
1146,18,748,0
1147,18,752,0
1148,18,1171,0
1149,18,863,0
1150,18,43,0
1151,18,479,0
1152,18,55,0
1153,18,934,0
1154,18,1112,0
1155,18,1114,0
1156,18,945,0
1157,18,434,0
1158,18,888,0
1159,18,688,0
1160,18,431,0
1161,18,686,0
1162,18,171,0
1163,18,428,0
1164,18,719,0
1165,18,112,0
1166,18,1000,0
1167,18,1026,0
1168,18,264,0
1169,18,1010,0
1170,18,905,0
1171,19,1150,0
1172,19,15,0
1173,19,705,0
1174,19,401,0
