#ID	Name
G0	IRF1
G1	MAPK1
G2	SATB1
G3	HCFC1
G4	IKZF1
G5	TCF19
G6	SRSF1
G7	ELP3
G8	PA2G4
G9	PRDM5
G10	MAPK9
G11	HDAC10
G12	STAT3
G13	NFKBIA
G14	GTF2H1
G15	HNRNPAB
G16	PPARGC1A
G17	NFE2
G18	RAD51
G19	MCM5
G20	BTAF1
G21	RNF4
G22	VHL
G23	GATA1
G24	TOPORS
G25	CNOT7
G26	AFF4
G27	PLAG1
G28	SOX18
G29	IRF5
G30	PRDM4
G31	FOXO1
G32	TEAD3
G33	NFXL1
G34	HNF4A
G35	RUVBL2
G36	HIST1H1C
G37	TRPS1
G38	AHCTF1
G39	MAPK12
G40	NCOA6
G41	ELP2
G42	ZFP275
G43	GTF3C3
G44	APBB1
G45	IRF6
G46	TCF12
G47	ABTB1
G48	ZEB2
G49	XRCC3
G50	TSC22D3
G51	CREB5
G52	RARB
G53	ZSCAN21
G54	HMGB2
G55	GATA2
G56	SLA2
G57	MEF2C
G58	DDX20
G59	MCM7
G60	DCP1A
G61	PML
G62	JUN
G63	NFATC1
G64	NRF1
G65	SP4
G66	PGR
G67	HDAC9
G68	KLF3
G69	FEM1B
G70	XPC
G71	ZFP467
G72	NFIA
G73	SNAPC3
G74	ZFP30
G75	EPAS1
G76	TEAD2
G77	EPOR
G78	GFI1B
G79	SPO11
G80	EYA1
G81	MIS18BP1
G82	NR3C2
G83	CBFB
G84	SMAD2
G85	PHF10
G86	NFAT5
G87	H1F0
G88	ZFP592
G89	KLF6
G90	CENPK
G91	NOTCH1
G92	RORC
G93	HDAC2
G94	SPI1
G95	MCM3
G96	IFI204
G97	RUNX1T1
G98	NR2C1
G99	ID2
G100	EYA2
G101	REL
G102	RUNX2
G103	NFE2L2
G104	AHR
G105	TOX4
G106	TTF2
G107	PHB2
G108	SNRPB
G109	MYB
G110	HDAC7
G111	HOXA9
G112	NDN
G113	RB1
G114	CTR9
G115	E2F4
G116	CBX7
G117	EBF1
G118	MYC
G119	XAB2
G120	CITED4
G121	BMI1
G122	ZBTB20
G123	MCM6
G124	TAF1
G125	TAF12
G126	HDAC11
G127	TLR4
G128	TSHZ3
G129	XRCC6
G130	ERCC8
G131	ZZZ3
G132	LZTS1
G133	KLF1
G134	REXO4
G135	ESR1
G136	SALL2
G137	XRCC5
G138	ZBTB43
G139	ZDHHC6
G140	MEIS1
G141	BTG2
G142	SMARCA2
G143	TTF1
G144	GTF2E1
G145	PWP1
G146	ZKSCAN6
G147	PRDM16
G148	MCM2
G149	RELB
G150	POLR1B
G151	PBX1
G152	NUPR1
G153	BLZF1
G154	HCLS1
G155	TLE2
G156	ARID3B
G157	ETS1
G158	JARID2
G159	BUB3
G160	IKZF2
G161	MYNN
G162	MECOM
G163	ZFP110
G164	MCM4
G165	ZFP36
G166	SOX6
G167	E2F8
G168	CSRP3
G169	GLIS2
G170	FOS
G171	ORC2
G172	HLF
G173	NFATC2
G174	DDX58
G175	ZKSCAN17
G176	E2F6
G177	ZDHHC13
G178	ABL1
G179	VDR
G180	ELL2
G181	TRIB3
G182	LMO4
G183	POLR2B
G184	NR4A1
G185	RORA
G186	ELF4
G187	ZFP143
G188	RAI14
G189	IRF8
G190	YBX1
G191	THRB
G192	ZBTB10
G193	GTF2F1
G194	BATF2
G195	GFI1
G196	HDGF
G197	DEK
G198	MED16
G199	RNF19A
G200	MXD3
G201	POLR3F
G202	EGR1
G203	MYCN
G204	MYO1G
G205	PIK3C3
G206	F11R
G207	LEPROT
G208	CCNG1
G209	ANKRD27
G210	GIMAP1
G211	MFGE8
G212	SEH1L
G213	GIMAP5
G214	TARS
G215	ARHGAP4
G216	STEAP3
G217	TIFA
G218	ALDH1A1
G219	WDSUB1
G220	TMEM168
G221	ZKSCAN3
G222	SPPL2A
G223	PACS1
G224	TYMS
G225	NARF
G226	VPS26C
G227	SESN1
G228	COQ8A
G229	FAM234B
G230	TMEM56
G231	CD93
G232	RCC1
G233	PTCD3
G234	KAT7
G235	HSPH1
G236	CD9
G237	NUDCD1
G238	VPS35
G239	TNFAIP8
G240	RNASE6
G241	NUF2
G242	MGST3
G243	RMND5B
G244	SEPT8
G245	MAD2L1
G246	MAN2A2
G247	NAE1
G248	LLGL1
G249	WLS
G250	INCENP
G251	WDR6
G252	NDC1
G253	AURKA
G254	MAVS
G255	POGLUT1
G256	LZTR1
G257	ABITRAM
G258	SNCA
G259	RPAP1
G260	RRM2
G261	ANXA1
G262	FAM168B
G263	TSPAN33
G264	AP1B1
G265	EPS15
G266	KEL
G267	TSPAN14
G268	DENND1C
G269	CD48
G270	H2-OB
G271	SGTA
G272	SIGIRR
G273	UNK
G274	CERS5
G275	ST6GALNAC4
G276	IPO4
G277	WDR55
G278	SQOR
G279	ST3GAL5
G280	UAP1L1
G281	UBAP1
G282	ITSN1
G283	UBAC1
G284	SLC16A1
G285	MMRN1
G286	SPTBN1
G287	DTL
G288	ABCG2
G289	RAD51AP1
G290	BYSL
G291	PIK3IP1
G292	TK1
G293	PSMD9
G294	ZFP945
G295	GPR180
G296	HIST1H2BC
G297	PIGQ
G298	RCOR1
G299	HAGH
G300	MYH10
G301	PLEK
G302	PRMT7
G303	ANXA6
G304	PSMF1
G305	LCP1
G306	AI506816
G307	TFRC
G308	SCARB1
G309	KDM6A
G310	BID
G311	MPL
G312	MYO1D
G313	ARHGEF6
G314	KRT18
G315	HSD3B7
G316	POLE3
G317	CTLA2B
G318	ABCD3
G319	IL15
G320	SLC38A5
G321	ME2
G322	PON2
G323	ST3GAL6
G324	ADSSL1
G325	IARS2
G326	CCNB1
G327	RBPMS
G328	PLBD2
G329	1700017B05RIK
G330	FTSJ1
G331	BTRC
G332	MFN2
G333	ATP6V1A
G334	RNF13
G335	TNFRSF13B
G336	AURKB
G337	FOXRED1
G338	NIF3L1
G339	LCP2
G340	TRMT6
G341	MIOS
G342	VPS33B
G343	ZFP639
G344	COPB1
G345	SMC2
G346	COL5A1
G347	TRPV2
G348	ZFP672
G349	TRIM47
G350	BTK
G351	INTS13
G352	FAM91A1
G353	GLIPR2
G354	TWSG1
G355	PRPS2
G356	NARFL
G357	VIM
G358	SLA
G359	PLK1
G360	AP5M1
G361	STXBP4
G362	PPAT
G363	PHAX
G364	SLC25A21
G365	NGLY1
G366	CDCA5
G367	NOLC1
G368	ELOVL1
G369	EXT2
G370	PRSS50
G371	PRPF4
G372	ATG4B
G373	HACD3
