#ID,Gene,index
0,TSHZ3,0
1,SOX18,1
2,SOX6,2
3,MAPK9,3
4,MCM7,4
5,BTAF1,5
6,JARID2,6
7,HNRNPAB,7
8,MCM5,8
9,ELL2,9
10,TTF1,10
11,ARID3B,11
12,AHCTF1,12
13,RB1,13
14,NR4A1,14
15,ZSCAN21,15
16,ZBTB43,16
17,GTF2F1,17
18,MAPK12,18
19,MEF2C,19
20,SMAD2,20
21,GTF2E1,21
22,SPO11,22
23,HCLS1,23
24,NFXL1,24
25,JUN,25
26,IRF8,26
27,GATA1,27
28,TCF12,28
29,HDAC11,29
30,PHB2,30
31,CNOT7,31
32,REXO4,32
33,SALL2,33
34,ZDHHC13,34
35,CBX7,35
36,IRF5,36
37,POLR3F,37
38,E2F8,38
39,MCM6,39
40,SRSF1,40
41,HDAC9,41
42,TRIB3,42
43,ELP2,43
44,DDX58,44
45,ZFP36,45
46,EGR1,46
47,SLA2,47
48,XAB2,48
49,PML,49
50,ELF4,50
51,NR3C2,51
52,RORA,52
53,AFF4,53
54,MCM4,54
55,ZBTB10,55
56,NR2C1,56
57,PBX1,57
58,PGR,58
59,HMGB2,59
60,GLIS2,60
61,HCFC1,61
62,RNF4,62
63,ETS1,63
64,NFATC2,64
65,SPI1,65
66,ZDHHC6,66
67,SMARCA2,67
68,EYA2,68
69,GATA2,69
70,ABL1,70
71,NFIA,71
72,MCM2,72
73,XRCC3,73
74,GFI1,74
75,POLR2B,75
76,ZKSCAN17,76
77,IKZF1,77
78,PHF10,78
79,HOXA9,79
80,NFATC1,80
81,GTF3C3,81
82,LMO4,82
83,CSRP3,83
84,RELB,84
85,XRCC5,85
86,NFKBIA,86
87,RUNX2,87
88,MIS18BP1,88
89,BLZF1,89
90,RORC,90
91,MAPK1,91
92,MED16,92
93,RAI14,93
94,MXD3,94
95,TLE2,95
96,VHL,96
97,EBF1,97
98,RUNX1T1,98
99,TEAD2,99
100,NFAT5,100
101,IFI204,101
102,ZEB2,102
103,BTG2,103
104,PRDM4,104
105,MECOM,105
106,FOXO1,106
107,APBB1,107
108,TCF19,108
109,EPOR,109
110,CREB5,110
111,FOS,111
112,FEM1B,112
113,NRF1,113
114,EPAS1,114
115,MYNN,115
116,REL,116
117,TEAD3,117
118,PWP1,118
119,ELP3,119
120,TSC22D3,120
121,NFE2,121
122,IRF6,122
123,ZZZ3,123
124,RAD51,124
125,PRDM5,125
126,CBFB,126
127,ID2,127
128,KLF3,128
129,PPARGC1A,129
130,DEK,130
131,GFI1B,131
132,MEIS1,132
133,GTF2H1,133
134,MYB,134
135,BUB3,135
136,TTF2,136
137,DDX20,137
138,SNRPB,138
139,HDAC7,139
140,BATF2,140
141,TOX4,141
142,RARB,142
143,IKZF2,143
144,NFE2L2,144
145,SATB1,145
146,HDGF,146
147,ERCC8,147
148,XPC,148
149,HLF,149
150,ZFP275,150
151,E2F6,151
152,ESR1,152
153,CENPK,153
154,DCP1A,154
155,RUVBL2,155
156,STAT3,156
157,ZKSCAN6,157
158,E2F4,158
159,SP4,159
160,TRPS1,160
161,ZFP143,161
162,RNF19A,162
163,TAF12,163
164,IRF1,164
165,HDAC2,165
166,LZTS1,166
167,NUPR1,167
168,NDN,168
169,TLR4,169
170,SNAPC3,170
171,HDAC10,171
172,ZFP592,172
173,CITED4,173
174,NCOA6,174
175,CTR9,175
176,HIST1H1C,176
177,KLF6,177
178,ORC2,178
179,ZBTB20,179
180,YBX1,180
181,MYC,181
182,NOTCH1,182
183,XRCC6,183
184,THRB,184
185,TOPORS,185
186,EYA1,186
187,PRDM16,187
188,PLAG1,188
189,ABTB1,189
190,KLF1,190
191,ZFP467,191
192,H1F0,192
193,PA2G4,193
194,POLR1B,194
195,BMI1,195
196,MCM3,196
197,TAF1,197
198,ZFP110,198
199,ZFP30,199
200,VDR,200
201,HNF4A,201
202,MYCN,202
203,AHR,203
204,DRAM2,204
205,MKI67,205
206,NUDT19,206
207,ASB8,207
208,VKORC1L1,208
209,PDZK1IP1,209
210,PSMD9,210
211,GRINA,211
212,SLC7A4,212
213,AURKA,213
214,KPNA3,214
215,MYH10,215
216,KEL,216
217,MFGE8,217
218,TCP11L2,218
219,GPR171,219
220,UBE2G2,220
221,DOK2,221
222,CD55,222
223,TMEM263,223
224,DUSP2,224
225,AFAP1L1,225
226,TM7SF3,226
227,HACD3,227
228,CPT1A,228
229,TTLL12,229
230,MNS1,230
231,MUC13,231
232,SLC30A5,232
233,KIF22,233
234,METTL7A1,234
235,PJA2,235
236,IARS2,236
237,LPCAT3,237
238,GRAMD1A,238
239,OPTN,239
240,MMRN1,240
241,MIS12,241
242,SEPT8,242
243,YOD1,243
244,KLHL6,244
245,HSD3B7,245
246,UTP4,246
247,NUDT4,247
248,CDCA8,248
249,PEAR1,249
250,TAPT1,250
251,RBPMS,251
252,TRMT11,252
253,JAK3,253
254,BIRC5,254
255,AQP9,255
256,GM8995,256
257,IFI30,257
258,VIM,258
259,ASAH1,259
260,GT(ROSA)26SOR,260
261,ABCB8,261
262,UBE2C,262
263,TPX2,263
264,PRIM2,264
265,BUB1B,265
266,TBC1D15,266
267,WDR75,267
268,TMEM176A,268
269,RARS,269
270,VPS33B,270
271,ACAA2,271
272,GIMAP5,272
273,ERMAP,273
274,RRM1,274
275,UROS,275
276,IFI44,276
277,FADS1,277
278,IFITM1,278
279,RRM2,279
280,CD82,280
281,SLC20A1,281
282,ARHGEF6,282
283,SLC41A3,283
284,CPT2,284
285,SPRYD4,285
286,CAPN7,286
287,GYPC,287
288,GMPR,288
289,PPP2R1B,289
290,SPHK1,290
291,SLC25A38,291
292,MAPKAPK3,292
293,MPL,293
294,NXPE2,294
295,HACD4,295
296,FBXW5,296
297,HMBS,297
298,TES,298
299,RHAG,299
300,SPTLC1,300
301,SLC11A2,301
302,TGM2,302
303,TACC3,303
304,STK25,304
305,ARAP1,305
306,ORC5,306
307,TIMM29,307
308,TMEM186,308
309,PTDSS2,309
310,TIPIN,310
311,TK1,311
312,DHFR,312
313,MSH6,313
314,APOE,314
315,UBR7,315
316,PCP4L1,316
317,USP37,317
318,CD9,318
319,CRIP2,319
320,USP10,320
321,INCENP,321
322,FOXRED1,322
323,RNF139,323
324,ALKBH8,324
325,RNF13,325
326,SLC25A45,326
327,CDC20,327
328,SERPINB1A,328
329,CRNKL1,329
330,ATP1B2,330
331,PIGQ,331
332,MTFR1,332
333,PRMT7,333
334,CLCN4,334
335,STX2,335
336,SIGIRR,336
337,NARF,337
338,LY6A,338
339,C1QTNF12,339
