,TF,Target,Label
0,3,292,1
1,3,80,1
2,3,105,1
3,3,385,1
4,3,111,1
5,3,58,1
6,4,572,1
7,4,213,1
8,4,39,1
9,4,327,1
10,4,451,1
11,4,582,1
12,4,75,1
13,4,357,1
14,4,530,1
15,4,481,1
16,4,274,1
17,4,473,1
18,4,625,1
19,4,588,1
20,4,321,1
21,4,645,1
22,4,306,1
23,4,265,1
24,4,577,1
25,4,458,1
26,4,254,1
27,4,537,1
28,4,542,1
29,4,313,1
30,5,197,1
31,6,165,1
32,8,505,1
33,8,473,1
34,8,233,1
35,8,395,1
36,8,529,1
37,8,588,1
38,8,491,1
39,8,656,1
40,8,313,1
41,8,577,1
42,8,378,1
43,8,693,1
44,8,124,1
45,8,4,1
46,8,572,1
47,8,542,1
48,8,263,1
49,8,178,1
50,8,119,1
51,8,196,1
52,8,530,1
53,8,458,1
54,8,262,1
55,8,274,1
56,8,670,1
57,8,54,1
58,8,617,1
59,8,645,1
60,8,625,1
61,8,324,1
62,8,248,1
63,9,21,1
64,9,53,1
65,9,17,1
66,9,75,1
67,10,165,1
68,10,194,1
69,12,373,1
70,12,670,1
71,12,241,1
72,12,135,1
73,12,265,1
74,12,656,1
75,12,625,1
76,12,327,1
77,12,357,1
78,12,667,1
79,12,443,1
80,12,254,1
81,13,87,1
82,13,530,1
83,13,540,1
84,13,289,1
85,13,264,1
86,13,165,1
87,13,158,1
88,13,192,1
89,14,385,1
90,14,103,1
91,14,91,1
92,17,197,1
93,17,133,1
94,17,163,1
95,17,175,1
96,17,21,1
97,17,180,1
98,17,554,1
99,17,152,1
100,17,170,1
101,17,329,1
102,18,171,1
103,18,70,1
104,18,58,1
105,18,28,1
106,18,519,1
107,18,292,1
108,18,19,1
109,18,152,1
110,19,327,1
111,19,28,1
112,19,80,1
113,19,64,1
114,20,158,1
115,20,102,1
116,20,106,1
117,21,17,1
118,21,133,1
119,21,163,1
120,21,75,1
121,21,170,1
122,22,124,1
123,22,183,1
124,23,496,1
125,25,63,1
126,25,3,1
127,25,152,1
128,25,177,1
129,25,156,1
130,25,64,1
131,25,169,1
132,25,18,1
133,25,174,1
134,25,103,1
135,25,421,1
136,26,65,1
137,26,97,1
138,27,109,1
139,27,562,1
140,27,126,1
141,27,131,1
142,27,65,1
143,27,77,1
144,28,127,1
145,28,126,1
146,28,98,1
147,28,27,1
148,29,41,1
149,29,171,1
150,30,673,1
151,31,103,1
152,32,193,1
153,32,252,1
154,33,141,1
155,35,515,1
156,35,165,1
157,35,195,1
158,37,699,1
159,37,161,1
160,37,432,1
161,37,81,1
162,38,491,1
163,38,473,1
164,39,577,1
165,39,54,1
166,39,264,1
167,39,279,1
168,39,178,1
169,39,629,1
170,39,373,1
171,39,481,1
172,39,310,1
