#ID	Name
G0	TSHZ3
G1	SOX18
G2	SOX6
G3	MAPK9
G4	MCM7
G5	BTAF1
G6	JARID2
G7	HNRNPAB
G8	MCM5
G9	ELL2
G10	TTF1
G11	ARID3B
G12	AHCTF1
G13	RB1
G14	NR4A1
G15	ZSCAN21
G16	ZBTB43
G17	GTF2F1
G18	MAPK12
G19	MEF2C
G20	SMAD2
G21	GTF2E1
G22	SPO11
G23	HCLS1
G24	NFXL1
G25	JUN
G26	IRF8
G27	GATA1
G28	TCF12
G29	HDAC11
G30	PHB2
G31	CNOT7
G32	REXO4
G33	SALL2
G34	ZDHHC13
G35	CBX7
G36	IRF5
G37	POLR3F
G38	E2F8
G39	MCM6
G40	SRSF1
G41	HDAC9
G42	TRIB3
G43	ELP2
G44	DDX58
G45	ZFP36
G46	EGR1
G47	SLA2
G48	XAB2
G49	PML
G50	ELF4
G51	NR3C2
G52	RORA
G53	AFF4
G54	MCM4
G55	ZBTB10
G56	NR2C1
G57	PBX1
G58	PGR
G59	HMGB2
G60	GLIS2
G61	HCFC1
G62	RNF4
G63	ETS1
G64	NFATC2
G65	SPI1
G66	ZDHHC6
G67	SMARCA2
G68	EYA2
G69	GATA2
G70	ABL1
G71	NFIA
G72	MCM2
G73	XRCC3
G74	GFI1
G75	POLR2B
G76	ZKSCAN17
G77	IKZF1
G78	PHF10
G79	HOXA9
G80	NFATC1
G81	GTF3C3
G82	LMO4
G83	CSRP3
G84	RELB
G85	XRCC5
G86	NFKBIA
G87	RUNX2
G88	MIS18BP1
G89	BLZF1
G90	RORC
G91	MAPK1
G92	MED16
G93	RAI14
G94	MXD3
G95	TLE2
G96	VHL
G97	EBF1
G98	RUNX1T1
G99	TEAD2
G100	NFAT5
G101	IFI204
G102	ZEB2
G103	BTG2
G104	PRDM4
G105	MECOM
G106	FOXO1
G107	APBB1
G108	TCF19
G109	EPOR
G110	CREB5
G111	FOS
G112	FEM1B
G113	NRF1
G114	EPAS1
G115	MYNN
G116	REL
G117	TEAD3
G118	PWP1
G119	ELP3
G120	TSC22D3
G121	NFE2
G122	IRF6
G123	ZZZ3
G124	RAD51
G125	PRDM5
G126	CBFB
G127	ID2
G128	KLF3
G129	PPARGC1A
G130	DEK
G131	GFI1B
G132	MEIS1
G133	GTF2H1
G134	MYB
G135	BUB3
G136	TTF2
G137	DDX20
G138	SNRPB
G139	HDAC7
G140	BATF2
G141	TOX4
G142	RARB
G143	IKZF2
G144	NFE2L2
G145	SATB1
G146	HDGF
G147	ERCC8
G148	XPC
G149	HLF
G150	ZFP275
G151	E2F6
G152	ESR1
G153	CENPK
G154	DCP1A
G155	RUVBL2
G156	STAT3
G157	ZKSCAN6
G158	E2F4
G159	SP4
G160	TRPS1
G161	ZFP143
G162	RNF19A
G163	TAF12
G164	IRF1
G165	HDAC2
G166	LZTS1
G167	NUPR1
G168	NDN
G169	TLR4
G170	SNAPC3
G171	HDAC10
G172	ZFP592
G173	CITED4
G174	NCOA6
G175	CTR9
G176	HIST1H1C
G177	KLF6
G178	ORC2
G179	ZBTB20
G180	YBX1
G181	MYC
G182	NOTCH1
G183	XRCC6
G184	THRB
G185	TOPORS
G186	EYA1
G187	PRDM16
G188	PLAG1
G189	ABTB1
G190	KLF1
G191	ZFP467
G192	H1F0
G193	PA2G4
G194	POLR1B
G195	BMI1
G196	MCM3
G197	TAF1
G198	ZFP110
G199	ZFP30
G200	VDR
G201	HNF4A
G202	MYCN
G203	AHR
G204	DRAM2
G205	MKI67
G206	NUDT19
G207	ASB8
G208	VKORC1L1
G209	PDZK1IP1
G210	PSMD9
G211	GRINA
G212	SLC7A4
G213	AURKA
G214	KPNA3
G215	MYH10
G216	KEL
G217	MFGE8
G218	TCP11L2
G219	GPR171
G220	UBE2G2
G221	DOK2
G222	CD55
G223	TMEM263
G224	DUSP2
G225	AFAP1L1
G226	TM7SF3
G227	HACD3
G228	CPT1A
G229	TTLL12
G230	MNS1
G231	MUC13
G232	SLC30A5
G233	KIF22
G234	METTL7A1
G235	PJA2
G236	IARS2
G237	LPCAT3
G238	GRAMD1A
G239	OPTN
G240	MMRN1
G241	MIS12
G242	SEPT8
G243	YOD1
G244	KLHL6
G245	HSD3B7
G246	UTP4
G247	NUDT4
G248	CDCA8
G249	PEAR1
G250	TAPT1
G251	RBPMS
G252	TRMT11
G253	JAK3
G254	BIRC5
G255	AQP9
G256	GM8995
G257	IFI30
G258	VIM
G259	ASAH1
G260	GT(ROSA)26SOR
G261	ABCB8
G262	UBE2C
G263	TPX2
G264	PRIM2
G265	BUB1B
G266	TBC1D15
G267	WDR75
G268	TMEM176A
G269	RARS
G270	VPS33B
G271	ACAA2
G272	GIMAP5
G273	ERMAP
G274	RRM1
G275	UROS
G276	IFI44
G277	FADS1
G278	IFITM1
G279	RRM2
G280	CD82
G281	SLC20A1
G282	ARHGEF6
