#ID,TF,index
0,116,1009
1,119,1009
2,90,1009
3,41,1009
4,74,1009
5,61,1009
6,114,1009
7,30,1009
8,19,97
9,97,19
10,19,128
11,128,19
12,114,1111
13,114,324
14,114,490
15,114,1130
16,114,345
17,114,929
18,114,489
19,114,202
20,114,646
21,114,1031
22,114,762
23,114,600
24,114,596
25,114,637
26,114,1100
27,114,654
28,114,448
29,114,457
30,114,411
31,114,804
32,114,261
33,114,413
34,114,240
35,114,41
36,41,114
37,114,156
38,114,361
39,114,254
40,114,277
41,114,121
42,121,114
43,114,857
44,114,336
45,114,672
46,114,1087
47,114,859
48,114,375
49,114,1030
50,114,616
51,114,998
52,114,30
53,30,114
54,114,686
55,114,501
56,114,468
57,114,788
58,114,864
59,114,213
60,114,532
61,114,607
62,114,292
63,114,61
64,61,114
65,114,428
66,114,827
67,114,1117
68,114,748
69,114,977
70,114,74
71,74,114
72,114,978
73,114,1113
74,114,955
75,114,552
76,114,703
77,114,290
78,114,897
79,114,867
80,114,556
81,114,782
82,114,90
83,90,114
84,114,119
85,119,114
86,114,881
87,114,116
88,116,114
89,27,292
90,30,292
91,121,292
92,41,292
93,93,292
94,35,292
95,63,292
96,116,292
97,119,292
98,90,292
99,74,292
100,61,292
101,116,413
102,119,413
103,41,413
104,74,413
105,61,413
106,30,413
107,3,413
108,39,803
109,39,828
110,39,28
111,28,39
112,39,538
113,39,56
114,56,39
115,39,1033
116,39,629
117,39,29
118,29,39
119,39,0
120,0,39
121,39,567
122,39,605
123,39,206
124,39,108
125,108,39
126,39,97
127,97,39
128,39,122
129,122,39
130,39,81
131,81,39
132,39,843
133,39,1016
134,2,908
135,2,121
136,121,2
137,2,126
138,126,2
139,2,7
140,7,2
141,2,110
142,110,2
143,2,5
144,5,2
145,2,63
146,63,2
147,2,550
148,2,814
149,2,666
150,2,764
151,2,46
152,46,2
153,2,1039
154,2,725
155,2,749
156,2,491
157,91,524
158,8,532
159,51,208
160,51,452
161,51,555
162,51,387
163,130,723
164,97,723
165,0,723
166,45,518
167,116,290
168,119,290
169,74,290
170,61,290
171,27,290
172,30,290
173,41,290
174,93,290
175,35,290
176,67,290
177,116,637
178,119,637
179,74,637
180,61,637
181,30,637
182,41,637
183,3,637
184,126,692
185,126,814
186,126,121
187,121,126
188,126,63
189,63,126
190,126,668
191,126,46
192,46,126
193,116,261
194,119,261
195,74,261
196,70,261
197,61,261
198,30,261
199,131,261
200,37,261
201,41,261
202,118,261
203,3,261
204,20,261
205,116,489
206,119,489
207,90,489
208,41,489
209,74,489
210,61,489
211,63,121
212,121,63
213,63,703
214,63,123
215,123,63
216,63,110
217,110,63
218,63,35
219,35,63
220,63,748
221,63,814
222,63,213
223,63,600
224,63,762
225,63,1031
226,63,67
227,67,63
228,63,46
229,46,63
230,63,616
231,116,361
232,119,361
233,90,361
234,41,361
235,74,361
236,61,361
237,116,703
238,119,703
239,90,703
240,74,703
241,61,703
242,27,703
243,30,703
244,121,703
245,41,703
246,35,703
247,116,955
248,119,955
249,74,955
250,61,955
251,30,955
252,41,955
253,20,955
254,53,87
255,87,53
256,53,867
257,53,863
258,53,962
259,53,1117
260,53,741
261,53,1100
262,53,309
263,87,990
264,31,990
265,36,323
266,107,323
267,28,130
268,130,28
269,28,86
270,86,28
271,28,80
272,80,28
273,36,162
274,107,162
275,48,836
276,0,465
277,68,174
278,131,174
279,118,174
280,36,783
281,42,783
282,29,56
283,56,29
284,29,629
285,29,122
286,122,29
287,54,496
288,120,390
289,59,390
290,88,390
291,127,390
292,15,390
293,119,807
294,49,87
295,87,49
296,49,977
297,49,50
298,50,49
299,49,96
300,96,49
301,49,102
302,102,49
303,49,64
304,64,49
305,49,80
306,80,49
307,49,986
