G0	TLR4
G1	ARID3B
G2	GTF2F1
G3	TCF19
G4	NR3C2
G5	YBX1
G6	ZFP467
G7	SNRPB
G8	PLAG1
G9	RORA
G10	ZFP36
G11	VDR
G12	ZBTB20
G13	TRIB3
G14	APBB1
G15	HIF3A
G16	SRSF1
G17	HDAC7
G18	TLE2
G19	KLF6
G20	MIS18BP1
G21	ZDHHC6
G22	TRPS1
G23	NFAT5
G24	BTAF1
G25	EGR1
G26	ELF1
G27	XRCC3
G28	GATA2
G29	IKZF1
G30	RAD51
G31	HCFC1
G32	NDN
G33	H1F0
G34	ABL1
G35	ERCC8
G36	PA2G4
G37	HMGB2
G38	IRF9
G39	SPI1
G40	HLF
G41	MCM5
G42	REXO4
G43	ATF7
G44	ZEB2
G45	MYCN
G46	MLLT3
G47	MXD3
G48	MAPK12
G49	HDAC2
G50	SMARCA2
G51	PHB2
G52	HNRNPAB
G53	E2F4
G54	RARB
G55	E2F8
G56	EBF1
G57	SLA2
G58	IRF6
G59	REL
G60	IRF7
G61	MCM2
G62	CSRP3
G63	GTF2H1
G64	MECOM
G65	MEIS1
G66	SATB1
G67	XPC
G68	FEM1B
G69	TTF2
G70	CENPK
G71	FOXO1
G72	BATF2
G73	ZDHHC13
G74	MCM4
G75	RPS6KA5
G76	STAT2
G77	NFIA
G78	ELP2
G79	RUVBL2
G80	GFI1B
G81	RUNX1T1
G82	NAP1L3
G83	TOPORS
G84	PRDM16
G85	EYA2
G86	CBFB
G87	RB1
G88	RELB
G89	TEAD2
G90	ORC2
G91	RORC
G92	MAML3
G93	XRCC6
G94	SALL2
G95	SOX18
G96	JARID2
G97	JUN
G98	PBX1
G99	LMO4
G100	LZTS1
G101	PHF10
G102	CBX7
G103	NUPR1
G104	DDX58
G105	HDGF
G106	DEK
G107	MAPK1
G108	MYB
G109	MED16
G110	TAF12
G111	ZBTB38
G112	CREB5
G113	HDAC11
G114	MCM7
G115	DDX20
G116	MCM6
G117	NFATC2
G118	ZBTB16
G119	MCM3
G120	EPAS1
G121	POLR2B
G122	IRF8
G123	POLR1B
G124	NFE2
G125	TSC22D3
G126	CTR9
G127	NFKBIA
G128	BTG2
G129	SPO11
G130	MYC
G131	RNF4
