#ID,TF,index
0,PHF10,0
1,NAP1L3,1
2,RUNX1T1,2
3,RNF4,3
4,RELB,4
5,EYA2,5
6,HMGB2,6
7,EPAS1,7
8,POLR2B,8
9,RORA,9
10,MCM7,10
11,MXD3,11
12,TAF12,12
13,ZDHHC13,13
14,ELP2,14
15,HDAC11,15
16,MYC,16
17,DDX58,17
18,CSRP3,18
19,BTG2,19
20,MYCN,20
21,ZDHHC6,21
22,IRF8,22
23,TCF19,23
24,HDGF,24
25,CTR9,25
26,EGR1,26
27,XRCC3,27
28,KLF6,28
29,ARID3B,29
30,APBB1,30
31,NFE2,31
32,TLE2,32
33,TLR4,33
34,GFI1B,34
35,GTF2H1,35
36,SPO11,36
37,POLR1B,37
38,MIS18BP1,38
39,GTF2F1,39
40,RARB,40
41,RAD51,41
42,HLF,42
43,NFAT5,43
44,HCFC1,44
45,HDAC7,45
46,SALL2,46
47,MCM2,47
48,MCM3,48
49,FOXO1,49
50,JUN,50
51,PA2G4,51
52,MCM4,52
53,CBX7,53
54,XRCC6,54
55,GATA2,55
56,ZBTB20,56
57,HNRNPAB,57
58,NDN,58
59,MECOM,59
60,BTAF1,60
61,MEIS1,61
62,H1F0,62
63,CBFB,63
64,PBX1,64
65,ABL1,65
66,IRF9,66
67,ZFP467,67
68,ZBTB16,68
69,RUVBL2,69
70,RPS6KA5,70
71,TTF2,71
72,NFIA,72
73,ZBTB38,73
74,SOX18,74
75,SRSF1,75
76,TSC22D3,76
77,SPI1,77
78,NFKBIA,78
79,TEAD2,79
80,PRDM16,80
81,MCM6,81
82,MCM5,82
83,TOPORS,83
84,SLA2,84
85,JARID2,85
86,ERCC8,86
87,REL,87
88,LMO4,88
89,STAT2,89
90,ATF7,90
91,TRPS1,91
92,LZTS1,92
93,MAML3,93
94,NUPR1,94
95,SATB1,95
96,CENPK,96
97,MAPK12,97
98,PLAG1,98
99,DDX20,99
100,TRIB3,100
101,EBF1,101
102,BATF2,102
103,VDR,103
104,IKZF1,104
105,NR3C2,105
106,YBX1,106
107,ZEB2,107
108,IRF6,108
109,E2F4,109
110,RB1,110
111,E2F8,111
112,REXO4,112
113,IRF7,113
114,NFATC2,114
115,DEK,115
116,ZFP36,116
117,CREB5,117
118,HDAC2,118
119,MAPK1,119
120,MLLT3,120
121,FEM1B,121
122,SNRPB,122
123,ELF1,123
124,MYB,124
125,HIF3A,125
126,RORC,126
127,XPC,127
128,MED16,128
129,ORC2,129
130,SMARCA2,130
131,PHB2,131
