G0	PHF10
G1	NAP1L3
G2	RUNX1T1
G3	RNF4
G4	RELB
G5	EYA2
G6	HMGB2
G7	EPAS1
G8	POLR2B
G9	RORA
G10	MCM7
G11	MXD3
G12	TAF12
G13	ZDHHC13
G14	ELP2
G15	HDAC11
G16	MYC
G17	DDX58
G18	CSRP3
G19	BTG2
G20	MYCN
G21	ZDHHC6
G22	IRF8
G23	TCF19
G24	HDGF
G25	CTR9
G26	EGR1
G27	XRCC3
G28	KLF6
G29	ARID3B
G30	APBB1
G31	NFE2
G32	TLE2
G33	TLR4
G34	GFI1B
G35	GTF2H1
G36	SPO11
G37	POLR1B
G38	MIS18BP1
G39	GTF2F1
G40	RARB
G41	RAD51
G42	HLF
G43	NFAT5
G44	HCFC1
G45	HDAC7
G46	SALL2
G47	MCM2
G48	MCM3
G49	FOXO1
G50	JUN
G51	PA2G4
G52	MCM4
G53	CBX7
G54	XRCC6
G55	GATA2
G56	ZBTB20
G57	HNRNPAB
G58	NDN
G59	MECOM
G60	BTAF1
G61	MEIS1
G62	H1F0
G63	CBFB
G64	PBX1
G65	ABL1
G66	IRF9
G67	ZFP467
G68	ZBTB16
G69	RUVBL2
G70	RPS6KA5
G71	TTF2
G72	NFIA
G73	ZBTB38
G74	SOX18
G75	SRSF1
G76	TSC22D3
G77	SPI1
G78	NFKBIA
G79	TEAD2
G80	PRDM16
G81	MCM6
G82	MCM5
G83	TOPORS
G84	SLA2
G85	JARID2
G86	ERCC8
G87	REL
G88	LMO4
G89	STAT2
G90	ATF7
G91	TRPS1
G92	LZTS1
G93	MAML3
G94	NUPR1
G95	SATB1
G96	CENPK
G97	MAPK12
G98	PLAG1
G99	DDX20
G100	TRIB3
G101	EBF1
G102	BATF2
G103	VDR
G104	IKZF1
G105	NR3C2
G106	YBX1
G107	ZEB2
G108	IRF6
G109	E2F4
G110	RB1
G111	E2F8
G112	REXO4
G113	IRF7
G114	NFATC2
G115	DEK
G116	ZFP36
G117	CREB5
G118	HDAC2
G119	MAPK1
G120	MLLT3
G121	FEM1B
G122	SNRPB
G123	ELF1
G124	MYB
G125	HIF3A
G126	RORC
G127	XPC
G128	MED16
G129	ORC2
G130	SMARCA2
G131	PHB2
