#ID,Gene,index
0,PHF10,0
1,NAP1L3,1
2,RUNX1T1,2
3,RNF4,3
4,RELB,4
5,EYA2,5
6,HMGB2,6
7,EPAS1,7
8,POLR2B,8
9,RORA,9
10,MCM7,10
11,MXD3,11
12,TAF12,12
13,ZDHHC13,13
14,ELP2,14
15,HDAC11,15
16,MYC,16
17,DDX58,17
18,CSRP3,18
19,BTG2,19
20,MYCN,20
21,ZDHHC6,21
22,IRF8,22
23,TCF19,23
24,HDGF,24
25,CTR9,25
26,EGR1,26
27,XRCC3,27
28,KLF6,28
29,ARID3B,29
30,APBB1,30
31,NFE2,31
32,TLE2,32
33,TLR4,33
34,GFI1B,34
35,GTF2H1,35
36,SPO11,36
37,POLR1B,37
38,MIS18BP1,38
39,GTF2F1,39
40,RARB,40
41,RAD51,41
42,HLF,42
43,NFAT5,43
44,HCFC1,44
45,HDAC7,45
46,SALL2,46
47,MCM2,47
48,MCM3,48
49,FOXO1,49
50,JUN,50
51,PA2G4,51
52,MCM4,52
53,CBX7,53
54,XRCC6,54
55,GATA2,55
56,ZBTB20,56
57,HNRNPAB,57
58,NDN,58
59,MECOM,59
60,BTAF1,60
61,MEIS1,61
62,H1F0,62
63,CBFB,63
64,PBX1,64
65,ABL1,65
66,IRF9,66
67,ZFP467,67
68,ZBTB16,68
69,RUVBL2,69
70,RPS6KA5,70
71,TTF2,71
72,NFIA,72
73,ZBTB38,73
74,SOX18,74
75,SRSF1,75
76,TSC22D3,76
77,SPI1,77
78,NFKBIA,78
79,TEAD2,79
80,PRDM16,80
81,MCM6,81
82,MCM5,82
83,TOPORS,83
84,SLA2,84
85,JARID2,85
86,ERCC8,86
87,REL,87
88,LMO4,88
89,STAT2,89
90,ATF7,90
91,TRPS1,91
92,LZTS1,92
93,MAML3,93
94,NUPR1,94
95,SATB1,95
96,CENPK,96
97,MAPK12,97
98,PLAG1,98
99,DDX20,99
100,TRIB3,100
101,EBF1,101
102,BATF2,102
103,VDR,103
104,IKZF1,104
105,NR3C2,105
106,YBX1,106
107,ZEB2,107
108,IRF6,108
109,E2F4,109
110,RB1,110
111,E2F8,111
112,REXO4,112
113,IRF7,113
114,NFATC2,114
115,DEK,115
116,ZFP36,116
117,CREB5,117
118,HDAC2,118
119,MAPK1,119
120,MLLT3,120
121,FEM1B,121
122,SNRPB,122
123,ELF1,123
124,MYB,124
125,HIF3A,125
126,RORC,126
127,XPC,127
128,MED16,128
129,ORC2,129
130,SMARCA2,130
131,PHB2,131
132,MUC13,132
133,GOLT1B,133
134,EBI3,134
135,TMEM97,135
136,CTSL,136
137,PRKCH,137
138,SLCO3A1,138
139,FCER1G,139
140,AGPS,140
141,GBP7,141
142,INPP5B,142
143,UNC93B1,143
144,RPRD1B,144
145,TM6SF1,145
146,ZFP367,146
147,GIMAP6,147
148,MGAT5,148
149,CNRIP1,149
150,ANXA3,150
151,AURKB,151
152,EZR,152
153,ZFP945,153
154,RTP4,154
155,WDR5,155
156,TACC3,156
157,ACOX1,157
158,XAF1,158
159,1700017B05RIK,159
160,MPO,160
161,PROCR,161
162,CSAD,162
163,APLP2,163
164,ZNRF2,164
165,CDCA4,165
166,SLC44A2,166
167,SELL,167
168,PECAM1,168
169,H2-AA,169
170,NKG7,170
171,ATAD1,171
172,TES,172
173,TIPIN,173
174,PLEKHO2,174
175,TFG,175
176,TIE1,176
177,SNAP47,177
178,STT3B,178
179,SEH1L,179
180,TUBGCP2,180
181,APOE,181
182,MLKL,182
183,CD9,183
184,SCARB1,184
185,FAM76B,185
186,METTL7A1,186
187,TRIM59,187
188,BC035044,188
189,HELLS,189
190,LIG1,190
191,RCSD1,191
192,CYB5R1,192
193,CISH,193
194,DNAJC10,194
195,ADO,195
196,TPM4,196
197,OASL2,197
198,SLC39A6,198
199,ABCG2,199
200,B230219D22RIK,200
201,RCC1,201
202,JPT2,202
203,NUP107,203
204,TOR3A,204
205,IL21R,205
206,USP10,206
207,LAPTM4B,207
208,INTS13,208
209,ADA,209
210,BTK,210
211,ARL6IP6,211
212,PNO1,212
213,CDC7,213
214,CDT1,214
215,PLXNC1,215
216,PTDSS1,216
217,RP2,217
218,SLC18A2,218
219,WDR55,219
220,PARP8,220
221,CLEC12A,221
222,SLC28A2,222
223,ATP6AP1,223
224,TRP53I11,224
225,ST6GALNAC4,225
226,RRM2,226
227,FAM136A,227
228,MOB3C,228
229,HACD3,229
230,NEURL3,230
231,TMEM43,231
232,CST7,232
233,METTL27,233
234,ABCB8,234
235,SLC43A3,235
236,RHOF,236
237,RAB44,237
238,MFSD1,238
239,HDC,239
240,IL12A,240
241,CCL9,241
242,MFNG,242
243,GCNT2,243
244,ARHGEF18,244
245,PSEN1,245
246,CYBC1,246
247,MYO1F,247
248,GSR,248
249,PLEK,249
250,IGTP,250
251,DHX33,251
252,UMPS,252
253,SNAP23,253
254,USP37,254
255,ARL8B,255
256,TESPA1,256
257,STXBP4,257
258,KAT7,258
259,PUS7,259
260,GM1966,260
261,IDH1,261
262,CD74,262
263,MYO5A,263
264,FUT7,264
265,PIM2,265
266,HP,266
267,SLC30A5,267
268,RFC4,268
269,PAK1,269
270,TOP2A,270
271,SDF2L1,271
272,MARS,272
273,AFAP1L1,273
274,PHF6,274
275,PREP,275
276,GLB1,276
277,KCTD12,277
278,BID,278
279,IFI44,279
280,SERPINB1A,280
281,GRK3,281
282,GBP3,282
283,DHRS3,283
284,TFR2,284
285,CTSG,285
286,FCGR2B,286
287,CSF3R,287
288,TMEM173,288
289,CDC45,289
290,LY6C2,290
291,PLIN3,291
292,ACOT9,292
293,KPNA3,293
294,PRKCQ,294
295,CFP,295
296,FLT3,296
297,NCLN,297
298,ABHD17B,298
299,TK1,299
300,IPO9,300
301,MAPKAPK3,301
302,RMND5A,302
303,RABGGTB,303
304,PDZK1IP1,304
305,ATP8B4,305
306,SORT1,306
307,DENND1C,307
308,SNX30,308
309,RGCC,309
310,CASP1,310
311,MTMR6,311
312,AKNA,312
313,RFC5,313
314,ERLIN1,314
315,LCP2,315
316,HEXA,316
317,RAB31,317
318,GMIP,318
319,SERPINA3G,319
320,ITIH5,320
321,EMILIN1,321
322,DOK2,322
323,TIMM29,323
324,MSH6,324
325,PRIM2,325
326,UBE2L6,326
327,MYCT1,327
328,FLNB,328
329,SLC35B4,329
330,GNG11,330
331,ZFP35,331
332,RGS1,332
333,CD300A,333
334,TMX4,334
335,PRIM1,335
336,GMFB,336
337,TARS,337
338,NCAPD2,338
339,MFSD14B,339
340,F630028O10RIK,340
341,PLPPR3,341
342,TRMT11,342
343,CD53,343
344,CTSF,344
345,FRRS1,345
346,ISYNA1,346
347,KRT18,347
348,CTSO,348
349,CD69,349
350,GNG12,350
351,GALNT6,351
352,BC005561,352
353,PTGR1,353
354,CCL4,354
355,CASP4,355
356,CSF2RB,356
357,VPS16,357
358,OTUD6B,358
359,UBL4A,359
360,PHF11B,360
361,COLGALT1,361
362,IL27RA,362
363,FTSJ3,363
364,NDE1,364
365,LONP1,365
366,SELENBP1,366
367,TMEM229B,367
368,RARS,368
369,LDHB,369
370,TNIP3,370
371,GIMAP1OS,371
372,LTB,372
373,GM4759,373
374,SERPINB9,374
375,ICAM1,375
376,ESAM,376
377,TMEM50B,377
378,SCARF1,378
379,CCNB2,379
380,MAGED1,380
381,FLOT2,381
382,IGSF6,382
383,SPNS2,383
384,TCN2,384
385,PGLYRP2,385
386,PLAA,386
387,MRPL37,387
388,MYO1G,388
389,GM5111,389
390,SPNS3,390
391,ZFP24,391
392,EML4,392
393,INO80D,393
394,GLIPR2,394
395,GANAB,395
396,CYP2J6,396
397,MS4A3,397
398,SSH3,398
399,FES,399
400,BACE1,400
401,SLC25A46,401
402,PSTPIP1,402
403,GUSB,403
404,PRPS2,404
405,CSGALNACT1,405
406,PRSS57,406
407,CNIH1,407
408,RANBP3,408
409,HK3,409
410,PRMT7,410
411,DLST,411
412,USP11,412
413,TGM2,413
414,H2-OB,414
415,CD82,415
416,CALCRL,416
417,GBP2,417
418,ALAS1,418
419,PTTG1IP,419
420,CSTF2,420
421,POR,421
422,GNS,422
423,MPL,423
424,MTFR1,424
425,MOGS,425
426,IGKC,426
427,ANXA1,427
428,DEF8,428
429,TCIRG1,429
430,GMCL1,430
431,FCGR3,431
432,CASP12,432
433,CHRNB1,433
434,MSMO1,434
435,TCP11L2,435
436,PPAT,436
437,AHCYL1,437
438,CD48,438
439,PLD3,439
440,CTLA2A,440
441,OSBPL1A,441
442,VSIR,442
443,PPP1R15A,443
444,NEAT1,444
445,TRIM35,445
446,GPR65,446
447,RASSF4,447
448,EMID1,448
449,CTC1,449
450,MAN2A2,450
451,RASA4,451
452,DPP8,452
453,ZFP451,453
454,CSGALNACT2,454
455,NCF1,455
456,GOLPH3,456
457,LY6A,457
458,RPS6KA3,458
459,UTP4,459
460,FAM91A1,460
461,GRINA,461
