,TF,Target,Label
0,0,130,1
1,2,77,1
2,3,456,1
3,3,68,1
4,3,164,1
5,3,484,1
6,4,78,1
7,6,580,1
8,6,226,1
9,6,62,1
10,6,270,1
11,7,125,1
12,8,190,1
13,8,40,1
14,8,50,1
15,8,120,1
16,8,268,1
17,8,534,1
18,8,487,1
19,8,420,1
20,8,25,1
21,8,155,1
22,8,469,1
23,8,313,1
24,8,144,1
25,8,35,1
26,8,579,1
27,9,126,1
28,10,519,1
29,10,338,1
30,10,82,1
31,10,324,1
32,10,81,1
33,10,534,1
34,10,489,1
35,10,214,1
36,10,521,1
37,10,213,1
38,10,151,1
39,10,41,1
40,10,335,1
41,10,47,1
42,10,289,1
43,10,575,1
44,10,325,1
45,10,510,1
46,10,129,1
47,10,580,1
48,12,35,1
49,12,8,1
50,15,118,1
51,16,65,1
52,16,631,1
53,16,614,1
54,16,49,1
55,16,265,1
56,17,279,1
57,17,546,1
58,17,89,1
59,17,33,1
60,17,310,1
61,17,197,1
62,17,326,1
63,19,116,1
64,19,26,1
65,19,28,1
66,20,612,1
67,22,101,1
68,22,77,1
69,23,226,1
70,23,379,1
71,23,500,1
72,23,580,1
73,25,8,1
74,25,120,1
75,25,35,1
76,25,518,1
77,26,375,1
78,26,19,1
79,26,119,1
80,27,313,1
81,27,41,1
82,27,324,1
83,27,36,1
84,27,489,1
85,28,50,1
86,30,400,1
87,33,492,1
88,33,50,1
89,33,310,1
90,33,77,1
91,34,55,1
92,34,61,1
93,35,534,1
94,35,579,1
95,35,469,1
96,35,120,1
97,35,86,1
98,35,190,1
99,35,313,1
100,35,127,1
101,36,54,1
102,36,27,1
103,37,473,1
104,37,600,1
105,37,259,1
106,37,115,1
107,37,35,1
108,37,8,1
109,37,272,1
110,37,342,1
111,38,151,1
112,38,580,1
113,38,519,1
114,38,96,1
115,39,420,1
116,39,8,1
117,39,122,1
118,39,120,1
119,39,12,1
120,40,8,1
121,40,155,1
122,41,575,1
123,41,534,1
124,41,500,1
125,41,489,1
126,41,579,1
127,41,379,1
128,41,54,1
129,41,226,1
130,41,173,1
131,41,519,1
132,41,47,1
133,41,289,1
134,41,151,1
135,41,335,1
136,41,270,1
137,41,189,1
138,44,155,1
139,45,118,1
140,47,580,1
141,47,151,1
142,47,189,1
143,47,313,1
144,47,10,1
145,47,495,1
146,47,270,1
147,47,268,1
148,47,521,1
149,47,335,1
150,47,213,1
151,47,510,1
152,47,52,1
153,47,190,1
154,47,489,1
155,47,173,1
156,47,214,1
157,47,325,1
158,47,579,1
159,47,553,1
160,48,335,1
161,48,151,1
162,48,189,1
163,48,324,1
164,48,41,1
165,48,289,1
166,48,129,1
167,48,10,1
168,48,553,1
169,48,213,1
170,48,226,1
171,48,190,1
172,48,268,1
173,48,379,1
174,48,313,1
175,48,614,1
176,48,214,1
177,48,495,1
178,48,325,1
179,48,82,1
180,48,52,1
181,49,16,1
182,49,101,1
183,49,167,1
184,50,26,1
185,50,486,1
186,50,8,1
187,50,155,1
188,50,33,1
189,50,119,1
190,50,114,1
191,50,28,1
192,51,112,1
193,51,209,1
194,51,272,1
195,51,609,1
196,51,119,1
197,51,37,1
198,51,363,1
199,51,342,1
200,51,160,1
201,51,285,1
202,51,537,1
203,51,483,1
204,51,626,1
205,52,335,1
206,52,500,1
207,52,289,1
208,52,173,1
209,52,226,1
210,52,270,1
211,52,82,1
212,52,325,1
213,52,313,1
214,52,214,1
215,52,510,1
216,52,503,1
217,52,519,1
218,52,151,1
219,52,379,1
220,52,10,1
221,52,47,1
222,52,469,1
223,52,189,1
224,52,324,1
225,53,118,1
226,54,41,1
227,54,27,1
228,54,489,1
229,54,534,1
230,54,86,1
231,55,63,1
232,55,34,1
233,61,64,1
234,61,8,1
235,61,34,1
236,61,120,1
237,62,110,1
238,63,55,1
239,63,123,1
240,63,65,1
241,64,155,1
242,64,8,1
243,65,63,1
244,65,16,1
245,65,110,1
246,65,402,1
247,66,154,1
248,66,279,1
249,66,17,1
250,66,549,1
251,68,484,1
252,68,121,1
253,68,164,1
254,68,326,1
255,69,155,1
256,69,469,1
257,70,97,1
258,77,104,1
259,77,33,1
260,77,343,1
261,77,101,1
262,77,527,1
263,77,287,1
264,77,55,1
265,77,2,1
266,78,375,1
267,78,87,1
268,81,379,1
269,81,129,1
270,81,579,1
271,81,201,1
272,81,173,1
273,81,151,1
274,81,495,1
275,81,505,1
276,81,335,1
277,81,289,1
278,81,313,1
279,81,190,1
280,81,325,1
281,81,52,1
282,81,521,1
283,81,82,1
284,81,270,1
285,81,575,1
286,81,268,1
287,81,226,1
288,82,173,1
289,82,324,1
290,82,500,1
291,82,521,1
292,82,289,1
293,82,47,1
294,82,270,1
295,82,379,1
296,82,213,1
297,82,325,1
298,82,201,1
299,82,614,1
300,82,190,1
301,82,489,1
302,82,41,1
303,82,189,1
304,82,579,1
305,82,469,1
306,82,335,1
307,82,268,1
308,82,299,1
309,86,534,1
310,86,609,1
311,86,35,1
312,86,127,1
313,86,190,1
314,86,54,1
315,86,268,1
316,86,313,1
317,87,78,1
318,87,114,1
319,89,17,1
320,89,549,1
321,89,193,1
322,89,66,1
323,90,117,1
324,96,38,1
325,96,587,1
326,96,590,1
327,96,364,1
328,96,606,1
329,96,151,1
330,96,179,1
331,97,486,1
332,97,301,1
333,97,269,1
334,97,50,1
335,99,118,1
336,101,104,1
337,101,22,1
338,104,101,1
339,104,296,1
340,106,245,1
341,106,122,1
342,106,39,1
343,106,8,1
344,109,110,1
345,110,118,1
346,110,335,1
347,110,65,1
348,110,325,1
349,111,495,1
350,112,251,1
351,112,51,1
352,112,209,1
353,112,363,1
354,113,141,1
355,113,197,1
356,113,250,1
357,113,154,1
358,113,89,1
359,113,540,1
360,113,66,1
361,114,87,1
362,115,37,1
363,116,19,1
364,117,119,1
365,117,50,1
366,118,110,1
367,118,53,1
368,118,99,1
369,118,85,1
370,118,45,1
371,119,70,1
372,119,51,1
373,119,16,1
374,119,537,1
375,119,560,1
376,119,551,1
377,119,50,1
378,119,625,1
379,119,422,1
380,119,285,1
381,119,486,1
382,119,492,1
383,120,25,1
384,120,35,1
385,120,39,1
386,120,115,1
387,121,484,1
388,121,193,1
389,122,487,1
390,122,106,1
391,122,39,1
392,122,420,1
393,124,77,1
394,125,7,1
395,127,86,1
396,127,35,1
397,127,489,1
398,127,393,1
399,129,268,1
400,129,489,1
401,129,553,1
402,129,213,1
403,129,82,1
404,129,521,1
405,129,505,1
406,129,10,1
407,129,534,1
408,129,335,1
409,129,579,1
410,129,325,1
411,130,0,1
412,130,63,1
413,0,364,0
414,2,54,0
415,3,201,0
416,3,87,0
417,3,613,0
418,3,265,0
419,4,7,0
420,6,81,0
421,6,223,0
422,6,624,0
423,6,299,0
424,7,273,0
425,8,73,0
426,8,211,0
427,8,221,0
428,8,311,0
429,8,365,0
430,8,322,0
431,8,174,0
432,8,538,0
433,8,355,0
434,8,400,0
435,8,599,0
436,8,100,0
437,8,421,0
438,8,55,0
439,8,566,0
440,9,626,0
441,10,464,0
442,10,583,0
443,10,397,0
444,10,538,0
445,10,342,0
446,10,468,0
447,10,414,0
