,TF,Target,Label
0,0,130,1
1,2,77,1
2,3,484,1
3,3,164,1
4,3,540,1
5,3,326,1
6,4,78,1
7,6,575,1
8,6,614,1
9,6,62,1
10,6,151,1
11,8,579,1
12,8,61,1
13,8,25,1
14,8,469,1
15,8,518,1
16,8,40,1
17,8,489,1
18,8,155,1
19,8,35,1
20,8,144,1
21,8,64,1
22,8,12,1
23,8,37,1
24,8,50,1
25,8,268,1
26,9,126,1
27,10,553,1
28,10,335,1
29,10,52,1
30,10,614,1
31,10,519,1
32,10,189,1
33,10,500,1
34,10,47,1
35,10,129,1
36,10,379,1
37,10,226,1
38,10,469,1
39,10,324,1
40,10,190,1
41,10,8,1
42,10,213,1
43,10,270,1
44,10,521,1
45,10,489,1
46,10,495,1
47,12,39,1
48,12,35,1
49,15,118,1
50,16,50,1
51,16,119,1
52,16,265,1
53,16,55,1
54,16,614,1
55,16,49,1
56,17,154,1
57,17,310,1
58,17,89,1
59,17,279,1
60,17,326,1
61,17,33,1
62,17,66,1
63,17,288,1
64,19,28,1
65,19,116,1
66,19,486,1
67,20,612,1
68,22,101,1
69,22,104,1
70,23,48,1
71,23,151,1
72,23,270,1
73,23,226,1
74,25,8,1
75,25,518,1
76,25,39,1
77,25,35,1
78,26,375,1
79,26,19,1
80,26,486,1
81,27,579,1
82,27,324,1
83,27,313,1
84,27,41,1
85,27,489,1
86,27,36,1
87,28,50,1
88,30,400,1
89,33,50,1
90,33,77,1
91,33,160,1
92,33,17,1
93,34,118,1
94,34,55,1
95,35,190,1
96,35,469,1
97,35,86,1
98,35,12,1
99,35,8,1
100,35,127,1
101,35,37,1
102,35,120,1
103,36,54,1
104,36,27,1
105,36,213,1
106,37,609,1
107,37,51,1
108,37,8,1
109,37,251,1
110,37,600,1
111,37,342,1
112,37,35,1
113,37,626,1
114,38,226,1
115,38,151,1
116,38,580,1
117,38,96,1
118,39,144,1
119,39,120,1
120,39,487,1
121,39,25,1
122,39,122,1
123,39,8,1
124,40,368,1
125,40,155,1
126,41,82,1
127,41,489,1
128,41,500,1
129,41,226,1
130,41,519,1
131,41,47,1
132,41,534,1
133,41,48,1
134,41,495,1
135,41,270,1
136,41,54,1
137,41,27,1
138,41,569,1
139,41,190,1
140,41,575,1
141,41,580,1
142,44,155,1
143,45,118,1
144,47,500,1
145,47,553,1
146,47,226,1
147,47,10,1
148,47,575,1
149,47,510,1
150,47,580,1
151,47,505,1
152,47,489,1
153,47,614,1
154,47,173,1
155,47,82,1
156,47,519,1
157,47,214,1
158,47,324,1
159,47,469,1
160,47,52,1
161,47,521,1
162,47,289,1
163,47,189,1
164,48,495,1
165,48,226,1
166,48,521,1
167,48,23,1
168,48,41,1
169,48,510,1
170,48,500,1
171,48,10,1
172,48,338,1
173,48,129,1
174,48,190,1
175,48,270,1
176,48,469,1
177,48,189,1
178,48,579,1
179,48,569,1
180,48,534,1
181,48,614,1
182,48,52,1
183,48,325,1
184,48,505,1
185,49,16,1
186,49,101,1
187,49,58,1
188,50,28,1
189,50,77,1
190,50,26,1
191,50,33,1
192,50,119,1
193,50,19,1
194,50,375,1
195,50,117,1
196,51,119,1
197,51,560,1
198,51,209,1
199,51,600,1
200,51,363,1
201,51,251,1
202,51,626,1
203,51,609,1
204,51,342,1
205,51,625,1
206,51,483,1
207,51,212,1
208,51,112,1
209,52,48,1
210,52,519,1
211,52,81,1
212,52,173,1
213,52,270,1
214,52,129,1
215,52,289,1
216,52,213,1
217,52,324,1
218,52,379,1
219,52,503,1
220,52,313,1
221,52,553,1
222,52,500,1
223,52,338,1
224,52,489,1
225,52,335,1
226,52,189,1
227,52,325,1
228,52,82,1
229,54,27,1
230,54,534,1
231,54,324,1
232,54,190,1
233,54,579,1
234,54,489,1
235,55,77,1
236,55,16,1
237,55,63,1
238,59,118,1
239,61,155,1
240,61,8,1
241,61,120,1
242,61,34,1
243,62,110,1
244,63,123,1
245,63,55,1
246,63,130,1
247,64,8,1
248,64,61,1
249,65,97,1
250,65,402,1
251,65,41,1
252,65,322,1
253,66,250,1
254,66,549,1
255,66,17,1
256,66,197,1
257,68,484,1
258,68,3,1
259,68,121,1
260,68,540,1
261,69,155,1
262,69,44,1
263,70,97,1
264,76,486,1
265,77,124,1
266,77,104,1
267,77,160,1
268,77,249,1
269,77,2,1
270,77,22,1
271,77,527,1
272,77,315,1
273,77,343,1
274,78,87,1
275,78,4,1
276,78,375,1
277,81,325,1
278,81,521,1
279,81,82,1
280,81,268,1
281,81,324,1
282,81,289,1
283,81,10,1
284,81,190,1
285,81,214,1
286,81,553,1
287,81,313,1
288,81,495,1
289,81,505,1
290,81,41,1
291,81,575,1
292,81,510,1
293,81,173,1
294,81,500,1
295,81,201,1
296,81,579,1
297,82,190,1
298,82,129,1
299,82,268,1
300,82,48,1
301,82,335,1
302,82,313,1
303,82,52,1
304,82,81,1
305,82,324,1
306,82,41,1
307,82,270,1
308,82,214,1
309,82,469,1
310,82,534,1
311,82,505,1
312,82,579,1
313,82,299,1
314,82,510,1
315,82,553,1
316,82,379,1
317,82,489,1
318,82,338,1
319,86,609,1
320,86,313,1
321,86,35,1
322,86,579,1
323,86,190,1
324,86,324,1
325,86,489,1
326,86,8,1
327,87,4,1
328,87,114,1
329,89,197,1
330,89,66,1
331,89,17,1
332,89,113,1
333,90,117,1
334,96,364,1
335,96,379,1
336,96,38,1
337,96,587,1
338,96,151,1
339,96,203,1
340,96,179,1
341,97,269,1
342,97,119,1
343,97,486,1
344,97,70,1
345,99,118,1
346,101,77,1
347,101,22,1
348,101,104,1
349,104,77,1
350,104,101,1
351,104,22,1
352,106,8,1
353,106,420,1
354,106,245,1
355,106,122,1
356,109,110,1
357,110,335,1
358,110,62,1
359,110,65,1
360,110,118,1
361,112,363,1
362,112,209,1
363,112,600,1
364,112,51,1
365,113,549,1
366,113,89,1
367,113,197,1
368,113,17,1
369,113,141,1
370,113,33,1
371,113,154,1
372,113,66,1
373,114,87,1
374,115,37,1
375,116,19,1
376,117,119,1
377,117,50,1
378,118,34,1
379,118,15,1
380,118,110,1
381,118,130,1
382,118,45,1
383,119,458,1
384,119,276,1
385,119,492,1
386,119,49,1
387,119,560,1
388,119,160,1
389,119,285,1
390,119,625,1
391,119,403,1
392,119,422,1
393,119,551,1
394,119,486,1
395,120,61,1
396,120,35,1
397,120,8,1
398,120,39,1
399,121,68,1
400,121,484,1
401,122,39,1
402,122,99,1
403,122,487,1
404,122,8,1
405,124,77,1
406,126,9,1
407,127,86,1
408,127,489,1
409,127,324,1
410,127,579,1
411,129,579,1
412,129,521,1
413,129,213,1
414,129,81,1
415,129,10,1
416,129,268,1
417,129,82,1
418,129,48,1
419,129,289,1
420,129,52,1
421,129,469,1
422,129,335,1
423,130,0,1
424,130,63,1
425,131,603,1
426,0,140,0
427,2,85,0
428,3,569,0
429,3,304,0
430,3,582,0
431,3,173,0
432,4,588,0
433,6,335,0
434,6,315,0
435,6,171,0
436,6,343,0
437,8,101,0
438,8,612,0
439,8,434,0
440,8,626,0
441,8,404,0
442,8,124,0
443,8,260,0
444,8,222,0
445,8,69,0
446,8,246,0
447,8,263,0
