#ID,TF,index
0,25,57
1,57,25
2,45,677
3,16,629
4,16,371
5,16,561
6,16,23
7,23,16
8,16,594
9,16,535
10,16,236
11,16,484
12,16,516
13,16,184
14,16,29
15,29,16
16,16,377
17,16,565
18,23,561
19,29,561
20,45,248
21,45,9
22,9,45
23,45,98
24,45,657
25,45,204
26,45,241
27,45,617
28,45,583
29,45,58
30,58,45
31,45,168
32,45,457
33,45,435
34,45,507
35,45,288
36,45,36
37,36,45
38,45,51
39,51,45
40,45,338
41,35,564
42,13,289
43,54,185
44,4,491
45,31,15
46,15,31
47,9,342
48,26,497
49,23,371
50,29,371
51,23,535
52,29,535
53,9,54
54,54,9
55,9,26
56,26,9
57,9,10
58,10,9
59,37,97
60,53,97
61,7,97
62,43,97
63,13,407
64,5,35
65,35,5
66,58,617
67,58,36
68,36,58
69,57,476
70,59,278
71,36,84
72,54,59
73,59,54
74,54,533
75,54,604
76,54,594
77,54,35
78,35,54
79,54,4
80,4,54
81,18,20
82,20,18
83,29,565
84,29,377
85,29,184
86,29,516
87,29,484
88,29,236
89,29,23
90,23,29
91,29,585
92,2,476
93,36,435
94,23,236
95,13,366
96,23,565
97,35,304
98,23,585
99,10,53
100,53,10
101,4,48
102,48,4
103,4,198
104,4,180
105,0,24
106,24,0
107,0,206
108,59,594
109,6,594
110,42,594
111,23,594
112,50,291
113,23,516
114,53,617
115,23,184
116,52,35
117,35,52
118,38,26
119,26,38
120,46,53
121,53,46
122,46,15
123,15,46
124,46,7
125,7,46
126,35,20
127,20,35
128,35,198
129,59,198
130,26,59
131,59,26
132,26,533
133,26,20
134,20,26
135,23,484
136,19,484
137,42,59
138,59,42
139,42,240
140,42,21
141,21,42
142,6,377
143,6,37
144,37,6
145,27,47
146,47,27
147,23,377
148,59,20
149,20,59
150,15,53
151,53,15
152,7,53
153,53,7
