G0	XPC
G1	MECOM
G2	TSC22D3
G3	HNRNPAB
G4	NOTCH1
G5	HNF4A
G6	HMGB2
G7	PBX1
G8	IRF6
G9	GATA2
G10	GFI1B
G11	MYCN
G12	HDAC7
G13	CD7
G14	NFE2
G15	MLLT3
G16	MCM7
G17	CBX7
G18	VDR
G19	YBX1
G20	RUNX2
G21	NR3C2
G22	NFIA
G23	MCM5
G24	XRCC6
G25	KLF6
G26	CBFB
G27	EYA2
G28	KLF3
G29	MCM4
G30	RORA
G31	CTR9
G32	NUPR1
G33	SATB1
G34	PRDM16
G35	FOXO1
G36	IRF8
G37	H1F0
G38	ELF1
G39	MEF2C
G40	ELL2
G41	TRIB3
G42	PGR
G43	RARB
G44	TEAD2
G45	SPI1
G46	HOXA9
G47	DACH1
G48	MAML3
G49	ZBTB20
G50	SOX18
G51	RUNX1T1
G52	NDN
G53	MEIS1
G54	MYC
G55	HLF
G56	REL
G57	BTG2
G58	IKZF1
G59	ESR1
