#ID,Gene,index
0,XPC,0
1,MECOM,1
2,TSC22D3,2
3,HNRNPAB,3
4,NOTCH1,4
5,HNF4A,5
6,HMGB2,6
7,PBX1,7
8,IRF6,8
9,GATA2,9
10,GFI1B,10
11,MYCN,11
12,HDAC7,12
13,CD7,13
14,NFE2,14
15,MLLT3,15
16,MCM7,16
17,CBX7,17
18,VDR,18
19,YBX1,19
20,RUNX2,20
21,NR3C2,21
22,NFIA,22
23,MCM5,23
24,XRCC6,24
25,KLF6,25
26,CBFB,26
27,EYA2,27
28,KLF3,28
29,MCM4,29
30,RORA,30
31,CTR9,31
32,NUPR1,32
33,SATB1,33
34,PRDM16,34
35,FOXO1,35
36,IRF8,36
37,H1F0,37
38,ELF1,38
39,MEF2C,39
40,ELL2,40
41,TRIB3,41
42,PGR,42
43,RARB,43
44,TEAD2,44
45,SPI1,45
46,HOXA9,46
47,DACH1,47
48,MAML3,48
49,ZBTB20,49
50,SOX18,50
51,RUNX1T1,51
52,NDN,52
53,MEIS1,53
54,MYC,54
55,HLF,55
56,REL,56
57,BTG2,57
58,IKZF1,58
59,ESR1,59
60,SLC22A3,60
61,CREG1,61
62,ENG,62
63,ACAP1,63
64,VLDLR,64
65,HAAO,65
66,C230085N15RIK,66
67,4833407H14RIK,67
68,CTNNAL1,68
69,GM8203,69
70,COX6A2,70
71,GM5111,71
72,GPR171,72
73,ADGRG3,73
74,ARRDC4,74
75,ERP29,75
76,AMIGO2,76
77,LSP1,77
78,IFITM1,78
79,ABCG3,79
80,PBLD2,80
81,CD9,81
82,HID1,82
83,SP100,83
84,LY86,84
85,IGLV1,85
86,NEO1,86
87,FCGRT,87
88,ANGPT1,88
89,NCEH1,89
90,RNF125,90
91,COX6A1,91
92,IFI209,92
93,CLU,93
94,CLEC12A,94
95,RNF38,95
96,UNC45BOS,96
97,H2AFY,97
98,LCP1,98
99,PDGFRB,99
100,CNN3,100
101,NDNF,101
102,PKIB,102
103,LRRC8C,103
104,MPDZ,104
105,SLC18A2,105
106,CCDC136,106
107,DUSP5,107
108,CTNND2,108
109,TMEM246,109
110,2810468N07RIK,110
111,RHOF,111
112,TM6SF1,112
113,SMTNL1,113
114,JAM3,114
115,LYN,115
116,IGFBP4,116
117,SLC16A10,117
118,CD63,118
119,GIMAP1,119
120,RAB40B,120
121,DYNLL1,121
122,BTLA,122
123,NAPSA,123
124,PPP1R15A,124
125,TTC39B,125
126,ENPP5,126
127,NDRG2,127
128,ITPR2,128
129,TUBB4B,129
130,PRKCH,130
131,C130089K02RIK,131
132,PARVG,132
133,SNAP47,133
134,CAPG,134
135,ARHGEF18,135
136,PAQR5,136
137,CTTN,137
138,ZFP658,138
139,TFEC,139
140,ICA1,140
141,RRAS,141
142,SPC24,142
143,MPZL1,143
144,GIMAP4,144
145,WFDC17,145
146,MMRN1,146
147,DCK,147
148,NEAT1,148
149,IGLC2,149
150,ADGRL4,150
151,SERPINF1,151
152,IGHV1-77,152
153,FAM171A1,153
154,GM20342,154
155,SLC25A5,155
