,TF,Target,Label
0,0,24,1
1,2,476,1
2,4,48,1
3,4,491,1
4,4,180,1
5,5,35,1
6,6,37,1
7,6,377,1
8,7,97,1
9,7,46,1
10,9,10,1
11,9,26,1
12,9,54,1
13,10,9,1
14,13,289,1
15,13,407,1
16,15,46,1
17,15,31,1
18,16,484,1
19,16,516,1
20,16,236,1
21,16,371,1
22,16,184,1
23,16,29,1
24,16,535,1
25,16,629,1
26,18,20,1
27,20,35,1
28,20,26,1
29,20,18,1
30,23,516,1
31,23,535,1
32,23,594,1
33,23,565,1
34,23,184,1
35,23,377,1
36,23,561,1
37,23,16,1
38,25,57,1
39,26,497,1
40,26,59,1
41,26,38,1
42,26,533,1
43,27,47,1
44,29,585,1
45,29,16,1
46,29,561,1
47,29,484,1
48,29,371,1
49,29,516,1
50,29,23,1
51,31,15,1
52,35,198,1
53,35,564,1
54,35,54,1
55,35,5,1
56,36,58,1
57,36,435,1
58,36,45,1
59,37,97,1
60,38,26,1
61,42,59,1
62,42,240,1
63,42,21,1
64,45,36,1
65,45,204,1
66,45,98,1
67,45,457,1
68,45,288,1
69,45,677,1
70,45,241,1
71,45,583,1
72,45,168,1
73,45,657,1
74,46,53,1
75,46,15,1
76,47,27,1
77,48,4,1
78,52,35,1
79,53,7,1
80,53,617,1
81,53,97,1
82,53,10,1
83,54,604,1
84,54,59,1
85,54,185,1
86,54,533,1
87,57,25,1
88,58,45,1
89,58,617,1
90,59,26,1
91,59,198,1
92,59,20,1
93,59,42,1
94,0,606,0
95,2,250,0
96,4,116,0
97,4,235,0
98,4,582,0
99,5,297,0
100,6,165,0
101,6,61,0
102,7,512,0
103,7,496,0
104,9,381,0
105,9,143,0
106,9,75,0
107,10,165,0
108,13,627,0
109,13,676,0
110,15,480,0
111,15,420,0
112,16,277,0
113,16,66,0
114,16,387,0
115,16,134,0
116,16,199,0
117,16,624,0
118,16,408,0
119,16,147,0
120,18,225,0
121,20,577,0
122,20,307,0
123,20,129,0
124,23,625,0
125,23,669,0
126,23,682,0
127,23,271,0
128,23,551,0
129,23,568,0
130,23,634,0
131,23,94,0
132,25,21,0
133,26,682,0
134,26,114,0
135,26,28,0
136,26,186,0
137,27,371,0
138,29,220,0
139,29,94,0
140,29,89,0
141,29,605,0
142,29,406,0
143,29,294,0
144,29,45,0
145,31,490,0
146,35,324,0
147,35,584,0
148,35,48,0
149,35,371,0
150,36,533,0
151,36,8,0
152,36,429,0
153,37,435,0
154,38,121,0
155,42,178,0
156,42,367,0
157,42,386,0
158,45,511,0
159,45,640,0
160,45,456,0
161,45,326,0
162,45,282,0
163,45,20,0
164,45,70,0
165,45,486,0
166,45,214,0
167,45,552,0
168,46,269,0
169,46,594,0
170,47,166,0
171,48,154,0
172,52,335,0
173,53,684,0
174,53,14,0
175,53,479,0
176,53,547,0
177,54,340,0
178,54,51,0
179,54,182,0
180,54,549,0
181,57,404,0
182,58,76,0
183,58,145,0
184,59,380,0
185,59,608,0
186,59,567,0
187,59,100,0
