#ID	Name
G0	XPC
G1	MECOM
G2	TSC22D3
G3	HNRNPAB
G4	NOTCH1
G5	HNF4A
G6	HMGB2
G7	PBX1
G8	IRF6
G9	GATA2
G10	GFI1B
G11	MYCN
G12	HDAC7
G13	CD7
G14	NFE2
G15	MLLT3
G16	MCM7
G17	CBX7
G18	VDR
G19	YBX1
G20	RUNX2
G21	NR3C2
G22	NFIA
G23	MCM5
G24	XRCC6
G25	KLF6
G26	CBFB
G27	EYA2
G28	KLF3
G29	MCM4
G30	RORA
G31	CTR9
G32	NUPR1
G33	SATB1
G34	PRDM16
G35	FOXO1
G36	IRF8
G37	H1F0
G38	ELF1
G39	MEF2C
G40	ELL2
G41	TRIB3
G42	PGR
G43	RARB
G44	TEAD2
G45	SPI1
G46	HOXA9
G47	DACH1
G48	MAML3
G49	ZBTB20
G50	SOX18
G51	RUNX1T1
G52	NDN
G53	MEIS1
G54	MYC
G55	HLF
G56	REL
G57	BTG2
G58	IKZF1
G59	ESR1
G60	SLC22A3
G61	CREG1
G62	ENG
G63	ACAP1
G64	VLDLR
G65	HAAO
G66	C230085N15RIK
G67	4833407H14RIK
G68	CTNNAL1
G69	GM8203
G70	COX6A2
G71	GM5111
G72	GPR171
G73	ADGRG3
G74	ARRDC4
G75	ERP29
G76	AMIGO2
G77	LSP1
G78	IFITM1
G79	ABCG3
G80	PBLD2
G81	CD9
G82	HID1
G83	SP100
G84	LY86
G85	IGLV1
G86	NEO1
G87	FCGRT
G88	ANGPT1
G89	NCEH1
G90	RNF125
G91	COX6A1
G92	IFI209
G93	CLU
G94	CLEC12A
G95	RNF38
G96	UNC45BOS
G97	H2AFY
G98	LCP1
G99	PDGFRB
G100	CNN3
G101	NDNF
G102	PKIB
G103	LRRC8C
G104	MPDZ
G105	SLC18A2
G106	CCDC136
G107	DUSP5
G108	CTNND2
G109	TMEM246
G110	2810468N07RIK
G111	RHOF
G112	TM6SF1
G113	SMTNL1
G114	JAM3
G115	LYN
G116	IGFBP4
G117	SLC16A10
G118	CD63
G119	GIMAP1
G120	RAB40B
G121	DYNLL1
G122	BTLA
G123	NAPSA
G124	PPP1R15A
G125	TTC39B
G126	ENPP5
G127	NDRG2
G128	ITPR2
G129	TUBB4B
G130	PRKCH
G131	C130089K02RIK
G132	PARVG
G133	SNAP47
G134	CAPG
G135	ARHGEF18
G136	PAQR5
G137	CTTN
G138	ZFP658
G139	TFEC
G140	ICA1
G141	RRAS
G142	SPC24
G143	MPZL1
G144	GIMAP4
G145	WFDC17
G146	MMRN1
G147	DCK
G148	NEAT1
G149	IGLC2
G150	ADGRL4
G151	SERPINF1
G152	IGHV1-77
G153	FAM171A1
G154	GM20342
G155	SLC25A5
G156	RHOJ
G157	LGALS1
G158	CTSG
G159	FSTL1
G160	C1RL
G161	TSPAN13
G162	TBC1D5
G163	PSTPIP1
G164	TMEM173
G165	FDFT1
G166	IL18BP
G167	TMEM206
G168	ITGAM
G169	RAB38
G170	RBPMS
G171	ARHGAP18
G172	GOLM1
G173	CCT2
G174	GPX1
G175	TGM2
G176	S100A6
G177	NUCB2
G178	PPIC
G179	SCRN1
G180	ADAM17
G181	SLC6A15
G182	MSMO1
G183	GAS2L3
G184	NCAPD2
G185	CD44
G186	CDK17
G187	DUSP6
G188	CSGALNACT1
G189	FGD2
G190	TFR2
G191	RANBP1
G192	CTSW
G193	GIMAP3
G194	PF4
G195	TRAF1
G196	EVI2A
G197	JAM2
G198	IGF1
G199	COX7B
G200	F2R
G201	CERS4
G202	SLC29A1
G203	EMB
G204	SERPINA3N
G205	ANKRD33B
G206	USP11
G207	HCK
G208	TPM4
G209	9030619P08RIK
G210	AI504432
G211	ADGRG1
G212	RNF213
G213	DOK2
G214	KAZALD1
G215	ATP8B4
G216	GM26917
G217	FLNA
G218	GGTA1
G219	SLC39A13
G220	F630028O10RIK
G221	PDGFD
G222	LARS2
