#ID,TF,index
0,RUNX1T1,0
1,MEIS1,1
2,GFI1B,2
3,CBX7,3
4,XRCC6,4
5,RORA,5
6,CD7,6
7,MCM5,7
8,IKZF1,8
9,NOTCH1,9
10,MAML3,10
11,SATB1,11
12,SPI1,12
13,RARB,13
14,REL,14
15,MEF2C,15
16,HLF,16
17,CTR9,17
18,MECOM,18
19,HMGB2,19
20,NFE2,20
21,RUNX2,21
22,NR3C2,22
23,MYC,23
24,TRIB3,24
25,PBX1,25
26,IRF8,26
27,BTG2,27
28,MCM4,28
29,XPC,29
30,FOXO1,30
31,ELL2,31
32,VDR,32
33,PGR,33
34,MYCN,34
35,SOX18,35
36,EYA2,36
37,TEAD2,37
38,NDN,38
39,PRDM16,39
40,DACH1,40
41,MLLT3,41
42,HNRNPAB,42
43,ZBTB20,43
44,NFIA,44
45,ESR1,45
46,ELF1,46
47,NUPR1,47
48,HDAC7,48
49,HNF4A,49
50,GATA2,50
51,MCM7,51
52,KLF3,52
53,YBX1,53
54,CBFB,54
55,KLF6,55
56,H1F0,56
57,IRF6,57
58,HOXA9,58
59,TSC22D3,59
