,TF,Target,Label
0,1,2,1
1,1,136,1
2,1,25,1
3,2,50,1
4,4,29,1
5,6,510,1
6,7,558,1
7,7,535,1
8,7,28,1
9,7,255,1
10,7,307,1
11,7,266,1
12,7,556,1
13,8,136,1
14,8,26,1
15,9,506,1
16,9,10,1
17,10,9,1
18,12,283,1
19,12,162,1
20,12,26,1
21,12,448,1
22,12,8,1
23,12,158,1
24,12,464,1
25,17,41,1
26,19,554,1
27,19,556,1
28,21,32,1
29,21,54,1
30,23,259,1
31,23,45,1
32,23,556,1
33,23,9,1
34,25,58,1
35,26,12,1
36,27,55,1
37,28,456,1
38,28,210,1
39,28,554,1
40,28,307,1
41,28,51,1
42,28,535,1
43,28,558,1
44,29,4,1
45,30,82,1
46,30,21,1
47,30,23,1
48,30,38,1
49,32,21,1
50,33,556,1
51,33,539,1
52,41,17,1
53,41,1,1
54,45,21,1
55,45,23,1
56,45,556,1
57,45,54,1
58,46,54,1
59,49,30,1
60,50,12,1
61,50,23,1
62,51,558,1
63,51,389,1
64,51,28,1
65,51,554,1
66,51,535,1
67,51,266,1
68,51,255,1
69,54,50,1
70,54,45,1
71,54,21,1
72,54,134,1
73,55,27,1
74,56,19,1
75,58,1,1
76,58,41,1
77,59,99,1
78,1,399,0
79,1,351,0
80,1,201,0
81,2,350,0
82,4,153,0
83,6,422,0
84,7,429,0
85,7,511,0
86,7,479,0
87,7,110,0
88,7,432,0
89,7,491,0
90,7,392,0
91,8,429,0
92,8,311,0
93,9,265,0
94,9,317,0
95,10,529,0
96,12,346,0
97,12,347,0
98,12,441,0
99,12,394,0
100,12,41,0
101,12,73,0
102,12,243,0
103,17,10,0
104,19,140,0
105,19,211,0
106,21,331,0
107,21,278,0
108,23,126,0
109,23,521,0
110,23,392,0
111,23,238,0
112,25,132,0
113,26,201,0
114,27,334,0
115,28,304,0
116,28,173,0
117,28,171,0
118,28,381,0
119,28,262,0
120,28,422,0
121,28,453,0
122,29,346,0
123,30,228,0
124,30,446,0
125,30,366,0
126,30,423,0
127,32,77,0
128,33,409,0
129,33,187,0
130,41,414,0
131,41,255,0
132,45,283,0
133,45,235,0
134,45,123,0
135,45,10,0
136,46,159,0
137,49,502,0
138,50,458,0
139,50,197,0
140,51,225,0
141,51,13,0
142,51,479,0
143,51,118,0
144,51,188,0
145,51,544,0
146,51,162,0
147,54,400,0
148,54,172,0
149,54,111,0
150,54,430,0
151,55,389,0
152,56,432,0
153,58,540,0
154,58,64,0
155,59,248,0
