#ID	Name
G0	RUNX1T1
G1	MEIS1
G2	GFI1B
G3	CBX7
G4	XRCC6
G5	RORA
G6	CD7
G7	MCM5
G8	IKZF1
G9	NOTCH1
G10	MAML3
G11	SATB1
G12	SPI1
G13	RARB
G14	REL
G15	MEF2C
G16	HLF
G17	CTR9
G18	MECOM
G19	HMGB2
G20	NFE2
G21	RUNX2
G22	NR3C2
G23	MYC
G24	TRIB3
G25	PBX1
G26	IRF8
G27	BTG2
G28	MCM4
G29	XPC
G30	FOXO1
G31	ELL2
G32	VDR
G33	PGR
G34	MYCN
G35	SOX18
G36	EYA2
G37	TEAD2
G38	NDN
G39	PRDM16
G40	DACH1
G41	MLLT3
G42	HNRNPAB
G43	ZBTB20
G44	NFIA
G45	ESR1
G46	ELF1
G47	NUPR1
G48	HDAC7
G49	HNF4A
G50	GATA2
G51	MCM7
G52	KLF3
G53	YBX1
G54	CBFB
G55	KLF6
G56	H1F0
G57	IRF6
G58	HOXA9
G59	TSC22D3
G60	ADAM17
G61	GM1966
G62	ANXA5
G63	LDHB
G64	PTPRE
G65	IGKC
G66	GAA
G67	RNF13
G68	CST7
G69	PRKCH
G70	SPNS2
G71	APLP2
G72	ITGB2
G73	ERP29
G74	MAGED2
G75	SAT1
G76	IGHV1-74
G77	DHRS3
G78	CNN3
G79	CD81
G80	RGS2
G81	ADGRL4
G82	IL7R
G83	RASAL3
G84	NDRG2
G85	FSTL1
G86	LPCAT2
G87	PDGFRB
G88	NRROS
G89	BDH2
G90	IFI27
G91	H2-OB
G92	STXBP1
G93	SERPINB1A
G94	TESPA1
G95	FCHO2
G96	NAPSA
G97	AKNA
G98	PLXNA4OS1
G99	DUSP1
G100	SLC43A2
G101	EEPD1
G102	RNF213
G103	TFEC
G104	GP9
G105	PSTPIP1
G106	GM973
G107	USP11
G108	LYN
G109	CRACR2B
G110	CYFIP2
G111	SLC35D3
G112	LONP2
G113	PLXNC1
G114	NPDC1
G115	IL17RE
G116	PPM1G
G117	GPR18
G118	STK17B
G119	PLD4
G120	STK10
G121	GSN
G122	RCSD1
G123	STARD4
G124	FUCA2
G125	GM37124
G126	NUCB2
G127	LCK
G128	DUSP6
G129	MSMO1
G130	CD55
G131	CD63-PS
G132	TFPI
G133	DCK
G134	CDK6
G135	PPIC
G136	FLT3
G137	SLCO3A1
G138	CPNE8
G139	FGD2
G140	SNAP23
G141	DUSP5
G142	SEMA3D
G143	FHL1
G144	SLC44A2
G145	CLIP3
G146	NLRC3
G147	ELOVL5
G148	PANX1
G149	CMAH
G150	CLEC12A
