G0	SMAD2
G1	ARID3B
G2	ZBTB2
G3	POLR2A
G4	VHL
G5	NR3C1
G6	ARID3A
G7	RAX2
G8	HIF1A
G9	REL
G10	PBXIP1
G11	APBB1
G12	ZNF24
G13	NR2C1
G14	MLL3
G15	SRSF10
G16	SFPQ
G17	KLF7
G18	RAI14
G19	TFAP2A
G20	TGFB1I1
G21	YBX1
G22	ESRRG
G23	DEK
G24	TBX20
G25	HESX1
G26	PHF21A
G27	ZNF471
G28	EGF
G29	SMAD5
G30	ZHX3
G31	STAT3
G32	RNF14
G33	NONO
G34	E2F7
G35	CENPK
G36	RBBP4
G37	UBTF
G38	BTF3
G39	TRIP6
G40	MEIS1
G41	TFAP4
G42	ETV1
G43	ZNF239
G44	SNAI2
G45	ISL1
G46	MAPK10
G47	HNRNPK
G48	FOXJ1
G49	GATAD2A
G50	TRPS1
G51	ZNF219
G52	NFAT5
G53	TRIP11
G54	POLR3E
G55	PHB2
G56	U2AF1
G57	GATA6
G58	NFE2L3
G59	CBX3
G60	SKIL
G61	MEIS2
G62	POU3F1
G63	MYBL2
G64	ANKRD1
G65	PHF17
G66	SLA2
G67	TCF4
G68	CRABP2
G69	GATA3
G70	NAA15
G71	ETS1
G72	TEAD4
G73	TCF7L1
G74	LMX1B
G75	POLR1A
G76	CDCA7L
G77	RUVBL1
G78	BMPR1A
G79	SATB2
G80	LMO3
G81	FUS
G82	RAD51
G83	KHSRP
G84	JUND
G85	TWIST1
G86	KHDRBS2
G87	SALL3
G88	SIX6
G89	SRSF2
G90	ZKSCAN1
G91	CEBPZ
G92	PARN
G93	PDCD11
G94	MAML3
G95	PLAGL2
G96	DACH1
G97	MED14
G98	ZIC3
G99	POLR1C
G100	MCM7
G101	TLE1
G102	ETV7
G103	KLF5
G104	PITX2
G105	SOX17
G106	DAB2
G107	ILF3
G108	CNTRL
G109	TRIM33
G110	RBPJ
G111	CUX1
G112	MLLT3
G113	SOX13
G114	MAFF
G115	RAI1
G116	PPARA
G117	MYOCD
G118	PLAGL1
G119	TRAF6
G120	MAFG
G121	TLE3
G122	POU2AF1
G123	DNMT3A
G124	ARID5B
G125	BCLAF1
G126	HDGF
G127	SERTAD2
G128	AR
G129	BCL11B
G130	KAT6A
G131	SOX4
G132	SPIB
G133	ETV3
G134	ZFHX3
G135	RNPS1
G136	MEF2D
G137	SOS2
G138	ATRX
G139	AEBP1
G140	DDX54
G141	ESPL1
G142	PATZ1
G143	ZNF589
G144	PURA
G145	AFF1
G146	RORB
G147	TEAD1
G148	XRCC5
G149	TRIM27
G150	NCOA6
G151	ZNF165
G152	PDGFA
G153	PRDM14
G154	E2F3
G155	MECOM
G156	SOX7
G157	TP53
G158	SATB1
G159	SNRPB
G160	KLF6
G161	GCM1
G162	SNRPD1
G163	HAND1
G164	LZTS1
G165	ID3
G166	RBFOX2
G167	SETBP1
G168	SIRT1
G169	WDR5
G170	SSB
G171	ZNF160
G172	TCOF1
G173	TBX3
G174	ZNF8
G175	MCM5
G176	AIP
G177	LHX1
G178	NPM1
G179	EOMES
G180	BRWD1
G181	GATA2
G182	FOXH1
G183	NFYB
G184	ZNF398
G185	UHRF1
G186	FOXD3
G187	ZNF202
G188	RFXANK
G189	RUNX1
G190	NR0B1
G191	ATF6
G192	CRX
G193	NFIC
G194	ZBTB38
G195	SALL2
G196	SMAD6
G197	POLR2D
G198	WWP1
G199	OTX2
G200	CITED2
G201	NKX3-1
G202	FOXF1
G203	TGFB1
G204	GSC
G205	ASB9
G206	ARID4B
G207	PSMD9
G208	FOXK1
G209	PPARGC1B
G210	NFKBIA
G211	PAWR
G212	MSX1
G213	SUPT7L
G214	HOPX
G215	DNMT3B
G216	ELK3
G217	EGR1
G218	JMJD1C
G219	PRIC285
G220	MYBBP1A
G221	BCL11A
G222	EEF1A1
G223	TFDP1
G224	SFMBT1
G225	ZEB2
G226	NFATC1
G227	HOXB3
G228	SAP18
G229	DAXX
G230	EWSR1
G231	SF1
G232	SMARCC1
G233	MIF
G234	POLR2F
G235	FXR1
G236	ZIC2
G237	IRF1
G238	SCD5
G239	ZNF83
G240	HOXB6
G241	ANKZF1
G242	CREB3L2
G243	SNAPC4
G244	POLR2H
G245	LIN28A
G246	ZFP42
G247	HELZ
G248	ELAVL2
G249	HNRNPD
G250	POU2F2
G251	ZRANB2
G252	HIST1H1B
G253	POLR2K
G254	AES
G255	HDAC9
G256	SRSF6
G257	APC
G258	RUVBL2
G259	ZNF238
G260	POLR2G
G261	CXXC1
G262	SUPT16H
G263	SHOX
G264	DEDD2
G265	SP100
G266	LDB2
G267	CTNNB1
G268	AIRE
G269	SMARCD1
G270	MCM4
G271	SRSF1
G272	RBMX
G273	DPF2
G274	GTF3C4
G275	SMG6
G276	HNRNPAB
G277	ID1
G278	H1F0
G279	TFE3
G280	KLF8
G281	ZNF142
G282	CBFA2T2
G283	POU5F1
G284	SRC
G285	FUBP1
G286	DNAJC2
G287	BMP2
G288	NANOG
G289	MITF
G290	SP110
G291	PA2G4
G292	ASB4
G293	MXI1
G294	TLE2
G295	NHLH2
G296	RXRG
G297	TRIM28
G298	SHOX2
G299	CCND1
G300	BTG2
G301	MLLT6
G302	SOX2
G303	ELL2
G304	BARX2
G305	NRIP1
G306	ALYREF
G307	NFATC3
G308	CIITA
G309	DNMT1
G310	PER3
G311	ANKRD6
G312	TAF1L
G313	HOXB4
G314	PSIP1
G315	ZNF107
G316	BMP4
G317	MED16
G318	PARP1
G319	HMGA1
G320	ZNF587
G321	FLI1
G322	TLR4
G323	LIMD1
G324	FOXN3
G325	ZFPM2
G326	LEF1
G327	SNAI1
G328	SRSF3
G329	CHAF1A
G330	MCM3
G331	CNBP
G332	TCF19
G333	GTF2H2
G334	WWTR1
G335	ASH2L
G336	BHLHE40
G337	ZNF146
G338	UPF2
G339	HOXB2
G340	TLR7
G341	SNAPC3
G342	SMARCD3
G343	CTBP1
G344	ASXL1
G345	CSRP2
G346	NFIA
G347	APBB2
G348	ARNT2
G349	HIF3A
G350	POU2F1
G351	RARG
G352	MYCN
G353	FOXJ2
G354	TMF1
G355	TRIP13
G356	POLR2I
G357	HOXB7
G358	CSDE1
G359	MCM6
G360	POLR1B
G361	ZNF585B
G362	TCEA1
G363	ENO1
G364	YAF2
G365	MCM2
G366	ZNF488
G367	ZEB1
G368	HMGN2
G369	SOX5
G370	E2F4
G371	HLX
G372	MKI67IP
G373	APEX1
G374	ALS2CR8
G375	PBX1
G376	HAND2
G377	MDM4
G378	SOX3
G379	CREB3L4
G380	AFF4
G381	CALCOCO1
G382	LMO2
G383	NFKBIB
G384	GRHL1
G385	UPF1
G386	MXD4
G387	PTMA
G388	NFIB
G389	PGR
G390	STAT2
G391	EZH2
G392	ZNF764
G393	XRCC6
G394	RBM14
G395	TRIM25
G396	ILF2
G397	GATA4
G398	ETV4
G399	GRHL2
G400	RNF19A
G401	IFI16
G402	PRDM1
G403	TRERF1
G404	FOXP1
G405	HCFC1
G406	KAT7
G407	TRIM22
G408	DMBX1
G409	EHMT2
