#ID,Gene,index
0,SMAD2,0
1,ARID3B,1
2,ZBTB2,2
3,POLR2A,3
4,VHL,4
5,NR3C1,5
6,ARID3A,6
7,RAX2,7
8,HIF1A,8
9,REL,9
10,PBXIP1,10
11,APBB1,11
12,ZNF24,12
13,NR2C1,13
14,MLL3,14
15,SRSF10,15
16,SFPQ,16
17,KLF7,17
18,RAI14,18
19,TFAP2A,19
20,TGFB1I1,20
21,YBX1,21
22,ESRRG,22
23,DEK,23
24,TBX20,24
25,HESX1,25
26,PHF21A,26
27,ZNF471,27
28,EGF,28
29,SMAD5,29
30,ZHX3,30
31,STAT3,31
32,RNF14,32
33,NONO,33
34,E2F7,34
35,CENPK,35
36,RBBP4,36
37,UBTF,37
38,BTF3,38
39,TRIP6,39
40,MEIS1,40
41,TFAP4,41
42,ETV1,42
43,ZNF239,43
44,SNAI2,44
45,ISL1,45
46,MAPK10,46
47,HNRNPK,47
48,FOXJ1,48
49,GATAD2A,49
50,TRPS1,50
51,ZNF219,51
52,NFAT5,52
53,TRIP11,53
54,POLR3E,54
55,PHB2,55
56,U2AF1,56
57,GATA6,57
58,NFE2L3,58
59,CBX3,59
60,SKIL,60
61,MEIS2,61
62,POU3F1,62
63,MYBL2,63
64,ANKRD1,64
65,PHF17,65
66,SLA2,66
67,TCF4,67
68,CRABP2,68
69,GATA3,69
70,NAA15,70
71,ETS1,71
72,TEAD4,72
73,TCF7L1,73
74,LMX1B,74
75,POLR1A,75
76,CDCA7L,76
77,RUVBL1,77
78,BMPR1A,78
79,SATB2,79
80,LMO3,80
81,FUS,81
82,RAD51,82
83,KHSRP,83
84,JUND,84
85,TWIST1,85
86,KHDRBS2,86
87,SALL3,87
88,SIX6,88
89,SRSF2,89
90,ZKSCAN1,90
91,CEBPZ,91
92,PARN,92
93,PDCD11,93
94,MAML3,94
95,PLAGL2,95
96,DACH1,96
97,MED14,97
98,ZIC3,98
99,POLR1C,99
100,MCM7,100
101,TLE1,101
102,ETV7,102
103,KLF5,103
104,PITX2,104
105,SOX17,105
106,DAB2,106
107,ILF3,107
108,CNTRL,108
109,TRIM33,109
110,RBPJ,110
111,CUX1,111
112,MLLT3,112
113,SOX13,113
114,MAFF,114
115,RAI1,115
116,PPARA,116
117,MYOCD,117
118,PLAGL1,118
119,TRAF6,119
120,MAFG,120
121,TLE3,121
122,POU2AF1,122
123,DNMT3A,123
124,ARID5B,124
125,BCLAF1,125
126,HDGF,126
127,SERTAD2,127
128,AR,128
129,BCL11B,129
130,KAT6A,130
131,SOX4,131
132,SPIB,132
133,ETV3,133
134,ZFHX3,134
135,RNPS1,135
136,MEF2D,136
137,SOS2,137
138,ATRX,138
139,AEBP1,139
140,DDX54,140
141,ESPL1,141
142,PATZ1,142
143,ZNF589,143
144,PURA,144
145,AFF1,145
146,RORB,146
147,TEAD1,147
148,XRCC5,148
149,TRIM27,149
150,NCOA6,150
151,ZNF165,151
152,PDGFA,152
153,PRDM14,153
154,E2F3,154
155,MECOM,155
156,SOX7,156
157,TP53,157
158,SATB1,158
159,SNRPB,159
160,KLF6,160
161,GCM1,161
162,SNRPD1,162
163,HAND1,163
164,LZTS1,164
165,ID3,165
166,RBFOX2,166
167,SETBP1,167
168,SIRT1,168
169,WDR5,169
170,SSB,170
171,ZNF160,171
172,TCOF1,172
173,TBX3,173
174,ZNF8,174
175,MCM5,175
176,AIP,176
177,LHX1,177
178,NPM1,178
179,EOMES,179
180,BRWD1,180
181,GATA2,181
182,FOXH1,182
183,NFYB,183
184,ZNF398,184
185,UHRF1,185
186,FOXD3,186
187,ZNF202,187
188,RFXANK,188
189,RUNX1,189
190,NR0B1,190
191,ATF6,191
192,CRX,192
193,NFIC,193
194,ZBTB38,194
195,SALL2,195
196,SMAD6,196
197,POLR2D,197
198,WWP1,198
199,OTX2,199
200,CITED2,200
201,NKX3-1,201
202,FOXF1,202
203,TGFB1,203
204,GSC,204
205,ASB9,205
206,ARID4B,206
207,PSMD9,207
208,FOXK1,208
209,PPARGC1B,209
210,NFKBIA,210
211,PAWR,211
212,MSX1,212
213,SUPT7L,213
214,HOPX,214
215,DNMT3B,215
216,ELK3,216
217,EGR1,217
218,JMJD1C,218
219,PRIC285,219
220,MYBBP1A,220
221,BCL11A,221
222,EEF1A1,222
223,TFDP1,223
224,SFMBT1,224
225,ZEB2,225
226,NFATC1,226
227,HOXB3,227
228,SAP18,228
229,DAXX,229
230,EWSR1,230
231,SF1,231
232,SMARCC1,232
233,MIF,233
234,POLR2F,234
235,FXR1,235
236,ZIC2,236
237,IRF1,237
238,SCD5,238
239,ZNF83,239
240,HOXB6,240
241,ANKZF1,241
242,CREB3L2,242
243,SNAPC4,243
244,POLR2H,244
245,LIN28A,245
246,ZFP42,246
247,HELZ,247
248,ELAVL2,248
249,HNRNPD,249
250,POU2F2,250
251,ZRANB2,251
252,HIST1H1B,252
253,POLR2K,253
254,AES,254
255,HDAC9,255
256,SRSF6,256
257,APC,257
258,RUVBL2,258
259,ZNF238,259
260,POLR2G,260
261,CXXC1,261
262,SUPT16H,262
263,SHOX,263
264,DEDD2,264
265,SP100,265
266,LDB2,266
267,CTNNB1,267
268,AIRE,268
269,SMARCD1,269
270,MCM4,270
271,SRSF1,271
272,RBMX,272
273,DPF2,273
274,GTF3C4,274
275,SMG6,275
276,HNRNPAB,276
277,ID1,277
278,H1F0,278
279,TFE3,279
280,KLF8,280
281,ZNF142,281
282,CBFA2T2,282
283,POU5F1,283
284,SRC,284
285,FUBP1,285
286,DNAJC2,286
287,BMP2,287
288,NANOG,288
289,MITF,289
290,SP110,290
291,PA2G4,291
292,ASB4,292
293,MXI1,293
294,TLE2,294
295,NHLH2,295
296,RXRG,296
297,TRIM28,297
298,SHOX2,298
299,CCND1,299
300,BTG2,300
301,MLLT6,301
302,SOX2,302
303,ELL2,303
304,BARX2,304
305,NRIP1,305
306,ALYREF,306
307,NFATC3,307
308,CIITA,308
309,DNMT1,309
310,PER3,310
311,ANKRD6,311
312,TAF1L,312
313,HOXB4,313
314,PSIP1,314
315,ZNF107,315
316,BMP4,316
317,MED16,317
318,PARP1,318
319,HMGA1,319
320,ZNF587,320
321,FLI1,321
322,TLR4,322
323,LIMD1,323
324,FOXN3,324
325,ZFPM2,325
326,LEF1,326
327,SNAI1,327
328,SRSF3,328
329,CHAF1A,329
330,MCM3,330
331,CNBP,331
332,TCF19,332
333,GTF2H2,333
334,WWTR1,334
335,ASH2L,335
336,BHLHE40,336
337,ZNF146,337
338,UPF2,338
339,HOXB2,339
340,TLR7,340
341,SNAPC3,341
342,SMARCD3,342
343,CTBP1,343
344,ASXL1,344
345,CSRP2,345
346,NFIA,346
347,APBB2,347
348,ARNT2,348
349,HIF3A,349
350,POU2F1,350
351,RARG,351
352,MYCN,352
353,FOXJ2,353
354,TMF1,354
355,TRIP13,355
356,POLR2I,356
357,HOXB7,357
358,CSDE1,358
359,MCM6,359
360,POLR1B,360
361,ZNF585B,361
362,TCEA1,362
363,ENO1,363
364,YAF2,364
365,MCM2,365
366,ZNF488,366
367,ZEB1,367
368,HMGN2,368
369,SOX5,369
370,E2F4,370
371,HLX,371
372,MKI67IP,372
373,APEX1,373
374,ALS2CR8,374
375,PBX1,375
376,HAND2,376
377,MDM4,377
378,SOX3,378
379,CREB3L4,379
380,AFF4,380
381,CALCOCO1,381
382,LMO2,382
383,NFKBIB,383
384,GRHL1,384
385,UPF1,385
386,MXD4,386
387,PTMA,387
388,NFIB,388
389,PGR,389
390,STAT2,390
391,EZH2,391
392,ZNF764,392
393,XRCC6,393
394,RBM14,394
395,TRIM25,395
396,ILF2,396
397,GATA4,397
398,ETV4,398
399,GRHL2,399
400,RNF19A,400
401,IFI16,401
402,PRDM1,402
403,TRERF1,403
404,FOXP1,404
405,HCFC1,405
406,KAT7,406
407,TRIM22,407
408,DMBX1,408
409,EHMT2,409
410,PDCD2,410
411,MBTD1,411
412,HOMER1,412
413,GYPE,413
414,MRS2,414
415,ISCA1,415
416,AMN1,416
417,ITGA4,417
418,CYP1B1,418
419,IGDCC4,419
420,AIF1L,420
421,NIPSNAP1,421
422,KLHL6,422
423,SECISBP2L,423
424,SH3BP5,424
425,ASNS,425
426,ARHGAP28,426
427,TJP2,427
428,UCHL3,428
429,RIN2,429
430,URB2,430
431,DNAJC16,431
432,PHC1,432
433,DNAJB14,433
434,PDGFRA,434
435,PLK2,435
436,PRMT3,436
437,TRPC4,437
438,MEX3C,438
439,CDC25C,439
440,CHD9,440
441,NIN,441
442,EXOSC3,442
443,ZDHHC2,443
444,TRIB1,444
445,PLOD2,445
446,EPHA4,446
447,PRSS23,447
448,SEPHS1,448
449,GNG11,449
450,C11orf82,450
451,CHEK2,451
452,TMEM50B,452
453,NEDD4,453
454,TTN,454
455,IFT80,455
456,CCDC80,456
457,SLC39A7,457
458,TSPAN13,458
459,MAPKAPK3,459
460,TBC1D4,460
461,ERCC-00009,461
462,CADM1,462
463,RRN3,463
464,PIK3R5,464
465,WDR12,465
466,EDEM3,466
467,ACAD8,467
468,CCDC50,468
469,OAS1,469
470,CLU,470
471,ATP11C,471
472,STX6,472
473,SLC7A5,473
474,PPP1R9A,474
475,PCNA,475
476,LHFP,476
477,CLDN11,477
478,LRRC16A,478
479,IFT81,479
480,RAD54L,480
481,SEPP1,481
482,NRP1,482
483,CDH11,483
484,NAGA,484
485,HIAT1,485
486,SYT1,486
487,MEPE,487
488,SEMA6A,488
489,STC1,489
490,SEMA3E,490
491,KDR,491
492,IMPAD1,492
493,RAD51AP1,493
494,UNC13B,494
495,SLFN5,495
496,PRTG,496
497,MAPRE2,497
498,KIAA1324L,498
499,SLC16A2,499
500,DENND1A,500
501,FAM126B,501
502,FAM126A,502
503,ZFC3H1,503
504,BLM,504
505,KIAA1109,505
506,UCK2,506
507,SLC18B1,507
508,LGR5,508
509,SLC35A3,509
510,HECW2,510
511,MRPS35,511
512,LIX1,512
513,COL11A1,513
514,TUBE1,514
515,EPHA1,515
516,RRAGD,516
517,C2orf69,517
518,PPIL1,518
519,STEAP1B,519
520,FRYL,520
521,LRRCC1,521
522,EPHB2,522
523,GAD1,523
524,ERCC-00136,524
525,PMAIP1,525
526,ERCC-00071,526
527,MFN2,527
528,ZNF691,528
529,NAA25,529
530,C8orf42,530
531,BAG3,531
532,LUM,532
533,AURKB,533
534,CHN1,534
535,FGF2,535
536,SNX18,536
537,IL13RA1,537
538,CLDN10,538
539,CRIM1,539
540,GPC3,540
541,SLC7A3,541
542,GOLGB1,542
543,MAT2B,543
544,NTS,544
545,SORD,545
546,MCM10,546
547,BTBD10,547
548,SEL1L,548
549,VRK1,549
550,ELOVL2,550
551,ZFYVE21,551
552,TIPIN,552
553,B3GNT5,553
554,TTK,554
555,MAMLD1,555
556,MAP7,556
557,PSMC3IP,557
558,TRIM35,558
559,BCAS2,559
560,FBXO34,560
561,VIM,561
562,FEZ1,562
563,TMEM48,563
564,GALNT11,564
565,YPEL5,565
566,DRAM2,566
567,METTL19,567
568,GDAP1,568
569,UTP14A,569
570,ZNF124,570
571,THY1,571
572,CPD,572
573,TNC,573
574,ARL4A,574
575,TSR2,575
576,ATP2B4,576
577,FZD5,577
578,MND1,578
579,ERCC-00074,579
580,ARMC4,580
581,HPRT1,581
582,FAM20A,582
583,INSIG2,583
584,ZNF516,584
585,EIF5A2,585
586,EXO1,586
587,CRHBP,587
588,SORT1,588
589,FAM159B,589
590,STK3,590
591,ZNF280B,591
592,NFXL1,592
593,FAM117B,593
594,GRPR,594
595,STX17,595
596,EGLN1,596
597,COBLL1,597
598,CCDC82,598
599,CYB5A,599
600,WDR75,600
601,RFPL2,601
602,ZSWIM6,602
603,FGD6,603
604,LIPG,604
605,VPS13C,605
606,GALC,606
607,ZDHHC21,607
608,NOP16,608
609,KIF15,609
610,RFESD,610
611,TFPI,611
612,RCAN2,612
613,GLDC,613
614,ERCC-00002,614
615,UPF3B,615
616,PLK1,616
617,GCA,617
618,KIAA0528,618
619,NT5DC3,619
620,ODF2,620
621,PPAT,621
622,FZD7,622
623,PGM1,623
624,STK17B,624
625,THYN1,625
626,RHAG,626
627,RAVER2,627
628,FAM162A,628
629,SLC2A1,629
630,MANEA,630
631,ERBB2IP,631
632,IQGAP2,632
633,CDCA7,633
