,TF,Target,Label
0,0,1224,1
1,0,314,1
2,0,187,1
3,0,52,1
4,0,937,1
5,0,927,1
6,0,74,1
7,0,328,1
8,0,1193,1
9,0,536,1
10,0,26,1
11,0,428,1
12,0,730,1
13,0,94,1
14,0,1396,1
15,0,795,1
16,0,151,1
17,0,183,1
18,0,134,1
19,0,1385,1
20,0,537,1
21,0,180,1
22,0,701,1
23,0,158,1
24,0,174,1
25,0,885,1
26,0,843,1
27,0,1210,1
28,0,27,1
29,0,961,1
30,0,1304,1
31,0,1375,1
32,0,1247,1
33,0,1021,1
34,0,577,1
35,0,1275,1
36,0,1162,1
37,0,1202,1
38,0,1175,1
39,0,995,1
40,0,8,1
41,0,97,1
42,0,736,1
43,0,1370,1
44,0,682,1
45,0,1132,1
46,0,574,1
47,0,218,1
48,0,248,1
49,0,1363,1
50,0,637,1
51,0,1342,1
52,0,1346,1
53,0,1359,1
54,0,61,1
55,0,470,1
56,0,1120,1
57,0,184,1
58,0,1039,1
59,0,950,1
60,0,1074,1
61,0,1257,1
62,0,525,1
63,0,786,1
64,0,270,1
65,0,1058,1
66,0,346,1
67,0,578,1
68,0,277,1
69,0,776,1
70,0,819,1
71,0,804,1
72,0,1282,1
73,0,827,1
74,0,642,1
75,0,342,1
76,0,863,1
77,0,1398,1
78,0,1317,1
79,0,829,1
80,0,1201,1
81,0,1381,1
82,0,610,1
83,0,678,1
84,0,694,1
85,0,285,1
86,0,1187,1
87,0,556,1
88,0,124,1
89,0,42,1
90,0,593,1
91,0,490,1
92,0,56,1
93,0,293,1
94,0,410,1
95,0,639,1
96,0,468,1
97,0,774,1
98,0,511,1
99,0,1078,1
100,0,1126,1
101,0,110,1
102,0,549,1
103,0,681,1
104,0,630,1
105,0,1238,1
106,0,789,1
107,0,123,1
108,0,1140,1
109,0,1334,1
110,0,72,1
111,0,1008,1
112,0,657,1
113,0,542,1
114,0,78,1
115,0,211,1
116,0,154,1
117,0,145,1
118,0,121,1
119,0,115,1
120,0,1147,1
121,0,1013,1
122,0,1223,1
123,0,573,1
124,0,294,1
125,0,425,1
126,0,1281,1
127,0,1181,1
128,0,210,1
129,0,60,1
130,0,71,1
131,0,276,1
132,0,488,1
133,0,100,1
134,0,1327,1
135,0,327,1
136,0,473,1
137,0,380,1
138,0,1087,1
139,0,1101,1
140,0,288,1
141,0,1302,1
142,0,1032,1
143,0,402,1
144,0,249,1
145,0,204,1
146,0,672,1
147,0,757,1
148,0,267,1
149,0,462,1
150,0,1011,1
151,0,137,1
152,19,682,1
153,19,67,1
154,19,1140,1
155,19,686,1
156,19,172,1
157,19,893,1
158,19,299,1
159,19,1042,1
160,19,1269,1
161,19,608,1
162,19,1240,1
163,19,1022,1
164,19,306,1
165,19,39,1
166,19,968,1
167,19,574,1
168,19,758,1
169,19,938,1
170,19,8,1
171,19,1211,1
172,19,397,1
173,19,676,1
174,19,620,1
175,19,297,1
176,19,822,1
177,19,1281,1
178,19,905,1
179,19,1070,1
180,19,863,1
181,19,111,1
182,19,462,1
183,19,896,1
184,19,1058,1
185,19,799,1
186,19,1044,1
187,19,1073,1
188,19,411,1
189,19,518,1
190,19,56,1
191,19,1012,1
192,19,490,1
193,19,1406,1
194,19,1074,1
195,19,955,1
196,19,1329,1
197,19,1195,1
198,19,102,1
199,19,1308,1
200,19,1399,1
201,19,1040,1
202,19,404,1
203,19,1189,1
204,19,369,1
205,19,254,1
206,19,495,1
207,19,617,1
208,19,1102,1
209,19,11,1
210,19,628,1
211,19,10,1
212,19,1009,1
213,19,1091,1
214,19,354,1
215,19,1081,1
216,19,1175,1
217,19,434,1
218,19,183,1
219,19,38,1
220,19,343,1
221,19,1401,1
222,19,228,1
223,19,806,1
224,19,533,1
225,19,698,1
226,19,1055,1
227,19,1112,1
228,19,396,1
229,19,1218,1
230,19,1025,1
231,19,1356,1
232,19,827,1
233,19,716,1
234,19,604,1
235,19,36,1
236,19,760,1
237,19,651,1
238,19,421,1
239,19,906,1
240,19,229,1
241,19,1301,1
242,19,1305,1
243,19,1087,1
244,19,217,1
245,19,927,1
246,19,1382,1
247,19,910,1
248,19,261,1
249,19,692,1
250,19,341,1
251,19,432,1
252,19,449,1
253,19,853,1
254,19,1134,1
255,19,107,1
256,19,284,1
257,19,91,1
258,19,512,1
259,19,63,1
260,19,1117,1
261,19,1204,1
262,19,1077,1
263,19,232,1
264,19,1302,1
265,19,879,1
266,19,1004,1
267,19,612,1
268,19,105,1
269,19,1186,1
270,19,222,1
271,19,1324,1
272,19,174,1
273,19,13,1
274,19,1242,1
275,19,1172,1
276,19,650,1
277,19,316,1
278,19,275,1
279,19,401,1
280,19,1375,1
281,19,1067,1
282,19,285,1
283,19,674,1
284,19,271,1
285,19,230,1
286,19,1065,1
287,19,647,1
288,19,1256,1
289,19,351,1
290,19,771,1
291,19,180,1
292,19,730,1
293,19,394,1
294,19,251,1
295,19,884,1
296,19,405,1
297,19,483,1
298,19,291,1
299,19,1339,1
300,19,189,1
301,19,311,1
302,19,907,1
303,19,418,1
304,19,997,1
305,19,429,1
306,19,780,1
307,19,1332,1
308,19,1192,1
309,19,923,1
310,19,1176,1
311,19,1082,1
312,19,1337,1
313,19,724,1
314,19,1047,1
315,19,225,1
316,19,1320,1
317,19,587,1
318,19,329,1
319,19,4,1
320,19,1093,1
321,19,129,1
322,19,136,1
323,19,986,1
324,19,489,1
325,19,888,1
326,19,1408,1
327,19,609,1
328,19,1125,1
329,19,810,1
330,19,196,1
331,19,828,1
332,19,951,1
333,19,141,1
334,19,1220,1
335,19,1143,1
336,19,994,1
337,19,155,1
338,19,213,1
339,19,270,1
340,19,184,1
341,19,1381,1
342,19,335,1
343,19,147,1
344,19,273,1
345,19,497,1
346,19,1388,1
347,19,792,1
348,19,1251,1
349,19,488,1
350,19,978,1
351,19,983,1
352,19,1113,1
353,19,21,1
354,19,606,1
355,19,1338,1
356,19,638,1
357,19,597,1
358,19,320,1
359,19,749,1
360,19,1038,1
361,19,496,1
362,19,309,1
363,19,1060,1
364,19,683,1
365,19,300,1
366,19,12,1
367,19,419,1
368,19,1137,1
369,19,1327,1
370,19,1221,1
371,19,253,1
372,19,858,1
373,19,720,1
374,19,571,1
375,19,504,1
376,19,598,1
377,19,669,1
378,19,1396,1
379,19,575,1
380,19,1214,1
381,19,80,1
382,19,688,1
383,19,554,1
384,19,880,1
385,19,124,1
386,19,667,1
387,19,900,1
388,19,979,1
389,19,250,1
390,19,1007,1
391,19,1210,1
392,19,391,1
393,19,1379,1
394,19,17,1
395,19,1083,1
396,19,581,1
397,19,76,1
398,19,556,1
399,19,1131,1
400,19,514,1
401,19,681,1
402,19,516,1
403,19,1248,1
404,19,142,1
405,19,239,1
406,19,1250,1
407,19,493,1
408,19,529,1
409,19,400,1
410,19,700,1
411,19,972,1
412,19,1294,1
413,19,1238,1
414,19,201,1
415,19,336,1
416,19,541,1
417,19,654,1
418,19,1198,1
419,19,734,1
420,19,1133,1
421,19,993,1
422,19,800,1
423,19,73,1
424,19,678,1
425,19,750,1
426,19,851,1
427,19,1386,1
428,19,127,1
429,19,768,1
430,19,205,1
431,19,117,1
432,19,203,1
433,19,1231,1
434,19,387,1
435,19,623,1
436,19,1223,1
437,19,818,1
438,19,1373,1
439,19,1209,1
440,19,1079,1
441,19,1145,1
442,19,71,1
443,19,159,1
444,19,1078,1
445,19,1239,1
446,19,745,1
447,19,27,1
448,19,472,1
449,19,310,1
450,19,807,1
451,19,584,1
452,19,350,1
453,19,991,1
454,19,613,1
455,19,29,1
456,19,134,1
457,19,707,1
458,19,280,1
459,19,999,1
460,19,928,1
461,19,235,1
462,19,1028,1
463,19,218,1
464,19,345,1
465,19,95,1
466,19,778,1
467,19,721,1
468,19,1063,1
469,19,753,1
470,19,1167,1
471,19,708,1
472,19,748,1
473,19,560,1
474,19,1024,1
475,19,484,1
476,19,289,1
477,19,1292,1
478,19,592,1
479,19,468,1
480,19,783,1
481,19,1216,1
482,19,1342,1
483,19,675,1
484,19,728,1
485,19,640,1
486,19,424,1
487,19,381,1
488,19,1069,1
489,19,361,1
490,19,46,1
491,19,1265,1
492,19,1376,1
493,19,801,1
494,19,1151,1
495,19,1155,1
496,19,463,1
497,19,942,1
498,19,1035,1
499,19,585,1
500,19,143,1
501,19,445,1
502,19,779,1
503,19,890,1
504,19,1086,1
505,19,1158,1
506,19,1034,1
507,19,1262,1
508,19,862,1
509,19,1354,1
510,19,77,1
511,19,809,1
512,19,973,1
513,19,892,1
514,19,1068,1
515,19,959,1
516,19,356,1
517,19,1326,1
518,19,360,1
519,19,425,1
520,19,44,1
521,19,635,1
522,19,382,1
523,19,1237,1
524,19,473,1
525,19,286,1
526,19,1107,1
527,19,388,1
528,19,366,1
529,19,1046,1
530,19,747,1
531,19,894,1
532,19,946,1
533,19,572,1
534,19,209,1
535,19,1261,1
536,19,51,1
537,19,777,1
538,19,328,1
539,19,262,1
540,19,784,1
541,19,433,1
542,19,35,1
543,19,119,1
544,19,1297,1
545,19,786,1
546,19,1005,1
547,19,538,1
548,19,1368,1
549,19,1360,1
550,19,558,1
551,19,1199,1
552,19,294,1
553,19,1352,1
554,19,41,1
555,19,279,1
556,19,532,1
557,19,364,1
558,19,200,1
559,19,659,1
560,19,52,1
561,19,290,1
562,19,1317,1
563,19,932,1
564,19,1037,1
565,19,984,1
566,19,974,1
567,19,781,1
568,19,1284,1
569,19,283,1
570,19,562,1
571,19,811,1
572,19,179,1
573,19,332,1
574,19,931,1
575,19,167,1
576,19,1109,1
577,19,276,1
578,19,1066,1
579,19,349,1
580,19,100,1
581,19,277,1
582,19,546,1
583,19,208,1
584,19,1230,1
585,19,5,1
586,19,876,1
587,19,1348,1
588,19,137,1
589,19,1072,1
590,19,18,1
591,19,583,1
592,19,687,1
593,19,50,1
594,19,657,1
595,19,685,1
596,19,186,1
597,19,1374,1
598,19,48,1
599,19,1407,1
600,19,1263,1
601,19,937,1
602,19,282,1
603,19,1020,1
604,19,498,1
605,19,1275,1
606,19,624,1
607,19,1363,1
608,19,398,1
609,19,706,1
610,19,1190,1
611,19,1271,1
612,19,569,1
613,19,301,1
614,19,330,1
615,19,922,1
616,19,1212,1
617,19,1129,1
618,19,540,1
619,19,1254,1
620,19,156,1
621,19,815,1
622,19,426,1
623,19,668,1
624,19,793,1
625,19,89,1
626,19,324,1
627,19,1048,1
628,19,1191,1
629,19,655,1
630,19,521,1
631,19,321,1
632,19,767,1
633,19,531,1
634,19,88,1
635,19,1119,1
636,19,856,1
637,19,355,1
638,19,774,1
639,19,1061,1
640,19,1052,1
641,19,1259,1
642,19,913,1
643,19,887,1
644,19,103,1
645,19,296,1
646,19,446,1
647,19,480,1
648,19,1283,1
649,19,224,1
650,19,939,1
651,19,61,1
652,19,492,1
653,19,59,1
654,19,392,1
655,19,415,1
656,19,1362,1
657,19,630,1
658,19,648,1
659,19,74,1
660,19,735,1
661,19,967,1
662,19,715,1
663,19,60,1
664,19,359,1
665,19,672,1
666,19,144,1
667,19,897,1
668,19,535,1
669,19,843,1
670,19,1343,1
671,19,244,1
672,19,427,1
673,19,1103,1
674,19,506,1
675,19,885,1
676,19,826,1
677,19,534,1
678,19,622,1
679,19,3,1
680,19,961,1
681,19,866,1
682,19,1085,1
683,19,733,1
684,19,1291,1
685,19,109,1
686,19,195,1
687,19,133,1
688,19,467,1
689,19,1089,1
690,19,914,1
691,19,193,1
692,19,776,1
693,19,1178,1
694,19,595,1
695,19,1323,1
696,19,539,1
697,19,1110,1
698,19,789,1
699,19,550,1
700,19,220,1
701,19,92,1
702,19,1115,1
703,19,90,1
704,19,158,1
705,19,451,1
706,19,519,1
707,19,1331,1
708,19,153,1
709,19,712,1
710,19,334,1
711,19,342,1
712,19,1100,1
713,19,457,1
714,19,175,1
715,19,522,1
716,19,79,1
717,19,247,1
718,19,966,1
719,19,926,1
720,19,390,1
721,19,1367,1
722,19,477,1
723,19,166,1
724,19,548,1
725,19,215,1
726,19,242,1
727,19,1267,1
728,19,1092,1
729,19,646,1
730,19,1,1
731,19,520,1
732,19,652,1
733,19,1096,1
734,19,317,1
735,19,249,1
736,19,1300,1
737,19,212,1
738,19,157,1
739,19,223,1
740,19,918,1
741,19,1268,1
742,19,1030,1
743,19,1232,1
744,19,920,1
745,19,527,1
746,19,0,1
747,19,1173,1
748,19,985,1
749,19,762,1
750,19,1144,1
751,19,123,1
752,19,423,1
753,19,72,1
754,19,898,1
755,19,570,1
756,19,1335,1
757,19,577,1
758,19,1163,1
759,19,1392,1
760,19,1322,1
761,19,950,1
762,19,1116,1
763,19,1341,1
764,19,600,1
765,19,252,1
766,19,1097,1
767,19,187,1
768,19,319,1
769,19,850,1
770,19,1244,1
771,19,380,1
772,19,1053,1
773,19,241,1
774,19,1398,1
775,19,442,1
776,19,543,1
777,19,710,1
778,19,326,1
779,19,1288,1
780,19,1391,1
781,19,1319,1
782,19,794,1
783,19,499,1
784,19,145,1
785,19,245,1
786,19,1340,1
787,19,788,1
788,19,491,1
789,19,460,1
790,19,1404,1
791,19,287,1
792,19,448,1
793,19,501,1
794,19,665,1
795,19,701,1
796,19,255,1
797,19,944,1
798,19,368,1
799,19,517,1
800,19,841,1
801,19,440,1
802,19,293,1
803,19,1160,1
804,19,471,1
805,19,439,1
806,19,1359,1
807,19,1397,1
808,19,902,1
809,19,868,1
810,19,37,1
811,19,181,1
812,19,919,1
813,19,323,1
814,19,901,1
815,19,578,1
816,19,441,1
817,19,666,1
818,19,435,1
819,19,503,1
820,19,238,1
821,19,258,1
822,19,385,1
823,19,34,1
824,19,500,1
825,19,57,1
826,19,176,1
827,19,148,1
828,19,1188,1
829,19,693,1
830,19,1075,1
831,19,130,1
832,19,116,1
833,19,194,1
834,19,1108,1
835,19,269,1
836,19,553,1
837,19,1147,1
838,19,1054,1
839,19,1162,1
840,19,1118,1
841,19,576,1
842,19,106,1
843,19,610,1
844,19,2,1
845,19,601,1
846,19,64,1
847,19,507,1
848,19,108,1
849,19,386,1
850,19,957,1
851,19,190,1
852,19,971,1
853,19,909,1
854,19,582,1
855,19,459,1
856,19,344,1
857,19,717,1
858,19,697,1
859,19,1370,1
860,19,139,1
861,19,754,1
862,19,33,1
863,19,561,1
864,19,634,1
865,19,825,1
866,19,458,1
867,19,23,1
868,19,162,1
869,19,1282,1
870,19,1196,1
871,19,694,1
872,19,1122,1
873,19,1355,1
874,19,1003,1
875,19,502,1
876,19,68,1
877,19,1334,1
878,19,857,1
879,19,996,1
880,19,680,1
881,19,486,1
882,19,26,1
883,19,709,1
884,19,1377,1
885,19,188,1
886,19,1026,1
887,19,352,1
888,19,949,1
889,19,1017,1
890,19,1233,1
891,19,1243,1
892,19,934,1
893,19,1403,1
894,19,975,1
895,19,1179,1
896,19,281,1
897,19,925,1
898,19,267,1
899,19,564,1
900,19,981,1
901,19,115,1
902,19,333,1
903,19,1273,1
904,19,1000,1
905,19,829,1
906,19,118,1
907,19,741,1
908,31,276,1
909,31,187,1
910,31,1291,1
911,31,1146,1
912,31,396,1
913,31,1141,1
914,31,373,1
915,31,841,1
916,31,560,1
917,31,625,1
918,31,303,1
919,31,978,1
920,31,549,1
921,31,645,1
922,31,147,1
923,31,1259,1
924,31,251,1
925,31,1177,1
926,31,888,1
927,31,244,1
928,31,737,1
929,31,559,1
930,31,546,1
931,31,1355,1
932,31,439,1
933,31,338,1
934,31,359,1
935,31,501,1
936,31,488,1
937,31,735,1
938,31,1282,1
939,31,50,1
940,31,1048,1
941,31,748,1
942,31,905,1
943,31,1210,1
944,31,1361,1
945,31,940,1
946,31,1156,1
947,31,650,1
948,31,966,1
949,44,903,1
950,44,384,1
951,44,1157,1
952,44,443,1
953,44,1045,1
954,44,1101,1
955,44,814,1
956,44,1172,1
957,44,902,1
958,44,952,1
959,44,158,1
960,44,31,1
