,TF,Target,Label
0,0,628,1
1,0,687,1
2,0,1370,1
3,0,896,1
4,0,826,1
5,0,573,1
6,0,174,1
7,0,425,1
8,0,525,1
9,0,1317,1
10,0,876,1
11,0,701,1
12,0,1085,1
13,0,542,1
14,0,654,1
15,0,509,1
16,0,789,1
17,0,819,1
18,0,74,1
19,0,210,1
20,0,23,1
21,0,1381,1
22,0,288,1
23,0,602,1
24,0,1058,1
25,0,1147,1
26,0,119,1
27,0,199,1
28,0,574,1
29,0,294,1
30,0,1066,1
31,0,940,1
32,0,1021,1
33,0,134,1
34,0,610,1
35,0,52,1
36,0,390,1
37,0,293,1
38,0,711,1
39,0,497,1
40,0,78,1
41,0,786,1
42,0,428,1
43,0,1039,1
44,0,827,1
45,0,1101,1
46,0,681,1
47,0,642,1
48,0,470,1
49,0,1013,1
50,0,144,1
51,0,537,1
52,0,1186,1
53,0,1140,1
54,0,130,1
55,0,730,1
56,0,759,1
57,0,249,1
58,0,56,1
59,0,776,1
60,0,1181,1
61,0,1313,1
62,0,757,1
63,0,853,1
64,0,829,1
65,0,1078,1
66,0,314,1
67,0,26,1
68,0,1342,1
69,0,1067,1
70,0,888,1
71,0,511,1
72,0,843,1
73,0,445,1
74,0,311,1
75,0,22,1
76,0,593,1
77,0,462,1
78,0,862,1
79,0,296,1
80,0,1375,1
81,0,617,1
82,0,416,1
83,0,94,1
84,0,1396,1
85,0,1175,1
86,0,926,1
87,0,346,1
88,0,468,1
89,0,1224,1
90,0,647,1
91,0,285,1
92,0,328,1
93,0,426,1
94,0,1282,1
95,0,491,1
96,0,158,1
97,0,211,1
98,0,1162,1
99,0,1187,1
100,0,402,1
101,0,1223,1
102,0,903,1
103,0,187,1
104,0,918,1
105,0,196,1
106,0,1011,1
107,0,682,1
108,0,1210,1
109,0,1218,1
110,0,168,1
111,0,42,1
112,0,885,1
113,0,1120,1
114,0,863,1
115,0,184,1
116,0,32,1
117,0,1302,1
118,0,694,1
119,0,324,1
120,0,927,1
121,0,556,1
122,0,1097,1
123,0,1156,1
124,0,380,1
125,0,1363,1
126,0,665,1
127,0,1087,1
128,0,444,1
129,0,966,1
130,0,1275,1
131,0,1327,1
132,0,630,1
133,0,71,1
134,0,1030,1
135,0,60,1
136,0,1304,1
137,0,100,1
138,0,397,1
139,0,123,1
140,0,849,1
141,0,327,1
142,0,490,1
143,0,8,1
144,0,235,1
145,0,115,1
146,0,367,1
147,0,1385,1
148,0,774,1
149,0,1346,1
150,0,1229,1
151,0,1244,1
152,0,333,1
153,19,811,1
154,19,191,1
155,19,570,1
156,19,167,1
157,19,1013,1
158,19,1406,1
159,19,556,1
160,19,531,1
161,19,1053,1
162,19,1396,1
163,19,895,1
164,19,1058,1
165,19,901,1
166,19,1044,1
167,19,709,1
168,19,708,1
169,19,1141,1
170,19,119,1
171,19,973,1
172,19,1244,1
173,19,1097,1
174,19,520,1
175,19,571,1
