#ID,TF,index
0,166,643
1,132,643
2,132,63
3,163,643
4,163,649
5,163,464
6,163,676
7,163,147
8,163,790
9,163,34
10,163,504
11,163,450
12,163,623
13,163,256
14,163,53
15,163,498
16,163,742
17,163,731
18,163,850
19,163,829
20,163,417
21,163,63
22,163,668
23,163,141
24,163,333
25,163,78
26,163,495
27,163,635
28,163,362
29,163,541
30,163,412
31,163,620
32,163,68
33,163,201
34,163,426
35,163,143
36,163,98
37,163,734
38,163,9
39,163,461
40,163,483
41,163,540
42,163,855
43,163,313
44,163,722
45,163,327
46,163,836
47,163,863
48,163,542
49,163,602
50,163,661
51,163,499
52,163,577
53,163,381
54,163,771
55,163,359
56,163,207
57,163,119
58,163,334
59,163,875
60,163,72
61,163,866
62,163,588
63,163,479
64,163,82
65,163,757
66,163,247
67,163,735
68,163,439
69,163,160
70,163,840
71,163,759
72,163,266
73,163,441
74,163,480
75,163,278
76,163,594
77,163,96
78,163,40
79,163,885
80,163,624
81,163,406
82,163,115
83,163,549
84,163,164
85,163,670
86,171,306
87,171,301
88,171,909
89,330,104
90,330,614
91,330,907
92,330,71
93,330,149
94,330,383
95,330,458
96,330,43
97,330,740
98,330,375
99,330,54
100,330,206
101,330,146
102,330,902
103,330,735
104,330,88
105,330,161
106,330,848
107,330,33
108,330,98
109,330,67
110,330,244
111,330,163
112,330,546
113,330,684
114,330,221
115,330,70
116,330,391
117,330,638
118,330,141
119,330,527
120,330,495
121,330,513
122,330,803
123,330,729
124,330,223
125,330,656
126,330,128
127,330,200
128,330,530
129,330,2
130,330,297
131,330,222
132,330,196
133,330,470
134,330,281
135,330,826
136,330,207
137,330,34
138,330,18
139,330,817
140,330,398
141,330,678
142,330,103
143,330,531
144,330,267
145,330,256
146,330,734
147,330,306
148,330,613
149,330,785
150,330,637
151,330,811
152,330,73
153,330,883
154,330,702
155,330,106
156,330,217
157,330,210
158,330,135
159,330,360
160,330,853
161,330,528
162,330,499
163,330,538
164,330,588
165,330,670
166,330,12
167,330,643
168,330,313
169,330,45
170,330,4
171,330,477
172,330,767
173,330,20
174,330,566
175,330,82
176,330,697
177,330,155
178,330,798
179,330,609
180,330,89
181,330,68
182,330,319
183,330,400
184,330,126
185,330,365
186,330,450
187,330,840
188,330,285
189,330,320
190,330,466
191,330,724
192,330,901
193,330,650
194,330,692
195,330,52
196,330,636
197,330,266
198,330,59
199,330,224
200,330,781
201,330,736
202,330,60
203,330,160
204,330,152
205,330,309
206,330,607
207,330,720
208,330,203
209,330,40
210,330,230
211,330,272
212,330,630
213,330,827
214,330,387
215,330,721
216,330,804
217,330,179
218,330,434
219,330,666
220,330,122
221,330,874
222,330,696
223,330,23
224,330,658
225,330,48
226,330,9
227,330,810
228,330,129
229,330,78
230,330,26
231,330,388
232,330,324
233,330,99
234,330,47
235,330,760
236,330,768
237,330,813
238,330,276
239,330,875
240,330,693
241,330,774
242,330,258
243,330,340
244,330,74
245,330,517
246,330,292
247,330,130
248,330,114
249,330,156
250,330,11
