#ID,TF,index
0,FUS,0
1,NKX3-1,1
2,TRIM33,2
3,HOXB4,3
4,NONO,4
5,SMARCD1,5
6,POU2AF1,6
7,DNMT3A,7
8,SSB,8
9,WWTR1,9
10,LZTS1,10
11,ZNF219,11
12,JMJD1C,12
13,RBBP4,13
14,BHLHE40,14
15,PARN,15
16,BTG2,16
17,RAD51,17
18,CNBP,18
19,TFAP2A,19
20,CUX1,20
21,MITF,21
22,DAXX,22
23,TP53,23
24,BMP4,24
25,PA2G4,25
26,PPARGC1B,26
27,SOX2,27
28,SOX3,28
29,HELZ,29
30,NANOG,30
31,SOX4,31
32,ASB4,32
33,HNRNPD,33
34,CXXC1,34
35,SRSF6,35
36,RARG,36
37,MCM6,37
38,KAT6A,38
39,MSX1,39
40,PHB2,40
41,CHAF1A,41
42,POLR2A,42
43,ARID4B,43
44,TFDP1,44
45,XRCC6,45
46,BTF3,46
47,PDGFA,47
48,ZNF398,48
49,APBB2,49
50,MED16,50
51,BMP2,51
52,MIF,52
53,OTX2,53
54,ZNF764,54
55,PBXIP1,55
56,BCLAF1,56
57,HDAC9,57
58,RUNX1,58
59,RAI14,59
60,YAF2,60
61,SATB2,61
62,LDB2,62
63,HESX1,63
64,SMAD5,64
65,SP110,65
66,ILF3,66
67,ESPL1,67
68,ETV3,68
69,CALCOCO1,69
70,SNAI1,70
71,SIRT1,71
72,FOXN3,72
73,PLAGL2,73
74,JUND,74
75,TFAP4,75
76,ANKRD6,76
77,NFIC,77
78,ZNF202,78
79,ENO1,79
80,HAND2,80
81,ZEB2,81
82,TCF4,82
83,SOX13,83
84,MXD4,84
85,TRIP13,85
86,NFATC1,86
87,PGR,87
88,CREB3L2,88
89,MCM7,89
90,TRERF1,90
91,LMX1B,91
92,MECOM,92
93,TEAD1,93
94,TMF1,94
95,UBTF,95
96,HMGA1,96
97,ELK3,97
98,CRABP2,98
99,HDGF,99
100,SNRPD1,100
101,POU2F2,101
102,SPIB,102
103,KLF8,103
104,U2AF1,104
105,SATB1,105
106,FOXJ1,106
107,UPF2,107
108,FOXJ2,108
109,ZFPM2,109
110,ILF2,110
111,APC,111
