#ID	Name
G0	FUS
G1	NKX3-1
G2	TRIM33
G3	HOXB4
G4	NONO
G5	SMARCD1
G6	POU2AF1
G7	DNMT3A
G8	SSB
G9	WWTR1
G10	LZTS1
G11	ZNF219
G12	JMJD1C
G13	RBBP4
G14	BHLHE40
G15	PARN
G16	BTG2
G17	RAD51
G18	CNBP
G19	TFAP2A
G20	CUX1
G21	MITF
G22	DAXX
G23	TP53
G24	BMP4
G25	PA2G4
G26	PPARGC1B
G27	SOX2
G28	SOX3
G29	HELZ
G30	NANOG
G31	SOX4
G32	ASB4
G33	HNRNPD
G34	CXXC1
G35	SRSF6
G36	RARG
G37	MCM6
G38	KAT6A
G39	MSX1
G40	PHB2
G41	CHAF1A
G42	POLR2A
G43	ARID4B
G44	TFDP1
G45	XRCC6
G46	BTF3
G47	PDGFA
G48	ZNF398
G49	APBB2
G50	MED16
G51	BMP2
G52	MIF
G53	OTX2
G54	ZNF764
G55	PBXIP1
G56	BCLAF1
G57	HDAC9
G58	RUNX1
G59	RAI14
G60	YAF2
G61	SATB2
G62	LDB2
G63	HESX1
G64	SMAD5
G65	SP110
G66	ILF3
G67	ESPL1
G68	ETV3
G69	CALCOCO1
G70	SNAI1
G71	SIRT1
G72	FOXN3
G73	PLAGL2
G74	JUND
G75	TFAP4
G76	ANKRD6
G77	NFIC
G78	ZNF202
G79	ENO1
G80	HAND2
G81	ZEB2
G82	TCF4
G83	SOX13
G84	MXD4
G85	TRIP13
G86	NFATC1
G87	PGR
G88	CREB3L2
G89	MCM7
G90	TRERF1
G91	LMX1B
G92	MECOM
G93	TEAD1
G94	TMF1
G95	UBTF
G96	HMGA1
G97	ELK3
G98	CRABP2
G99	HDGF
G100	SNRPD1
G101	POU2F2
G102	SPIB
G103	KLF8
G104	U2AF1
G105	SATB1
G106	FOXJ1
G107	UPF2
G108	FOXJ2
G109	ZFPM2
G110	ILF2
G111	APC
G112	PURA
G113	PER3
G114	ELL2
G115	GATA4
G116	LMO3
G117	SHOX
G118	SCD5
G119	CENPK
G120	NR3C1
G121	ZBTB2
G122	GATAD2A
G123	FOXK1
G124	ATRX
G125	LMO2
G126	KHSRP
G127	DAB2
G128	SALL2
G129	MCM4
G130	ARNT2
G131	SAP18
G132	BCL11A
G133	ESRRG
G134	KLF6
G135	TCF19
G136	UHRF1
G137	SLA2
G138	SOX17
G139	TRIM25
G140	ETV7
G141	ASXL1
G142	AIRE
G143	PRDM14
G144	CRX
G145	SRSF3
G146	DNAJC2
G147	TLE3
G148	MKI67IP
G149	PDCD11
G150	RBMX
G151	NFKBIB
G152	RUVBL1
G153	DEDD2
G154	SP100
G155	HNRNPK
G156	DDX54
G157	PAWR
G158	TRIP11
G159	ZIC3
G160	ZNF142
G161	EEF1A1
G162	TCEA1
G163	CTNNB1
G164	SNRPB
G165	MEIS1
G166	AR
G167	TLE1
G168	NFATC3
G169	H1F0
G170	NCOA6
G171	DNMT3B
G172	VHL
G173	FUBP1
G174	SOX7
G175	MLLT6
G176	TLR4
G177	ARID3B
G178	POLR1A
G179	RBFOX2
G180	EOMES
G181	SRSF10
G182	FOXH1
G183	RFXANK
G184	HLX
G185	TRPS1
G186	CNTRL
G187	ZIC2
G188	PHF17
G189	TCOF1
G190	EGF
G191	SIX6
G192	GRHL1
G193	MAML3
G194	CEBPZ
G195	POLR3E
G196	YBX1
G197	MXI1
G198	ETS1
G199	ZNF587
G200	SMARCD3
G201	SMAD2
G202	SRC
G203	RUVBL2
G204	POLR2I
G205	POLR2K
G206	AFF4
G207	PLAGL1
G208	SOX5
G209	TBX20
G210	PSIP1
G211	POU3F1
G212	DEK
G213	AES
G214	SRSF2
G215	NHLH2
G216	PRIC285
G217	REL
G218	RAI1
G219	ZNF585B
G220	E2F4
G221	RNF19A
G222	SKIL
G223	HNRNPAB
G224	MDM4
G225	POLR2D
G226	IFI16
G227	SUPT7L
G228	SMAD6
G229	GATA6
G230	KLF5
G231	MYCN
G232	UPF1
G233	FLI1
G234	SOS2
G235	ASH2L
G236	TLR7
G237	TRIM28
G238	PPARA
G239	SUPT16H
G240	MYBL2
G241	MCM3
G242	ZNF488
G243	ZNF589
G244	SFPQ
G245	RBM14
G246	FOXF1
G247	FOXP1
G248	CSRP2
G249	ZNF471
G250	NFKBIA
G251	POLR1B
G252	ELAVL2
G253	MCM2
G254	SMARCC1
G255	NFAT5
G256	ETV4
G257	SNAPC3
G258	ZNF165
G259	GATA2
G260	AFF1
G261	HOXB7
G262	RNPS1
G263	TRIP6
G264	PATZ1
G265	SALL3
G266	POU2F1
G267	MED14
G268	RNF14
G269	RAX2
G270	HOXB3
G271	GATA3
G272	HCFC1
G273	NFYB
G274	ZNF146
G275	KHDRBS2
G276	STAT3
G277	NFIB
G278	E2F7
G279	WDR5
G280	DMBX1
G281	ANKZF1
G282	BMPR1A
G283	NPM1
G284	TWIST1
G285	PARP1
G286	ZFP42
G287	FXR1
G288	NRIP1
G289	CBFA2T2
G290	LHX1
G291	SF1
G292	ZRANB2
G293	DNMT1
G294	KLF7
G295	CDCA7L
G296	MEIS2
G297	TGFB1
G298	SRSF1
G299	SETBP1
G300	ID3
G301	MAFG
G302	GSC
G303	GCM1
G304	APBB1
G305	CTBP1
G306	CBX3
G307	ZNF107
G308	SMG6
G309	MEF2D
G310	HOXB6
G311	ISL1
G312	ALS2CR8
G313	RBPJ
G314	AEBP1
G315	BARX2
G316	TLE2
G317	CCND1
G318	TBX3
G319	ZNF24
G320	TFE3
G321	HOPX
G322	MCM5
G323	SERTAD2
G324	GTF2H2
G325	HIST1H1B
G326	ZNF239
G327	LIN28A
G328	BRWD1
G329	ZEB1
G330	EGR1
G331	MYOCD
G332	ARID5B
G333	ETV1
G334	PITX2
G335	DACH1
G336	PTMA
G337	AIP
G338	WWP1
G339	TCF7L1
G340	CITED2
G341	ZHX3
G342	POLR2G
G343	DPF2
G344	ASB9
G345	NR0B1
G346	NFE2L3
G347	BCL11B
G348	XRCC5
G349	CSDE1
G350	ZNF238
G351	FOXD3
G352	HIF3A
G353	EZH2
G354	RORB
G355	E2F3
G356	PSMD9
G357	PHF21A
G358	TAF1L
G359	PRDM1
G360	ZNF160
G361	GTF3C4
G362	RXRG
G363	CREB3L4
G364	EHMT2
G365	ZNF8
G366	POLR2F
G367	MYBBP1A
G368	NR2C1
G369	ZBTB38
G370	HAND1
G371	SFMBT1
G372	CIITA
G373	LIMD1
G374	EWSR1
G375	POLR1C
G376	TRAF6
G377	ALYREF
G378	MAPK10
G379	HOXB2
G380	ZNF83
G381	PBX1
G382	TRIM27
G383	KAT7
G384	NAA15
G385	SHOX2
G386	SNAPC4
G387	ZKSCAN1
G388	GRHL2
G389	MAFF
G390	IRF1
G391	HMGN2
G392	ZFHX3
G393	TRIM22
G394	LEF1
G395	ATF6
G396	MLLT3
G397	TGFB1I1
G398	APEX1
G399	ARID3A
G400	HIF1A
G401	MLL3
G402	ID1
G403	POU5F1
G404	POLR2H
G405	STAT2
G406	SNAI2
G407	ANKRD1
G408	NFIA
G409	TEAD4
G410	KIF21A
G411	DPH2
G412	PHLDB2
G413	CHEK2
G414	FREM1
G415	CD48
G416	CHL1
G417	CYP1B1
G418	SERPINE2
G419	CDCA2
G420	PPT2
G421	SLCO2A1
G422	DRAM2
G423	DEPDC1B
G424	TMEM64
G425	CDC20
G426	KLHL4
G427	MLF1IP
G428	PIK3R5
G429	VPS54
G430	STK3
G431	CRHBP
G432	NT5DC3
G433	ERCC-00145
G434	ANKRD50
G435	PMP22
G436	KIAA0528
G437	FAM46A
G438	ANKRD28
G439	SH3BGRL2
G440	LGR4
G441	MRPL1
G442	DLGAP5
G443	C4orf46
G444	SPPL2A
G445	UTP15
G446	LIPG
G447	RRAS2
G448	MANEA
G449	ERCC-00022
G450	PRICKLE1
G451	SH3BGRL
G452	NRP2
G453	RNF138
G454	DYNC1I1
G455	PRSS35
G456	SNX14
G457	PLK2
G458	TMEM131
G459	TIMP3
G460	ESRP1
G461	BTBD10
G462	AMIGO2
G463	GYPB
G464	MCC
G465	LRAT
G466	ZNF280B
G467	THY1
G468	APOBEC3G
G469	LECT1
G470	PNPLA8
G471	C11orf46
G472	LRR1
G473	PRMT6
G474	WDFY1
G475	GLRX
G476	TFB2M
G477	NDUFC2-KCTD14
G478	MRS2
G479	EPCAM
G480	TTC27
G481	WDR3
G482	TRUB1
G483	COL4A1
G484	OAS1
G485	TIMM8A
G486	SIPA1L2
G487	TADA1
G488	SFRP1
G489	TMEM47
G490	SORL1
G491	CNKSR3
G492	PRSS23
G493	ERCC-00042
G494	KIAA1109
G495	NUP54
G496	PLXNA2
G497	PELI2
G498	DKK4
G499	RHOBTB3
G500	CDK6
G501	SPP1
G502	IGDCC4
G503	DLC1
G504	SFRP2
