#ID,Gene,index
0,EGR1,0
1,ASXL1,1
2,CHAF1A,2
3,EHMT1,3
4,AATF,4
5,CSRP2,5
6,PAPOLA,6
7,TCEA1,7
8,PTTG1,8
9,NFYB,9
10,SRSF3,10
11,SSRP1,11
12,MXD1,12
13,HCFC1,13
14,AFF4,14
15,FOXA1,15
16,POLR2I,16
17,MYCBP,17
18,TFE3,18
19,FOXP1,19
20,ZNF239,20
21,HESX1,21
22,AES,22
23,POLR1D,23
24,PREB,24
25,NUPR1,25
26,AHR,26
27,TCFL5,27
28,MCM2,28
29,GLI1,29
30,STAT2,30
31,HMGN3,31
32,SUB1,32
33,PAWR,33
34,MED30,34
35,BCL11A,35
36,ING5,36
37,APEX1,37
38,TCEB1,38
39,DAB2,39
40,TARBP2,40
41,BTG1,41
42,DNMT3A,42
43,SMARCD2,43
44,HNF4A,44
45,EGF,45
46,E2F8,46
47,FUBP1,47
48,ESPL1,48
49,HMGN1,49
50,ING3,50
51,ELAVL2,51
52,POLR1B,52
53,HMGB2,53
54,SKIL,54
55,VEZF1,55
56,FOXH1,56
57,RAI14,57
58,GATA6,58
59,PLAGL2,59
60,CTBP1,60
61,ZNF146,61
62,PDGFA,62
63,ZNF766,63
64,FOSL2,64
65,HDAC1,65
66,FHL2,66
67,NCOA6,67
68,THRAP3,68
69,PITX2,69
70,NR1H3,70
71,CHD8,71
72,ATF3,72
73,ZNF33A,73
74,ZNF160,74
75,WDR5,75
76,JAG1,76
77,FOXM1,77
78,SRSF10,78
79,NFATC2,79
80,ZNF675,80
81,KAT7,81
82,KDM4C,82
83,HIF3A,83
84,ZNF638,84
85,SMARCC1,85
86,TCF7L1,86
87,HIF1AN,87
88,SOX4,88
89,MAFF,89
90,MAPK1,90
91,TEAD4,91
92,TADA3,92
93,HIPK2,93
94,RUVBL2,94
95,PA2G4,95
96,CTDSPL,96
97,EED,97
98,TAF7,98
99,NR2F2,99
100,DDX5,100
101,KNTC1,101
102,H1F0,102
103,SMAD2,103
104,POLR3E,104
105,TGIF2,105
106,RFX6,106
107,NONO,107
108,GLI2,108
109,HDAC2,109
110,MEF2C,110
111,ING1,111
112,CREB3L2,112
113,HIST1H1C,113
114,FOXA2,114
115,NR2F6,115
116,DDX54,116
117,TRIM25,117
118,BTG2,118
119,SSBP2,119
120,CNTRL,120
121,ID2,121
122,SSBP3,122
123,ZNHIT3,123
124,CEBPZ,124
125,ECD,125
126,TCF3,126
127,THAP1,127
128,RBBP4,128
129,SSB,129
130,JMJD1C,130
131,TAF1B,131
132,NPM1,132
133,SUPT16H,133
134,EYA3,134
135,ZFP64,135
136,PHB2,136
137,DEK,137
138,HINFP,138
139,PWP1,139
140,EWSR1,140
141,IRF1,141
142,TCF25,142
143,NRIP1,143
144,SP100,144
145,SMAD3,145
146,MCM4,146
147,HNF1B,147
148,PBX1,148
149,JUND,149
150,CREB3L4,150
151,POLR2B,151
152,TFAP2C,152
153,E2F4,153
154,POLR2D,154
155,PDLIM7,155
156,ZIC3,156
157,PTRF,157
158,MCM6,158
159,SUV39H2,159
160,ZHX1,160
161,SOX2,161
162,CEBPA,162
163,TRIM28,163
164,GTF2F2,164
165,DR1,165
166,THAP11,166
167,ZNF107,167
168,OTX2,168
169,POLR1E,169
170,RNPS1,170
171,CEBPD,171
172,CSDE1,172
173,TBX3,173
174,FOSB,174
175,RUNX1T1,175
176,BIN1,176
177,TCEB2,177
178,GTF2H3,178
179,YEATS4,179
180,NOTCH3,180
181,SIRT1,181
182,KLF6,182
183,SNRPB,183
184,ARID3B,184
185,BTF3,185
186,PRDM14,186
187,ZNF74,187
188,YBX1,188
189,TCERG1,189
190,XBP1,190
191,LHX1,191
192,ELL2,192
193,NR3C1,193
194,BRCA1,194
195,CDX2,195
196,ZRANB2,196
197,PEG3,197
198,MED20,198
199,HMGXB4,199
200,KHDRBS1,200
201,TOPORS,201
202,CBX3,202
203,NANOG,203
204,TAF5,204
205,E2F7,205
206,TRIM22,206
207,NR5A2,207
208,THRB,208
209,GTF2E1,209
210,TBPL1,210
211,HNRNPAB,211
212,TNFAIP3,212
213,CRABP2,213
214,EHMT2,214
215,CREB1,215
216,RNF2,216
217,SRF,217
218,ENO1,218
219,EOMES,219
220,ETV1,220
221,RREB1,221
222,PSIP1,222
223,EGFR,223
224,GRHL1,224
225,KLF3,225
226,ZBTB3,226
227,GTF2I,227
228,DPF2,228
229,MYBL2,229
230,TRIM27,230
231,HMGN2,231
232,SNAPC1,232
233,ZNF644,233
234,DNAJC2,234
235,RUVBL1,235
236,ADNP,236
237,SNRPD1,237
238,ETS1,238
239,BRIP1,239
240,MATR3,240
241,JARID2,241
242,TAF6,242
243,MYC,243
244,EEF1A1,244
245,ORC2,245
246,GEMIN2,246
247,ILF3,247
248,ZBTB24,248
249,GATA5,249
250,RBBP7,250
251,ANKRD1,251
252,SP4,252
253,ZNF143,253
254,RAD51,254
255,SRSF6,255
256,POLR2L,256
257,ZNF217,257
258,ZIC2,258
259,EPAS1,259
260,HNRNPUL1,260
261,CDKN1A,261
262,CREG1,262
263,ID3,263
264,RARG,264
265,BCOR,265
266,MCM5,266
267,FOSL1,267
268,BPTF,268
269,GATAD2B,269
270,PIAS3,270
271,CCND1,271
272,POLR1C,272
273,TCF19,273
274,DDX20,274
275,GMEB1,275
276,JUN,276
277,HDGF,277
278,WBP11,278
279,JAZF1,279
280,HNRNPK,280
281,TBL1X,281
282,E2F3,282
283,RBPJ,283
284,NME2,284
285,SEC14L2,285
286,ETV4,286
287,DNMT1,287
288,ZFHX3,288
289,ZNF287,289
290,TP53,290
291,MCM8,291
292,GTF2H2,292
293,TAF1A,293
294,FOXO1,294
295,POLR2G,295
296,NR1I3,296
297,NSD1,297
298,PDCD11,298
299,GLIS3,299
300,LIN28A,300
301,NFIB,301
302,FXR1,302
303,TGIF1,303
304,ZNF398,304
305,HTATSF1,305
306,DAXX,306
307,MYBBP1A,307
308,ZBTB16,308
309,TAF11,309
310,PRDM1,310
311,KLF5,311
312,POLR2F,312
313,BDP1,313
314,SMARCE1,314
315,ZNF208,315
316,PCGF6,316
317,BRCA2,317
318,GTF3C5,318
319,TRERF1,319
320,TEAD2,320
321,TARDBP,321
322,POU2F1,322
323,DNMT3B,323
324,TCOF1,324
325,PAX6,325
326,ERCC8,326
327,TFDP1,327
328,ILF2,328
329,MIS18BP1,329
330,CREB3L3,330
331,IVNS1ABP,331
332,ZNF670,332
333,MED21,333
334,RNF4,334
335,GTF3C4,335
336,TIMELESS,336
337,AEBP1,337
338,NAA15,338
339,PARP1,339
340,POLR2K,340
341,YAF2,341
342,CNOT7,342
343,ABT1,343
344,ZFP42,344
345,ELF1,345
346,TFDP2,346
347,E2F5,347
348,ZNF589,348
349,CENPK,349
350,BMP2,350
351,RAD54B,351
352,PITX1,352
353,SOX11,353
354,U2AF1,354
355,F2,355
356,XRCC6,356
357,TCEB3,357
358,REST,358
359,PPARA,359
360,UHRF1,360
361,HMGA1,361
362,ASCC3,362
363,BCL11B,363
364,DOT1L,364
365,SMAD5,365
366,MLXIPL,366
367,PMS1,367
368,SALL3,368
369,DRAP1,369
370,NCOA1,370
371,ZNF397,371
372,COPS5,372
373,RNF19A,373
374,SCD5,374
375,RFC1,375
376,MED14,376
377,HIST1H1B,377
378,POLR3D,378
379,SMARCA5,379
380,ZFP36,380
381,GTF3C2,381
382,NFKBIZ,382
383,RFX5,383
384,EIF5B,384
385,HNRNPR,385
386,ZNF91,386
387,AEBP2,387
388,IRF9,388
389,TCF4,389
390,ZNF354A,390
391,RBM39,391
392,PIAS2,392
393,CDCA7L,393
394,SALL4,394
395,ZNRD1,395
396,ZNF227,396
397,SALL2,397
398,MYCN,398
399,EZH2,399
400,PTMA,400
401,CNBP,401
402,SIRT2,402
403,ARID2,403
404,MAZ,404
405,ZNF567,405
406,ETV5,406
407,MCRS1,407
408,GATA4,408
409,TRIP13,409
410,COPS2,410
411,HMGA2,411
412,RFXANK,412
413,MED4,413
414,SRSF2,414
415,ZNF300,415
416,TAF9B,416
417,MCM7,417
418,DEDD,418
419,CXXC1,419
420,SRSF1,420
421,POU5F1,421
422,SMARCA4,422
423,MAF,423
424,RBMX,424
425,DDIT3,425
426,NEIL2,426
427,BMPR1A,427
428,MCM3,428
429,ZNF581,429
430,IRF3,430
431,GABPB1,431
432,ZNF101,432
433,MEIS3,433
434,ZSCAN21,434
435,TTF2,435
436,SRRM1,436
437,MTF2,437
438,ZNF232,438
439,SERTAD3,439
440,XRCC5,440
441,HIST1H1E,441
442,MMS19,442
443,TOP2B,443
444,DDB2,444
445,PLRG1,445
446,HNRNPD,446
447,LDB2,447
448,ZNF202,448
449,PPIL1,449
450,CXCR4,450
451,ZSWIM8,451
452,GLUD1,452
453,PIM2,453
454,CD37,454
455,TIMM21,455
456,ENO2,456
457,EXOSC8,457
458,LAMA1,458
459,CCNB2,459
460,SPP1,460
461,CFAP97,461
462,RHNO1,462
463,PLTP,463
464,CALML4,464
465,PUS7L,465
466,METTL18,466
467,TMEM150C,467
468,SEC22C,468
469,PLG,469
470,IL32,470
471,ZNF93,471
472,SS18,472
473,IFITM3,473
474,EMC2,474
475,WIPI1,475
476,CLDN4,476
477,CDH2,477
478,RRM2,478
479,LAMC1,479
480,DCAF13,480
481,DDAH1,481
482,HOOK2,482
483,HACL1,483
484,ISY1,484
485,GSN,485
486,ARG2,486
487,ICA1,487
488,PLCD1,488
489,AAMP,489
490,ATP5SL,490
491,MEST,491
492,CDK4,492
493,ACAD11,493
494,UTP18,494
495,PLA2G16,495
496,KIZ,496
497,PRAP1,497
498,DECR1,498
499,NARS2,499
500,FBL,500
501,CPSF6,501
502,SIAE,502
503,CDK1,503
504,SPINK1,504
505,MPHOSPH9,505
506,WDR43,506
507,MGME1,507
508,DKC1,508
509,MTFP1,509
510,HMGCL,510
511,HSPA14,511
512,APOC4.APOC2,512
513,ESCO2,513
514,THAP4,514
515,HMGCR,515
516,NPPB,516
517,BCKDK,517
518,G6PC3,518
519,PEX19,519
520,CHEK1,520
521,DPP4,521
522,ATG5,522
523,TMEM69,523
524,GPN3,524
525,ZNF253,525
526,AAAS,526
527,ACTN1,527
528,DSCR3,528
529,HNRNPH3,529
530,NNAT,530
531,SEPT10,531
532,SIL1,532
533,ZNF260,533
534,CYB5B,534
535,SUCLA2,535
536,LRR1,536
537,LITAF,537
538,ACADSB,538
539,CKS1B,539
540,ECHDC1,540
541,HERPUD1,541
542,VPS26A,542
543,MYL6B,543
544,UFSP2,544
545,PIK3R1,545
546,SAT1,546
547,TMEM37,547
548,HMGN4,548
549,WRB,549
550,SPAG9,550
551,PPFIBP2,551
552,EXOSC1,552
553,SCPEP1,553
554,NEDD4L,554
555,TTC39C,555
556,QTRTD1,556
557,CFAP36,557
558,FABP1,558
559,KNSTRN,559
560,HARS,560
561,ATIC,561
562,IGF2BP3,562
563,SPDL1,563
564,SLC25A4,564
565,MAD2L1,565
566,HPRT1,566
567,ITGB3BP,567
568,APEH,568
569,NOSIP,569
570,TTLL4,570
571,RNASE4,571
572,HK1,572
573,SVIL,573
574,CNN2,574
575,TRIM59,575
576,CKS2,576
577,DNAJB9,577
578,FTSJ2,578
579,PPAPDC1B,579
580,COMMD10,580
581,B4GALT3,581
582,BLM,582
583,CENPW,583
584,DNPEP,584
585,WDHD1,585
586,RGN,586
587,NOL11,587
588,POLE4,588
589,WDR3,589
590,HIST1H4C,590
591,STC1,591
592,DYNLT3,592
593,NUP37,593
594,EPS8L2,594
595,PDZK1,595
596,MAP1B,596
597,EFTUD2,597
598,ORC4,598
599,KIF22,599
600,KLHDC2,600
601,CMC2,601
602,DNASE1,602
603,ACADVL,603
604,MYO10,604
605,NREP,605
606,PHF11,606
607,TMEM97,607
608,C12orf45,608
609,LAPTM4B,609
610,PDGFRA,610
611,HDAC6,611
612,UBE2L6,612
613,METTL5,613
614,RAD54L,614
615,UBE2T,615
616,NNT,616
617,NT5DC2,617
618,CDC20,618
619,ACAA1,619
620,APOA2,620
621,CAMK2D,621
622,MRPL2,622
623,ZSWIM7,623
624,CRBN,624
625,NUP35,625
626,TATDN3,626
627,WDR75,627
628,HAUS1,628
629,NIF3L1,629
630,DNAH14,630
631,AURKA,631
632,NDUFAF4,632
633,F3,633
634,NUF2,634
635,MRRF,635
636,CAPN2,636
637,USP44,637
638,TBCB,638
639,ATP11C,639
640,ATP1B1,640
641,SFRP1,641
642,CENPE,642
643,LTV1,643
644,TMEM237,644
645,NAA16,645
646,MAT2B,646
647,USP3,647
648,LIFR,648
649,ATP1B3,649
650,ZMYM6NB,650
651,CCDC82,651
652,DDC,652
653,CMPK1,653
654,PSMD10,654
655,C9orf72,655
656,PPP2R1B,656
657,PRMT5,657
658,SMC2,658
659,SGK1,659
660,ITIH4,660
661,DUT,661
662,SMLR1,662
663,RFC2,663
664,PRKCI,664
665,ACY1,665
666,SEC11C,666
667,L1TD1,667
668,APOC1,668
669,MT1G,669
670,TPX2,670
671,LCMT1,671
672,RRM2B,672
673,AGT,673
674,GAL,674
675,CTSE,675
676,POLR3G,676
677,ANAPC7,677
678,ELMOD2,678
679,RAB34,679
680,MRPS2,680
681,HJURP,681
682,GNPNAT1,682
683,NAA50,683
684,CEP70,684
685,PCNA,685
686,UBE2E3,686
687,S100A14,687
688,PAFAH1B3,688
689,MID1,689
690,SMOX,690
