#ID	Name
G0	EGR1
G1	ASXL1
G2	CHAF1A
G3	EHMT1
G4	AATF
G5	CSRP2
G6	PAPOLA
G7	TCEA1
G8	PTTG1
G9	NFYB
G10	SRSF3
G11	SSRP1
G12	MXD1
G13	HCFC1
G14	AFF4
G15	FOXA1
G16	POLR2I
G17	MYCBP
G18	TFE3
G19	FOXP1
G20	ZNF239
G21	HESX1
G22	AES
G23	POLR1D
G24	PREB
G25	NUPR1
G26	AHR
G27	TCFL5
G28	MCM2
G29	GLI1
G30	STAT2
G31	HMGN3
G32	SUB1
G33	PAWR
G34	MED30
G35	BCL11A
G36	ING5
G37	APEX1
G38	TCEB1
G39	DAB2
G40	TARBP2
G41	BTG1
G42	DNMT3A
G43	SMARCD2
G44	HNF4A
G45	EGF
G46	E2F8
G47	FUBP1
G48	ESPL1
G49	HMGN1
G50	ING3
G51	ELAVL2
G52	POLR1B
G53	HMGB2
G54	SKIL
G55	VEZF1
G56	FOXH1
G57	RAI14
G58	GATA6
G59	PLAGL2
G60	CTBP1
G61	ZNF146
G62	PDGFA
G63	ZNF766
G64	FOSL2
G65	HDAC1
G66	FHL2
G67	NCOA6
G68	THRAP3
G69	PITX2
G70	NR1H3
G71	CHD8
G72	ATF3
G73	ZNF33A
G74	ZNF160
G75	WDR5
G76	JAG1
G77	FOXM1
G78	SRSF10
G79	NFATC2
G80	ZNF675
G81	KAT7
G82	KDM4C
G83	HIF3A
G84	ZNF638
G85	SMARCC1
G86	TCF7L1
G87	HIF1AN
G88	SOX4
G89	MAFF
G90	MAPK1
G91	TEAD4
G92	TADA3
G93	HIPK2
G94	RUVBL2
G95	PA2G4
G96	CTDSPL
G97	EED
G98	TAF7
G99	NR2F2
G100	DDX5
G101	KNTC1
G102	H1F0
G103	SMAD2
G104	POLR3E
G105	TGIF2
G106	RFX6
G107	NONO
G108	GLI2
G109	HDAC2
G110	MEF2C
G111	ING1
G112	CREB3L2
G113	HIST1H1C
G114	FOXA2
G115	NR2F6
G116	DDX54
G117	TRIM25
G118	BTG2
G119	SSBP2
G120	CNTRL
G121	ID2
G122	SSBP3
G123	ZNHIT3
G124	CEBPZ
G125	ECD
G126	TCF3
G127	THAP1
G128	RBBP4
G129	SSB
G130	JMJD1C
G131	TAF1B
G132	NPM1
G133	SUPT16H
G134	EYA3
G135	ZFP64
G136	PHB2
G137	DEK
G138	HINFP
G139	PWP1
G140	EWSR1
G141	IRF1
G142	TCF25
G143	NRIP1
G144	SP100
G145	SMAD3
G146	MCM4
G147	HNF1B
G148	PBX1
G149	JUND
G150	CREB3L4
G151	POLR2B
G152	TFAP2C
G153	E2F4
G154	POLR2D
G155	PDLIM7
G156	ZIC3
G157	PTRF
G158	MCM6
G159	SUV39H2
G160	ZHX1
G161	SOX2
G162	CEBPA
G163	TRIM28
G164	GTF2F2
G165	DR1
G166	THAP11
G167	ZNF107
G168	OTX2
G169	POLR1E
G170	RNPS1
G171	CEBPD
G172	CSDE1
G173	TBX3
G174	FOSB
G175	RUNX1T1
G176	BIN1
G177	TCEB2
G178	GTF2H3
G179	YEATS4
G180	NOTCH3
G181	SIRT1
G182	KLF6
G183	SNRPB
G184	ARID3B
G185	BTF3
G186	PRDM14
G187	ZNF74
G188	YBX1
G189	TCERG1
G190	XBP1
G191	LHX1
G192	ELL2
G193	NR3C1
G194	BRCA1
G195	CDX2
G196	ZRANB2
G197	PEG3
G198	MED20
G199	HMGXB4
G200	KHDRBS1
G201	TOPORS
G202	CBX3
G203	NANOG
G204	TAF5
G205	E2F7
G206	TRIM22
G207	NR5A2
G208	THRB
G209	GTF2E1
G210	TBPL1
G211	HNRNPAB
G212	TNFAIP3
G213	CRABP2
G214	EHMT2
G215	CREB1
G216	RNF2
G217	SRF
G218	ENO1
G219	EOMES
G220	ETV1
G221	RREB1
G222	PSIP1
G223	EGFR
G224	GRHL1
G225	KLF3
G226	ZBTB3
G227	GTF2I
G228	DPF2
G229	MYBL2
G230	TRIM27
G231	HMGN2
G232	SNAPC1
G233	ZNF644
G234	DNAJC2
G235	RUVBL1
G236	ADNP
G237	SNRPD1
G238	ETS1
G239	BRIP1
G240	MATR3
G241	JARID2
G242	TAF6
G243	MYC
G244	EEF1A1
G245	ORC2
G246	GEMIN2
G247	ILF3
G248	ZBTB24
G249	GATA5
G250	RBBP7
G251	ANKRD1
G252	SP4
G253	ZNF143
G254	RAD51
G255	SRSF6
G256	POLR2L
G257	ZNF217
G258	ZIC2
G259	EPAS1
G260	HNRNPUL1
G261	CDKN1A
G262	CREG1
G263	ID3
G264	RARG
G265	BCOR
G266	MCM5
G267	FOSL1
G268	BPTF
G269	GATAD2B
G270	PIAS3
G271	CCND1
G272	POLR1C
G273	TCF19
G274	DDX20
G275	GMEB1
G276	JUN
G277	HDGF
G278	WBP11
G279	JAZF1
G280	HNRNPK
G281	TBL1X
G282	E2F3
G283	RBPJ
G284	NME2
G285	SEC14L2
G286	ETV4
G287	DNMT1
G288	ZFHX3
G289	ZNF287
G290	TP53
G291	MCM8
G292	GTF2H2
G293	TAF1A
G294	FOXO1
G295	POLR2G
G296	NR1I3
G297	NSD1
G298	PDCD11
G299	GLIS3
G300	LIN28A
G301	NFIB
G302	FXR1
G303	TGIF1
G304	ZNF398
G305	HTATSF1
G306	DAXX
