,TF,Target,Label
0,6,174,1
1,6,757,1
2,6,30,1
3,6,23,1
4,6,895,1
5,6,222,1
6,6,262,1
7,6,213,1
8,6,797,1
9,6,600,1
10,6,224,1
11,6,876,1
12,6,872,1
13,6,940,1
14,6,617,1
15,6,627,1
16,6,784,1
17,6,530,1
18,6,849,1
19,6,573,1
20,6,800,1
21,6,350,1
22,6,1,1
23,6,438,1
24,6,825,1
25,6,330,1
26,6,130,1
27,6,323,1
28,6,705,1
29,6,533,1
30,6,120,1
31,6,806,1
32,6,417,1
33,6,510,1
34,6,18,1
35,6,481,1
36,6,845,1
37,6,105,1
38,6,70,1
39,6,746,1
40,6,243,1
41,6,234,1
42,6,219,1
43,6,943,1
44,6,748,1
45,6,168,1
46,6,183,1
47,6,134,1
48,6,128,1
49,6,368,1
50,6,716,1
51,6,3,1
52,6,681,1
53,6,436,1
54,6,452,1
55,6,25,1
56,6,667,1
57,6,66,1
58,6,912,1
59,6,645,1
60,6,399,1
61,6,807,1
62,6,136,1
63,6,233,1
64,6,443,1
65,6,280,1
66,6,61,1
67,6,904,1
68,6,680,1
69,6,626,1
70,6,8,1
71,6,221,1
72,6,367,1
73,6,51,1
74,6,52,1
75,6,919,1
76,6,166,1
77,6,609,1
78,6,153,1
79,6,941,1
80,6,866,1
81,6,586,1
82,6,804,1
83,6,4,1
84,6,633,1
85,6,363,1
86,6,698,1
87,6,721,1
88,6,913,1
89,6,890,1
90,6,184,1
91,6,334,1
92,6,900,1
93,6,439,1
94,6,80,1
95,6,135,1
96,6,424,1
97,6,160,1
98,6,122,1
99,6,686,1
100,6,314,1
101,6,834,1
102,6,39,1
103,6,551,1
104,6,917,1
105,6,520,1
106,6,515,1
107,6,613,1
108,6,660,1
109,6,720,1
110,6,387,1
111,6,230,1
112,6,355,1
113,6,502,1
114,6,636,1
115,6,315,1
116,6,87,1
117,6,546,1
118,6,750,1
119,6,40,1
120,6,295,1
121,6,193,1
122,6,860,1
123,6,942,1
124,6,821,1
125,6,790,1
126,6,300,1
127,6,484,1
128,6,671,1
129,6,223,1
130,6,10,1
131,6,938,1
132,6,935,1
133,6,9,1
134,6,441,1
135,6,519,1
136,6,674,1
137,6,838,1
138,6,782,1
139,6,608,1
140,6,46,1
141,6,318,1
142,6,302,1
143,6,453,1
144,6,873,1
145,6,371,1
146,6,76,1
147,6,457,1
148,6,180,1
149,6,11,1
150,6,763,1
151,6,527,1
152,6,412,1
153,6,727,1
154,6,641,1
155,6,169,1
156,6,563,1
157,6,767,1
158,6,435,1
159,6,121,1
160,6,518,1
161,6,864,1
162,6,428,1
163,6,725,1
164,6,431,1
165,6,410,1
166,6,289,1
167,6,770,1
168,6,141,1
169,6,298,1
170,6,374,1
171,6,78,1
172,6,111,1
173,6,928,1
