,TF,Target,Label
0,6,410,1
1,6,868,1
2,6,394,1
3,6,133,1
4,6,65,1
5,6,358,1
6,6,730,1
7,6,760,1
8,6,239,1
9,6,903,1
10,6,876,1
11,6,131,1
12,6,689,1
13,6,597,1
14,6,234,1
15,6,722,1
16,6,660,1
17,6,285,1
18,6,536,1
19,6,795,1
20,6,657,1
21,6,849,1
22,6,273,1
23,6,645,1
24,6,527,1
25,6,251,1
26,6,348,1
27,6,565,1
28,6,210,1
29,6,134,1
30,6,680,1
31,6,486,1
32,6,557,1
33,6,445,1
34,6,415,1
35,6,748,1
36,6,390,1
37,6,177,1
38,6,910,1
39,6,428,1
40,6,47,1
41,6,407,1
42,6,30,1
43,6,24,1
44,6,824,1
45,6,113,1
46,6,721,1
47,6,345,1
48,6,117,1
49,6,763,1
50,6,941,1
51,6,782,1
52,6,91,1
53,6,747,1
54,6,848,1
55,6,360,1
56,6,613,1
57,6,143,1
58,6,438,1
59,6,287,1
60,6,560,1
61,6,630,1
62,6,789,1
63,6,558,1
64,6,233,1
65,6,939,1
66,6,2,1
67,6,82,1
68,6,820,1
69,6,777,1
70,6,20,1
71,6,546,1
72,6,430,1
73,6,443,1
74,6,480,1
75,6,278,1
76,6,406,1
77,6,799,1
78,6,511,1
79,6,249,1
80,6,153,1
81,6,57,1
82,6,337,1
83,6,535,1
84,6,671,1
85,6,728,1
86,6,279,1
87,6,942,1
88,6,571,1
89,6,367,1
90,6,610,1
91,6,895,1
92,6,77,1
93,6,124,1
94,6,500,1
95,6,150,1
96,6,307,1
97,6,600,1
98,6,221,1
99,6,637,1
100,6,39,1
101,6,839,1
102,6,655,1
103,6,943,1
104,6,270,1
105,6,946,1
106,6,248,1
107,6,904,1
108,6,419,1
109,6,918,1
110,6,552,1
111,6,606,1
112,6,850,1
113,6,362,1
114,6,920,1
115,6,562,1
116,6,257,1
117,6,681,1
118,6,457,1
119,6,189,1
120,6,504,1
121,6,135,1
122,6,264,1
123,6,333,1
124,6,310,1
125,6,206,1
126,6,479,1
127,6,160,1
128,6,905,1
129,6,106,1
130,6,458,1
131,6,834,1
132,6,397,1
133,6,3,1
134,6,754,1
135,6,413,1
136,6,935,1
137,6,779,1
138,6,476,1
139,6,579,1
140,6,105,1
141,6,94,1
142,6,675,1
143,6,682,1
144,6,737,1
145,6,594,1
146,6,446,1
147,6,399,1
148,6,802,1
149,6,422,1
150,6,915,1
151,6,431,1
152,6,874,1
153,6,404,1
154,6,15,1
155,6,63,1
156,6,81,1
157,6,661,1
158,6,862,1
159,6,169,1
160,6,183,1
161,6,860,1
162,6,193,1
163,6,455,1
164,6,371,1
165,6,852,1
166,6,514,1
167,6,222,1
168,6,533,1
169,6,643,1
170,6,198,1
171,6,301,1
172,6,166,1
173,6,46,1
174,6,69,1
175,6,93,1
176,6,61,1
177,6,774,1
178,6,705,1
179,6,650,1
180,6,929,1
181,6,564,1
182,6,290,1
183,6,155,1
184,6,629,1
185,6,936,1
186,6,570,1
187,6,532,1
188,6,919,1
189,6,208,1
190,6,35,1
191,6,437,1
192,6,152,1
193,6,512,1
194,6,604,1
195,6,519,1
196,6,619,1
197,6,435,1
198,6,573,1
199,6,67,1
200,6,934,1
201,6,488,1
202,6,898,1
203,6,725,1
204,6,289,1
205,6,213,1
206,6,320,1
207,6,501,1
208,6,298,1
209,6,140,1
210,6,695,1
211,6,498,1
212,6,314,1
213,6,168,1
214,6,116,1
215,6,417,1
216,6,231,1
217,6,507,1
218,6,530,1
219,6,502,1
220,6,295,1
221,6,255,1
222,6,743,1
223,6,389,1
224,6,467,1
225,6,821,1
226,6,756,1
227,6,931,1
228,6,572,1
229,6,811,1
230,6,787,1
231,6,256,1
232,6,368,1
233,6,442,1
234,6,129,1
235,6,881,1
236,6,138,1
237,6,302,1
238,6,674,1
239,6,60,1
240,6,706,1
241,6,343,1
242,6,217,1
243,6,109,1
244,6,200,1
245,6,262,1
246,6,280,1
247,6,95,1
248,6,243,1
249,6,641,1
250,6,120,1
251,6,770,1
252,6,734,1
253,6,529,1
254,6,37,1
255,6,938,1
256,6,300,1
257,6,350,1
258,6,412,1
259,6,945,1
260,6,771,1
261,6,478,1
262,6,506,1
263,6,247,1
264,6,328,1
265,6,141,1
266,6,212,1
267,6,382,1
268,6,855,1
269,6,842,1
270,6,626,1
271,6,627,1
272,6,678,1
273,6,492,1
274,6,329,1
275,6,900,1
276,6,574,1
277,6,605,1
278,6,29,1
279,6,52,1
280,6,870,1
281,6,294,1
282,6,191,1
283,6,194,1
284,6,473,1
285,6,421,1
286,6,819,1
287,6,767,1
288,6,288,1
289,6,886,1
290,6,545,1
291,6,259,1
292,6,742,1
293,6,228,1
294,6,750,1
295,6,327,1
296,6,575,1
297,6,276,1
298,6,86,1
299,6,338,1
300,6,563,1
301,6,263,1
302,6,595,1
303,6,159,1
304,6,127,1
305,6,791,1
306,6,72,1
307,6,373,1
308,6,800,1
309,6,875,1
