#ID	Name
G0	PPARA
G1	HMGA1
G2	TAF5
G3	ZNF397
G4	CHD8
G5	HIST1H1C
G6	SMARCC1
G7	FOXA2
G8	FOXM1
G9	FOSL1
G10	SNRPD1
G11	EWSR1
G12	ZNF287
G13	MEF2C
G14	MLXIPL
G15	ADNP
G16	TRIM22
G17	POLR2K
G18	CREB1
G19	POLR2B
G20	SRSF3
G21	HIST1H1B
G22	SSBP3
G23	TAF1A
G24	TOP2B
G25	GEMIN2
G26	ABT1
G27	MED21
G28	TFE3
G29	MMS19
G30	ENO1
G31	TBPL1
G32	DPF2
G33	DNAJC2
G34	H1F0
G35	FUBP1
G36	HIF1AN
G37	PAWR
G38	ZNF160
G39	PWP1
G40	MXD1
G41	PLAGL2
G42	ZNF202
G43	PCGF6
G44	COPS2
G45	ZNF581
G46	CREG1
G47	ZNF638
G48	MYCBP
G49	GLI2
G50	EYA3
G51	RBPJ
G52	TEAD2
G53	WDR5
G54	TARDBP
G55	KLF6
G56	HMGA2
G57	CHAF1A
G58	BMP2
G59	CEBPD
G60	FOSB
G61	CXXC1
G62	ELAVL2
G63	SIRT1
G64	PITX2
G65	SIRT2
G66	E2F8
G67	ARID3B
G68	POLR3E
G69	NUPR1
G70	YAF2
G71	TCEB3
G72	DEK
G73	TAF11
G74	PA2G4
G75	THAP1
G76	HNRNPK
G77	TCF19
G78	BTG2
G79	UHRF1
G80	FOXP1
G81	SKIL
G82	EGR1
G83	MYCN
G84	EIF5B
G85	BCOR
G86	ILF2
G87	ZNF567
G88	COPS5
G89	SSBP2
G90	XBP1
G91	SSRP1
G92	GATAD2B
G93	PHB2
G94	DDIT3
G95	ETS1
G96	THAP11
G97	JMJD1C
G98	HDAC2
G99	ZIC2
G100	KHDRBS1
G101	EZH2
G102	TCEB2
G103	TCOF1
G104	SRSF6
G105	ZNF101
G106	NR2F6
G107	DNMT3B
G108	ING5
G109	BTF3
G110	HMGXB4
G111	MTF2
G112	ERCC8
G113	FOSL2
G114	TGIF1
G115	RFX5
G116	TGIF2
G117	POLR2L
G118	ILF3
G119	ID3
G120	NONO
G121	GTF2H2
G122	ELL2
G123	LHX1
G124	TARBP2
G125	CCND1
G126	ZNF208
G127	HDGF
G128	SERTAD3
G129	MAPK1
G130	ZNF675
G131	TRIP13
G132	POLR2D
G133	E2F5
G134	RNF19A
G135	ESPL1
G136	ING1
G137	POLR2G
G138	YBX1
G139	MYBL2
G140	JARID2
G141	ZNHIT3
G142	BPTF
G143	MED30
G144	DRAP1
G145	SNRPB
G146	TFAP2C
G147	DAB2
G148	EGFR
G149	TFDP1
G150	MCM8
G151	MCM6
G152	DNMT1
G153	ZSCAN21
G154	ZNF239
G155	GLI1
G156	OTX2
G157	ETV1
G158	PAPOLA
G159	GTF2E1
G160	SRSF10
G161	MAF
G162	NEIL2
G163	CTDSPL
G164	NR5A2
G165	POLR2F
G166	BRIP1
G167	ING3
G168	U2AF1
G169	CNBP
G170	E2F7
G171	HNF4A
G172	PAX6
G173	ZNF232
G174	HDAC1
G175	NOTCH3
G176	NCOA1
G177	DDX5
G178	TRERF1
G179	AEBP1
G180	HIPK2
G181	RARG
G182	ZNF227
G183	IRF1
G184	HMGN3
G185	ZBTB16
G186	ETV4
G187	HMGN2
G188	ZNF300
G189	GTF3C2
G190	LIN28A
G191	SUV39H2
G192	SP4
G193	TNFAIP3
G194	ZNF74
G195	FOXH1
G196	MIS18BP1
G197	NAA15
G198	SMARCA4
G199	KAT7
G200	ELF1
G201	NSD1
G202	RFC1
G203	POLR1D
G204	ZNF766
G205	HESX1
G206	XRCC6
G207	ARID2
G208	HINFP
G209	SOX11
G210	HCFC1
G211	HTATSF1
G212	POLR1B
G213	POLR3D
G214	CBX3
G215	JAG1
G216	TP53
G217	EED
G218	GTF2F2
G219	PMS1
G220	ZFP42
G221	DR1
G222	MATR3
G223	SMAD3
G224	NR3C1
G225	NFIB
G226	ID2
G227	GLIS3
G228	EHMT1
G229	PLRG1
G230	TBL1X
G231	NR1I3
G232	BRCA1
G233	RREB1
G234	KLF5
G235	FOXO1
G236	RBM39
G237	CRABP2
G238	HIST1H1E
G239	REST
G240	MED4
G241	TIMELESS
G242	PRDM1
G243	SNAPC1
G244	GTF2I
G245	ZNF217
G246	ZNF354A
G247	ZNF143
G248	CSRP2
G249	VEZF1
G250	SALL3
G251	POLR2I
G252	TCF3
G253	SALL2
G254	PITX1
G255	ZRANB2
G256	BRCA2
G257	JUN
G258	CREB3L4
G259	DAXX
G260	ZFP36
G261	BCL11B
G262	SP100
G263	RBMX
G264	ZFP64
G265	EGF
G266	HNF1B
G267	CSDE1
G268	DDX20
G269	TCEA1
G270	PIAS2
G271	SMARCA5
G272	TAF6
G273	AHR
G274	EPAS1
G275	TCF25
G276	CTBP1
G277	E2F3
G278	HNRNPD
G279	NFYB
G280	FXR1
G281	NR1H3
G282	RFX6
G283	RBBP7
G284	BMPR1A
G285	JUND
G286	AES
G287	NME2
G288	SMARCD2
G289	ECD
G290	MCM5
G291	KDM4C
G292	PDGFA
G293	RNF4
G294	ZFHX3
G295	ZNRD1
G296	GTF3C4
G297	MEIS3
G298	EHMT2
G299	PBX1
G300	CEBPA
G301	ASCC3
G302	MED14
G303	TAF9B
G304	SMAD2
G305	CNOT7
G306	PTMA
G307	MAFF
G308	ZIC3
G309	PEG3
G310	SUPT16H
G311	RAI14
G312	RUVBL2
G313	NANOG
G314	CENPK
G315	MCM2
G316	TCF7L1
G317	NR2F2
G318	AATF
G319	GATA5
G320	CEBPZ
G321	XRCC5
G322	DOT1L
G323	MYC
G324	BTG1
G325	FHL2
G326	SEC14L2
G327	GTF3C5
G328	RFXANK
G329	GMEB1
G330	HMGB2
G331	PRDM14
G332	HIF3A
G333	ZNF644
G334	STAT2
G335	PTTG1
G336	BCL11A
G337	HNRNPAB
G338	ATF3
G339	RUNX1T1
G340	MED20
G341	ETV5
G342	CDCA7L
G343	TAF1B
G344	SRF
G345	NFATC2
G346	BIN1
G347	SMAD5
G348	IVNS1ABP
G349	MCM4
G350	E2F4
G351	RBBP4
G352	THRB
G353	IRF9
G354	F2
G355	CREB3L3
G356	KNTC1
G357	TADA3
G358	RNPS1
G359	JAZF1
G360	HNRNPUL1
G361	TEAD4
G362	ZNF146
G363	RNF2
G364	SRSF1
G365	POU2F1
G366	SRRM1
G367	GABPB1
G368	TTF2
G369	BDP1
G370	GATA6
G371	PARP1
G372	LDB2
G373	SMARCE1
G374	THRAP3
G375	MCM3
G376	ZNF91
G377	TRIM28
G378	TCFL5
G379	ZHX1
G380	RAD54B
G381	ZNF107
G382	CNTRL
G383	YEATS4
G384	SOX2
G385	PREB
G386	GATA4
G387	MAZ
G388	PTRF
G389	ANKRD1
G390	GRHL1
G391	TOPORS
G392	ZBTB3
G393	TRIM25
G394	NCOA6
G395	POLR1E
G396	ZNF398
G397	RAD51
G398	PDLIM7
G399	ZNF589
G400	GTF2H3
G401	MCM7
G402	PIAS3
G403	IRF3
G404	KLF3
G405	HMGN1
G406	DEDD
G407	AFF4
G408	AEBP2
G409	EOMES
G410	NRIP1
G411	TAF7
G412	DNMT3A
G413	ASXL1
G414	TCEB1
G415	DDX54
G416	CREB3L2
G417	TRIM27
G418	WBP11
G419	NFKBIZ
G420	TBX3
G421	CDKN1A
G422	DDB2
G423	HNRNPR
G424	APEX1
G425	POLR1C
G426	POU5F1
G427	SALL4
G428	NPM1
G429	SOX4
G430	FOXA1
G431	EEF1A1
G432	ORC2
G433	TCF4
G434	ZNF670
G435	SSB
G436	ZBTB24
G437	TCERG1
G438	SUB1
G439	SRSF2
G440	SCD5
G441	ZNF33A
G442	PSIP1
G443	MYBBP1A
G444	PDCD11
G445	TFDP2
G446	RUVBL1
G447	CDX2
G448	CPSF3
G449	LGALS3
G450	WFDC2
G451	SMOX
G452	PSAT1
G453	NODAL
G454	KIFAP3
G455	BIRC5
G456	C1GALT1
G457	DDIT4
G458	DROSHA
G459	RAB25
G460	ANXA3
G461	DPPA4
G462	DEPDC7
G463	AXL
G464	FLRT2
G465	PIM2
G466	EFTUD2
G467	CACYBP
G468	BRIX1
G469	OCIAD2
