#ID,Gene,index
0,STAT1,0
1,RLIM,1
2,MYD88,2
3,LASS2,3
4,TCOF1,4
5,KDM5A,5
6,HCLS1,6
7,TNFAIP3,7
8,ELF2,8
9,GTF2F1,9
10,CTBP1,10
11,REL,11
12,TGIF1,12
13,MCM6,13
14,H1F0,14
15,LDB1,15
16,CHD7,16
17,MYEF2,17
18,MCM4,18
19,SNAPC5,19
20,ZFHX3,20
21,POLR2J,21
22,ID3,22
23,SMARCA5,23
24,PCBD2,24
25,YBX1,25
26,TIAL1,26
27,BUB3,27
28,SSRP1,28
29,DDX5,29
30,DAB2,30
31,PER1,31
32,PHB2,32
33,HIF1A,33
34,SKIL,34
35,MATR3,35
36,AKT1,36
37,KLF10,37
38,LASS5,38
39,COPS5,39
40,SRSF5,40
41,SUPT4H1,41
42,RBBP4,42
43,NR3C1,43
44,LMO4,44
45,CREB3,45
46,ATF3,46
47,CTNNB1,47
48,RBL2,48
49,HIST1H1C,49
50,DNMT1,50
51,RBM39,51
52,NCOR1,52
53,PREB,53
54,KDM6B,54
55,TCF12,55
56,FOS,56
57,DOT1L,57
58,HDAC1,58
59,SRSF1,59
60,USF2,60
61,HTATIP2,61
62,IRF1,62
63,TRIM28,63
64,SRSF9,64
65,AFF4,65
66,TBPL1,66
67,ZMYND11,67
68,SUPT16H,68
69,AEBP2,69
70,MED8,70
71,ZFML,71
72,BHLHE40,72
73,POLR2F,73
74,GTF2A1,74
75,ATF4,75
76,TCEB1,76
77,JUP,77
78,TNF,78
79,CNOT2,79
80,RFX7,80
81,CBFB,81
82,GTF2E2,82
83,BIN1,83
84,SRSF6,84
85,RDBP,85
86,CHD4,86
87,TSC22D4,87
88,MAPK1,88
89,RBBP7,89
90,RNF4,90
91,FOSL2,91
92,HBP1,92
93,MED15,93
94,GATAD2A,94
95,MYST2,95
96,MTA2,96
97,CBFA2T3,97
98,SMARCB1,98
99,SUPT5H,99
100,PARP1,100
101,POLR2E,101
102,SNRPD1,102
103,ZNRD1,103
104,ZBTB7A,104
105,KLF13,105
106,YEATS4,106
107,UPF1,107
108,GTF2A2,108
109,HCFC1,109
110,STAT3,110
111,EGR1,111
112,HMG20A,112
113,ATF6,113
114,HMG20B,114
115,SUMO1,115
116,TCF7L2,116
117,IRF2,117
118,NFKBIZ,118
119,SSB,119
120,EHMT2,120
121,TOX4,121
122,ARID1A,122
123,MCM7,123
124,BCLAF1,124
125,SF1,125
126,CDC5L,126
127,NONO,127
128,BTF3,128
129,HDGF,129
130,EHMT1,130
131,PA2G4,131
132,POLR1D,132
133,DNAJC2,133
134,EIF5B,134
135,SUZ12,135
136,KLF4,136
137,NFAT5,137
138,BTG2,138
139,BACH1,139
140,NAP1L4,140
141,CIITA,141
142,MLL2,142
143,TRERF1,143
144,SFPI1,144
145,SNRPB,145
146,EWSR1,146
147,SFPQ,147
148,XBP1,148
149,ARL6IP5,149
150,POLR2H,150
151,NFKBIA,151
152,UBE2K,152
153,RELA,153
154,SRSF3,154
155,EZH2,155
156,ELL2,156
157,MCM3,157
158,JUN,158
159,ELF1,159
160,NCOA4,160
161,DEK,161
162,UBTF,162
163,SP1,163
164,POLR2B,164
165,RNPS1,165
166,FOXJ3,166
167,NFKB1,167
168,JMJD1C,168
169,MAPK14,169
170,NFIL3,170
171,KLF6,171
172,ETS2,172
173,MAPK3,173
174,GTF2I,174
175,EDF1,175
176,KDM5C,176
177,MAFF,177
178,ETV3,178
179,ZEB2,179
180,KHDRBS1,180
181,ING1,181
182,SND1,182
183,PCBP2,183
184,CTCF,184
185,AGAP3,185
186,NSD1,186
187,CIC,187
188,FXR1,188
189,SUB1,189
190,RUNX1,190
191,HMGA1,191
192,ZFP148,192
193,MKL2,193
194,THRAP3,194
195,ILK,195
196,NFX1,196
197,JUNB,197
198,CSDA,198
199,MEF2A,199
200,CNOT8,200
201,POLR2D,201
202,MED1,202
203,ZFP91,203
204,BTG1,204
205,CEBPA,205
206,BATF3,206
207,EGR2,207
208,SRRT,208
209,TAX1BP3,209
210,CNOT6L,210
211,DDB1,211
212,ZFP410,212
213,HOPX,213
214,FOSB,214
215,KDM2B,215
216,FUBP3,216
217,KPNA2,217
218,HNRNPD,218
219,TCEB2,219
220,TRPS1,220
221,ID2,221
222,FLI1,222
223,POLR3K,223
224,UBP1,224
225,FOXN2,225
226,SMAD2,226
227,SMARCA4,227
228,BAZ1A,228
229,POLR2I,229
230,NME2,230
231,NCOA3,231
232,CBX3,232
233,HAX1,233
234,POLR2A,234
235,PAPOLA,235
236,HNRNPK,236
237,RAD51,237
238,TFDP1,238
239,TUBA1A,239
240,SIRT7,240
241,ZFP36L1,241
242,PBRM1,242
243,CXXC1,243
244,POLR2G,244
245,AIP,245
246,IRF4,246
247,POLR2K,247
248,NFE2L2,248
249,MED27,249
250,CSDE1,250
251,SMARCC2,251
252,TARBP2,252
253,RUVBL2,253
254,TCEB3,254
255,TRP53,255
256,HSBP1,256
257,DNMT3A,257
258,TAF12,258
259,HHEX,259
260,APEX1,260
261,IVNS1ABP,261
262,AHR,262
263,RFC1,263
264,SMAD4,264
265,SMARCE1,265
266,SRRM1,266
267,ATF2,267
268,AES,268
269,POLR2C,269
270,SRSF2,270
271,SIRT2,271
272,RBPJ,272
273,SERTAD2,273
274,TLR4,274
275,MBD2,275
276,TOB1,276
277,ZMYM2,277
278,STAT6,278
279,WBP11,279
280,SKI,280
281,CCRN4L,281
282,CREBBP,282
283,ARID1B,283
284,TAF7,284
285,MITF,285
286,SIN3B,286
287,GTF2B,287
288,HMGB2,288
289,TCEA1,289
290,SUMO2,290
291,MLL3,291
292,MCM5,292
293,WHSC1L1,293
294,CENPB,294
295,ZFP36,295
296,TAF6,296
297,DPF2,297
298,ASH1L,298
299,MDM2,299
300,DENND4A,300
301,NR4A1,301
302,TCERG1,302
303,ZFX,303
304,TARDBP,304
305,TOP2B,305
306,CREM,306
307,IRF5,307
308,DAZAP2,308
309,NCOR2,309
310,NFKBIB,310
311,TAF9,311
312,CHD1,312
313,NOTCH2,313
314,CNOT6,314
315,ILF3,315
316,CTCFL,316
317,TSG101,317
318,VDR,318
319,SUPT6H,319
320,HNRNPAB,320
321,MED21,321
322,COPS2,322
323,CYBA,323
324,ATP5L,324
325,GPR171,325
326,LYZ1,326
327,CD274,327
328,NHP2,328
329,SNX10,329
330,GAS5,330
331,EVI2A,331
332,CALM2,332
333,MT2,333
334,H2-EB1,334
335,CORO1A,335
336,SDF2,336
337,IAH1,337
338,LGALS9,338
339,ALAS1,339
340,SELK,340
341,EIF4A1,341
342,CKS1B,342
343,SNRNP25,343
344,TIMM23,344
345,NDUFB7,345
346,PMP22,346
347,ENO1,347
348,RPS14,348
349,MGST3,349
350,ATP5J,350
351,PTP4A1,351
352,COX5A,352
353,AK202494,353
354,IL1R2,354
355,GBP6,355
356,FCGR2B,356
357,IQGAP1,357
358,TXN1,358
359,RPL38,359
360,ECE2,360
361,TECR,361
362,CDKN1A,362
363,RPL11,363
364,SHISA5,364
365,SBDS,365
366,SLC35B1,366
367,MRC1,367
368,PSMA2,368
369,CACYBP,369
370,SNAP23,370
371,NINJ1,371
372,GM15450,372
373,EAR2,373
374,NAA20,374
375,PSMB3,375
376,TYROBP,376
377,SPP1,377
378,SF3B5,378
379,SSR4,379
380,RPL23,380
381,ATP6AP2,381
382,MRPS16,382
383,CD164,383
384,BC028528,384
385,NPM1,385
386,LGMN,386
387,MYL6,387
388,LY86,388
389,SEC11C,389
390,MDH2,390
391,CNIH,391
392,ANXA4,392
393,PTGES3,393
394,RPS26,394
395,CCL17,395
396,MRPL23,396
397,AK2,397
398,RPS21,398
399,INSL6,399
400,GOLT1B,400
401,RPS20,401
402,GABARAP,402
403,ARHGDIB,403
404,PSMD8,404
405,CTSZ,405
406,MTCH2,406
407,COX17,407
408,GM2A,408
409,CLAST2,409
410,DOK2,410
411,COX5B,411
412,RPL36AL,412
413,NDUFA9,413
414,PRDX2,414
415,RPL39,415
416,PRDX5,416
417,CFL1,417
418,TFG,418
419,RASGEF1B,419
420,GGH,420
421,CSF2RB,421
422,ISCA2,422
423,UCP2,423
424,SLC15A3,424
425,RNF13,425
426,NDUFV2,426
427,BCAP31,427
428,DUSP1,428
429,GLTP,429
430,MTHFS,430
431,USMG5,431
432,5033414D02RIK,432
433,H2-K1,433
434,VPS29,434
435,PRDX6,435
436,NAAA,436
437,TMSB10,437
438,CTSB,438
439,VDAC3,439
440,LGALS3BP,440
441,CCT5,441
442,CFDP1,442
443,PSMB7,443
444,PCNA,444
445,EIF3M,445
446,SEPT11,446
447,VTA1,447
448,TSPAN31,448
449,RPS27,449
450,COX7B,450
451,CHCHD2,451
452,MRPL27,452
453,RPL32,453
454,LGALS3,454
455,TM2D2,455
456,AURKAIP1,456
457,LITAF,457
458,S100A10,458
459,2410015M20RIK,459
460,CREG1,460
461,TSPO,461
462,LXN,462
463,SRGN,463
464,MRPL55,464
465,AK204443,465
466,PLEK,466
467,SAMHD1,467
468,SSNA1,468
469,A130040M12RIK,469
470,APOA1BP,470
471,EIF1,471
472,RNASEK,472
473,BST2,473
474,CTSH,474
475,RPL28,475
476,RPL4,476
477,ERP29,477
478,0610009D07RIK,478
479,ATP1B3,479
480,PTPRC,480
481,CD24A,481
482,RPL18A,482
483,SEC13,483
484,2700060E02RIK,484
485,SLC7A11,485
486,TRAM1,486
487,SPCS3,487
488,RPS24,488
489,FTL2,489
490,ATP6V0D1,490
491,MSR1,491
492,MAP1LC3B,492
493,DNAJC15,493
494,MALAT1,494
495,COX6A1,495
496,1810013D10RIK,496
497,LAMP2,497
498,HSP90AB1,498
499,SC4MOL,499
500,PPP2R5C,500
501,UBL3,501
502,NDUFA12,502
503,NDUFA10,503
504,HSD17B10,504
505,MRFAP1,505
506,LILRB3,506
507,SLC25A4,507
508,MRPL18,508
509,GM6635,509
510,TBCA,510
511,MRPL30,511
512,RPL22L1,512
513,TPM4,513
514,RNASET2A,514
515,GNB1,515
516,YWHAZ,516
517,RASSF4,517
518,PSMC4,518
519,CETN3,519
520,GOLGA7,520
521,RPS9,521
522,BCL2A1B,522
523,SDHD,523
524,RAN,524
525,BOLA2,525
526,MAPKSP1,526
527,SHFM1,527
528,RAB8B,528
529,SARNP,529
530,ATP6V1F,530
531,ETFA,531
532,CSTB,532
533,NDUFB8,533
534,PRDX4,534
535,RPLP0,535
536,S100A13,536
537,CD47,537
538,RPL26,538
539,NDUFS6,539
540,KLK1B11,540
541,FKBP2,541
542,SLC3A2,542
543,RAC2,543
544,LAMP1,544
545,CAPZA1,545
546,RPL37A,546
547,AKR1A4,547
548,ITGB2,548
549,FAU,549
550,OAZ1,550
551,SNRPG,551
552,DYNLRB1,552
553,RPL35A,553
554,TNFAIP2,554
555,CHURC1,555
556,SQRDL,556
557,IFITM3,557
558,RPL37,558
559,RPL30,559
560,PRDX1,560
561,NDUFB5,561
562,ATP5A1,562
563,1500032L24RIK,563
564,PSMB6,564
565,CCT3,565
566,RPL35,566
567,SEPT2,567
568,2900010M23RIK,568
569,PIN4,569
570,RPS29,570
571,FAM195B,571
572,PDIA3,572
573,DPEP2,573
574,ODC1,574
575,PTMA,575
576,CNN2,576
577,HPRT,577
578,FIS1,578
579,CKLF,579
580,H2-AB1,580
581,CLEC4B1,581
582,GPR137B-PS,582
583,RHOG,583
584,SOD2,584
585,PCNP,585
