#ID,TF,index
0,215,341
1,215,141
2,215,235
3,215,711
4,266,522
5,266,500
6,266,15
7,217,202
8,217,266
9,217,238
10,217,76
11,217,16
12,217,545
13,217,168
14,217,272
15,217,548
16,217,227
17,217,49
18,217,170
19,217,723
20,217,491
21,217,642
22,217,373
23,217,251
24,217,802
25,217,538
26,217,189
27,217,780
28,217,292
29,217,135
30,217,818
31,217,7
32,217,478
33,217,323
34,217,395
35,217,33
36,217,190
37,217,278
38,217,345
39,217,325
40,217,32
41,217,442
42,217,361
43,217,247
44,217,61
45,217,364
46,217,547
47,217,552
48,217,92
49,217,677
50,217,522
51,217,726
52,217,513
53,217,466
54,217,315
55,217,239
56,217,375
57,217,296
58,217,173
59,217,30
60,217,487
61,217,432
62,217,290
63,217,130
64,217,571
65,217,401
66,217,495
67,217,408
68,217,326
69,217,117
70,217,813
71,217,165
72,217,654
73,217,295
74,217,626
75,217,703
76,217,358
77,217,155
78,217,687
79,217,706
80,217,672
81,217,475
82,217,688
83,217,77
84,217,31
85,217,773
86,217,334
87,217,452
88,217,583
89,217,643
90,217,250
91,217,438
92,217,420
93,217,551
94,217,95
95,217,679
96,217,493
97,217,86
98,217,15
99,217,616
100,217,767
101,217,757
102,217,503
103,217,599
104,217,650
105,217,480
106,217,297
107,217,275
108,217,60
109,217,665
110,217,624
111,217,228
112,217,308
113,217,396
114,217,477
115,217,398
116,217,283
117,217,663
118,217,510
119,217,257
120,217,801
121,217,701
122,217,800
123,217,652
124,217,187
125,63,304
126,63,688
127,63,275
128,63,687
129,63,643
130,63,102
131,63,481
132,63,33
133,63,343
134,63,666
135,63,713
136,63,342
137,63,513
138,63,613
139,63,199
140,63,649
141,63,295
142,63,798
143,63,749
144,63,326
145,63,670
146,63,469
147,63,224
148,63,256
149,63,544
150,63,483
151,63,296
152,63,290
153,63,446
154,63,51
155,63,532
156,63,248
157,63,316
158,63,432
159,63,49
160,63,268
161,63,238
162,63,253
163,63,510
164,63,599
165,63,178
166,63,616
167,63,27
168,63,662
169,63,588
170,63,17
171,63,651
172,63,548
173,63,746
174,63,587
175,63,30
176,63,452
177,63,611
178,63,41
179,63,426
180,63,550
181,63,105
182,63,537
183,63,672
184,63,785
185,63,489
186,63,71
187,63,783
188,63,132
189,63,123
190,63,757
191,63,756
192,63,581
193,63,20
194,63,646
195,63,487
196,63,533
197,63,294
198,63,722
199,285,739
200,285,23
201,285,188
202,285,99
203,285,456
204,285,58
205,285,710
206,285,761
207,285,504
208,285,297
209,285,657
210,285,645
211,285,227
212,285,579
213,285,744
214,285,295
215,285,363
216,285,561
217,285,389
218,285,503
219,285,218
220,285,309
221,285,137
222,285,649
223,285,4
224,285,435
225,285,159
226,285,802
227,285,689
228,285,123
229,285,70
230,285,685
231,285,406
232,285,87
233,285,795
234,285,1
235,285,356
236,285,33
237,285,67
238,285,707
239,285,355
240,285,665
241,285,207
242,285,534
243,285,330
244,285,636
245,285,221
246,285,56
247,285,5
248,285,422
249,285,714
250,285,656
251,285,343
252,285,234
253,285,365
254,285,497
255,285,463
256,285,360
257,285,722
258,285,15
259,285,634
260,285,152
261,285,74
262,285,425
263,285,300
264,285,488
265,285,728
266,285,244
267,285,287
268,285,743
269,285,474
270,285,349
271,285,116
272,285,100
273,285,507
274,285,748
275,285,681
276,285,589
277,285,236
278,285,544
279,285,452
280,285,175
281,285,476
282,285,19
283,285,203
284,285,679
285,285,490
286,285,313
287,285,408
288,285,605
289,285,226
290,285,764
291,285,150
292,285,596
293,285,785
294,285,266
295,285,362
296,285,536
297,285,324
298,285,695
299,285,675
300,285,208
301,285,788
302,285,256
303,285,72
304,285,502
305,285,454
306,285,481
307,285,644
308,285,298
309,285,509
310,285,10
311,285,590
312,285,716
313,285,687
314,285,140
315,285,470
316,285,342
317,244,439
318,244,811
319,244,679
320,244,601
321,244,100
322,244,117
323,244,450
324,244,463
325,244,80
326,244,93
327,244,258
328,244,713
329,244,251
330,244,773
331,244,647
332,244,188
333,244,411
334,244,533
335,244,723
336,244,414
337,244,363
338,244,27
339,244,107
340,244,559
341,244,451
342,244,192
343,244,135
344,218,343
345,218,555
346,256,759
347,256,227
348,26,641
349,26,487
350,26,713
351,26,800
352,26,419
353,26,308
354,26,609
355,26,328
356,26,355
357,26,792
358,26,414
359,26,101
360,26,680
361,26,431
362,26,92
363,26,396
364,26,20
365,26,655
366,26,24
367,26,203
368,26,768
369,26,156
370,26,807
371,26,336
372,26,351
373,26,138
374,26,425
375,26,573
376,26,729
377,26,225
378,26,554
379,26,290
380,26,224
381,26,357
382,26,271
383,26,237
384,26,319
385,26,541
386,26,605
387,26,544
