#ID,TF,index
0,CTBP1,0
1,HMG20B,1
2,ILK,2
3,BTF3,3
4,TCERG1,4
5,AKT1,5
6,ZMYM2,6
7,SF1,7
8,NSD1,8
9,UBTF,9
10,KLF4,10
11,TOB1,11
12,HCFC1,12
13,ZFX,13
14,SMARCA5,14
15,NFX1,15
16,LMO4,16
17,PREB,17
18,RBBP4,18
19,PCBD2,19
20,TLR4,20
21,TCEA1,21
22,GTF2A2,22
23,TOX4,23
24,EWSR1,24
25,ASH1L,25
26,IRF1,26
27,JUN,27
28,MED15,28
29,BTG2,29
30,ING1,30
31,HBP1,31
32,PER1,32
33,MAPK14,33
34,SNRPB,34
35,CREBBP,35
36,ZNRD1,36
37,RFC1,37
38,PARP1,38
39,TCEB2,39
40,EHMT2,40
41,HHEX,41
42,KLF6,42
43,GTF2I,43
44,MATR3,44
45,MED8,45
46,ETV3,46
47,ATF2,47
48,POLR2F,48
49,TGIF1,49
50,CBFB,50
51,YEATS4,51
52,ZEB2,52
53,KLF13,53
54,ID2,54
55,SMARCC2,55
56,POLR2H,56
57,MLL3,57
58,SNRPD1,58
59,UPF1,59
60,SMARCB1,60
61,GTF2F1,61
62,MCM7,62
63,BATF3,63
64,KDM5C,64
65,SUMO2,65
66,NFKB1,66
67,USF2,67
68,MBD2,68
69,SMAD2,69
70,POLR2C,70
71,CIITA,71
72,RNPS1,72
73,TSG101,73
74,CENPB,74
75,HNRNPK,75
76,MYD88,76
77,DEK,77
78,EDF1,78
79,NFAT5,79
80,MAPK1,80
81,TAF6,81
82,ZFHX3,82
83,RNF4,83
84,NCOR1,84
85,POLR2A,85
86,FOSB,86
87,MDM2,87
88,MED21,88
89,BTG1,89
90,POLR2D,90
91,NCOR2,91
92,STAT1,92
93,SRSF9,93
94,SUPT16H,94
95,NAP1L4,95
96,SMAD4,96
97,THRAP3,97
98,HMGA1,98
99,POLR2J,99
100,ILF3,100
101,TARDBP,101
102,SRRM1,102
103,NFE2L2,103
104,TAF9,104
105,UBE2K,105
106,ZFP410,106
107,TCOF1,107
108,SRRT,108
109,FOXJ3,109
110,POLR2E,110
111,COPS2,111
112,SND1,112
