,TF,Target,Label
0,26,680,1
1,26,554,1
2,26,355,1
3,26,328,1
4,26,240,1
5,26,337,1
6,26,295,1
7,26,566,1
8,26,800,1
9,26,432,1
10,26,573,1
11,26,551,1
12,26,203,1
13,26,85,1
14,26,768,1
15,26,224,1
16,26,544,1
17,26,336,1
18,26,77,1
19,26,431,1
20,26,225,1
21,26,129,1
22,26,237,1
23,26,545,1
24,26,641,1
25,26,541,1
26,26,425,1
27,26,487,1
28,26,609,1
29,26,101,1
30,26,713,1
31,26,729,1
32,26,357,1
33,26,315,1
34,26,188,1
35,26,452,1
36,26,138,1
37,26,655,1
38,26,298,1
39,26,351,1
40,26,145,1
41,63,27,1
42,63,749,1
43,63,469,1
44,63,544,1
45,63,49,1
46,63,123,1
47,63,17,1
48,63,268,1
49,63,489,1
50,63,587,1
51,63,613,1
52,63,487,1
53,63,616,1
54,63,71,1
55,63,51,1
56,63,342,1
57,63,651,1
58,63,510,1
59,63,550,1
60,63,670,1
61,63,581,1
62,63,295,1
63,63,102,1
64,63,672,1
65,63,666,1
66,63,548,1
67,63,798,1
68,63,41,1
69,63,199,1
70,63,646,1
71,63,537,1
72,63,783,1
73,63,483,1
74,63,256,1
75,63,713,1
76,63,599,1
77,63,253,1
78,63,248,1
79,63,296,1
80,63,178,1
81,63,649,1
82,63,611,1
83,63,533,1
84,63,30,1
85,63,643,1
86,63,326,1
87,63,532,1
88,63,513,1
89,63,316,1
90,65,729,1
91,65,765,1
92,65,229,1
93,65,331,1
94,65,295,1
95,65,710,1
96,65,113,1
97,65,275,1
98,65,146,1
99,65,49,1
100,65,100,1
101,65,341,1
102,65,55,1
103,65,289,1
104,65,329,1
105,65,683,1
106,65,245,1
107,65,796,1
108,65,799,1
109,65,246,1
110,65,159,1
111,65,714,1
112,65,120,1
113,65,230,1
114,65,36,1
115,65,406,1
116,65,741,1
117,65,664,1
118,65,130,1
119,65,50,1
120,65,534,1
121,65,192,1
122,65,258,1
123,65,1,1
124,65,44,1
125,65,696,1
126,65,424,1
127,65,500,1
128,65,135,1
129,65,785,1
130,65,463,1
131,65,553,1
132,65,98,1
133,65,212,1
134,65,221,1
135,66,683,1
136,66,165,1
137,92,295,1
138,92,226,1
139,92,103,1
140,92,539,1
141,92,605,1
142,92,101,1
143,92,80,1
144,92,425,1
145,92,606,1
146,92,156,1
147,92,750,1
148,92,548,1
149,92,626,1
150,92,85,1
151,92,97,1
152,92,288,1
153,92,738,1
154,92,428,1
155,92,766,1
156,92,11,1
157,92,165,1
158,92,687,1
159,92,61,1
160,92,629,1
161,92,510,1
162,92,261,1
163,92,370,1
164,92,200,1
165,92,269,1
166,92,577,1
167,92,78,1
168,92,368,1
169,92,209,1
170,92,807,1
171,92,265,1
172,92,272,1
173,92,292,1
174,92,651,1
175,92,290,1
176,92,659,1
177,92,799,1
178,92,707,1
179,92,703,1
180,92,452,1
181,92,26,1
182,92,764,1
183,92,351,1
184,92,217,1
185,92,563,1
186,92,683,1
187,92,30,1
188,92,478,1
189,92,186,1
190,92,480,1
191,92,348,1
192,92,238,1
193,190,744,1
194,190,55,1
195,190,343,1
196,190,187,1
197,190,729,1
198,209,778,1
199,209,436,1
200,209,401,1
201,209,779,1
202,209,688,1
203,209,448,1
204,209,503,1
205,209,624,1
206,209,343,1
