,TF,Target,Label
0,26,24,1
1,26,315,1
2,26,431,1
3,26,573,1
4,26,609,1
5,26,566,1
6,26,518,1
7,26,541,1
8,26,313,1
9,26,544,1
10,26,85,1
11,26,703,1
12,26,77,1
13,26,225,1
14,26,224,1
15,26,240,1
16,26,275,1
17,26,290,1
18,26,487,1
19,26,337,1
20,26,101,1
21,26,328,1
22,26,680,1
23,26,308,1
24,26,713,1
25,26,145,1
26,26,551,1
27,26,92,1
28,26,271,1
29,26,203,1
30,26,138,1
31,26,355,1
32,26,130,1
33,26,414,1
34,26,792,1
35,26,419,1
36,26,237,1
37,26,319,1
38,26,641,1
39,26,554,1
40,26,605,1
41,63,544,1
42,63,588,1
43,63,452,1
44,63,643,1
45,63,666,1
46,63,532,1
47,63,30,1
48,63,599,1
49,63,295,1
50,63,275,1
51,63,238,1
52,63,41,1
53,63,746,1
54,63,756,1
55,63,199,1
56,63,326,1
57,63,253,1
58,63,224,1
59,63,481,1
60,63,550,1
61,63,296,1
62,63,483,1
63,63,688,1
64,63,757,1
65,63,533,1
66,63,316,1
67,63,304,1
68,63,290,1
69,63,20,1
70,63,672,1
71,63,611,1
72,63,722,1
73,63,132,1
74,63,513,1
75,63,102,1
76,63,487,1
77,63,649,1
78,63,432,1
79,63,537,1
80,63,49,1
81,63,343,1
82,63,581,1
83,63,783,1
84,63,749,1
85,63,426,1
86,63,785,1
87,63,51,1
88,63,123,1
89,63,178,1
90,65,289,1
91,65,212,1
92,65,463,1
93,65,258,1
94,65,424,1
95,65,72,1
96,65,49,1
97,65,36,1
98,65,393,1
99,65,187,1
100,65,341,1
101,65,710,1
102,65,130,1
103,65,354,1
104,65,744,1
105,65,683,1
106,65,553,1
107,65,500,1
108,65,44,1
109,65,534,1
110,65,113,1
111,65,765,1
112,65,224,1
113,65,764,1
114,65,230,1
115,65,297,1
116,65,155,1
117,65,302,1
118,65,295,1
119,65,157,1
120,65,714,1
121,65,100,1
122,65,98,1
123,65,275,1
124,65,380,1
125,65,55,1
126,65,229,1
127,65,664,1
128,65,50,1
129,65,234,1
130,65,729,1
131,65,191,1
132,65,502,1
133,65,531,1
134,65,246,1
135,66,338,1
136,66,683,1
137,66,352,1
138,92,101,1
139,92,750,1
140,92,659,1
141,92,224,1
142,92,738,1
143,92,348,1
144,92,674,1
145,92,290,1
146,92,425,1
147,92,240,1
