#ID	Name
G0	CTBP1
G1	HMG20B
G2	ILK
G3	BTF3
G4	TCERG1
G5	AKT1
G6	ZMYM2
G7	SF1
G8	NSD1
G9	UBTF
G10	KLF4
G11	TOB1
G12	HCFC1
G13	ZFX
G14	SMARCA5
G15	NFX1
G16	LMO4
G17	PREB
G18	RBBP4
G19	PCBD2
G20	TLR4
G21	TCEA1
G22	GTF2A2
G23	TOX4
G24	EWSR1
G25	ASH1L
G26	IRF1
G27	JUN
G28	MED15
G29	BTG2
G30	ING1
G31	HBP1
G32	PER1
G33	MAPK14
G34	SNRPB
G35	CREBBP
G36	ZNRD1
G37	RFC1
G38	PARP1
G39	TCEB2
G40	EHMT2
G41	HHEX
G42	KLF6
G43	GTF2I
G44	MATR3
G45	MED8
G46	ETV3
G47	ATF2
G48	POLR2F
G49	TGIF1
G50	CBFB
G51	YEATS4
G52	ZEB2
G53	KLF13
G54	ID2
G55	SMARCC2
G56	POLR2H
G57	MLL3
G58	SNRPD1
G59	UPF1
G60	SMARCB1
G61	GTF2F1
G62	MCM7
G63	BATF3
G64	KDM5C
G65	SUMO2
G66	NFKB1
G67	USF2
G68	MBD2
G69	SMAD2
G70	POLR2C
G71	CIITA
G72	RNPS1
G73	TSG101
G74	CENPB
G75	HNRNPK
G76	MYD88
G77	DEK
G78	EDF1
G79	NFAT5
G80	MAPK1
G81	TAF6
G82	ZFHX3
G83	RNF4
G84	NCOR1
G85	POLR2A
G86	FOSB
G87	MDM2
G88	MED21
G89	BTG1
G90	POLR2D
G91	NCOR2
G92	STAT1
G93	SRSF9
G94	SUPT16H
G95	NAP1L4
G96	SMAD4
G97	THRAP3
G98	HMGA1
G99	POLR2J
G100	ILF3
G101	TARDBP
G102	SRRM1
G103	NFE2L2
G104	TAF9
G105	UBE2K
G106	ZFP410
G107	TCOF1
G108	SRRT
G109	FOXJ3
G110	POLR2E
G111	COPS2
G112	SND1
G113	FOXN2
G114	MITF
G115	ZFML
G116	DNMT3A
G117	DDX5
G118	NFKBIA
G119	SSB
G120	MYEF2
G121	DOT1L
G122	CNOT2
G123	PCBP2
G124	TRPS1
G125	KPNA2
G126	RDBP
G127	CDC5L
G128	AFF4
G129	TCF12
G130	BIN1
G131	EGR2
G132	TBPL1
G133	MYST2
G134	RBL2
G135	NFKBIZ
G136	TAF12
G137	MCM5
G138	COPS5
G139	POLR2B
G140	CHD7
G141	CIC
G142	CREB3
G143	KDM2B
G144	TRERF1
G145	MED1
G146	TRIM28
G147	SRSF1
G148	SUZ12
G149	PHB2
G150	JUP
G151	RFX7
G152	SIRT7
G153	SUPT5H
G154	APEX1
G155	JUNB
G156	FOS
G157	KHDRBS1
G158	JMJD1C
G159	BHLHE40
G160	TSC22D4
G161	YBX1
G162	CTNNB1
G163	SRSF6
G164	TAX1BP3
G165	TNF
G166	GTF2E2
G167	HNRNPAB
G168	SERTAD2
G169	CBX3
G170	CSDE1
G171	VDR
G172	SMARCA4
G173	CHD1
G174	HNRNPD
G175	DAB2
G176	CXXC1
G177	CCRN4L
G178	EHMT1
G179	CHD4
G180	SUPT4H1
G181	DENND4A
G182	TOP2B
G183	H1F0
G184	LDB1
G185	AES
G186	ZFP36
G187	HDGF
G188	TRP53
G189	XBP1
G190	SUMO1
G191	ARID1A
G192	SKIL
G193	TIAL1
G194	ZFP148
G195	RAD51
G196	SIRT2
G197	SFPQ
G198	WHSC1L1
G199	HCLS1
G200	KDM5A
G201	GATAD2A
G202	RBM39
G203	TCF7L2
G204	POLR1D
G205	MTA2
G206	FUBP3
G207	CBFA2T3
G208	TUBA1A
G209	STAT3
G210	ARL6IP5
G211	PAPOLA
G212	FOSL2
G213	BCLAF1
G214	CSDA
G215	AHR
G216	HOPX
G217	ATF4
G218	ETS2
G219	NCOA3
G220	RLIM
G221	CEBPA
G222	POLR2K
G223	NFKBIB
G224	ELF1
G225	TAF7
G226	SNAPC5
G227	RUVBL2
G228	SIN3B
G229	REL
G230	FXR1
G231	NCOA4
G232	RELA
G233	BUB3
G234	AIP
G235	SP1
G236	MAPK3
G237	CNOT6
G238	ATF6
G239	NFIL3
G240	NONO
G241	RBPJ
G242	DDB1
G243	NOTCH2
G244	EGR1
G245	UBP1
G246	MEF2A
G247	MCM3
G248	RUNX1
G249	ELF2
G250	IRF4
G251	MAFF
G252	ZFP36L1
G253	RBBP7
G254	HSBP1
G255	PA2G4
G256	HIF1A
G257	TFDP1
G258	AEBP2
G259	SKI
G260	MED27
G261	GTF2B
G262	HIST1H1C
G263	LASS2
G264	ZMYND11
G265	SUB1
G266	ATF3
G267	TCEB3
G268	WBP11
G269	SRSF5
G270	EZH2
G271	MCM4
G272	HAX1
G273	MLL2
G274	GTF2A1
G275	NR3C1
G276	BAZ1A
G277	HTATIP2
G278	HMGB2
G279	SFPI1
G280	MCM6
G281	BACH1
G282	SUPT6H
G283	NR4A1
G284	ELL2
G285	CTCF
G286	LASS5
G287	HMG20A
G288	SRSF3
G289	KLF10
G290	IRF2
G291	TARBP2
G292	SRSF2
G293	FLI1
G294	DPF2
G295	CREM
G296	CNOT8
G297	TNFAIP3
G298	DNMT1
G299	NME2
G300	EIF5B
G301	AGAP3
G302	PBRM1
G303	KDM6B
G304	ZFP91
G305	TCEB1
G306	CNOT6L
G307	DAZAP2
G308	POLR2G
G309	STAT6
G310	CTCFL
G311	SMARCE1
G312	IVNS1ABP
G313	POLR2I
G314	DNAJC2
G315	HDAC1
G316	IRF5
G317	POLR3K
G318	ZBTB7A
G319	SSRP1
G320	ARID1B
G321	ID3
G322	MKL2
G323	CLEC4E
G324	SSR4
G325	GLIPR1
G326	PLEK
G327	SRP14
G328	PSMA5
G329	PLAUR
G330	RPS14
G331	CHCHD2
G332	ATP6V1E1
G333	APRT
G334	EEF1A1
G335	OST4
G336	MYL12B
