G0	SOX2
G1	SSBP4
G2	APBB1
G3	CITED1
G4	SMAD4
G5	ELL2
G6	ELP2
G7	MAPK3
G8	CCND1
G9	ANKRD6
G10	SIRT1
G11	SP8
G12	KLF10
G13	FOXP1
G14	MATR3
G15	FOXD3
G16	GATA6
G17	NR1D2
G18	RAD51
G19	ECD
G20	CRAMP1L
G21	TCEA1
G22	RIF1
G23	ZFP296
G24	EZH1
G25	TRIM28
G26	HIST1H1B
G27	ZFP275
G28	TAF1
G29	SKIL
G30	PHB2
G31	ZFP148
G32	PHF12
G33	TAF5
G34	MXD4
G35	DDIT3
G36	PRRX2
G37	MSC
G38	APEX1
G39	FOXJ3
G40	NUPR1
G41	PIAS2
G42	HMGA2
G43	ANKS1
G44	ELF2
G45	PAX8
G46	RBMXL2
G47	NFIB
G48	SNAI1
G49	HNRNPD
G50	ORC2
G51	DDX58
G52	AGAP3
G53	SMARCB1
G54	FOXO3
G55	ERCC8
G56	ZFP42
G57	CBX7
G58	HSF2BP
G59	ZDHHC16
G60	CDC5L
G61	FHL2
G62	FOXA2
G63	POLR2K
G64	SUB1
G65	TWIST1
G66	MCM2
G67	MBD2
G68	CTBP1
G69	HNF4A
G70	PATZ1
G71	NONO
G72	GATA4
G73	LHX2
G74	DCP1A
G75	EBF1
G76	MED31
G77	NFATC3
G78	MCM4
G79	CSF1
G80	MYCN
G81	MAML3
G82	YEATS4
G83	MTF2
G84	ZMYM2
G85	DPPA4
G86	TSG101
G87	SMARCA4
G88	UBP1
G89	DR1
G90	MED21
G91	NR3C1
G92	SIRT2
G93	GTF2H4
G94	PRDM1
G95	SATB2
G96	SMAD3
G97	RFX5
G98	TCERG1
G99	DDB1
G100	FXR2
G101	NAA15
G102	BTG2
G103	EMX2
G104	IRF6
G105	CHD4
G106	GTF3C5
G107	SMURF2
G108	GATA3
G109	RB1
G110	IRF2
G111	NME2
G112	ATF6
G113	RNF2
G114	ILF3
G115	POLR2B
G116	POU4F2
G117	MAPK8
G118	ZDHHC15
G119	TAF10
G120	TAX1BP3
G121	CTNNBIP1
G122	MED12
G123	ELAVL2
G124	CBX4
