#ID,TF,index
0,25,681
1,25,392
2,25,690
3,25,706
4,25,300
5,25,936
6,25,393
7,25,413
8,25,822
9,25,271
10,25,964
11,25,442
12,25,418
13,25,965
14,25,136
15,25,880
16,25,553
17,25,849
18,25,733
19,25,1081
20,25,989
21,25,696
22,25,72
23,25,980
24,25,663
25,25,554
26,25,496
27,25,582
28,25,593
29,25,767
30,25,1012
31,25,613
32,25,669
33,25,853
34,25,716
35,25,357
36,25,1113
37,25,824
38,25,292
39,25,829
40,25,247
41,25,336
42,25,522
43,25,114
44,25,952
45,25,751
46,25,66
47,25,618
48,25,160
49,25,448
50,25,454
51,25,158
52,25,42
53,25,1014
54,25,310
55,25,725
56,25,394
57,25,1083
58,25,834
59,25,589
60,25,639
61,25,887
62,25,897
63,25,1051
64,25,230
65,25,584
66,25,537
67,25,947
68,25,141
69,25,94
70,25,308
71,25,2
72,25,368
73,25,1017
74,25,170
75,25,556
76,25,661
77,25,1005
78,25,789
79,25,333
80,25,1117
81,25,625
82,25,278
83,25,306
84,25,320
85,25,647
86,25,43
87,25,520
88,25,396
89,25,1094
90,25,858
91,25,594
92,25,224
93,25,167
94,25,423
95,25,187
96,25,106
97,25,658
98,25,938
99,25,560
100,25,362
101,25,672
102,25,285
103,25,273
104,25,624
105,25,614
106,25,383
107,25,389
108,31,706
109,470,148
110,470,224
111,470,796
112,470,403
113,470,706
114,470,36
115,470,93
116,470,195
117,470,120
118,470,413
119,470,774
120,470,132
121,470,303
122,470,116
123,470,560
124,470,613
125,470,197
126,470,138
127,470,216
128,470,510
129,470,121
130,470,321
131,470,789
132,470,540
133,470,384
134,470,68
135,470,394
136,470,1029
137,470,765
138,470,1062
139,470,23
140,470,407
141,470,129
142,470,472
143,470,720
144,470,89
145,470,205
146,470,626
147,470,392
148,470,529
149,470,62
150,470,766
151,470,1065
152,470,522
153,470,141
154,470,966
155,470,277
156,470,630
157,470,602
158,470,831
159,470,792
160,470,615
161,470,338
162,470,749
163,470,821
164,470,1057
165,470,281
166,470,805
167,470,146
168,470,166
169,470,39
170,470,391
171,470,67
172,470,1116
173,470,229
174,470,525
175,470,332
176,470,1075
177,470,199
178,470,492
179,470,960
180,470,834
181,470,107
182,470,887
183,470,852
184,470,1021
185,470,520
186,470,339
187,470,1081
188,470,238
189,470,25
190,470,734
191,470,685
192,470,515
193,470,499
194,470,629
195,470,287
196,470,24
197,470,498
198,470,270
199,470,636
200,470,307
201,470,663
202,470,755
203,470,367
204,470,400
205,470,57
206,470,578
207,470,799
208,470,588
209,470,7
210,470,504
211,470,181
212,470,1078
213,470,562
214,470,123
215,470,1060
216,470,771
217,470,600
218,470,478
219,470,38
220,470,496
221,470,442
222,470,351
223,470,293
224,470,882
225,470,624
226,470,566
227,470,64
228,470,1042
229,470,167
230,470,523
231,470,853
232,470,13
233,470,182
234,470,215
235,470,694
236,470,380
237,470,620
238,470,650
239,470,202
240,470,1051
241,470,389
242,470,597
243,470,186
244,470,954
245,470,546
246,470,96
247,470,1004
248,470,304
249,470,849
250,470,328
251,470,979
252,470,88
253,470,405
254,470,1013
255,470,469
256,470,1113
257,470,289
258,470,254
259,470,268
260,470,559
261,470,232
262,470,244
263,470,1032
264,470,334
265,470,379
266,470,427
267,470,310
268,470,21
269,470,959
270,470,946
271,470,574
272,470,584
273,470,519
274,470,1028
275,470,428
276,470,721
277,470,460
278,470,240
279,470,231
280,470,340
281,470,43
282,470,900
283,470,434
284,470,279
285,470,823
286,470,12
287,470,74
288,470,243
289,470,101
290,470,666
291,470,417
292,470,210
293,470,352
294,470,462
295,470,242
296,470,843
297,470,79
298,470,69
299,470,568
300,470,832
301,470,610
302,470,300
303,470,298
304,470,78
305,470,727
306,470,423
307,470,1
308,470,619
309,470,363
310,470,599
311,470,85
312,470,86
313,470,495
314,470,652
315,470,376
316,470,892
317,470,577
318,470,371
319,470,420
320,470,802
321,470,1055
322,470,971
323,470,178
324,470,157
325,470,500
326,470,278
327,470,272
328,470,632
329,470,485
330,470,576
331,470,187
332,470,419
333,470,664
334,470,217
335,470,991
336,470,446
337,470,824
338,470,162
339,470,318
340,470,284
341,470,786
342,470,1045
343,470,252
344,470,614
345,470,702
346,470,444
347,470,800
348,470,227
349,470,690
350,470,995
351,470,908
352,470,458
353,470,49
354,470,372
355,470,305
356,470,716
357,470,953
358,470,66
359,470,103
360,470,918
361,470,432
362,470,151
363,470,595
364,470,154
365,470,601
366,470,429
367,470,801
368,470,748
369,470,738
370,470,77
371,470,230
372,470,521
373,470,250
374,470,930
375,470,260
376,470,534
377,470,943
378,470,377
379,470,84
380,470,18
381,470,190
382,470,860
383,470,839
384,470,757
385,470,669
386,470,818
387,470,530
388,470,335
389,470,60
390,470,718
391,470,445
392,470,1076
393,470,225
394,470,285
395,470,14
396,470,218
397,470,732
398,470,760
399,470,735
400,470,609
401,470,1070
402,470,257
403,470,247
404,470,134
405,470,320
406,470,412
407,470,431
408,470,262
409,470,817
410,470,564
411,470,836
412,470,594
413,470,274
414,470,312
415,470,106
416,470,605
417,470,681
418,470,322
419,470,1034
420,470,189
421,470,676
422,470,219
423,470,502
424,470,527
425,470,563
426,470,747
427,470,740
428,470,580
429,470,809
430,470,163
431,470,253
432,470,553
433,470,207
434,470,556
435,470,1072
436,470,1002
437,470,249
438,470,347
439,470,411
440,470,891
441,470,41
442,470,1009
443,470,509
444,470,258
445,470,292
