#ID,TF,index
0,BMI1,0
1,ARNT2,1
2,BTG2,2
3,MED4,3
4,TLE1,4
5,NFATC2IP,5
6,SOX4,6
7,YEATS2,7
8,CRAMP1L,8
9,YAF2,9
10,KRBA1,10
11,POLR2K,11
12,FOXP1,12
13,NOTCH1,13
14,PHF14,14
15,SOX15,15
16,FOSL2,16
17,TAF6,17
18,PURA,18
19,HNRNPK,19
20,MYBBP1A,20
21,CREB3,21
22,ATF2,22
23,E2F6,23
24,FOXJ3,24
25,ARID1A,25
26,HEY2,26
27,IRF4,27
28,OVOL1,28
29,SIN3A,29
30,NR2F2,30
31,BAZ1A,31
32,MCM2,32
33,PHF12,33
34,POU4F2,34
35,RARG,35
36,CUX1,36
37,TEAD3,37
38,KEAP1,38
39,RNF14,39
40,PER1,40
41,KAT2B,41
42,BARD1,42
43,IRF1,43
44,CHD4,44
45,ZMYM2,45
46,POLR3B,46
47,DMRT1,47
48,DDX20,48
49,EED,49
50,PITX2,50
51,POLR2E,51
52,KLF13,52
53,GTF2A1L,53
54,KLF8,54
55,IRF3,55
56,ZDHHC16,56
57,RAD54B,57
58,ABT1,58
59,AGAP3,59
60,COIL,60
61,DDX54,61
62,SIRT1,62
63,MSX2,63
64,TSG101,64
65,ZFP446,65
66,NCOA3,66
67,ATF5,67
68,PSIP1,68
69,NFATC3,69
70,GLI1,70
71,MAPK8,71
72,NR5A2,72
73,SOS2,73
74,BTF3,74
75,POU4F1,75
76,PBXIP1,76
77,SSBP4,77
78,SSB,78
79,FIZ1,79
80,TRP53,80
81,TOPORS,81
82,ARL6IP5,82
83,CBX6,83
84,TCF12,84
85,HOXD13,85
86,KDM5B,86
87,RBBP7,87
88,SRSF6,88
89,SMARCD1,89
90,NR0B1,90
91,PRDM1,91
92,ERCC3,92
93,SIN3B,93
94,WWTR1,94
95,IRF2,95
96,XRCC6,96
97,RUVBL1,97
98,RUVBL2,98
99,SOX17,99
100,OTX2,100
101,SUZ12,101
102,TFEB,102
103,MLLT1,103
104,NANOG,104
105,PRDM14,105
106,BRPF1,106
107,XBP1,107
108,PAX8,108
109,CENPB,109
110,GTF2H4,110
111,KANK2,111
112,NFYB,112
113,ZFP296,113
114,MBD2,114
115,TRIP6,115
116,ATF4,116
117,EMX2,117
118,HCFC1,118
119,PLAG1,119
120,ZFP219,120
121,MATR3,121
122,ZBTB32,122
123,RFX7,123
124,KLF9,124
125,CALCOCO1,125
126,XAB2,126
127,HDAC3,127
128,MLXIPL,128
129,ELK4,129
130,TCEA3,130
131,MCM7,131
132,MAML3,132
133,PBX4,133
134,HMGB2,134
135,MEN1,135
136,RBM14,136
137,RNF6,137
138,CTNNB1,138
139,SALL4,139
140,TGFB1,140
141,EP400,141
142,FOXQ1,142
143,ECD,143
144,TAF1A,144
145,UTF1,145
146,HNRNPAB,146
147,HDAC10,147
148,SATB1,148
149,FXR1,149
150,UBTF,150
151,TRPS1,151
152,NR1D1,152
153,NFIB,153
154,TNFAIP3,154
155,EBF1,155
156,HEXIM1,156
157,NR4A1,157
158,SIX5,158
159,ZFP423,159
160,KHDRBS1,160
161,THRAP3,161
162,PHB2,162
163,KLF15,163
164,GTF2I,164
