G0	BMI1
G1	ARNT2
G2	BTG2
G3	MED4
G4	TLE1
G5	NFATC2IP
G6	SOX4
G7	YEATS2
G8	CRAMP1L
G9	YAF2
G10	KRBA1
G11	POLR2K
G12	FOXP1
G13	NOTCH1
G14	PHF14
G15	SOX15
G16	FOSL2
G17	TAF6
G18	PURA
G19	HNRNPK
G20	MYBBP1A
G21	CREB3
G22	ATF2
G23	E2F6
G24	FOXJ3
G25	ARID1A
G26	HEY2
G27	IRF4
G28	OVOL1
G29	SIN3A
G30	NR2F2
G31	BAZ1A
G32	MCM2
G33	PHF12
G34	POU4F2
G35	RARG
G36	CUX1
G37	TEAD3
G38	KEAP1
G39	RNF14
G40	PER1
G41	KAT2B
G42	BARD1
G43	IRF1
G44	CHD4
G45	ZMYM2
G46	POLR3B
G47	DMRT1
G48	DDX20
G49	EED
G50	PITX2
G51	POLR2E
G52	KLF13
G53	GTF2A1L
G54	KLF8
G55	IRF3
G56	ZDHHC16
G57	RAD54B
G58	ABT1
G59	AGAP3
G60	COIL
G61	DDX54
G62	SIRT1
G63	MSX2
G64	TSG101
G65	ZFP446
G66	NCOA3
G67	ATF5
G68	PSIP1
G69	NFATC3
G70	GLI1
G71	MAPK8
G72	NR5A2
G73	SOS2
G74	BTF3
G75	POU4F1
G76	PBXIP1
G77	SSBP4
G78	SSB
G79	FIZ1
G80	TRP53
G81	TOPORS
G82	ARL6IP5
G83	CBX6
G84	TCF12
G85	HOXD13
G86	KDM5B
G87	RBBP7
G88	SRSF6
G89	SMARCD1
G90	NR0B1
G91	PRDM1
G92	ERCC3
G93	SIN3B
G94	WWTR1
G95	IRF2
G96	XRCC6
G97	RUVBL1
G98	RUVBL2
G99	SOX17
G100	OTX2
G101	SUZ12
G102	TFEB
G103	MLLT1
G104	NANOG
G105	PRDM14
G106	BRPF1
G107	XBP1
G108	PAX8
G109	CENPB
G110	GTF2H4
G111	KANK2
G112	NFYB
G113	ZFP296
G114	MBD2
G115	TRIP6
G116	ATF4
G117	EMX2
G118	HCFC1
G119	PLAG1
G120	ZFP219
G121	MATR3
G122	ZBTB32
G123	RFX7
G124	KLF9
G125	CALCOCO1
G126	XAB2
G127	HDAC3
G128	MLXIPL
G129	ELK4
G130	TCEA3
G131	MCM7
G132	MAML3
G133	PBX4
G134	HMGB2
G135	MEN1
G136	RBM14
G137	RNF6
G138	CTNNB1
G139	SALL4
G140	TGFB1
G141	EP400
G142	FOXQ1
G143	ECD
G144	TAF1A
G145	UTF1
G146	HNRNPAB
G147	HDAC10
G148	SATB1
G149	FXR1
G150	UBTF
G151	TRPS1
G152	NR1D1
G153	NFIB
G154	TNFAIP3
G155	EBF1
G156	HEXIM1
G157	NR4A1
G158	SIX5
G159	ZFP423
G160	KHDRBS1
G161	THRAP3
G162	PHB2
G163	KLF15
G164	GTF2I
G165	EPAS1
G166	RFX2
G167	PELP1
G168	POU5F1
G169	HIST1H1B
G170	ABTB1
G171	RCOR2
G172	MAZ
G173	MAPK11
G174	ZIC3
G175	AKT1
G176	HMGA2
G177	SMAD7
G178	RYBP
G179	HDAC11
G180	SATB2
G181	CBX7
G182	HDAC1
G183	DDX5
G184	ZBTB10
G185	NUPR1
G186	ETV3
G187	NR1D2
G188	MAPK13
G189	APEX1
G190	PIAS3
G191	MIS18BP1
G192	NR1H2
G193	MSC
G194	PDCD11
G195	CITED2
G196	NDN
G197	PCBP2
G198	LMO4
G199	ORC2
G200	SMARCB1
G201	ATF7
G202	CNOT3
G203	TGIF1
G204	ARID3B
G205	PHF20
G206	STAT5B
G207	RAD51
G208	GATA6
G209	SKIL
G210	RNF19A
G211	STAT4
G212	MCM4
G213	PEG3
G214	POLR2B
G215	ZBTB38
G216	TAF5
G217	ZFP768
G218	TBX3
G219	RERE
G220	DAXX
G221	HNF1B
G222	KLF10
G223	POLR1E
G224	HMGXB4
G225	RFXAP
G226	RFX5
G227	BCL3
G228	SPEN
G229	NRF1
G230	LDB1
G231	TEAD1
G232	ZFP281
G233	TBL1X
G234	PREB
G235	TFE3
G236	ZBTB3
G237	AES
G238	EZH1
G239	NRIP1
G240	SFPQ
G241	MCM3
G242	PARP1
G243	NCOR1
G244	TRIM24
G245	MED15
G246	NFATC1
G247	AIP
G248	ZBTB20
G249	H1F0
G250	RARA
G251	CRY1
G252	CNOT7
G253	HDAC4
G254	YEATS4
G255	MPHOSPH8
G256	SIX1
G257	CTCF
G258	INTS12
G259	ZEB1
G260	HDAC2
G261	JARID2
G262	POLR2H
G263	SOX7
G264	SIRT3
G265	ING3
G266	GTF3C1
G267	CREBZF
G268	SMARCC1
G269	ID4
G270	TIMELESS
G271	ETV1
G272	PLAGL2
G273	HNRNPD
G274	JDP2
G275	NR3C1
G276	TRIM25
G277	FXR2
G278	MDM2
G279	TOP2B
G280	CSF1
G281	MAML1
G282	CBX4
G283	GNRH1
G284	TAF9
G285	NFE2L1
G286	SMAD2
G287	BCLAF1
G288	TADA3
G289	SMARCA4
G290	TRRAP
G291	NPAS2
G292	TCF4
G293	GLIS2
G294	GZF1
G295	PKNOX2
G296	LHX2
G297	POLR1C
G298	ZFP276
G299	RHOX6
G300	RIF1
G301	FOXO3
G302	TSHZ3
G303	FUS
G304	TMF1
G305	BRWD1
G306	DDIT3
G307	CTNNBIP1
G308	DDB1
G309	DNMT3A
G310	RNF2
G311	POU6F1
G312	HES1
G313	HSBP1
G314	BRCA1
G315	PCBD1
G316	PHF2
G317	GLI2
G318	MEF2A
G319	ERF
G320	KLF3
G321	ZFP335
G322	GRIN1
G323	NCOA6
G324	RUNX3
G325	SNAI1
G326	RBMXL2
G327	NFXL1
G328	FOXJ2
G329	SALL1
G330	EYA1
G331	CREB5
G332	NACC1
G333	TAX1BP3
G334	ZSWIM4
G335	ILK
G336	DDB2
G337	MITF
G338	SRRT
G339	BRD7
G340	ZFHX3
G341	POLR2A
G342	ELF4
G343	SAP30
G344	CNOT6L
G345	NFIL3
G346	DPPA2
G347	SMARCC2
G348	ZHX3
G349	BACH2
G350	DPPA4
G351	E2F2
G352	KLF2
G353	ASH1L
G354	TAF1
G355	FOXO1
G356	TRIP11
G357	TCF7L2
G358	DCP1A
G359	PLRG1
G360	RUNX1
G361	RBMX
G362	SND1
G363	WBP11
G364	HIVEP2
G365	CEBPZ
G366	DNAJC2
G367	TCEA1
G368	FOXH1
G369	BTBD11
G370	ZFP236
G371	ZFP592
G372	ZFAND3
G373	FOXA2
G374	ING1
G375	STAT5A
G376	HDAC5
G377	TET2
G378	E2F4
G379	MTA3
G380	SMURF1
G381	POLR1B
G382	MED31
G383	HMGA1
G384	NOTCH2
G385	NFIA
G386	CIC
G387	DDX58
G388	PML
G389	SERTAD2
