,TF,Target,Label
0,25,594,1
1,25,383,1
2,25,614,1
3,25,454,1
4,25,320,1
5,25,751,1
6,25,938,1
7,25,537,1
8,25,589,1
9,25,624,1
10,25,584,1
11,25,661,1
12,25,413,1
13,25,647,1
14,25,613,1
15,25,396,1
16,25,716,1
17,25,136,1
18,25,423,1
19,25,556,1
20,25,849,1
21,25,362,1
22,25,187,1
23,25,554,1
24,25,141,1
25,25,829,1
26,25,767,1
27,25,394,1
28,25,158,1
29,25,989,1
30,25,333,1
31,25,672,1
32,25,880,1
33,25,368,1
34,25,663,1
35,25,170,1
36,25,858,1
37,25,1017,1
38,25,952,1
39,25,42,1
40,25,853,1
41,25,247,1
42,25,834,1
43,25,936,1
44,25,520,1
45,25,681,1
46,25,273,1
47,25,106,1
48,25,725,1
49,25,285,1
50,25,669,1
51,25,522,1
52,25,418,1
53,25,553,1
54,25,160,1
55,25,271,1
56,25,392,1
57,25,357,1
58,25,393,1
59,25,114,1
60,25,980,1
61,25,822,1
62,25,306,1
63,25,560,1
64,25,224,1
65,25,1117,1
66,25,1012,1
67,25,593,1
68,25,66,1
69,25,582,1
70,25,887,1
71,25,94,1
72,29,304,1
73,29,875,1
74,29,999,1
75,29,852,1
76,29,356,1
77,29,264,1
78,29,463,1
79,29,491,1
80,29,671,1
81,29,504,1
82,29,357,1
83,29,210,1
84,29,152,1
85,29,290,1
86,29,262,1
87,29,311,1
88,29,32,1
89,29,535,1
90,29,380,1
91,29,178,1
92,29,419,1
93,29,110,1
94,29,307,1
95,29,168,1
96,29,131,1
97,29,965,1
98,29,469,1
99,29,843,1
100,29,367,1
101,29,104,1
102,29,594,1
103,29,1024,1
104,29,442,1
105,29,482,1
106,29,1081,1
107,29,1017,1
108,29,291,1
109,29,802,1
110,29,268,1
111,29,78,1
112,29,105,1
113,29,310,1
114,29,576,1
115,29,399,1
116,29,762,1
117,29,1047,1
118,29,531,1
119,29,16,1
120,29,386,1
121,29,665,1
122,29,668,1
123,29,194,1
124,29,18,1
125,29,562,1
126,29,409,1
127,29,223,1
128,29,129,1
129,29,619,1
130,29,1058,1
131,29,369,1
132,29,533,1
133,29,137,1
134,29,402,1
135,29,50,1
136,29,755,1
137,29,372,1
138,29,735,1
139,29,106,1
140,29,846,1
141,29,56,1
142,29,975,1
143,29,10,1
144,29,257,1
145,29,157,1
146,29,577,1
147,29,645,1
148,29,68,1
149,29,914,1
150,29,614,1
151,29,1008,1
152,29,236,1
153,29,470,1
154,29,554,1
155,29,907,1
156,29,1072,1
157,29,77,1
158,29,940,1
159,29,30,1
160,29,934,1
161,29,766,1
162,29,481,1
163,29,622,1
164,29,518,1
165,29,287,1
166,29,215,1
167,29,858,1
168,29,385,1
169,29,61,1
170,29,206,1
171,29,756,1
172,29,1109,1
173,29,1060,1
174,29,636,1
175,29,408,1
176,29,593,1
177,29,456,1
178,29,201,1
179,29,414,1
180,29,586,1
181,29,679,1
182,29,452,1
183,29,429,1
184,29,855,1
185,29,886,1
186,29,541,1
187,29,392,1
188,29,801,1
189,29,125,1
190,29,427,1
191,29,15,1
192,29,393,1
193,29,757,1
194,29,582,1
195,29,816,1
196,29,983,1
197,29,1030,1
198,29,834,1
199,29,637,1
200,29,1042,1
201,29,319,1
202,29,379,1
203,29,228,1
204,29,917,1
205,29,279,1
206,29,492,1
207,29,270,1
208,29,1012,1
209,29,776,1
210,29,630,1
211,29,17,1
212,29,258,1
213,29,325,1
214,29,1065,1
215,29,154,1
216,29,561,1
217,29,276,1
218,29,833,1
219,29,530,1
220,29,850,1
221,29,12,1
222,29,824,1
223,29,196,1
224,29,446,1
225,29,953,1
226,29,13,1
227,29,343,1
228,29,638,1
229,29,542,1
230,29,988,1
231,29,169,1
232,29,286,1
233,29,413,1
234,29,241,1
235,29,896,1
236,29,522,1
237,29,500,1
238,29,35,1
239,29,412,1
240,29,584,1
241,29,434,1
242,29,337,1
243,29,699,1
244,29,230,1
245,29,232,1
246,29,1000,1
247,29,76,1
248,29,308,1
249,29,573,1
250,29,563,1
251,29,224,1
252,29,297,1
253,29,915,1
254,29,123,1
255,29,334,1
256,29,1014,1
257,29,971,1
258,29,718,1
259,29,496,1
260,29,510,1
261,29,404,1
262,29,66,1
263,29,96,1
264,29,111,1
265,29,48,1
266,29,313,1
267,29,772,1
268,29,624,1
269,29,389,1
270,29,581,1
271,29,426,1
272,29,298,1
273,29,136,1
274,29,173,1
275,29,644,1
276,29,781,1
277,29,626,1
278,29,1070,1
279,29,41,1
280,29,130,1
281,29,494,1
282,29,52,1
