#ID,Gene,index
0,WDR5,0
1,HMGB2,1
2,JUN,2
3,TLE2,3
4,ELP3,4
5,RPA1,5
6,MCM4,6
7,SMARCA2,7
8,REL,8
9,E2F8,9
10,TRIB3,10
11,DCP1A,11
12,PBX1,12
13,AHCTF1,13
14,HCFC1,14
15,IKZF2,15
16,NDN,16
17,MAPK1,17
18,TTF2,18
19,ZDHHC6,19
20,HDAC10,20
21,XPC,21
22,CBFB,22
23,MYB,23
24,EPAS1,24
25,BLZF1,25
26,NFATC1,26
27,KDM6A,27
28,NOTCH1,28
29,MCM5,29
30,ZKSCAN6,30
31,TEAD2,31
32,SOX6,32
33,NFKBIA,33
34,IRF8,34
35,KLF6,35
36,XRCC5,36
37,HDAC11,37
38,CITED4,38
39,EGR1,39
40,PML,40
41,EPOR,41
42,HNRNPAB,42
43,SP4,43
44,RNF4,44
45,JARID2,45
46,HDAC9,46
47,ELF4,47
48,RORA,48
49,SMAD2,49
50,SRSF1,50
51,ZFP36,51
52,ZDHHC13,52
53,HDAC2,53
54,APBB1,54
55,DDX20,55
56,MCM6,56
57,ARID3B,57
58,TRPS1,58
59,XRCC6,59
60,SPI1,60
61,CNOT7,61
62,RB1,62
63,RAD51,63
64,GATA2,64
65,MCM2,65
66,ZFP467,66
67,GLIS2,67
68,H1F0,68
69,LMO4,69
70,YBX1,70
71,E2F4,71
72,LZTS1,72
73,RORC,73
74,MEIS1,74
75,MAPK12,75
76,XAB2,76
77,GTF2E1,77
78,PHB2,78
79,PPARGC1A,79
80,TCF12,80
81,TLR4,81
82,MED16,82
83,MECOM,83
84,NFATC2,84
85,CTR9,85
86,MXD3,86
87,GTF2F1,87
88,TOX4,88
89,KLF1,89
90,ID2,90
91,MCM7,91
92,PLAG1,92
93,REXO4,93
94,HCLS1,94
95,ZBTB43,95
96,ZFP30,96
97,HDGF,97
98,RAI14,98
99,BMI1,99
100,POLR3F,100
101,CSRP3,101
102,RNF19A,102
103,ERCC8,103
104,NFE2,104
105,IFI204,105
106,SPO11,106
107,TTF1,107
108,HIST1H1C,108
109,ZBTB20,109
110,PHF10,110
111,SALL2,111
112,TSC22D3,112
113,MCM3,113
114,NFXL1,114
115,TEAD3,115
116,NR3C2,116
117,FOXO1,117
118,PRDM16,118
119,NR2C1,119
120,HDAC7,120
121,CBX7,121
122,ETS1,122
123,IKZF1,123
124,POLR1B,124
125,XRCC3,125
126,ZEB2,126
127,NUPR1,127
128,HOXA9,128
129,ELP2,129
130,GFI1B,130
131,RARB,131
132,IRF1,132
133,RUVBL2,133
134,TOPORS,134
135,E2F6,135
136,DEK,136
137,PGR,137
138,PRDM4,138
139,SNRPB,139
140,SATB1,140
141,NR4A1,141
142,GTF3C3,142
143,FOS,143
144,NFAT5,144
145,HLF,145
146,ZFP275,146
147,ZFP143,147
148,MAPK9,148
149,IRF5,149
150,DDX58,150
151,SLA2,151
152,PA2G4,152
153,VDR,153
154,NFE2L2,154
155,RUNX1T1,155
156,BUB3,156
157,EBF1,157
158,MIS18BP1,158
159,SNAPC3,159
160,BTAF1,160
161,MEF2C,161
162,EYA1,162
163,RUNX2,163
164,ESR1,164
165,SOX18,165
166,CENPK,166
167,PWP1,167
168,FEM1B,168
169,CREB5,169
170,TAF1,170
171,MYC,171
172,RPA2,172
173,GATA1,173
174,EYA2,174
175,AFF4,175
176,TAF12,176
177,AHR,177
178,STAT3,178
179,NCOA6,179
180,THRB,180
181,PRDM5,181
182,RELB,182
183,IRF6,183
184,ABTB1,184
185,NFIA,185
186,BTG2,186
187,ZZZ3,187
188,BATF2,188
189,MYNN,189
190,TSHZ3,190
191,KLF3,191
192,MYCN,192
193,VHL,193
194,ZBTB10,194
195,ZKSCAN17,195
196,ZFP592,196
197,POLR2B,197
198,GFI1,198
199,RAD21,199
200,GTF2H1,200
201,TCF19,201
202,HNF4A,202
203,ORC2,203
204,ELL2,204
205,NRF1,205
206,ZSCAN21,206
207,ABL1,207
208,ZFP110,208
209,MTFR1,209
210,CD93,210
211,JAK3,211
212,GSTM5,212
213,MTHFD1,213
214,ZFP451,214
215,CASP1,215
216,ALDH9A1,216
217,TLK1,217
218,UBA3,218
219,ELAC2,219
220,TES,220
221,TOP2A,221
222,GM28875,222
223,ZFP930,223
224,DNM1L,224
225,SMIM15,225
226,VIM,226
227,9030619P08RIK,227
228,WDR36,228
229,SNAP23,229
230,PDK3,230
231,SCRN3,231
232,GANAB,232
233,SLC18A2,233
234,CACFD1,234
235,ZFP945,235
236,ZFP672,236
237,GNAI3,237
238,SEPT6,238
239,NSD2,239
240,KRT18,240
241,FZR1,241
242,MED22,242
243,GMPR,243
244,TFG,244
245,DIS3L2,245
246,PWWP3A,246
247,STXBP3,247
248,VPS26C,248
249,TOM1L1,249
250,KPNA3,250
251,DDHD2,251
252,EIF1AD,252
253,KAT7,253
254,UBXN2B,254
255,CDCA5,255
256,UROS,256
257,ERLIN2,257
258,H2-OB,258
