,TF,Target,Label
0,0,443,1
1,0,739,1
2,0,490,1
3,0,537,1
4,0,836,1
5,0,253,1
6,0,1131,1
7,0,822,1
8,0,772,1
9,0,257,1
10,0,651,1
11,0,247,1
12,0,521,1
13,0,17,1
14,0,706,1
15,0,832,1
16,0,311,1
17,0,459,1
18,0,928,1
19,0,480,1
20,0,154,1
21,0,540,1
22,0,374,1
23,0,1180,1
24,0,1192,1
25,0,528,1
26,0,362,1
27,0,1104,1
28,0,686,1
29,0,1133,1
30,0,22,1
31,0,577,1
32,0,976,1
33,0,827,1
34,0,144,1
35,0,796,1
36,0,996,1
37,0,1157,1
38,0,414,1
39,0,638,1
40,0,973,1
41,0,630,1
42,0,114,1
43,0,216,1
44,0,742,1
45,0,479,1
46,0,86,1
47,0,581,1
48,0,108,1
49,0,552,1
50,0,535,1
51,0,70,1
52,0,299,1
53,0,536,1
54,0,515,1
55,0,843,1
56,0,667,1
57,0,858,1
58,0,485,1
59,0,840,1
60,0,305,1
61,0,949,1
62,0,152,1
63,0,1202,1
64,0,795,1
65,0,1179,1
66,0,130,1
67,0,5,1
68,0,620,1
69,0,740,1
70,0,371,1
71,0,309,1
72,0,773,1
73,0,132,1
74,0,438,1
75,0,409,1
76,0,700,1
77,0,592,1
78,0,288,1
79,0,176,1
80,0,461,1
81,0,428,1
82,0,952,1
83,0,978,1
84,0,604,1
85,0,837,1
86,0,936,1
87,0,1006,1
88,0,432,1
89,0,835,1
90,0,458,1
91,0,329,1
92,0,866,1
93,0,390,1
94,0,985,1
95,0,426,1
96,0,298,1
97,0,929,1
98,0,961,1
99,0,977,1
100,0,628,1
101,0,809,1
102,0,509,1
103,0,293,1
104,0,857,1
105,0,292,1
106,0,672,1
107,0,666,1
108,0,199,1
109,0,27,1
110,0,1029,1
111,0,849,1
112,0,197,1
113,0,1203,1
114,0,717,1
115,0,979,1
116,0,953,1
117,0,393,1
118,0,385,1
119,0,13,1
120,0,520,1
121,0,57,1
122,0,1085,1
123,0,615,1
124,0,850,1
125,0,211,1
126,0,60,1
127,0,708,1
128,0,1115,1
129,0,250,1
130,0,391,1
131,0,286,1
132,0,36,1
133,0,465,1
134,0,946,1
135,0,954,1
136,0,995,1
137,0,616,1
138,0,890,1
139,0,974,1
140,0,726,1
141,0,478,1
142,0,161,1
143,0,599,1
144,0,1069,1
145,0,302,1
146,0,291,1
147,0,728,1
148,0,267,1
149,0,1187,1
150,0,920,1
151,0,1054,1
152,0,926,1
153,0,703,1
154,0,1001,1
155,0,1150,1
156,0,1149,1
157,0,217,1
158,0,532,1
159,0,411,1
160,0,794,1
161,0,24,1
162,0,1014,1
163,0,102,1
164,0,856,1
165,0,400,1
166,0,1050,1
167,0,467,1
168,0,315,1
169,0,510,1
170,0,271,1
171,0,273,1
172,0,591,1
173,0,993,1
174,0,972,1
175,0,541,1
176,0,456,1
177,0,377,1
178,0,1007,1
179,0,863,1
180,0,716,1
181,0,65,1
182,0,334,1
183,0,610,1
184,0,752,1
185,0,702,1
186,0,1118,1
187,0,468,1
188,0,59,1
189,0,951,1
190,0,351,1
191,0,1146,1
192,0,801,1
193,0,248,1
194,0,454,1
195,0,710,1
196,0,803,1
197,0,692,1
198,0,788,1
199,0,568,1
200,0,1170,1
201,0,1072,1
202,0,147,1
203,0,715,1
204,0,1126,1
205,0,143,1
206,0,1147,1
207,0,226,1
208,0,1084,1
209,0,503,1
210,0,93,1
211,0,760,1
212,0,957,1
213,0,46,1
214,0,78,1
215,0,991,1
216,0,1144,1
217,0,622,1
218,0,260,1
219,0,158,1
220,0,195,1
221,0,224,1
222,0,322,1
223,0,1183,1
224,0,1094,1
225,0,574,1
226,0,629,1
227,0,279,1
228,0,262,1
229,0,678,1
230,0,999,1
231,0,846,1
232,0,879,1
233,0,457,1
234,0,33,1
235,0,87,1
236,0,352,1
237,0,1079,1
238,0,1051,1
239,0,1201,1
240,0,990,1
241,0,724,1
242,0,365,1
243,0,892,1
244,0,601,1
245,0,18,1
246,0,184,1
247,0,350,1
248,0,339,1
249,0,281,1
250,0,919,1
251,0,757,1
252,0,935,1
253,0,330,1
254,0,1152,1
255,0,778,1
256,0,519,1
257,0,619,1
258,0,1130,1
259,0,698,1
260,0,823,1
261,0,170,1
262,0,653,1
263,0,76,1
264,0,156,1
265,0,45,1
266,0,1132,1
267,0,844,1
268,0,818,1
269,0,357,1
270,0,481,1
271,0,61,1
272,0,1121,1
273,0,296,1
274,0,602,1
275,0,1086,1
276,0,820,1
277,0,631,1
278,0,800,1
279,0,865,1
280,0,538,1
281,0,367,1
282,0,174,1
283,0,765,1
284,0,994,1
285,0,593,1
286,0,516,1
287,0,882,1
288,0,378,1
289,0,1055,1
290,0,932,1
291,0,1172,1
292,0,573,1
293,0,464,1
294,0,746,1
295,0,777,1
296,0,1033,1
297,0,1177,1
298,0,84,1
299,0,337,1
300,0,1024,1
301,0,783,1
302,0,738,1
303,0,1185,1
304,0,676,1
305,0,348,1
306,0,109,1
307,0,439,1
308,0,1092,1
309,0,762,1
310,0,134,1
311,0,140,1
312,0,571,1
313,0,898,1
314,0,186,1
315,0,56,1
316,0,875,1
317,0,874,1
318,0,9,1
319,0,851,1
320,0,200,1
321,0,611,1
322,0,276,1
323,0,645,1
324,0,91,1
325,0,129,1
326,0,644,1
327,0,877,1
328,0,164,1
329,0,608,1
330,0,44,1
331,0,294,1
332,0,512,1
333,0,853,1
334,0,341,1
335,0,1100,1
336,0,318,1
337,0,474,1
338,0,133,1
339,0,895,1
340,0,1042,1
341,0,910,1
342,0,860,1
343,0,1011,1
344,0,149,1
345,0,821,1
346,0,1123,1
347,0,1143,1
348,0,388,1
349,0,906,1
350,0,563,1
351,0,893,1
352,0,595,1
353,0,1043,1
354,0,640,1
355,0,370,1
356,0,77,1
357,0,894,1
358,0,636,1
359,0,314,1
360,0,555,1
361,0,782,1
362,0,1181,1
363,0,753,1
364,0,903,1
365,0,372,1
366,0,1116,1
367,0,916,1
368,0,425,1
369,0,1148,1
370,0,560,1
371,0,90,1
372,0,955,1
373,0,219,1
374,0,228,1
375,0,931,1
376,0,1019,1
377,0,160,1
378,0,938,1
379,0,1134,1
380,0,1097,1
381,0,172,1
382,0,392,1
383,0,861,1
384,0,887,1
385,0,1008,1
386,0,1096,1
387,0,1155,1
388,0,1041,1
389,0,806,1
390,0,166,1
391,0,1161,1
392,0,804,1
393,0,344,1
394,0,826,1
395,0,43,1
396,0,333,1
397,0,817,1
398,0,214,1
399,0,34,1
400,0,325,1
401,0,324,1
402,0,1025,1
403,0,896,1
404,0,473,1
405,0,1013,1
406,0,445,1
407,0,437,1
408,0,258,1
409,0,1082,1
410,0,338,1
411,0,394,1
412,0,727,1
413,0,933,1
414,0,584,1
415,0,218,1
416,0,854,1
417,0,623,1
418,0,62,1
419,0,448,1
420,0,249,1
421,0,891,1
422,0,527,1
423,0,802,1
424,0,713,1
425,0,878,1
426,0,1111,1
427,0,1071,1
428,0,422,1
429,0,420,1
430,0,902,1
431,0,505,1
432,0,1124,1
433,0,845,1
434,0,412,1
435,0,771,1
436,0,945,1
437,0,523,1
438,0,758,1
439,0,494,1
440,0,775,1
441,0,587,1
442,0,624,1
443,0,831,1
444,0,670,1
445,0,1127,1
446,0,1182,1
447,0,284,1
448,0,1091,1
449,0,984,1
450,0,1000,1
451,0,834,1
452,0,205,1
453,0,453,1
454,0,208,1
455,0,159,1
456,0,124,1
457,0,511,1
458,0,353,1
459,0,28,1
460,0,754,1
461,0,100,1
462,0,204,1
463,0,1135,1
464,0,1070,1
465,0,316,1
466,0,797,1
467,0,1003,1
468,0,641,1
469,0,1039,1
470,0,210,1
471,0,1166,1
472,0,883,1
473,0,1089,1
474,0,405,1
475,0,104,1
476,0,82,1
477,0,265,1
478,0,572,1
479,0,1022,1
480,0,987,1
481,0,1052,1
482,0,1027,1
483,0,230,1
484,0,220,1
485,0,662,1
486,0,530,1
487,0,786,1
488,0,1107,1
489,0,1175,1
490,0,402,1
491,0,225,1
492,0,406,1
493,0,1174,1
494,0,194,1
495,0,300,1
496,0,122,1
497,0,94,1
498,0,283,1
499,0,340,1
500,0,549,1
501,0,470,1
502,0,229,1
503,0,181,1
504,0,900,1
505,0,335,1
506,0,908,1
507,0,486,1
508,0,751,1
509,0,1191,1
510,0,446,1
511,0,53,1
512,0,1065,1
513,0,885,1
514,0,1026,1
515,0,471,1
516,0,450,1
517,0,416,1
518,0,816,1
519,0,396,1
520,0,1073,1
521,0,355,1
522,0,244,1
523,0,213,1
524,0,157,1
525,0,1078,1
526,0,690,1
527,0,69,1
528,0,899,1
529,0,360,1
530,0,942,1
531,0,901,1
532,0,92,1
533,0,741,1
534,0,876,1
535,0,52,1
536,0,992,1
537,0,586,1
538,0,606,1
539,0,235,1
540,0,693,1
541,0,419,1
542,0,659,1
543,0,245,1
544,0,209,1
545,0,376,1
546,0,969,1
547,0,1080,1
548,0,429,1
549,0,223,1
550,0,808,1
551,0,968,1
552,0,695,1
553,0,482,1
554,0,397,1
555,0,506,1
556,0,679,1
557,0,1122,1
558,0,546,1
559,0,733,1
560,0,206,1
561,0,150,1
562,0,600,1
563,0,1186,1
564,0,126,1
565,0,1077,1
566,0,452,1
567,0,1129,1
568,0,943,1
569,0,413,1
570,0,517,1
571,0,80,1
572,0,278,1
573,0,19,1
574,0,864,1
575,0,168,1
576,0,764,1
577,0,232,1
578,0,575,1
579,0,791,1
580,0,231,1
581,0,63,1
582,0,308,1
583,0,317,1
584,0,436,1
585,0,193,1
586,0,725,1
587,0,55,1
588,0,1049,1
589,0,1154,1
590,0,167,1
591,0,589,1
592,0,95,1
593,0,1194,1
594,0,981,1
595,0,255,1
596,0,1090,1
597,0,543,1
598,0,1145,1
599,0,825,1
600,0,918,1
601,0,285,1
602,0,466,1
603,0,1198,1
604,0,660,1
605,0,675,1
606,0,1038,1
607,0,518,1
608,0,811,1
609,0,71,1
610,0,198,1
611,0,435,1
612,0,1160,1
613,0,1061,1
614,0,1018,1
615,0,117,1
616,0,399,1
617,0,688,1
618,0,870,1
619,0,4,1
620,2,413,1
621,2,526,1
622,2,608,1
623,2,971,1
624,2,741,1
625,2,1053,1
626,2,831,1
627,2,182,1
628,2,217,1
629,2,620,1
630,2,866,1
631,2,876,1
632,2,70,1
633,2,848,1
634,2,114,1
635,2,494,1
636,2,674,1
637,2,822,1
638,2,198,1
639,2,636,1
640,2,1,1
641,2,1040,1
642,2,933,1
643,2,290,1
644,2,982,1
645,2,863,1
646,2,396,1
647,2,643,1
648,2,603,1
649,2,449,1
650,2,211,1
651,2,991,1
652,2,685,1
653,2,172,1
654,2,284,1
655,2,411,1
656,2,446,1
657,2,254,1
658,2,1094,1
659,2,803,1
660,2,169,1
661,2,1051,1
662,2,87,1
663,2,1018,1
664,2,959,1
665,2,441,1
666,2,193,1
667,2,899,1
668,2,702,1
669,2,184,1
670,2,1005,1
671,2,834,1
672,2,262,1
673,2,442,1
674,2,226,1
675,2,556,1
676,2,1088,1
677,2,1060,1
678,2,6,1
679,2,1156,1
680,2,452,1
681,2,282,1
682,2,25,1
683,2,483,1
684,2,377,1
685,2,714,1
686,2,998,1
687,2,32,1
688,2,1150,1
689,2,663,1
690,2,692,1
691,2,131,1
692,2,825,1
693,2,1038,1
694,2,46,1
695,2,972,1
696,2,740,1
697,2,937,1
698,2,1044,1
699,2,521,1
700,2,1123,1
701,2,124,1
702,2,140,1
703,2,17,1
704,2,286,1
705,2,39,1
706,2,194,1
707,2,1046,1
708,2,164,1
709,2,4,1
710,2,591,1
711,2,725,1
712,2,59,1
713,2,660,1
714,2,886,1
715,2,807,1
716,2,550,1
717,2,909,1
718,2,83,1
719,2,1140,1
720,2,496,1
721,2,549,1
722,2,103,1
723,2,261,1
724,2,9,1
725,2,1160,1
726,2,74,1
727,2,816,1
728,2,305,1
729,2,788,1
730,2,1183,1
731,2,251,1
732,2,303,1
733,2,1079,1
734,2,622,1
735,2,357,1
736,2,402,1
737,2,739,1
738,2,613,1
739,2,480,1
740,2,256,1
741,2,100,1
742,2,240,1
743,2,885,1
744,2,597,1
745,2,644,1
746,2,640,1
747,2,587,1
748,2,817,1
749,2,294,1
750,2,679,1
751,2,1091,1
752,2,615,1
753,2,592,1
754,2,454,1
755,2,1039,1
756,2,425,1
757,2,563,1
758,2,177,1
759,2,1146,1
760,2,212,1
761,2,438,1
762,2,989,1
763,2,113,1
764,2,864,1
765,2,614,1
766,2,375,1
767,2,1116,1
768,2,204,1
769,2,1147,1
770,2,119,1
771,2,796,1
772,2,941,1
773,2,1188,1
774,2,1186,1
775,2,27,1
776,2,150,1
777,2,420,1
778,2,91,1
779,2,935,1
780,2,894,1
781,2,923,1
782,2,986,1
783,2,880,1
784,2,1196,1
785,2,841,1
786,2,819,1
787,2,270,1
788,2,434,1
789,2,940,1
790,2,92,1
791,2,228,1
792,2,595,1
793,2,594,1
794,2,929,1
795,2,775,1
796,2,561,1
797,2,993,1
798,2,715,1
799,2,974,1
800,2,1141,1
801,2,1013,1
802,2,203,1
803,2,710,1
804,2,705,1
805,2,1161,1
806,2,187,1
807,2,901,1
808,2,732,1
809,2,642,1
810,2,804,1
811,2,73,1
812,2,867,1
813,2,380,1
814,2,351,1
815,2,645,1
816,2,992,1
817,2,1052,1
818,2,207,1
819,2,539,1
820,2,11,1
821,2,318,1
822,2,415,1
823,2,851,1
824,2,531,1
825,2,136,1
826,2,630,1
827,2,291,1
828,2,1096,1
829,2,1042,1
830,2,598,1
831,2,116,1
832,2,979,1
833,2,138,1
834,2,966,1
835,2,215,1
836,2,838,1
837,2,478,1
838,2,720,1
839,2,77,1
840,2,913,1
841,2,840,1
842,2,713,1
843,2,1138,1
844,2,95,1
845,2,325,1
846,2,694,1
847,2,1190,1
848,2,584,1
849,2,22,1
850,2,1180,1
851,2,1162,1
852,2,206,1
853,2,347,1
854,2,273,1
855,2,376,1
856,2,332,1
857,2,599,1
858,2,397,1
859,2,104,1
860,2,542,1
861,2,1111,1
862,2,541,1
863,2,407,1
864,2,392,1
865,2,939,1
866,2,127,1
867,2,983,1
868,2,688,1
869,2,616,1
870,2,562,1
871,2,501,1
872,2,928,1
873,2,98,1
874,2,1061,1
875,2,269,1
876,2,288,1
877,2,90,1
878,2,1065,1
879,2,800,1
880,2,590,1
881,2,844,1
882,2,154,1
883,2,473,1
884,2,852,1
885,2,252,1
886,2,1081,1
887,2,1037,1
