#ID	Name
G0	WDR5
G1	HMGB2
G2	JUN
G3	TLE2
G4	ELP3
G5	RPA1
G6	MCM4
G7	SMARCA2
G8	REL
G9	E2F8
G10	TRIB3
G11	DCP1A
G12	PBX1
G13	AHCTF1
G14	HCFC1
G15	IKZF2
G16	NDN
G17	MAPK1
G18	TTF2
G19	ZDHHC6
G20	HDAC10
G21	XPC
G22	CBFB
G23	MYB
G24	EPAS1
G25	BLZF1
G26	NFATC1
G27	KDM6A
G28	NOTCH1
G29	MCM5
G30	ZKSCAN6
G31	TEAD2
G32	SOX6
G33	NFKBIA
G34	IRF8
G35	KLF6
G36	XRCC5
G37	HDAC11
G38	CITED4
G39	EGR1
G40	PML
G41	EPOR
G42	HNRNPAB
G43	SP4
G44	RNF4
G45	JARID2
G46	HDAC9
G47	ELF4
G48	RORA
G49	SMAD2
G50	SRSF1
G51	ZFP36
G52	ZDHHC13
G53	HDAC2
G54	APBB1
G55	DDX20
G56	MCM6
G57	ARID3B
G58	TRPS1
G59	XRCC6
G60	SPI1
G61	CNOT7
G62	RB1
G63	RAD51
G64	GATA2
G65	MCM2
G66	ZFP467
G67	GLIS2
G68	H1F0
G69	LMO4
G70	YBX1
G71	E2F4
G72	LZTS1
G73	RORC
G74	MEIS1
G75	MAPK12
G76	XAB2
G77	GTF2E1
G78	PHB2
G79	PPARGC1A
G80	TCF12
G81	TLR4
G82	MED16
G83	MECOM
G84	NFATC2
G85	CTR9
G86	MXD3
G87	GTF2F1
G88	TOX4
G89	KLF1
G90	ID2
G91	MCM7
G92	PLAG1
G93	REXO4
G94	HCLS1
G95	ZBTB43
G96	ZFP30
G97	HDGF
G98	RAI14
G99	BMI1
G100	POLR3F
G101	CSRP3
G102	RNF19A
G103	ERCC8
G104	NFE2
G105	IFI204
G106	SPO11
G107	TTF1
G108	HIST1H1C
G109	ZBTB20
G110	PHF10
G111	SALL2
G112	TSC22D3
G113	MCM3
G114	NFXL1
G115	TEAD3
G116	NR3C2
G117	FOXO1
G118	PRDM16
G119	NR2C1
G120	HDAC7
G121	CBX7
G122	ETS1
G123	IKZF1
G124	POLR1B
G125	XRCC3
G126	ZEB2
G127	NUPR1
G128	HOXA9
G129	ELP2
G130	GFI1B
G131	RARB
G132	IRF1
G133	RUVBL2
G134	TOPORS
G135	E2F6
G136	DEK
G137	PGR
G138	PRDM4
G139	SNRPB
G140	SATB1
G141	NR4A1
G142	GTF3C3
G143	FOS
G144	NFAT5
G145	HLF
G146	ZFP275
G147	ZFP143
G148	MAPK9
G149	IRF5
G150	DDX58
G151	SLA2
G152	PA2G4
G153	VDR
G154	NFE2L2
G155	RUNX1T1
G156	BUB3
G157	EBF1
G158	MIS18BP1
G159	SNAPC3
G160	BTAF1
G161	MEF2C
G162	EYA1
G163	RUNX2
G164	ESR1
G165	SOX18
G166	CENPK
G167	PWP1
G168	FEM1B
G169	CREB5
G170	TAF1
G171	MYC
G172	RPA2
G173	GATA1
G174	EYA2
G175	AFF4
G176	TAF12
G177	AHR
