#ID,TF,index
0,61,60
1,61,34
2,61,83
3,61,57
4,61,39
5,61,90
6,61,384
7,61,196
8,61,69
9,61,104
10,61,195
11,61,522
12,61,570
13,61,200
14,61,149
15,61,42
16,61,202
17,61,634
18,61,48
19,61,536
20,61,654
21,61,66
22,61,156
23,61,434
24,61,116
25,61,36
26,61,645
27,61,240
28,61,565
29,61,252
30,61,157
31,61,657
32,61,424
33,61,103
34,61,484
35,61,163
36,61,159
37,61,444
38,61,520
39,61,78
40,61,43
41,61,89
42,61,148
43,30,562
44,30,593
45,30,553
46,30,128
47,30,354
48,30,359
49,30,430
50,30,389
51,30,117
52,30,181
53,30,442
54,30,214
55,30,556
56,30,597
57,30,161
58,30,402
59,30,614
60,30,219
61,30,647
62,30,32
63,30,408
64,30,644
65,30,507
66,30,566
67,30,628
68,30,142
69,30,223
70,30,275
71,30,380
72,30,636
73,30,120
74,30,568
75,30,255
76,30,329
77,30,625
78,30,533
79,30,467
80,30,695
81,30,449
82,30,159
83,30,542
84,30,261
85,30,212
86,30,648
87,30,557
88,30,28
89,30,385
90,30,439
91,30,282
92,30,560
93,30,603
94,30,137
95,30,637
96,30,680
97,30,317
98,30,649
99,30,37
100,30,525
101,30,387
102,30,513
103,30,172
104,30,7
105,30,308
106,30,165
107,30,382
108,30,676
109,30,206
110,30,189
111,30,448
112,30,565
113,30,478
114,30,141
115,30,183
116,30,528
117,30,631
118,30,369
119,30,626
120,30,188
121,30,535
122,30,50
123,30,204
124,30,215
125,30,264
126,30,687
127,30,336
128,30,10
129,30,475
130,30,55
131,30,227
132,30,147
133,30,58
134,30,169
135,30,322
136,30,381
137,30,633
138,30,222
139,30,350
140,30,310
141,30,238
142,30,252
143,30,483
144,30,131
145,30,211
146,30,233
147,30,72
148,30,443
149,30,531
150,30,653
151,30,129
152,30,224
153,30,630
154,30,419
155,30,569
156,30,241
157,30,151
158,30,511
159,30,80
160,30,518
161,30,110
162,30,31
163,30,582
164,30,242
165,30,601
166,30,674
167,30,258
168,30,486
169,30,428
170,30,678
171,30,351
172,30,95
173,30,383
174,30,609
175,30,702
176,30,668
177,30,125
178,30,482
179,30,607
180,30,124
181,30,34
182,30,480
183,30,81
184,30,460
185,30,613
186,30,623
187,30,527
188,30,88
189,30,554
190,30,49
191,30,23
192,30,286
193,30,598
194,30,580
195,30,53
196,30,605
197,30,455
198,30,254
199,30,388
