G0	EPOR
G1	FOS
G2	IFI204
G3	RNF4
G4	MYC
G5	TEAD2
G6	NR2C1
G7	HDAC7
G8	PHF10
G9	TAF1
G10	ZBTB20
G11	NCOA6
G12	NUPR1
G13	NFE2L2
G14	MEIS1
G15	ZDHHC13
G16	PHB2
G17	HNRNPAB
G18	IKZF2
G19	VDR
G20	ID2
G21	HDAC11
G22	TTF2
G23	ABTB1
G24	SMAD2
G25	TAF12
G26	ELF4
G27	NFATC1
G28	REXO4
G29	CSRP3
G30	CBFB
G31	STAT3
G32	NFAT5
G33	MAPK12
G34	GFI1
G35	PGR
G36	GFI1B
G37	XRCC6
G38	CENPK
G39	GATA2
G40	ZKSCAN6
G41	BTG2
G42	ARID3B
G43	PBX1
G44	PWP1
G45	E2F6
G46	AHCTF1
G47	RNF19A
G48	MEF2C
G49	HIST1H1C
G50	XPC
G51	POLR3F
G52	HCLS1
G53	SATB1
G54	NOTCH1
G55	ZZZ3
G56	H1F0
G57	RUNX2
G58	TOX4
G59	SPI1
G60	MECOM
G61	BMI1
G62	BATF2
G63	DDX58
G64	RORC
G65	ZFP30
G66	NFATC2
G67	SNRPB
G68	TTF1
G69	HOXA9
G70	XRCC5
G71	JARID2
G72	MCM7
G73	SNAPC3
G74	GATA1
G75	HDAC2
G76	ZFP467
G77	MAPK9
G78	AHR
G79	SOX6
G80	SRSF1
G81	BLZF1
G82	VHL
G83	EBF1
G84	TSHZ3
G85	ZFP110
G86	MCM6
G87	AFF4
G88	ELP3
G89	NDN
G90	ESR1
G91	SPO11
G92	NR4A1
G93	TCF19
G94	PLAG1
G95	CTR9
G96	IRF6
G97	GLIS2
G98	ZFP275
G99	CREB5
G100	TSC22D3
G101	POLR2B
G102	REL
G103	SALL2
G104	HLF
G105	RUNX1T1
G106	ELL2
G107	EPAS1
G108	CBX7
G109	TRPS1
G110	DEK
G111	TLR4
G112	BTAF1
G113	POLR1B
G114	HDAC9
G115	E2F8
G116	IRF5
G117	WDR5
G118	KLF6
G119	ZSCAN21
G120	MIS18BP1
G121	ZFP592
G122	FOXO1
G123	NRF1
G124	TCF12
G125	SLA2
G126	GTF2F1
G127	NFKBIA
G128	NFE2
G129	CNOT7
G130	IRF1
G131	GTF2E1
G132	RELB
G133	RORA
G134	MYNN
G135	RARB
G136	ZBTB10
G137	MED16
G138	E2F4
G139	ORC2
G140	ABL1
G141	ZFP143
G142	DDX20
G143	RB1
G144	HDAC10
G145	TRIB3
G146	KLF1
G147	XAB2
G148	GTF3C3
G149	IKZF1
G150	LZTS1
G151	MCM4
G152	MCM5
G153	EGR1
G154	ERCC8
G155	ZFP36
G156	THRB
G157	ETS1
G158	PRDM16
G159	EYA2
G160	MYB
G161	NFXL1
G162	MAPK1
G163	MYCN
G164	XRCC3
G165	HCFC1
G166	TOPORS
G167	MCM2
G168	ZBTB43
G169	HDGF
G170	PPARGC1A
G171	HNF4A
G172	GTF2H1
G173	PML
G174	RAI14
G175	APBB1
G176	YBX1
G177	PRDM5
G178	CITED4
G179	MCM3
G180	LMO4
G181	PRDM4
G182	NFIA
G183	FEM1B
G184	PA2G4
G185	ELP2
G186	JUN
G187	SMARCA2
G188	RUVBL2
G189	DCP1A
G190	TEAD3
G191	SP4
G192	TLE2
G193	HMGB2
G194	BUB3
G195	IRF8
G196	ZEB2
G197	KLF3
G198	SOX18
G199	MXD3
G200	NR3C2
G201	RAD51
G202	EYA1
G203	ZKSCAN17
G204	ZDHHC6
